[00:00:00.069 --> 00:00:00.649]  We're live.
[00:00:16.673 --> 00:00:17.314]  Big Brother.
[00:00:17.974 --> 00:00:18.995]  Mainstream media.
[00:00:19.735 --> 00:00:21.497]  Government cover-ups.
[00:00:21.537 --> 00:00:22.297]  You want answers?
[00:00:23.098 --> 00:00:23.999]  Well, so does he.
[00:00:24.639 --> 00:00:28.262]  He's Alex Jones on the GCN Radio Network.
[00:00:28.822 --> 00:00:32.925]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.226 --> 00:00:35.087]  Yes, it's Tuesday the 15th of September.
[00:00:35.948 --> 00:00:38.810]  I will be live for the full transmission, but first, a key report from John Bowne.
[00:00:40.256 --> 00:00:50.242]  According to Reuters, Russia has demanded Washington restart military-to-military cooperation to avert unintended incidents near Syria at a time when U.S.
[00:00:50.302 --> 00:00:56.366]  officials say Moscow is building up forces to protect President Bashar al-Assad's government.
[00:00:56.566 --> 00:01:04.271]  Of course, Assad is backed by Russia and openly blamed by the United States for attacks on his own people, attacks that just don't add up.
[00:01:04.491 --> 00:01:11.780]  This is a big issue that we're facing here, and Americans have seen the lies of WMDs in Iraq.
[00:01:12.400 --> 00:01:15.524]  They've seen the lies that brought us to Vietnam and the Gulf of Tonkin.
[00:01:16.345 --> 00:01:19.509]  We've seen so many of these staged events, so many of these false flags.
[00:01:19.549 --> 00:01:21.010]  Now, I want to be clear as well.
[00:01:21.431 --> 00:01:23.453]  I believe that there was some type of chemical attack.
[00:01:23.493 --> 00:01:24.314]  The numbers aren't clear.
[00:01:24.975 --> 00:01:27.917]  The media's tried to claim already, Alex Jones says nothing happened.
[00:01:27.957 --> 00:01:35.383]  No, something happened in the middle of a battle zone in the capital city, Damascus, of Syria.
[00:01:36.484 --> 00:01:46.832]  And now Assad's come out and said today, why would I attack a bunch of civilians knowing that the West has said that that's their red line a year ago to the day?
[00:01:47.532 --> 00:01:50.054]  That they would come and bombard us and back up the rebels?
[00:01:50.735 --> 00:01:52.196]  Do I want to get arrested and killed?
[00:01:52.236 --> 00:01:53.457]  Do I want to be thrown out of power?
[00:01:54.164 --> 00:02:00.205]  Do I want to see every church in Syria burn to the ground because the Al-Qaeda groups Obama is supporting have said that?
[00:02:00.406 --> 00:02:08.347]  And I talked to a lot of special forces people on and off air, including today, and they said, yeah, none of this makes any sense.
[00:02:08.547 --> 00:02:15.029]  And the West is on record funding the rebels with even heavy weapons like tanks, heat-seeking missiles, you name it.
[00:02:15.569 --> 00:02:16.749]  So this is really incredible.
[00:02:16.789 --> 00:02:22.451]  BBC News admits they put out a fake photo
[00:02:23.627 --> 00:02:27.008]  From a real massacre Saddam had been involved in from 2003.
[00:02:27.268 --> 00:02:34.251]  But they lied and said these were the thousands dead from Assad when it looks like max it was a hundred.
[00:02:34.491 --> 00:02:42.854]  The Obama administration claims to be fighting ISIS while plenty of evidence shows the Obama administration has long supported ISIS.
[00:02:43.194 --> 00:02:46.195]  Now, the hornet's nest is stirring in Obama's inner circle.
[00:02:46.375 --> 00:03:00.821]  The Guardian reports, Barack Obama's intelligence chief, James Clapper, is said to be in frequent and unusual contact with a military intelligence officer at the center of a growing scandal over rosy portrayals of the war against the Islamic State.
[00:03:01.061 --> 00:03:07.283]  James Clapper, the Director of National Intelligence, is said to talk nearly every day with the head of U.S.
[00:03:07.323 --> 00:03:11.865]  Central Command's Intelligence Wing, Army Brigadier General Stephen Grove.
[00:03:12.225 --> 00:03:15.867]  Which is highly unusual, according to a former intelligence official.
[00:03:16.027 --> 00:03:21.470]  Grove is said to be implicated in a Pentagon inquiry into manipulated war intelligence.
[00:03:21.730 --> 00:03:27.193]  The Daily Beast recently reported, more than 50 intelligence analysts working out of the U.S.
[00:03:27.233 --> 00:03:36.959]  Military Central Command have formally complained that their reports on ISIS and al-Qaeda's branch in Syria were being inappropriately altered by senior officials.
[00:03:37.299 --> 00:03:47.166]  One of the key aspects of the policy-making process in the United States is that analysts get to say what they think without any interference, without anybody changing it.
[00:03:47.586 --> 00:03:49.707]  So this is a very, very serious charge.
[00:03:50.188 --> 00:03:52.009]  I think it needs to be fully investigated.
[00:03:52.649 --> 00:04:01.217]  And if there is truth that somebody has been meddling with their analysis, I think somebody needs to lose their job over it.
[00:04:01.297 --> 00:04:09.885]  It appears the giant lie 9-11 victim FBI Al Qaeda expert John O'Neill tried to expose is finally caving in on itself.
[00:04:10.265 --> 00:04:25.051]  Now, hundreds of Iranian soldiers have been sent to Syria in an effort to help Russia defend the Al-Assad government, according to the Israeli media, rendering the Obama administration's sole purpose for truly being in Syria pointless.
[00:04:25.471 --> 00:04:35.135]  Ynet News, the English-language Israeli news website, reports that Soleimani, commander of Iran's elite Quds Force, is cooperating with Russia.
[00:04:35.495 --> 00:04:49.724]  An Israeli military source told Ynet, Iran's stepped up military involvement in Syria is due to Assad's crisis and under Russian-Iranian cooperation as a result of a meeting between Soleimani with Russian President Vladimir Putin.
[00:04:49.884 --> 00:04:52.665]  This claim has not yet been independently verified.
[00:04:52.926 --> 00:05:02.751]  It's hard to forecast whether Russia's presence will decide the fate of Syria, but it will lengthen the fighting and bloodletting for at least another year because ISIS won't give up, the source said.
[00:05:02.912 --> 00:05:04.853]  John Bowne for InfoWars.com.
[00:05:10.689 --> 00:05:18.351]  Over the weekend, the Obama administration dropped its original plans to create a website to rate colleges, and instead released all the collected information to the public.
[00:05:18.451 --> 00:05:22.912]  The rating system received relentless opposition from colleges, universities, Democrats and Republicans alike.
[00:05:23.172 --> 00:05:23.973]  Why is that, you ask?
[00:05:24.273 --> 00:05:29.294]  Colleges and universities already receive more than three times the amount of what students are paying in tuition.
[00:05:29.434 --> 00:05:34.695]  That's about $180 billion a year coming from grants, tax breaks, work-study funds, and student loans.
[00:05:35.035 --> 00:05:36.876]  And you know how liberals love their free money.
[00:05:37.176 --> 00:05:44.540]  Another interesting fact is that the Department of Education was given access to graduates' tax records so they could post how much students are making after graduation.
[00:05:44.680 --> 00:05:54.706]  This opens up a whole new level of personal and financial information that could be hacked, like we saw back in June when the Office of Personal Management was hacked by the Chinese to get the personal data of 4 million government employees.
[00:05:55.006 --> 00:06:00.694]  On top of that, the information provided by this new study shows that most people are better off getting a job out of high school than going to college.
[00:06:00.954 --> 00:06:03.478]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:06:03.638 --> 00:06:06.983]  Be sure to join us this Wednesday, September 16th for Operation Money Bomb.
[00:06:07.003 --> 00:06:10.107]  You can find more information at InfoWars.com forward slash money bomb.
[00:06:10.487 --> 00:06:15.490]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:06:15.630 --> 00:06:21.514]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:06:21.734 --> 00:06:26.337]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:06:26.537 --> 00:06:29.860]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:06:30.100 --> 00:06:31.681]  No needles, no injections.
[00:06:32.081 --> 00:06:37.204]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:06:40.406 --> 00:06:44.609]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:06:44.789 --> 00:06:48.752]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:06:48.932 --> 00:06:53.715]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:53.875 --> 00:06:58.418]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:06:58.558 --> 00:07:01.881]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:07:02.021 --> 00:07:05.343]  Now available in our limited first run at Infowarslife.com.
[00:07:05.483 --> 00:07:07.324]  That's Infowarslife.com or call 888-253-3139.
[00:07:10.306 --> 00:07:11.527]  Another major health threat.
[00:07:11.567 --> 00:07:16.470]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:07:16.550 --> 00:07:19.171]  Ohio's governor declaring a state of emergency.
[00:07:19.211 --> 00:07:25.995]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:07:26.256 --> 00:07:29.117]  If there's a water emergency, will you be prepared?
[00:07:29.237 --> 00:07:32.199]  Panicked residents forming long lines throughout the day.
[00:07:32.279 --> 00:07:34.200]  We're here at a supermarket in Toledo.
[00:07:34.220 --> 00:07:37.042]  You can see the shelves empty where water once was.
[00:07:37.142 --> 00:07:42.644]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:07:42.864 --> 00:07:46.345]  Water which will not be available at your local grocery store.
[00:07:46.365 --> 00:07:49.366]  There's a mad dash on right now to stock up on supplies.
[00:07:49.466 --> 00:07:56.568]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:07:56.788 --> 00:07:59.829]  Protect your family's safety during an emergency.
[00:08:00.009 --> 00:08:06.271]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[00:08:06.411 --> 00:08:07.531]  Or call 1-888-253-3139.
[00:08:07.571 --> 00:08:23.534]  Waging war on corruption.
[00:08:23.994 --> 00:08:32.836]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:32.856 --> 00:08:34.796]  There is a lot of things happening in the world.
[00:08:36.788 --> 00:08:42.613]  But if you turned on national television news here in the U.S., you would think it was Donald Trump visiting Dallas yesterday.
[00:08:43.554 --> 00:08:50.179]  Well, our own Joe Biggs was there covering it, and we've got some video of that with some of the highlights that'll be developing.
[00:08:50.940 --> 00:09:00.729]  Donald Trump came out and basically hammered sanctuary cities, hammered the fact we're giving all this free welfare to illegals, and said a lot of things that are, quite frankly, true.
[00:09:01.840 --> 00:09:06.643]  And he is now the major frontrunner, but of course, Dr. Carson is a close second.
[00:09:07.283 --> 00:09:08.904]  So Trump's been attacking him.
[00:09:09.725 --> 00:09:12.066]  Which will only make Carson then go up in the polls.
[00:09:12.907 --> 00:09:15.388]  Similar to what the Democrats did attacking Trump early on.
[00:09:16.349 --> 00:09:19.351]  Which is why Rand Paul doesn't want to be friends with the mainstream media.
[00:09:19.991 --> 00:09:22.853]  He wants them attacking him like he did in Kentucky.
[00:09:22.893 --> 00:09:24.113]  That's what got him in the Senate.
[00:09:25.854 --> 00:09:29.877]  And I'm oversimplifying politics here, but in this heated environment,
[00:09:30.984 --> 00:09:38.667]  This world climate of political systems that we've now entered, folks want to hear it brazenly put out.
[00:09:39.147 --> 00:09:42.889]  They want a populist message that rings with the people.
[00:09:46.050 --> 00:09:52.773]  We've got a clip of Miss South Carolina blast holes through anti-gun question when they ask her about gun violence.
[00:09:54.353 --> 00:09:57.054]  The answer is guns aren't committing the violence, people are.
[00:09:57.615 --> 00:10:00.516]  And the answer is getting mentally ill people and
[00:10:02.498 --> 00:10:07.219]  Folks that have been caught committing crimes, the answer is getting guns out of their hands is basically what she said.
[00:10:07.239 --> 00:10:08.239]  We'll play the clip coming up.
[00:10:08.759 --> 00:10:10.940]  And it was about education, not the gun itself.
[00:10:11.380 --> 00:10:12.920]  And she got a rousing applause.
[00:10:14.020 --> 00:10:15.841]  And the media was like, oh, it's shocking.
[00:10:16.261 --> 00:10:17.401]  The crowd supported her.
[00:10:18.721 --> 00:10:30.664]  Well, that's because the centralized government brainwashing cult system has gone too far.
[00:10:31.786 --> 00:10:43.109]  Because the public has been resisting its propaganda, because the public has been saying no to this political agenda.
[00:10:44.730 --> 00:10:49.211]  They simply increased it two or three times, what they were previously doing.
[00:10:49.251 --> 00:10:53.532]  And I've said over and over again, that's wonderful, because that's going to backfire.
[00:10:55.914 --> 00:10:58.996]  If we politically expose that it's a fraud and don't go along with it.
[00:10:59.596 --> 00:11:09.942]  Another exciting clip I've got here that ties in to Jerry Seinfeld a few months ago coming out and saying political correctness is just terrible.
[00:11:10.703 --> 00:11:17.127]  Many comedians I know will not go to a college now and give a comedic
[00:11:19.617 --> 00:11:21.397]  We're good to go.
[00:11:43.305 --> 00:11:45.246]  Well, no, see, he thought she was crazy.
[00:11:45.607 --> 00:11:49.089]  He thought she didn't understand liberalism and political correctness.
[00:11:49.109 --> 00:11:51.591]  He said, she's just ignorant and doesn't know the terms.
[00:11:52.031 --> 00:11:59.296]  No, your daughter's following the directives from the public school and from the private schools and from the TV and from the media.
[00:12:00.397 --> 00:12:01.918]  Men existing is evil.
[00:12:02.458 --> 00:12:03.779]  Women existing is evil.
[00:12:04.880 --> 00:12:06.441]  He and she existing is bad.
[00:12:06.761 --> 00:12:10.824]  This is a total system of ending the human community as we know it.
[00:12:15.782 --> 00:12:24.804]  So we'll get into that clip because now Obama has come out and slammed liberal PC culture on college campuses.
[00:12:25.604 --> 00:12:34.146]  He said you shouldn't be coddled and that you should read things you don't agree with and even things that are offensive.
[00:12:34.166 --> 00:12:35.646]  We're going to play that clip coming up.
[00:12:37.486 --> 00:12:38.507]  But why would he do that?
[00:12:40.607 --> 00:12:44.828]  Because it's creating such a giant backlash that they want to get rid of
[00:12:46.946 --> 00:12:55.718]  Tom Sawyer and Huckleberry Finn, because it's got words from the period in it.
[00:12:58.521 --> 00:13:00.304]  And if you can go that far, you can ban anything.
[00:13:00.764 --> 00:13:02.547]  The people directing Obama
[00:13:05.410 --> 00:13:17.356]  Have him doing this so that people go back to sleep, and so that folks think, oh, see, even the president doesn't support that, so that you think it's fringe, so you think it's insane, so you think it's radical.
[00:13:18.036 --> 00:13:20.918]  You think it's feminazis, you think it's environmentalist wackos.
[00:13:21.418 --> 00:13:27.541]  All those terms that right-wing talk radio taught us are very dangerous.
[00:13:30.011 --> 00:13:34.254]  Because it's scientific to break up the family.
[00:13:34.694 --> 00:13:37.056]  It's scientific to restrict words.
[00:13:37.937 --> 00:13:46.342]  It's a scientific plan to reduce the language so that it's impossible for us to ever intellectualize the predicament we're in.
[00:13:47.283 --> 00:13:49.725]  This is the dumbing down and the domestication.
[00:13:50.645 --> 00:13:55.369]  And it's just like having Joe Biden go around and say he's pro-Second Amendment, nobody's coming after your guns.
[00:13:55.849 --> 00:13:56.850]  It's simply a tactic.
[00:13:57.807 --> 00:14:17.676]  Where Obama shows up to look reasonable, right when they know the top is getting ready to blow off the top of the stack, right when they know that the water is boiling over, and he says, well here let's play the clip in a moment, where he slams liberal PC culture on college campuses and says you shouldn't be coddled.
[00:14:20.277 --> 00:14:21.138]  From the idea
[00:14:25.067 --> 00:14:25.587]  I've seen it.
[00:14:26.268 --> 00:14:34.933]  Back in high school, I walked into a mall bookstore and I bought Mein Kampf by Adolf Hitler because I wanted to read the book written by Adolf Hitler.
[00:14:34.953 --> 00:14:36.534]  I wanted to see what he actually had to say.
[00:14:38.455 --> 00:14:43.038]  And the woman freaked out at the counter and asked me why I was reading something like this.
[00:14:43.058 --> 00:14:44.859]  I said, it's history, lady.
[00:14:45.999 --> 00:14:51.443]  And she wouldn't even have known that it was what Mein Kampf was, but Hitler was on the cover of it, an orange cover.
[00:14:52.563 --> 00:14:58.326]  I bought it, it was the cheapest one they had, they had several different ones, and you can see Hitler on the front of it.
[00:14:59.626 --> 00:15:06.369]  This is the just incredible ignorance that we face.
[00:15:09.351 --> 00:15:15.034]  But the social engineers, they know it's not ignorance on their part.
[00:15:15.354 --> 00:15:19.896]  They are instilling mindless ignorance, and you see it in play every day.
