[00:00:01.357 --> 00:00:03.988]  You're listening to The Alex Jones Show.
[00:00:16.414 --> 00:00:17.055]  Big Brother.
[00:00:17.735 --> 00:00:18.756]  Mainstream media.
[00:00:19.497 --> 00:00:20.578]  Government cover-ups.
[00:00:21.258 --> 00:00:22.059]  You want answers?
[00:00:22.840 --> 00:00:23.740]  Well, so does he.
[00:00:24.381 --> 00:00:28.044]  He's Alex Jones on the GCN Radio Network.
[00:00:28.565 --> 00:00:32.588]  And now, live from Austin, Texas, Alex Jones.
[00:00:38.277 --> 00:00:41.202]  Welcome to the Alex Jones Show on this Friday, August 24, 2015.
[00:00:41.742 --> 00:00:43.605]  I'm David Knight, your host today.
[00:00:43.625 --> 00:00:46.510]  We're going to have a report at the bottom of the hour from Alex Jones.
[00:00:46.530 --> 00:00:49.494]  We're also going to be joined in the second hour, Paul Joseph Wasson.
[00:00:49.574 --> 00:00:52.960]  And in the third hour, we're going to be talking to John Rapoport.
[00:00:53.729 --> 00:00:58.933]  And of course we're going to be talking to him about GMOs, about vaccines, mandatory vaccines.
[00:00:59.594 --> 00:01:02.516]  There's an interesting article that was on Lou Rockwell.
[00:01:03.077 --> 00:01:08.581]  It was written by someone who said they were at the Ronald Reagan UCLA Medical Center with their daughter.
[00:01:09.862 --> 00:01:13.265]  They said there was an antibiotic-resistant bacteria that was there at the time.
[00:01:13.305 --> 00:01:14.266]  Seven people were infected.
[00:01:14.366 --> 00:01:15.187]  Two of them died.
[00:01:16.161 --> 00:01:17.823]  So that's about a 14% casualty rate.
[00:01:17.843 --> 00:01:23.608]  He said, uh, me and her daughter were fine, but they thought they would see something about it in the news.
[00:01:23.688 --> 00:01:28.213]  Instead, everybody was panicked about measles, which hasn't killed anybody yet.
[00:01:28.273 --> 00:01:36.020]  But of course, he talks about how absurd this whole narrative has become about mandatory vaccines destroying our informed consent.
[00:01:36.681 --> 00:01:39.163]  It talks about imagining the playbook.
[00:01:39.183 --> 00:01:41.925]  We're going to talk about that in the next segment as well.
[00:01:41.945 --> 00:01:50.311]  Of course, there's a couple of stories we're going to talk to Paul Joseph Watson about PayPal asserting copyright ownership over all intellectual property of its users.
[00:01:51.092 --> 00:01:56.455]  And a story that I'm actually a little bit a part of, the SPLC, has come out.
[00:01:57.416 --> 00:02:04.882]  Attacking the Oath Keepers, who are protecting the minors from the BLM, making sure they're going to get their due process in court.
[00:02:05.843 --> 00:02:08.986]  They're trying to paint them as terrorists, as usual, of course.
[00:02:09.626 --> 00:02:19.695]  I did a video a while back, you'll see that at the bottom of the article, SPLC, Profits of Hate, P-R-O-F-I-T-S, that kind of profit.
[00:02:19.915 --> 00:02:25.920]  Not saying what's going to be coming out, of course we go with some comparisons there, you can see in that thumbnail.
[00:02:26.740 --> 00:02:30.943]  I've got Morris Dease and his sidekick there as Jim and Tammy Faye Baker.
[00:02:31.003 --> 00:02:41.910]  We crossfade that in there because that's the way they've been referred to by people on the left as the Jim and Tammy Faye Baker of the Civil Rights Movement, trying to cash in on everything.
[00:02:41.950 --> 00:02:44.851]  And that's really what the Southern Poverty Law Center is about.
[00:02:44.871 --> 00:02:47.553]  When they say hate watch, they're inspiring hate.
[00:02:47.573 --> 00:02:49.955]  They're inspiring hate of Christians,
[00:02:50.982 --> 00:02:57.826]  Of people who believe we ought to have a limited constitutional government, of people like the ones in Oregon who think they ought to have due process.
[00:02:58.546 --> 00:03:06.531]  What started this whole thing in Oregon, and of course that's the video that I have there, when I talked to someone there in the mining community,
[00:03:07.071 --> 00:03:10.012]  This is something that goes back to the mid-1800s.
[00:03:10.072 --> 00:03:11.132]  These are property rights.
[00:03:11.152 --> 00:03:19.475]  When you have mining rights, when you have grazing rights, when you have hunting rights, these are things that are property, just as much as your home is property.
[00:03:19.815 --> 00:03:21.355]  This is the way these people make their living.
[00:03:21.395 --> 00:03:22.596]  They have a clear title.
[00:03:23.216 --> 00:03:30.258]  Yet, because there was a dispute there, it is not a paperwork dispute as they portray it in the article from the Southern Poverty Law Center.
[00:03:30.878 --> 00:03:32.279]  When they had this dispute,
[00:03:33.382 --> 00:03:40.263]  They decided they were going to just shut these guys down because they were challenged, asked why they were on the property by one of the caretakers.
[00:03:40.324 --> 00:03:41.704]  They got offended by that.
[00:03:42.544 --> 00:03:44.124]  That's what you'll see in that interview.
[00:03:44.884 --> 00:03:50.146]  And so they decided that they would just shut the whole operation down and they weren't going to let this go through the courts.
[00:03:50.206 --> 00:03:52.486]  They had a deadline of tomorrow.
[00:03:52.566 --> 00:03:56.167]  They said, shut your mind down, get out of there, get your equipment out.
[00:03:56.667 --> 00:04:00.288]  Take your buildings down and fill up the holes that have been there.
