[00:00:19.773 --> 00:00:21.896]  Welcome to the InfoWars Nightly News.
[00:00:21.936 --> 00:00:26.302]  It is Friday, February 6, 2015, and I'm Leigh-Anne McAdoo.
[00:00:32.216 --> 00:00:33.676]  Yes, it's confirmed.
[00:00:34.097 --> 00:00:42.059]  Illegal aliens now qualify to receive tax refunds, thanks to Barack Obama's new amnesty program.
[00:00:42.359 --> 00:00:48.700]  Then, a new study claims that marijuana is likely effective against depression.
[00:00:49.040 --> 00:00:50.881]  Hey bud, let's party!
[00:00:51.457 --> 00:01:04.622]  But I doubt a case of the munchies will even get you to try Michelle Obama's lunch program as students across the country are posting pictures of their disgusting cafeteria food.
[00:01:05.042 --> 00:01:09.424]  All that plus much more up next on the InfoWars Nightly News.
[00:01:16.414 --> 00:01:22.676]  Got another alarming consequence of President Obama's executive amnesty right in time for tax season.
[00:01:23.176 --> 00:01:29.499]  Yes, ladies and gentlemen, it is another loophole, another loophole in the tax code.
[00:01:29.559 --> 00:01:34.960]  It's going to allow illegal immigrants to immediately receive amnesty bonuses.
[00:01:35.341 --> 00:01:40.122]  Those with deferred status may be able to receive the earned income tax credit.
[00:01:40.702 --> 00:01:44.784]  And this is, you know, someone we're talking about who is here unlawfully, mind you, because
[00:01:45.504 --> 00:01:52.450]  Congress hasn't passed an immigration reform that the president approves of just yet, and he hasn't actually started enforcing any reform.
[00:01:52.830 --> 00:02:04.020]  So these people are still here unlawfully, but they could be able to file an amended tax return for up to the last three tax years, possibly receiving upwards of $24,000 in tax credits.
[00:02:07.583 --> 00:02:10.385]  Now this discovery was made by Eileen O'Connor.
[00:02:10.425 --> 00:02:14.247]  She's a tax lawyer and the former head of the tax division of the U.S.
[00:02:14.267 --> 00:02:15.348]  Department of Justice.
[00:02:15.888 --> 00:02:22.772]  She says the law makes a social security number a requirement of eligibility to receive the earned income credit.
[00:02:23.232 --> 00:02:32.418]  When a person receives a social security number, he can then file amended returns to claim the credit for the three preceding years during which he did not.
[00:02:33.138 --> 00:02:43.950]  And because of an old law in 1999, something was passed that would allow people to retroactively claim credits when once they receive a social security number.
[00:02:44.010 --> 00:02:49.336]  So obviously some puzzling logic there because they didn't qualify for the proceeding.
[00:02:50.237 --> 00:02:52.799]  Years, but now they will, because of this loophole.
[00:02:53.259 --> 00:02:58.883]  Senator Sasse, along with Senator Ron Johnson, have released statements regarding these amnesty bonuses.
[00:02:59.263 --> 00:03:18.077]  Basically saying, by offering illegal aliens new payments under the earned income tax credit, the IRS may encourage fraud among those who might claim children living in other countries, and the administration could blow open the doors for fraud with these amnesty bonuses of more than $24,000 to those who receive deferred actions.
[00:03:18.117 --> 00:03:18.277]  That's $24,000
[00:03:19.898 --> 00:03:20.258]  We're good.
[00:03:37.358 --> 00:03:50.147]  Now, you'll recall, we've reported on this before, but these two programs were responsible for $21 billion in improper payments, fraudulent payments, and claims in 2013 alone.
[00:03:50.527 --> 00:03:56.091]  So, of course, that's all taxpayer money that was just, whoop, oh, sorry, you didn't deserve that.
[00:03:56.211 --> 00:04:02.835]  And that just infuriates me because they also don't have to pay for the Obamacare penalty as well.
[00:04:03.215 --> 00:04:05.857]  But you can bet they'll come after you just like they did me for $100.
[00:04:07.678 --> 00:04:11.801]  But that's not the only tax fraud that you have to worry yourself with this season.
[00:04:12.301 --> 00:04:25.209]  If you file via TurboTax, they have just announced that they have done away with the ability to file eState tax returns because the company found an increase in suspicious filings.
[00:04:25.649 --> 00:04:33.851]  Basically they're seeing a lot of criminal activity where stolen personal data is used to file fake state returns with state authorities.
[00:04:34.251 --> 00:04:52.014]  This illegal act allows fraudsters to claim tax refunds from state governments and criminals are, they say the TurboTax says it's not a problem with their software but the criminals are accessing your data somewhere else and then they're using TurboTax to file and then I guess they're having those
[00:04:52.534 --> 00:04:53.055]  We're good.
[00:05:09.438 --> 00:05:12.459]  biometric database being set up for us.
