[00:00:19.659 --> 00:00:21.723]  Welcome to the Info Wars Nightly News.
[00:00:21.743 --> 00:00:23.126]  I'm your host, Jakari Jackson.
[00:00:23.467 --> 00:00:25.270]  It is October 26th, 2015, and here's a look at our top stories.
[00:00:32.279 --> 00:00:44.988]  A restaurant owner in Indiana is offering a discount to customers who bring concealed firearms into his establishment after his restaurant was robbed at gunpoint over the weekend.
[00:00:45.268 --> 00:00:53.895]  Meanwhile, Republican presidential candidate Mike Huckabee says that gun stores should disobey an Obama executive order.
[00:00:54.515 --> 00:00:58.676]  Unapologetic, complete ignoring of such an order.
[00:00:58.796 --> 00:01:12.861]  Then, the decline of the middle class continues as a new study from the Social Security Administration shows that one out of every two working Americans makes less than $30,000 a year.
[00:01:13.161 --> 00:01:20.083]  And a school in Washington State has threatened to fire their football coach for post-game prayers.
[00:01:20.604 --> 00:01:24.664]  All that plus much more up next on the InfoWars Nightly News.
[00:01:33.908 --> 00:01:43.290]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:01:43.630 --> 00:01:46.190]  All of our children are hit with modern mind control.
[00:01:46.330 --> 00:01:49.671]  Television, music, fast food, GMOs, sugars, you name it.
[00:01:49.891 --> 00:01:55.913]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:01:56.213 --> 00:02:01.054]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:02:01.354 --> 00:02:07.518]  Working with my team we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:02:07.718 --> 00:02:15.203]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:02:15.463 --> 00:02:22.728]  Introducing Child Ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:02:23.029 --> 00:02:26.471]  Obtain your Child Ease today at InfoWarsLife.com.
[00:02:26.611 --> 00:02:29.553]  That's Child Ease exclusively at InfoWarsLife.com.
[00:02:32.415 --> 00:02:44.028]  You know, it was a couple years ago, myself and the crew, we went down to the city of San Antonio because people had been cited, you know, harassed for open carrying their rifles and their pistols.
[00:02:44.628 --> 00:02:50.573]  But, you know, in today's society, people are actually somewhat relieved when they know people are caring in their establishments.
[00:02:50.913 --> 00:02:52.114]  And this is one such case.
[00:02:52.134 --> 00:02:56.818]  A restaurant offers a discount to concealed carry patrons following a robbery.
[00:02:57.179 --> 00:03:05.686]  And this is Papa Roo owner Ard Bouvier, announced on Facebook Saturday night that an armed robber had walked in, threatened his employees and stolen money.
[00:03:06.406 --> 00:03:16.412]  After the thief had made off with the money, the owner took to Facebook to announce that, until further notice, your concealed carry license earns you 25% off your meal when you dine in.
[00:03:16.973 --> 00:03:23.476]  And he responded to critics by saying, my restaurant, my wall, my business, I can give discounts to whomever I please.
[00:03:23.817 --> 00:03:30.481]  And that's exactly right, because there are many establishments that will bar you from having a handgun, whether it's concealed or open.
[00:03:30.861 --> 00:03:34.083]  But some places, such as this restaurant, they welcome that.
[00:03:34.403 --> 00:03:41.248]  And you'll see a lot of times police officers, they may frequent a restaurant or a gas station where they may get a free cup of coffee.
[00:03:41.268 --> 00:03:42.108]  And why do they do this?
[00:03:42.509 --> 00:03:50.454]  Because, yeah, they get the free cup, but also the people who work in the store, they feel better knowing that an officer is there and they come by on a routine basis.
[00:03:50.494 --> 00:03:53.296]  You know, and if that's the price of coffee, that's not a big deal to them.
[00:03:53.356 --> 00:03:54.197]  It's the same thing here.
[00:03:54.537 --> 00:03:55.558]  They want people to know
[00:03:56.078 --> 00:03:56.338]  I think so.
[00:04:18.607 --> 00:04:26.035]  And just that alone is a huge deterrent for a lot of would-be offenders, a lot of people who would go there and try to kick up dust and so forth.
[00:04:26.455 --> 00:04:30.579]  And people understand this, so that's why you see more and more of these things happening more often.
[00:04:31.020 --> 00:04:34.804]  And now, speaking on another aspect of the gun debate, we now have Mike Huckabee.
[00:04:35.144 --> 00:04:38.468]  He says gun stores should disobey an Obama executive order.
[00:04:38.908 --> 00:04:42.829]  We continue to see the President coming out saying that he wants to ban this, he wants to ban that.
[00:04:43.170 --> 00:04:46.551]  And I continually run into people who keep saying, you guys are Republicans.
[00:04:46.571 --> 00:04:48.071]  Well, number one, I'm not a Republican.
[00:04:48.091 --> 00:04:52.093]  But let's say, you Republicans keep saying that Obama's been trying to take away your guns.
[00:04:52.113 --> 00:04:53.393]  He's been in office for years now.
[00:04:53.734 --> 00:04:55.754]  He hasn't taken away anybody's firearms.
[00:04:56.074 --> 00:04:59.716]  Well, probably because he's given them to Mexican drug cartels, but that's another story.
[00:05:00.816 --> 00:05:04.659]  But trying and failing to do something is still trying to do it.
[00:05:04.920 --> 00:05:14.047]  Just like if you run track and field and you do the pole vault, and you run up and you smack the bar and it falls down and you don't make it, you don't get the gold medal, you don't even get bronze, you still tried and failed.
[00:05:14.367 --> 00:05:27.277]  So when Obama comes out here with, I want to ban this, and he says in the debates with Mitt Romney, he wants to ban AK-47s, AK-47s should be in the hands of soldiers, not in the hands of criminals, which I do agree they should not be in the hands of criminals, but you can't
[00:05:27.617 --> 00:05:28.017]  That's right.
[00:05:50.305 --> 00:05:50.685]  I think so.
[00:06:12.333 --> 00:06:32.406]  That's right, because if you go to many gun shops, I've been to multiple ones, where they have a picture of Obama and it says, Gun Salesman of the Year, or, you know, thanks Obama, you know, because every time he comes out and threatens something, whether it's sanctions on AK-47s, you hear people talk about the Bushmasters or whatever else they want to sue Bushmaster, and all this other silliness, what happens?
[00:06:32.426 --> 00:06:35.828]  The gun sales go through the roofs, because people understand that
[00:06:36.408 --> 00:06:39.992]  Passing laws is not going to stop people from doing horrible things.
[00:06:40.333 --> 00:06:44.297]  Just like you go back to the Old Testament, people used to kill each other with rocks and bricks.
[00:06:44.337 --> 00:06:45.359]  And what happened last week?
[00:06:45.719 --> 00:06:48.843]  A guy went into a church and tried to kill a pastor with a rock and a brick.
[00:06:49.243 --> 00:06:52.347]  You know, the human nature of violence has not changed.
[00:06:52.367 --> 00:06:54.710]  The human nature of ill intent has not changed.
[00:06:54.730 --> 00:06:55.411]  Just the tools.
[00:06:55.911 --> 00:06:56.552]  I don't know.
[00:07:16.331 --> 00:07:20.074]  And that's one of the big no-no's for a lot of people or for the anti-gun groups.
[00:07:20.374 --> 00:07:23.056]  They say, well, if somebody has a gun, I want to hear them shooting at me.
[00:07:23.436 --> 00:07:26.739]  Well, number one, if the guy's a good shot, you're not going to hear a damn thing in the first place.
[00:07:27.159 --> 00:07:32.583]  But beyond that, you know, don't you want to have people who are fully aware of their surroundings and so forth?
[00:07:32.924 --> 00:07:34.765]  Just like that's one of the big criticisms.
[00:07:35.085 --> 00:07:38.248]  If somebody pulls out a gun, it's not a police officer or military personnel.
[00:07:38.688 --> 00:07:42.131]  They don't have confidence in that person's ability to hit the target.
[00:07:42.211 --> 00:07:43.192]  So if a guy
[00:07:43.812 --> 00:07:56.377]  If I'm in a restaurant, whatever, some concealed carrier pulls out his firearm, I want him to have all senses available to him to be able to accurately pinpoint his target so he can hear if somebody is walking by and may walk into a shot.
[00:07:56.657 --> 00:08:00.099]  Don't you want somebody who's fully capable to react to all this type of situations?
[00:08:00.159 --> 00:08:03.240]  But I guess that just makes too much sense for some people.
[00:08:04.286 --> 00:08:13.394]  And now, talking about making sense, we've put, I don't know the hard numbers, but many, many people into prison, non-violent drug offenders.
