[00:00:00.596 --> 00:00:03.213]  You're listening to The Alex Jones Show.
[00:00:16.007 --> 00:00:16.627]  Big Brother.
[00:00:17.307 --> 00:00:18.327]  Mainstream media.
[00:00:19.068 --> 00:00:20.148]  Government cover-ups.
[00:00:20.828 --> 00:00:21.628]  You want answers?
[00:00:22.408 --> 00:00:23.308]  Well, so does he.
[00:00:23.328 --> 00:00:27.609]  He's Alex Jones on the GCN Radio Network.
[00:00:28.149 --> 00:00:32.230]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.190 --> 00:00:39.732]  It is another massive transmission lined up today on this Friday broadcast, already the 6th day of November, 2015.
[00:00:42.981 --> 00:00:47.749]  And we're gonna break it all down when we kick off the main transmission at the start of the next segment.
[00:00:47.769 --> 00:00:50.454]  But John Bowne reports on some of the victories we're having.
[00:00:51.724 --> 00:00:53.566]  The sleeping giant has awakened.
[00:00:54.046 --> 00:01:01.392]  The days of bullying the average American with bleeding-heart liberal socialist lunacy appears to have run its course.
[00:01:01.892 --> 00:01:10.699]  Voters nationwide rallied to send a clear message to President Obama's administration and Hillary Clinton's campaign of left-field criminal madness.
[00:01:10.820 --> 00:01:13.662]  You know, our Constitution is being shredded.
[00:01:14.002 --> 00:01:16.164]  We know about the secret wiretaps.
[00:01:16.344 --> 00:01:21.068]  We know about the secret military tribunals, the secret White House email accounts.
[00:01:21.348 --> 00:01:27.653]  An overwhelming majority of Americans reject their policies and phony egalitarian rhetoric.
[00:01:28.153 --> 00:01:41.523]  Houston, Texas voters put an end to Houston Mayor Anise Parker's moronic ordinance that subjected businesses with $5,000 fines for not allowing men dressed as women to prowl women's restrooms.
[00:01:42.083 --> 00:01:47.245]  An ordinance putting women and children in danger, all in the name of gender discrimination.
[00:01:47.705 --> 00:01:49.826]  Flatly defying common sense.
[00:01:49.846 --> 00:01:57.108]  In a shocking discovery, the University of Toronto recently found that allowing gender neutral bathrooms increased the rate of voyeurism.
[00:01:57.708 --> 00:02:00.029]  Or to use the more common English, peeping.
[00:02:00.849 --> 00:02:03.250]  Also known as being a sicko and a pervert.
[00:02:04.428 --> 00:02:17.074]  First of all, this was a team effort of everyone up here, of every church, of every citizen who understands common decency and common sense.
