[00:00:12.373 --> 00:00:13.954]  Welcome, children.
[00:00:14.054 --> 00:00:25.457]  Welcome to the newest, trendy, liberal program brought to you by the liberal, trendy establishment media.
[00:00:27.458 --> 00:00:41.262]  You know who's coming out of the closet now, with federal judges ruling on it and saying it's good all over the world, and writersforsalon.com telling you it's time to love the pedophile?
[00:00:42.426 --> 00:00:43.086]  I just said it.
[00:00:43.106 --> 00:00:46.067]  It's all about a sexual preference.
[00:00:47.047 --> 00:00:50.208]  When we grab your kid out of the back of the yard.
[00:00:50.909 --> 00:00:52.309]  We teach them how to love.
[00:00:54.070 --> 00:00:57.211]  And it's alright with our preference that you belong to us.
[00:00:59.151 --> 00:01:01.092]  Just like Melissa Harris Perry said.
[00:01:02.031 --> 00:01:03.873]  Your kids don't belong to you.
[00:01:03.993 --> 00:01:05.054]  They belong to the state.
[00:01:05.494 --> 00:01:13.241]  Part of it is we have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:01:14.021 --> 00:01:15.943]  And the people that make up the state like me.
[00:01:17.624 --> 00:01:20.487]  So now it's time for you to learn it's an act of domination.
[00:01:21.408 --> 00:01:22.489]  An act of control.
[00:01:23.910 --> 00:01:26.552]  We're not just gonna sexually abuse your children.
[00:01:27.693 --> 00:01:29.295]  We're gonna forcibly inoculate them.
[00:01:30.253 --> 00:01:41.137]  We're deadly pathogens known to brain damage and we're gonna rape their brains, rape their minds, and make you take care of them for decades when they're autistic, wearing diapers, crying at night!
[00:01:41.977 --> 00:01:43.357]  Because that's what we like to do!
[00:01:44.198 --> 00:01:47.779]  And you're so weak and pathetic, you'll do whatever we tell you.
[00:01:48.819 --> 00:01:50.019]  So now I'm coming right out.
[00:01:50.039 --> 00:01:54.621]  I don't have a message to the parents out there, I have a message to the children.
[00:01:56.687 --> 00:01:59.148]  You belong to the state and Big Pharma.
[00:01:59.928 --> 00:02:03.929]  You belong to the cult of the PBP.
[00:02:04.309 --> 00:02:05.650]  The Potbelly Pedophile.
[00:02:06.610 --> 00:02:07.890]  We're going to take good care of you.
[00:02:07.910 --> 00:02:10.171]  Let me show you where you're going to be living now.
[00:02:10.671 --> 00:02:12.132]  Once the state takes you away.
[00:02:13.392 --> 00:02:15.593]  Once the state teaches you how to enjoy yourself.
[00:02:15.633 --> 00:02:15.993]  Come on in.
[00:02:17.270 --> 00:02:21.953]  You think Sandusky, you think the Catholic Church with the pedophiles is isolated?
[00:02:22.413 --> 00:02:23.294]  It's system-wide.
[00:02:23.334 --> 00:02:25.595]  We control this country and the world now.
[00:02:25.795 --> 00:02:27.697]  And your children belong to us.
