[00:00:12.948 --> 00:00:18.071]  Our universe might be a Matrix-like computer game designed by aliens.
[00:00:19.051 --> 00:00:28.097]  Now, this was a theory that was first proposed by a British philosopher, Nick Bostrom, just a few years after the Matrix film was released.
[00:00:28.457 --> 00:00:31.118]  So, of course he could have been influenced by the film, who knows.
[00:00:31.678 --> 00:00:39.380]  But in his paper, Dr. Bostrom suggests that a race of far-evolved descendants could be behind our digital imprisonment.
[00:00:39.581 --> 00:00:47.323]  These futuristic beings, whether they be human or otherwise, could be using virtual reality to stimulate a time in the past
[00:00:47.843 --> 00:00:51.046]  Or trying to recreate how their remote ancestors lived.
[00:00:51.507 --> 00:00:56.431]  So, I know that might sound crazy, but NASA actually thinks that he could be right.
[00:00:56.992 --> 00:00:58.874]  Now, this is according to Rich Terrell.
[00:00:59.014 --> 00:01:06.201]  He is the director of the Center for Evolutionary Computation and Automated Design at NASA's Jet Propulsion Laboratory.
[00:01:06.581 --> 00:01:12.327]  He says that in quantum mechanics, particles do not have a definite state unless they're being observed.
[00:01:12.987 --> 00:01:18.876]  One explanation is that we're living within a simulation seeing what we need to see when we need to see it.
[00:01:19.256 --> 00:01:28.290]  And he said he still finds it inspiring that even if we are living in some sort of a simulation or many orders of magnitude down in levels of simulation,
[00:01:28.810 --> 00:01:36.692]  Somewhere along the way something escaped the primordial ooze to become us and to result in simulations that made us.
[00:01:37.292 --> 00:01:39.032]  And so he thinks that that's cool.
[00:01:39.693 --> 00:01:43.853]  Well I don't want to go into too deep of what that might possibly be.
[00:01:44.214 --> 00:01:50.335]  David Icke was actually on the Alex Jones Show and talked a little bit about what might be behind this digital enslavement.
[00:01:51.075 --> 00:01:54.696]  But if you think that virtual reality and living in a simulation
[00:01:55.356 --> 00:01:55.676]  I think?
[00:02:14.315 --> 00:02:26.343]  And PBS Nova says, with the entire internet and thousands of databases for a brain, the device will be able to respond almost instantaneously to complex questions posed by intelligence analysts.
