[00:00:00.009 --> 00:00:02.970]  Infowarslife.com or call 888-253-3139.
[00:00:04.931 --> 00:00:26.579]  You are watching the Infowars Nightly News, which airs... We now take you live to the Central Texas Command Center, in the heart of the Resistance.
[00:00:27.947 --> 00:00:30.192]  Rallying patriots worldwide.
[00:00:34.340 --> 00:00:37.045]  You're listening to the Alex Jones Show.
[00:00:41.812 --> 00:00:45.516]  Welcome to the Alex Jones Show on this Sunday, September 20th, 2015.
[00:00:46.577 --> 00:00:47.918]  I'm David Knight, your host.
[00:00:48.599 --> 00:00:51.321]  We are overwhelmed with your support today.
[00:00:52.102 --> 00:00:54.885]  We have an article that's up on FOWars.com.
[00:00:55.065 --> 00:00:57.327]  Anti-Globalist Network launches worldwide.
[00:00:57.367 --> 00:00:58.548]  That's thanks to your support.
[00:00:59.309 --> 00:01:04.510]  We had our money bomb this week, and I guess it was, well, it was about midday yesterday.
[00:01:05.170 --> 00:01:06.650]  We hit the million dollar mark.
[00:01:06.791 --> 00:01:08.331]  Thank you so much for your support.
[00:01:09.131 --> 00:01:14.792]  To thank you, we've extended the free shipping and the specials till tonight at midnight.
[00:01:14.872 --> 00:01:17.693]  But thank you so much for helping to support this operation.
[00:01:17.713 --> 00:01:20.033]  Of course, it's a leap of faith to expand.
[00:01:20.373 --> 00:01:24.314]  Anytime you have a business, this is a major financial commitment.
[00:01:24.774 --> 00:01:31.141]  It requires an investment in new equipment as well as massive operating expenses each month.
[00:01:31.201 --> 00:01:34.525]  We needed your help to get to that level so that we could.
[00:01:34.905 --> 00:01:42.914]  The next part of this game of course is getting stations to sign up on this free-to-air process and the instructions on how to do that where you can help us.
[00:01:42.954 --> 00:01:43.674]  It doesn't require
[00:01:44.335 --> 00:01:48.998]  Any money, it just requires some of your time to help us get these stations on board.
[00:01:49.018 --> 00:01:50.519]  Of course, it's going to be offered free to air.
[00:01:50.939 --> 00:01:59.284]  We'll have some of our commercials, they'll put some of their commercials on, but they need to know that there's interest, that there's an audience there in order for this to get started.
[00:01:59.784 --> 00:02:05.628]  We have no doubt in our minds, and I don't believe that you do either as a listener, that we can
[00:02:06.708 --> 00:02:08.269]  Do well once we get on these stations.
[00:02:08.349 --> 00:02:18.297]  We know from past experience when Alex went to Orlando, he immediately shot to the number one position leapfrogging Rush Limbaugh in that market.
[00:02:19.349 --> 00:02:24.674]  That happened for a few months, and it scared the system so much that that station was sold.
[00:02:25.415 --> 00:02:28.318]  That's happened a number of times, as Alex joked.
[00:02:28.358 --> 00:02:37.607]  If you want to sell your station for a huge profit, just put him on there against Rush Limbaugh, and the system will buy you out and convert it to another format.
[00:02:37.908 --> 00:02:39.209]  We saw that happen a number of times.
[00:02:40.750 --> 00:02:44.073]  We can compete in this free market of ideas.
[00:02:44.874 --> 00:02:52.559]  We are telling something that is very different in our analysis than you're hearing in the mainstream media, than you're hearing in conservative talk radio.
[00:02:52.660 --> 00:02:57.143]  It's a very different understanding, different issues that we're taking a look at.
[00:02:57.243 --> 00:02:59.245]  Here's some of those issues that we're going to be talking about today.
[00:02:59.265 --> 00:03:01.586]  Of course, we're going to look at the top candidates.
[00:03:01.606 --> 00:03:04.549]  There's been a lot of developments in the last couple of days on the GOP side.
[00:03:05.209 --> 00:03:15.235]  We've had the back and forth with Donald Trump not defending Obama when somebody made a statement about him and the press getting all bent out of shape about it.
[00:03:15.255 --> 00:03:19.077]  And he rightly said, it's not my responsibility to defend Obama.
[00:03:19.117 --> 00:03:26.921]  And of course, if somebody said something negative about me, about Donald Trump, he said, I'm sure that Obama would not feel that it was his responsibility to defend me.
[00:03:27.041 --> 00:03:27.661]  Absolutely right.
