[00:00:19.639 --> 00:00:21.280]  Welcome to Namfo Wars Nightly News.
[00:00:21.380 --> 00:00:22.061]  I'm David Knight.
[00:00:22.161 --> 00:00:23.182]  It's Monday, October 12, 2015.
[00:00:24.723 --> 00:00:25.924]  Here are our top stories.
[00:00:29.066 --> 00:00:44.659]  Tonight, a huge protest underway in Berlin as 250,000 people march against the TTIP, a trade deal between the US and the European Union that critics say will benefit the large corporations.
[00:00:45.279 --> 00:00:53.361]  Then, the UN says that Europe and the United States must take more refugees and get rid of sovereignty.
[00:00:53.641 --> 00:00:59.202]  Plus, an update on last week's attack against Doctors Without Borders in Afghanistan.
[00:00:59.402 --> 00:01:05.824]  The Pentagon says it will pay money to the victims' families, but will not provide details of the bombing.
[00:01:06.224 --> 00:01:10.568]  And a former intelligence analyst says what we've been saying all along.
[00:01:10.909 --> 00:01:15.653]  Political correctness is a manipulative tool for centralizing power.
[00:01:15.974 --> 00:01:16.594]  Yeah, you think?
[00:01:17.055 --> 00:01:21.039]  All that plus much more up next on the InfoWars Nightly News.
[00:01:33.905 --> 00:01:43.288]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:01:43.628 --> 00:01:46.189]  All of our children are hit with modern mind control.
[00:01:46.209 --> 00:01:49.670]  Television, music, fast food, GMOs, sugars, you name it.
[00:01:49.890 --> 00:01:55.912]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:01:56.212 --> 00:02:01.054]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:02:01.354 --> 00:02:07.518]  Working with my team we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:02:07.718 --> 00:02:15.203]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:02:15.463 --> 00:02:22.728]  Introducing Child Ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:02:23.029 --> 00:02:26.471]  Obtain your Child Ease today at InfoWarsLife.com.
[00:02:26.611 --> 00:02:29.553]  That's Child Ease exclusively at InfoWarsLife.com.
[00:02:33.375 --> 00:02:41.299]  Well, today is Columbus Day, and we see a movement afoot to get rid of Columbus Day and replace it by Indigenous Peoples Day.
[00:02:41.339 --> 00:02:45.841]  Now, I'm not going to defend Christopher Columbus as an individual.
[00:02:45.881 --> 00:02:48.542]  We need to move beyond simplistic hagiographies.
[00:02:49.082 --> 00:02:50.703]  Every individual, every culture
[00:02:51.263 --> 00:02:53.925]  Has good spots and dark spots.
[00:02:54.446 --> 00:02:57.188]  And that's what we're going to look at today in this segment.
[00:02:57.208 --> 00:03:04.175]  We're going to look at both sides of this issue and see if there isn't a way that we can reach common ground on individual liberty.
[00:03:04.195 --> 00:03:08.378]  We're going to look at what the right says about, or conservatives we should say, about Christopher Columbus.
[00:03:08.398 --> 00:03:12.422]  We're going to look at what Russell Means said about Christopher Columbus.
[00:03:12.522 --> 00:03:16.305]  And we're going to look at where they can find common ground because what we're seeing right now.
[00:03:16.946 --> 00:03:25.529]  Throughout Europe and also in America, we're seeing multiculturalism, true multiculturalism, being destroyed in the name of multiculturalism.
[00:03:25.869 --> 00:03:29.631]  We're seeing a new kind of neocolonialism that's being reenacted.
[00:03:29.891 --> 00:03:39.915]  We're seeing what quite possibly could be a transatlantic slave trade agreement that is similar to the transatlantic slave trade.
[00:03:40.695 --> 00:03:40.915]  And it's
[00:03:56.483 --> 00:04:00.345]  In those nine cities, eight of those cities passed resolutions in just the last two months.
[00:04:00.365 --> 00:04:02.267]  So this is something that's accelerating quite a bit.
[00:04:02.787 --> 00:04:07.330]  They noted 500 years of Indian resistance since the arrival of Christopher Columbus.
[00:04:07.630 --> 00:04:14.974]  Now, they try to say that this isn't an anti-Columbus Day, but it is a positive celebration of indigenous peoples' culture.
[00:04:15.434 --> 00:04:18.316]  You know, it just happens to happen on Columbus Day.
[00:04:18.596 --> 00:04:24.380]  And they point out that there's been a long history here in the United States of colonialization, of genocide, of slavery.
[00:04:24.980 --> 00:04:27.761]  Well, you know, that was true before Europeans even came here.
[00:04:27.821 --> 00:04:29.162]  That's part of the issue.
[00:04:29.802 --> 00:04:35.244]  And I think we should remember what Russell Means said when he talked about, you know, we look at indigenous people and everything.
[00:04:35.284 --> 00:04:38.026]  I consider myself to be a Native American.
[00:04:38.366 --> 00:04:42.467]  I have family that goes back for several hundred years that I would say I'm a Native American.
[00:04:42.768 --> 00:04:44.208]  And Russell Means was sensitive to that.
[00:04:44.228 --> 00:04:50.731]  He said, that's why I call it the American Indian movement, to distinguish between the people who were here and the people who came as settlers.
[00:04:50.791 --> 00:04:52.492]  But I think we need to unify on
