[00:00:19.773 --> 00:00:20.613]  Good evening, everyone.
[00:00:20.653 --> 00:00:22.634]  Welcome to the InfoWars Nightly News.
[00:00:22.774 --> 00:00:23.815]  I'm Darren McBreen.
[00:00:23.915 --> 00:00:29.457]  It is Thursday, February 19th, 2015, and here's a quick look at what's coming up.
[00:00:32.118 --> 00:00:35.699]  Tonight, Ron Paul says the U.S.
[00:00:35.739 --> 00:00:39.281]  has been lauded as an excuse to invade other countries.
[00:00:40.241 --> 00:00:42.802]  And the origins of ISIS explained.
[00:00:43.162 --> 00:00:46.844]  That's next on the InfoWars Nightly News.
[00:00:48.516 --> 00:00:50.998]  And don't tell me that I'm a weirdo because I'm upset about this.
[00:00:51.118 --> 00:00:53.220]  I'm just sick of dishonorable trash!
[00:00:53.240 --> 00:00:56.583]  Supreme Cobra Commander!
[00:00:56.643 --> 00:00:57.484]  You're failures!
[00:00:57.504 --> 00:00:59.866]  You think I'd sell my family out like you done nothing!
[00:01:00.882 --> 00:01:09.988]  Well, former Senator and presidential candidate Ron Paul is once again making headlines, this time for his recent comments regarding the U.S.
[00:01:10.108 --> 00:01:16.552]  government's response, or lack thereof, to the September 11th terror attacks back in 2001.
[00:01:17.252 --> 00:01:28.980]  Ron Paul said in a radio interview published by BuzzFeed that the United States used Bin Laden as an excuse to build up its military and invade other countries.
[00:01:29.640 --> 00:01:31.921]  They knew where Bin Laden was.
[00:01:32.461 --> 00:01:40.445]  I don't think they really wanted to catch him because he was used as the excuse for us, you know, invading various countries and building up the military.
[00:01:40.465 --> 00:01:41.525]  Well, you can't argue with that.
[00:01:41.746 --> 00:01:44.387]  I definitely agree with what Ron Paul said right there.
[00:01:44.427 --> 00:01:53.531]  And don't forget that there's been all kinds of whistleblowers and insiders who have come forward and said that Osama Bin Laden was already dead.
[00:01:53.551 --> 00:01:55.652]  And we're talking a long time ago.
[00:01:56.192 --> 00:01:57.133]  Way before the U.S.
[00:01:57.174 --> 00:02:01.379]  government claimed to have raided the Bin Laden compound and killed him back in 2011.
[00:02:02.961 --> 00:02:05.224]  That was a total fabrication.
[00:02:05.425 --> 00:02:06.586]  Don't believe the hype.
[00:02:07.622 --> 00:02:08.422]  I mean, think about it.
[00:02:08.943 --> 00:02:17.567]  The number one international terrorist in the world is captured and killed, yet there are no photographs of his body proving that he's dead.
[00:02:17.988 --> 00:02:23.191]  And for some unexplained reason, they actually tossed his body into the ocean.
[00:02:23.511 --> 00:02:24.531]  I mean, it makes no sense.
[00:02:25.092 --> 00:02:27.553]  We're not the only ones who find this suspicious.
[00:02:27.993 --> 00:02:34.957]  Seymour Hersh, for example, the Pulitzer Prize winning journalist, said the raid which killed Osama Bin Laden in 2011
[00:02:36.838 --> 00:02:38.398]  Is one big lie!
[00:02:39.519 --> 00:02:42.079]  He also said that the mainstream media in the U.S.
[00:02:42.199 --> 00:02:47.001]  is pathetic for failing to challenge the White House about the Bin Laden raid.
[00:02:47.341 --> 00:02:49.021]  Well, you can say that again.
[00:02:49.061 --> 00:02:51.242]  We also heard from Dr. Steve Pachinik.
