[00:00:00.029 --> 00:00:01.572]  The Alex Jones Show.
[00:00:13.942 --> 00:00:18.124]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.764 --> 00:00:19.565]  You want answers?
[00:00:20.345 --> 00:00:21.265]  Well, so does he.
[00:00:21.886 --> 00:00:25.527]  He's Alex Jones on the GCN Radio Network.
[00:00:26.088 --> 00:00:30.150]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.592 --> 00:00:36.837]  Well, my friends, it's already the 15th day of January.
[00:00:36.857 --> 00:00:39.380]  We're already halfway into the first month of 2015.
[00:00:40.461 --> 00:00:50.713]  I'm your host, Alex Jones, and I've been procrastinating, busy with documentary filmmaking, the nightly news, the radio show, family issues, you name it.
[00:00:51.494 --> 00:01:03.457]  In the last year that our new studio has been pretty much finished, and that we've been hosting the nightly news out of for about six months, to start segueing out of the old little studio that's going to be a voiceover room.
[00:01:04.423 --> 00:01:04.963]  In the future.
[00:01:04.983 --> 00:01:07.065]  In a backup studio.
[00:01:08.005 --> 00:01:09.106]  Into the new studio.
[00:01:09.386 --> 00:01:12.007]  But we are in the new TV studio.
[00:01:12.468 --> 00:01:23.654]  If you're a radio listener, you go to InfoWars.com forward slash show or PrisonPlanet.tv members also have the higher def feed and we'll get the commercial free podcast later today.
[00:01:24.034 --> 00:01:28.197]  You'll be able to see it all there at PrisonPlanet.tv as well.
[00:01:28.991 --> 00:01:35.125]  And of course, we're not really presenting this in television, so you get to look at yours truly.
[00:01:36.141 --> 00:01:37.761]  I need to actually pay you to do that.
[00:01:37.781 --> 00:01:38.541]  I understand that.
[00:01:39.062 --> 00:01:40.882]  I think I've got a face for radio sometimes.
[00:01:41.662 --> 00:01:45.623]  But the reason we are television is we can show you video clips.
[00:01:46.023 --> 00:01:47.543]  We can show you the news articles.
[00:01:47.923 --> 00:01:49.324]  We can show you the documents.
[00:01:49.744 --> 00:01:51.544]  We can have our guests in studio.
[00:01:52.664 --> 00:01:59.826]  And you can get a chance to basically add several layers of informational awareness to that.
[00:02:00.266 --> 00:02:01.846]  And I know that goes without saying.
[00:02:03.197 --> 00:02:15.887]  Infowars.com, going back more than 10 years ago, pioneered not just having a webcam that I've had since 1997, when Limbaugh and other folks started doing them as well.
[00:02:16.327 --> 00:02:18.869]  We are trailblazers when it comes to adding video to radio.
[00:02:20.165 --> 00:02:22.326]  Folks say, I watch you on the radio.
[00:02:22.366 --> 00:02:24.047]  People say, what do you mean we watch?
