[00:00:19.571 --> 00:00:21.491]  Welcome to the InfoWars Nightly News.
[00:00:21.551 --> 00:00:25.372]  It is Tuesday, June 9th, 2015, and I'm Leanne McAdoo.
[00:00:25.432 --> 00:00:27.113]  Here's a look at tonight's stories.
[00:00:30.013 --> 00:00:34.994]  Tonight, Dr. Kissinger and I have talked for a long time about the future of the world.
[00:00:35.494 --> 00:00:36.834]  Oh, I bet they have.
[00:00:37.235 --> 00:00:42.156]  Protected by thousands of police, their private conversations are about to resume at Bilderberg 2015.
[00:00:43.996 --> 00:00:49.137]  And what directed energy weapon system would be complete without science fiction sound effects?
[00:00:50.942 --> 00:00:54.039]  All that and more on tonight's InfoWars Nightly News.
[00:00:59.517 --> 00:01:09.647]  Well, we are just days away from the official start of the Bilderberg Conference 2015, where the world's elite are going to gather to plot the future.
[00:01:10.227 --> 00:01:18.135]  Now, considering we are the only media outlet in the Western Hemisphere that's going to tell you anything about the Bilderberg Group, we're going to be covering it heavily this week.
[00:01:18.275 --> 00:01:23.380]  Our reporters are there, once again, on the ground, going to try and bring you any intel that we can.
[00:01:24.040 --> 00:01:38.088]  But you've got to look to sites like RT.com or The Independent or The Guardian to even get any minuscule reporting on what's happening there, even though this is like the world's most powerful people meeting in secret.
[00:01:38.609 --> 00:01:41.110]  Now this is at the top of drudge right now.
[00:01:41.170 --> 00:01:43.372]  You'll find this at The Independent.
[00:01:43.452 --> 00:01:49.655]  They're saying four things we know about the secret of Bilderberg Group and one thing we'll never know.
[00:01:50.136 --> 00:01:51.917]  So we know where the meetings are held.
[00:01:52.597 --> 00:01:59.619]  We know who attends them, we know what's on the agenda, and we know they take security very seriously.
[00:02:00.119 --> 00:02:03.800]  We've had plenty of videos showing just how seriously they take it year after year.
[00:02:04.360 --> 00:02:06.761]  But they say we'll never know what was said.
[00:02:07.341 --> 00:02:12.322]  People who attend the events don't, as a rule, talk about the specifics of what was discussed.
[00:02:12.783 --> 00:02:17.704]  This includes politicians whose job it is to represent their constituents.
[00:02:18.224 --> 00:02:29.608]  And then they just go on to regurgitate the Bilderberg press release, which just reiterates the fact that there are no minutes taken, no reports are made, no conclusions reached, no votes are taken.
[00:02:30.208 --> 00:02:35.989]  We know it's just a bunch of the world's most powerful people sitting around and having a polite conversation.
[00:02:36.390 --> 00:02:36.650]  Right?
[00:02:37.250 --> 00:02:37.450]  Right.
[00:02:37.990 --> 00:02:39.771]  So we're going to give you a little flashback.
[00:02:40.051 --> 00:02:55.035]  This was from 2010, and it's from a former NATO security general as well as a Bilderberg attendee, and he spilled the beans a little bit to a radio station, saying, Bilderberg decides the world's political and economic policies.
[00:02:55.455 --> 00:02:56.976]  Surprise, surprise!
[00:02:57.016 --> 00:03:04.878]  Just because they're not taking votes or minutes, they are actively discussing what is going on in the world and what they have planned going forward.
[00:03:05.538 --> 00:03:05.899]  I think so.
[00:03:20.595 --> 00:03:21.375]  I don't
[00:03:37.921 --> 00:03:47.828]  Now he clays also goes on to say that the participants are then obviously considered to use this report in setting their policies in the environments in which they affect.
