[00:00:08.986 --> 00:00:13.368]  I know that we portray Islam and all Muslims as bad.
[00:00:13.628 --> 00:00:15.368]  And I don't see them represented here.
[00:00:15.568 --> 00:00:18.349]  There are 1.2 billion Muslims in the world today.
[00:00:18.630 --> 00:00:20.650]  Of course not all of them are radicals.
[00:00:20.710 --> 00:00:22.651]  The majority of them are peaceful people.
[00:00:23.111 --> 00:00:31.854]  The radicals are estimated to be between 15 to 25% according to all intelligence services around the world.
[00:00:32.314 --> 00:00:34.015]  That leaves 75% of them peaceful people.
[00:00:36.536 --> 00:00:47.986]  But when you look at 15 to 25% of the world Muslim population, you're looking at 180 million to 300 million people dedicated to the destruction of Western civilization.
[00:00:48.006 --> 00:00:50.468]  UK, go to hell!
[00:00:50.508 --> 00:00:52.049]  British police, go to hell!
[00:00:52.129 --> 00:00:53.731]  British police, go to hell!
[00:00:53.951 --> 00:00:57.412]  Just look at these kids, they're throwing stones at people coming out of this celebration.
[00:00:57.692 --> 00:01:06.896]  They're welcomed into France, they're given all the benefits of living in a very civilized, beautiful country like France, and people are simply coming out of a Catholic church, and Muslim teens are throwing stones at them.
[00:01:07.136 --> 00:01:12.018]  A group calling itself the Muslim Youth Project runs regular events for young children.
[00:01:12.378 --> 00:01:17.540]  In this one held late last year, the boys rally under the banner, Soldiers of Khilafah.
[00:01:17.800 --> 00:01:21.441]  The six-year-old proclaiming... You're never too young to be a soldier!
[00:01:23.153 --> 00:01:26.890]  And promise to die fighting to end democracy in Australia.
[00:01:27.984 --> 00:01:36.051]  Stoning for adultery, amputations for theft, death for apostates, and second-class status for Christians and Jews.
[00:01:36.612 --> 00:01:44.159]  This is life under Sharia law, the Islamic system practiced in countries like Iran, Saudi Arabia, and Great Britain.
[00:01:44.679 --> 00:01:46.060]  Yes, Great Britain.
[00:01:46.261 --> 00:01:53.967]  York County Sheriff Bruce Bryant is talking about this 34-acre site called Islamville, a self-contained Islamic community.
[00:01:54.688 --> 00:01:59.770]  All of the residents here accept this man as their ultimate leader, Sheikh Mubarak Ali Jalani.
[00:01:59.930 --> 00:02:07.813]  The report also says Jalani is the leader of seven covert paramilitary training compounds in the U.S., with one of those in York County.
[00:02:08.093 --> 00:02:14.975]  According to the 2006 law enforcement report, Jalani opened his compounds near significant infrastructure targets.
[00:02:15.696 --> 00:02:19.277]  Islamville is less than five miles away from the Catawba nuclear facility.
[00:02:19.417 --> 00:02:27.160]  The thing else that Muslim immigration appears to have brought to Norway is what some here call a rape epidemic.
[00:02:48.889 --> 00:02:57.976]  Recent police statistics showed that in the capital of Oslo, 100% of assault rapes between strangers were committed by immigrant non-western males.
[00:02:58.596 --> 00:03:01.779]  And 9 out of 10 of their victims were native Norwegian women.
[00:03:02.019 --> 00:03:08.023]  So you believe America, Great Britain, all of Europe will be Islamic states living under Sharia?
[00:03:08.103 --> 00:03:08.624]  Inevitably.
[00:03:08.864 --> 00:03:09.464]  I'm convinced.
[00:03:09.765 --> 00:03:13.287]  I'm 100% certain that the Sharia will be implemented in America.
[00:03:13.307 --> 00:03:14.708]  And in Britain one day.
[00:03:15.349 --> 00:03:16.630]  The question is, when?
[00:03:16.890 --> 00:03:18.151]  And how it will come to fruition?
[00:03:18.271 --> 00:03:20.873]  But the New Testament, we don't believe in that!
[00:03:21.173 --> 00:03:22.234]  Do you?
[00:03:22.735 --> 00:03:23.255]  Do you?
[00:03:23.675 --> 00:03:26.377]  All you guys need to go home!
[00:03:26.458 --> 00:03:27.819]  Are you provocative?
[00:03:27.879 --> 00:03:30.641]  No, I think this religion is provocative.
[00:03:36.054 --> 00:03:41.758]  They kick us out of the festival because they can't spare any police officers to protect us.
[00:03:42.419 --> 00:03:43.019]  And here are 1, 2, 3, 4, 5, 6, 7, 8, 9, 10.
[00:03:46.962 --> 00:03:51.945]  I come to you as a devout Muslim and somebody that is very concerned about our country.
[00:03:52.726 --> 00:03:57.109]  And not only its polarization, but its paralysis in dealing with this problem.
[00:03:57.970 --> 00:04:04.861]  We formed our organization to address this, but yet we've not been able to even move one step forward significantly because of that paralysis.
[00:04:05.582 --> 00:04:09.588]  One camp on the polarization refuses to believe that any Muslim could be radicalized.
[00:04:10.529 --> 00:04:22.296]  And yet, we see, as we've discussed here until now, a significant increase in the number, an exponential increase in the number of radicalized Muslims that may not be from within our communities that we know, but are Muslims nonetheless.
[00:04:22.577 --> 00:04:25.539]  The French people are increasingly living in fear.
[00:04:25.999 --> 00:04:34.084]  They fear the imposition of Islamic law and the organized violence against any French person, including the police.
[00:04:34.304 --> 00:04:42.231]  Not only is the problem being ignored, the French left and many mayors actively promote the growth and spread of sectarian Islam.
[00:04:42.611 --> 00:04:43.452]  For good reason.
[00:04:44.033 --> 00:04:48.076]  Muslims have become an important constituency of the left.
[00:04:48.096 --> 00:04:51.960]  90% voted for Socialist President Hollande in the last election.
[00:04:52.400 --> 00:04:53.181]  Assalamu Alaikum!
[00:04:54.790 --> 00:05:00.214]  Many other Americans have Muslims in their families or have lived in a Muslim majority country.
[00:05:00.674 --> 00:05:01.915]  I know because I am one of them.
[00:05:02.095 --> 00:05:14.705]  To the people and leaders of the Islamic Republic of Iran, your great and celebrated culture, over many centuries, your art, your music, literature, and innovation have made the world a better and more beautiful place.
[00:05:14.945 --> 00:05:15.826]  Since our founding,
[00:05:16.983 --> 00:05:19.724]  American Muslims have enriched the United States.
[00:05:20.364 --> 00:05:24.024]  Let there be no doubt, Islam is a part of America.
[00:05:24.084 --> 00:05:28.065]  Bow to the Muslim King while he did not do it to the British Queen of England.
[00:05:28.505 --> 00:05:31.806]  And by bowing, he showed the world that I am subservient.
[00:05:32.206 --> 00:05:35.127]  I do bow down to you as a Muslim King.
[00:05:35.467 --> 00:05:39.087]  Presidential candidate Barack Obama is trying to change political fashion.
[00:05:39.207 --> 00:05:41.908]  He gave a speech in Iowa City today and he wasn't wearing an
[00:05:41.988 --> 00:05:43.711]  America is not and never will be at war with Islam.
[00:05:55.430 --> 00:05:56.871]  ISIL is not Islamic.
[00:05:57.431 --> 00:06:01.572]  Syria, we backed, I believe, in some cases, some of the wrong people.
[00:06:02.193 --> 00:06:05.094]  And not in the right part of the Free Syrian Army.
[00:06:05.114 --> 00:06:06.714]  And that's a little confusing to people.
