[00:00:11.308 --> 00:00:14.131]  Hi, I'm Rex Jones, reporting for InfoWars.com.
[00:00:14.611 --> 00:00:23.179]  I'm here at the Greenbelt in Austin, where most people here think that pollution, such as littering and runoff, are the two biggest problems in our world today.
[00:00:23.459 --> 00:00:25.541]  And if you look around here, that's easy to see.
[00:00:25.722 --> 00:00:33.529]  There are things such as empty beer cans, beer bottles, abandoned shirts, abandoned pants, styrofoam cups, all sorts of pollutants.
[00:00:33.849 --> 00:00:36.652]  We've picked up a little bit of garbage from our surrounding area.
[00:00:37.162 --> 00:00:44.986]  But this is just a small version of the landfills and dirty creeks and rivers that the government likes to paint in our head as an idea of pollution.
[00:00:45.586 --> 00:00:49.628]  What they're really trying to cover up is much bigger than a little landfill.
[00:00:49.848 --> 00:00:52.209]  In fact, it is starting to consume the whole world.
[00:00:52.689 --> 00:00:53.149]  What is it?
[00:00:53.569 --> 00:00:54.470]  You're about to find out.
[00:01:01.853 --> 00:01:03.394]  We've talked about garbage on the ground.
[00:01:03.754 --> 00:01:05.695]  What about the garbage in our rivers and streams?
[00:01:06.738 --> 00:01:20.566]  This garbage is called runoff, and it drifts through our whole planet's water system of rivers, lakes, and oceans to form a giant trash continent in the Pacific Ocean, which I'm gonna coin Gargia.
[00:01:21.087 --> 00:01:23.688]  Is Gargia the biggest threat to the environment today?
[00:01:24.048 --> 00:01:24.669]  I think not.
[00:01:28.390 --> 00:01:34.276]  But before we leave the water, let's separate the facts and myths of the Pacific Island Garbage Patch.
[00:01:34.757 --> 00:01:38.821]  First, it's not a giant island of garbage as depicted in this picture here.
[00:01:39.001 --> 00:01:50.753]  It's actually made up of very small and microscopic pieces of plastic that covers 5,000 square kilometers in the North Pacific Gyre, where the Jet Stream and Southern Trade Winds create a giant circling region of water.
[00:01:51.213 --> 00:01:53.874]  Another myth is that plastic is killing animals.
[00:01:54.214 --> 00:02:01.835]  While it's true that plastic is being found in the stomachs of dead birds and fish, it's not yet known if the plastic is the actual cause of death.
[00:02:02.095 --> 00:02:09.457]  Also, small water insects, crabs, and barnacles have thrived on the particles and are now found in abundance across the ocean.
[00:02:09.737 --> 00:02:16.458]  In addition to being an eyesore and potentially deadly to marine life, runoff is not the biggest problem we face in our environment.
[00:02:16.678 --> 00:02:19.499]  Now let's take to the skies and cover a different kind of pollution.
[00:02:25.529 --> 00:02:29.172]  Air pollution has been with us since humans first learned how to harness fire.
[00:02:29.272 --> 00:02:38.801]  In 1952, pollutants from factories and home fireplaces mixed with air condensation killed at least 4,000 people in London over the course of several days.
[00:02:39.081 --> 00:02:48.789]  A few years earlier, in 1948, severe industrial air pollution created a deadly smog that asphyxiated 20 people in Denora, Pennsylvania and made 7,000 more sick.
[00:02:50.891 --> 00:02:56.574]  Acid rain, first discovered in the 1850s, was another problem resulting from coal-powered plants.
[00:02:56.854 --> 00:03:05.877]  Regulations and technology have helped clean up most of these problems, so now pollution is not as much of a problem in developed first world nations.
[00:03:06.338 --> 00:03:11.600]  In China and other emerging countries, air pollution is a huge problem and it's spread through the jet stream.
[00:03:12.220 --> 00:03:21.167]  Mercury, black carbon, dust, and ozone are just a few of the pollutants that are carried by the jet stream over the Pacific Ocean and are being dumped in the United States.
[00:03:21.527 --> 00:03:30.194]  Currently, China is building up to four dirty coal-burning power plants a month and consumes over four times the coal than the United States.
[00:03:30.494 --> 00:03:40.442]  Obama led EPA regulations that will shutter most of our coal-burning plants by 2030 so you can look forward to the higher power prices and breathing the dirty air produced by China.
[00:03:41.181 --> 00:03:45.904]  Another environmental danger is called CCD or Colony Collapse Disorder.
[00:03:46.344 --> 00:03:49.846]  This happens when a hive of bees is unexplainably wiped out.
