[00:00:19.622 --> 00:00:21.568]  Welcome to the Info Wars Nightly News.
[00:00:21.688 --> 00:00:25.399]  It is Tuesday, November 10th, 2015 and I'm Leigh-Anne McAdoo.
[00:00:25.539 --> 00:00:26.502]  Here's what's coming up tonight.
[00:00:30.029 --> 00:00:41.880]  Tonight, InfoWars is hosting another Mystery Science Theater-style analysis of tonight's GOP debate, live from the Central Texas Command Center.
[00:00:42.160 --> 00:00:52.129]  But first, PC Crazies launch another jihad against free speech in America, as the intolerant regressive left sweeps the nation.
[00:00:55.379 --> 00:00:56.319]  I need some muscle.
[00:00:56.619 --> 00:01:05.761]  Meanwhile, police at the University of Missouri are asking students to call them to report any hateful speech they hear on campus.
[00:01:07.342 --> 00:01:13.503]  Then, Donald Trump says Hillary is running for president so she could stay out of prison.
[00:01:13.843 --> 00:01:16.964]  And did Ben Carson really lie about West Point?
[00:01:17.324 --> 00:01:19.544]  Or was it another media hit job?
[00:01:19.744 --> 00:01:23.545]  You'll find out up next on the InfoWars Nightly News.
[00:01:30.708 --> 00:01:31.589]  Pure drinking water.
[00:01:31.890 --> 00:01:33.171]  You can't survive without it.
[00:01:33.371 --> 00:01:34.273]  But where do you get it?
[00:01:34.553 --> 00:01:40.320]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[00:01:40.561 --> 00:01:46.288]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:01:46.468 --> 00:02:03.329]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:03.709 --> 00:02:05.851]  Filter capacity up to 5,000 gallons.
[00:02:06.211 --> 00:02:07.392]  Stainless steel construction.
[00:02:07.672 --> 00:02:08.453]  Easy assembly.
[00:02:08.713 --> 00:02:09.333]  Low maintenance.
[00:02:09.634 --> 00:02:11.455]  Replacement filters are simple to install.
[00:02:11.715 --> 00:02:18.821]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:02:19.001 --> 00:02:24.005]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:02:24.205 --> 00:02:26.787]  Go to InfowarsStore.com or call 888-253-3139.
[00:02:32.298 --> 00:02:34.539]  Well, we've got a jam-packed show for you this evening.
[00:02:34.559 --> 00:02:38.862]  We're going to be giving you live debate coverage in our Mystery Science Theater style.
[00:02:38.882 --> 00:02:40.382]  That'll be going live at 8 p.m.
[00:02:40.743 --> 00:02:41.863]  Central Standard Time.
[00:02:42.003 --> 00:02:46.166]  David Knight, Joe Biggs, Darren McBreen, and the rest of the crew will be joining us.
[00:02:46.546 --> 00:02:48.247]  Be sure to tweet us out your questions.
[00:02:48.887 --> 00:02:55.591]  Using the hashtag GOP debate and you know it's always fun interacting with you guys live in real time.
[00:02:56.191 --> 00:02:59.073]  Then we've also got a really important interview coming up later on in the show.
[00:02:59.473 --> 00:03:03.615]  David Knight spoke with a director of a new documentary, Killing Ed.
[00:03:03.995 --> 00:03:11.339]  Now we've all heard about you know the socialism that's being pushed in public schools as well as universities, but what about Islamic State?
[00:03:11.800 --> 00:03:12.280]  That's right.
[00:03:12.820 --> 00:03:19.804]  We're going to talk to you about the connection between the largest charter school in the United States and their ties to the Islamic State.
[00:03:19.844 --> 00:03:21.225]  So that's going to be coming up later in the show.
[00:03:21.325 --> 00:03:22.326]  Very important.
[00:03:22.826 --> 00:03:30.510]  But first, we've been witnessing all of these racially charged campaigns and protests across universities throughout the nation.
[00:03:30.831 --> 00:03:33.052]  There's no room for civil disagreement.
[00:03:33.372 --> 00:03:36.234]  They say confess to wrongdoing or else.
[00:03:36.674 --> 00:03:41.597]  You can only respect the student body by validating their subjective feelings.
[00:03:42.017 --> 00:03:47.218]  Well, now we have the Missouri University Police Department kind of falling in line with this.
[00:03:47.638 --> 00:03:55.360]  They're sending out an email to students today saying, call them and report any hurtful speech that they encounter on the campus.
[00:03:55.860 --> 00:04:03.662]  And they also suggest that students provide a detailed description of the offender, their location or license plate number, even take a picture if possible.
[00:04:04.062 --> 00:04:10.263]  Now, the MUPD readily admits that hurtful or hateful speech is not against the law, but they write,
[00:04:10.723 --> 00:04:16.607]  If the individuals identified are students, then the Office of Student Conduct can take disciplinary action.
[00:04:16.667 --> 00:04:20.949]  That's right, you can't say words that hurt there on college campuses anymore.
[00:04:21.490 --> 00:04:26.333]  So when asked about the potential First Amendment implications for this, a spokesman responded saying,
[00:04:26.753 --> 00:04:32.357]  We're just simply asking them to report what they feel is hurtful and or hateful speech.
[00:04:32.777 --> 00:04:37.180]  So it'll be very interesting to see what sort of disciplinary action will be taken.
[00:04:37.540 --> 00:04:40.142]  Jakari Jackson will be reporting from Missouri.
[00:04:40.222 --> 00:04:43.664]  I hope to get his take on the whole situation later.
[00:04:44.024 --> 00:04:48.087]  But basically, universities now are breeding ground for homogenous thoughts.
[00:04:48.167 --> 00:04:52.290]  Students are rarely going to encounter any diverse viewpoints.
[00:04:52.870 --> 00:04:55.794]  So, this is obviously a huge failure of the system.
[00:04:55.834 --> 00:04:58.417]  It's going to be a huge failure for American democracy.
[00:04:58.918 --> 00:05:06.407]  Instead of producing the next generation of intellectuals, they're churning out crazed cult members who are totally against the First Amendment.
[00:05:07.543 --> 00:05:17.611]  Progressives and social justice warriors have launched an ideological jihad against free speech and the very bedrock of what education is supposed to represent.
[00:05:17.731 --> 00:05:22.414]  Free thinking, logic, debate, dissent, open inquiry.
[00:05:22.554 --> 00:05:24.436]  Under their new regime of safe spaces,
[00:05:24.716 --> 00:05:27.798]  Trigger warnings and the right not to be offended.
[00:05:28.178 --> 00:05:33.160]  The intolerant, regressive left has targeted all these things for abolition.
[00:05:33.320 --> 00:05:44.366]  At universities across America, administrators agreed to literally rip up copies of the Constitution because it triggered investigators who were posing as students.
[00:05:44.626 --> 00:05:45.347]  Maybe two.
[00:05:45.367 --> 00:05:45.627]  Okay.
[00:05:46.977 --> 00:05:55.109]  At Yale, a professor was surrounded by a hysterical mob who used Maoist Red Guard tactics to intimidate and shout him down.
[00:06:02.299 --> 00:06:02.659]  His hate crime?
[00:06:17.808 --> 00:06:24.416]  Writing an email critical of the students' efforts to censor offensive Halloween costumes.
[00:06:24.656 --> 00:06:32.726]  At Missouri University, President Tim Wolf and others were forced to resign in part for not acknowledging their white privilege.
[00:06:33.186 --> 00:06:37.569]  ...and refusing to echo the debunked narrative behind the Michael Brown shooting.
[00:06:37.669 --> 00:06:47.014]  Radicals and professors then openly called for using mob violence to silence the First Amendment right of the press to cover the story.
[00:06:47.514 --> 00:06:48.795]  Hi media, can I talk to you?
[00:06:49.055 --> 00:06:50.436]  No, you need to get out.
[00:06:50.776 --> 00:06:51.777]  You need to get out.
[00:06:51.797 --> 00:06:52.257]  No I don't.
[00:06:53.280 --> 00:06:54.260]  You need to get out.
[00:06:54.841 --> 00:06:55.381]  I actually don't.
[00:06:55.401 --> 00:06:55.861]  All right.
[00:06:55.961 --> 00:06:59.303]  Hey, who wants to help me get this reporter out of here?
[00:06:59.323 --> 00:07:01.264]  I need some muscle over here!
[00:07:01.284 --> 00:07:04.705]  You're pushing me!
[00:07:04.765 --> 00:07:06.266]  You're pushing me!
[00:07:14.850 --> 00:07:23.334]  A university in the UK arranged a conference on censorship, then censored conservatives from taking part because it might offend someone.
