[00:00:19.667 --> 00:00:20.488]  Good evening, everyone.
[00:00:20.549 --> 00:00:22.532]  Welcome to the InfoWars Nightly News.
[00:00:22.632 --> 00:00:23.594]  I'm Darren McBreen.
[00:00:23.674 --> 00:00:26.158]  It is Thursday, June 4th, 2015.
[00:00:27.220 --> 00:00:28.723]  Here's a quick look at what's coming up.
[00:00:35.216 --> 00:00:35.616]  V.A.
[00:00:35.676 --> 00:00:38.118]  workers tell all over drinks.
[00:00:38.898 --> 00:00:42.160]  Then, the new scheme to disarm America.
[00:00:42.900 --> 00:00:43.601]  And U.S.
[00:00:43.681 --> 00:00:47.123]  officials say that ISIS has teamed with Assad.
[00:00:47.723 --> 00:00:51.805]  That's next on the InfoWars Nightly News.
[00:00:52.466 --> 00:00:55.087]  Fool me once, shame on you.
[00:00:55.147 --> 00:00:57.188]  Fool me twice, shame on me.
[00:00:57.248 --> 00:00:58.029]  Fool me three times.
[00:00:59.946 --> 00:01:01.087]  Stick a fork in us, we're done!
[00:01:30.206 --> 00:01:34.168]  And this is something we've known about for a very long time.
[00:01:34.328 --> 00:01:41.332]  From Zygmunt Brzezinski's grand chess board to the PNAC documents, Syria has been on the U.S.
[00:01:41.572 --> 00:01:44.454]  target list, or at least targeted by the U.S.
[00:01:44.574 --> 00:01:48.096]  military-industrial complex who now runs the show.
[00:01:48.656 --> 00:01:53.419]  Don't forget it was like eight years ago that four-star General Wesley Clark
[00:01:53.979 --> 00:01:55.621]  He said that the U.S.
[00:01:55.821 --> 00:01:59.284]  planned to overthrow Syria a long time ago.
[00:01:59.324 --> 00:02:04.148]  We're talking all the way back, as far back as 2001, shortly after 9-11.
[00:02:05.909 --> 00:02:13.056]  About 10 days after 9-11, I went through the Pentagon and I saw Secretary Rumsfeld and Deputy Secretary Wolfowitz.
[00:02:13.116 --> 00:02:17.560]  One of the generals called me and he said, sir, you gotta come in and talk to me a second.
[00:02:17.600 --> 00:02:18.460]  I said, well, you're too busy.
[00:02:18.480 --> 00:02:19.101]  He said, no, no.
