[00:00:01.749 --> 00:00:02.911]  Well, it is surreal.
[00:00:03.191 --> 00:00:05.795]  Years ago, we began talking to Cy Hirsch, some on email.
[00:00:07.818 --> 00:00:08.939]  And he, of course, follows our work.
[00:00:08.979 --> 00:00:09.580]  We follow his.
[00:00:09.620 --> 00:00:10.802]  Two times Pulitzer Prize winner.
[00:00:11.102 --> 00:00:13.425]  And he said, when my big book comes out in a few years, I'll come on.
[00:00:15.128 --> 00:00:17.291]  Well, he's coming on in the third hour today.
[00:00:18.761 --> 00:00:29.165]  On Military to Military, his new book, how our own military has been standing up to the globalists trying to start World War III and feeding the Russians and Syrians intelligence on al-Qaeda, al-Nusra, ISIS.
[00:00:29.945 --> 00:00:36.227]  Of course, this is old news to our listeners, you heard it here first, but just confirming everything we tell you is in deep research.
[00:00:36.688 --> 00:00:39.149]  Sometimes we make mistakes, very rarely, I wish I was wrong.
[00:00:40.489 --> 00:00:45.011]  Congress is bought and paid for by foreign interests, it's coming out of the NSA spying on them.
[00:00:46.479 --> 00:00:49.020]  But that's also because there's a foreign infiltration going on.
[00:00:49.060 --> 00:00:49.801]  It's all coming up.
[00:00:50.221 --> 00:00:53.722]  But here is John Bowne's report on Congress, then we'll come back after break.
[00:00:54.743 --> 00:00:58.785]  The year-end disapproval polls of Congress are rolling out.
[00:00:59.085 --> 00:01:05.748]  According to the latest Gallup poll, 82% disapprove of the way Congress is handling its job.
[00:01:06.088 --> 00:01:09.990]  Real Clear Politics congressional job approval is at 75.8% disapproval.
[00:01:12.731 --> 00:01:24.905]  Mainstream media polls even have to accept the boiling anger running its course through America, as the CNN-ORC poll racks up to 75% disapproval and CBS-New York Times is at 74%.
[00:01:24.945 --> 00:01:26.346]  The holiday season isn't
[00:01:27.688 --> 00:01:28.628]  Is that even over yet?
[00:01:28.828 --> 00:01:50.734]  And fresh off of the heels of the treasonous Paul Ryan-led omnibus funding of the Defense Department to the tune of at least $2 billion while ignoring an enemy invasion of the United States, meanwhile dropping a pile of cash on the Sanctuary City's operations being flooded with non-vetted refugees, a ticking time bomb waiting to happen, all paid for by your tax dollars.
[00:01:50.994 --> 00:01:55.875]  Is it any surprise that the career corporate politicians that have occupied the nation's capital
[00:01:56.055 --> 00:02:03.562]  would start floating their latest bonehead idea from their arrogant bubble as if anybody in this country actually accepts it.
[00:02:03.942 --> 00:02:09.968]  It seems to me that we'll have to borrow additional money from China in order to run this war.
[00:02:10.228 --> 00:02:11.630]  So let's have a war tax.
[00:02:12.230 --> 00:02:31.356]  Now, more idiotic rhetoric from the left as Democratic Senator Chris Coons, who in addition to authorizing Obama's unconstitutional authorization for use of military force, minus the ground troops, says the Congress from hell should now levy a new tax on Americans to pay for military action against the Islamic State.
[00:02:31.496 --> 00:02:32.897]  How are we going to pay for it?
[00:02:33.418 --> 00:02:38.923]  All the previous wars, as you referenced, before Iraq and Afghanistan had a dedicated war surtax.
[00:02:39.263 --> 00:02:47.171]  And I think that's one way we could fairly pay for it with a small surtax that exempted active-duty military families and veterans.
[00:02:47.691 --> 00:02:49.293]  But there's other ways we could pay for it.
[00:02:49.333 --> 00:02:52.656]  We just can't keep going without even discussing it.
[00:02:52.796 --> 00:02:53.297]  That's right.
[00:02:53.557 --> 00:03:04.348]  The little boys and their brand new shiny toys over at the Pentagon need more of your tax dollars to fund another one of their blatant fake wars with an enemy they created and support.
[00:03:04.468 --> 00:03:12.596]  Maybe we should send our war tax dollars to Putin, as he did more damage to ISIS in three days than the United States did in one year.
[00:03:12.997 --> 00:03:16.120]  Vocative reports the daily tab for fighting ISIS
[00:03:16.340 --> 00:03:16.540]  I think?
[00:03:32.748 --> 00:03:33.509]  Which the U.S.
[00:03:33.549 --> 00:03:38.393]  has employed since August of 2014 to pound Islamic State targets.
[00:03:38.734 --> 00:03:44.219]  Munitions, logistics, and operational support accounted for the remaining costs, according to the Pentagon.
[00:03:44.579 --> 00:03:50.705]  Despite spending billions, the air campaign has failed to weaken the Islamic State, according to intelligence officials.
[00:03:51.045 --> 00:03:56.448]  A defense official told the Associated Press, we've seen no meaningful degradation in their numbers.
[00:03:56.748 --> 00:04:02.071]  He cited intelligence estimates that put the Islamic State's total strength at somewhere between 20,000 and 30,000.
[00:04:02.151 --> 00:04:03.732]  Virtually the same number as last August.
[00:04:06.713 --> 00:04:08.234]  When the airstrikes began.
[00:04:08.674 --> 00:04:13.138]  Face it, you sell out ideologue suits bumbling around the District of Criminals.
[00:04:13.358 --> 00:04:21.384]  The poll numbers and an average of black-budgeted 1.6 trillion in annual never-ending war costs don't lie.
[00:04:21.724 --> 00:04:30.190]  The days of wagging the dog for the assumed idiotic taxpayers you've robbed year in year out is coming to a screeching halt.
[00:04:30.670 --> 00:04:32.332]  John Bowne for InfoWars.com
[00:04:37.364 --> 00:04:38.725]  Are you looking for affordable housing?
[00:04:38.825 --> 00:04:40.686]  Well, check out these headlines.
[00:04:41.006 --> 00:04:43.468]  60,000 New Yorkers sign up for tiny house development.
[00:04:43.568 --> 00:04:45.509]  265 square foot apartments.
[00:04:45.850 --> 00:04:48.031]  But would you pay $3,000 a month for this?
[00:04:48.531 --> 00:04:52.954]  Next, inside NYC's impossibly small 100 square foot apartment.
[00:04:53.154 --> 00:04:54.815]  It only goes for $2,800 a month.
[00:04:55.096 --> 00:04:57.477]  Or how about life in a 90 square foot box?
[00:04:57.657 --> 00:05:02.560]  Woman's apartment takes cramped New York living to the extreme, but she's living in the West Village for just $7.75 a month.
[00:05:03.701 --> 00:05:04.842]  And here's one out of New York.
[00:05:33.661 --> 00:05:36.683]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:05:37.263 --> 00:05:40.465]  When cells become toxic, they die early and aging sets in.
[00:05:40.765 --> 00:05:48.769]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:05:49.009 --> 00:05:54.012]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:05:54.432 --> 00:05:56.716]  You want the best that's out there at the lowest price anywhere?
[00:05:56.956 --> 00:05:58.739]  We now have the synergistic solution.
[00:05:59.060 --> 00:06:03.247]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:06:07.365 --> 00:06:11.566]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:06:11.746 --> 00:06:15.706]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:06:15.886 --> 00:06:20.667]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:20.827 --> 00:06:25.368]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:06:25.488 --> 00:06:28.809]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:06:28.969 --> 00:06:32.309]  Now available in our limited first run at Infowarslife.com.
[00:06:32.429 --> 00:06:34.250]  That's Infowarslife.com or call 888-253-3139.
