[00:00:02.341 --> 00:00:02.522]  I'm good.
[00:00:10.708 --> 00:00:22.558]  If you're watching this video, chances are you've already taken drastic steps to cut out toxins from your life and avoid household items that you know are causing cancer and wreaking havoc on your hormonal systems.
[00:00:23.118 --> 00:00:34.628]  But the reality is that even myself, looking at some of the products with Dr. Group today, we've found that chances are you're still having contaminants inside of your house that are actually killing you.
[00:00:35.168 --> 00:00:36.890]  And now I'm not saying that for effect.
[00:00:37.430 --> 00:00:42.796]  Studies show it is actually giving you cancer and hormonally destroying your body.
[00:00:43.237 --> 00:00:54.448]  So with Dr. Group today, we're going to talk about some of the key ways to avoid these contaminants and actually list them one by one and give you over seven different ways to rid your home of absolute killers.
[00:00:54.689 --> 00:00:57.892]  So Dr. Group, let's get started with what you think is the most important.
[00:00:58.786 --> 00:01:04.048]  Well, we're all under attack, Anthony, with endocrine-disrupting chemicals.
[00:01:04.108 --> 00:01:08.931]  And endocrine-disrupting chemicals are chemicals that disrupt your endocrine system.
[00:01:08.951 --> 00:01:13.833]  You have a lot of glands in your endocrine system, your thyroid gland, your pituitary gland.
[00:01:14.153 --> 00:01:18.155]  The intestines, as a matter of fact, is the largest endocrine organ.
[00:01:18.755 --> 00:01:20.356]  You have the prostate gland.
[00:01:20.456 --> 00:01:42.384]  Anything that secretes or regulates hormones, and what we're finding out now is the majority of symptoms that people are complaining about, whether it's fatigue, ovarian cysts, prostate cancer, diabetes, heart disease, all has a link to an endocrine-disrupting chemical, mostly because these chemicals mimic estrogen.
[00:01:43.024 --> 00:01:59.431]  And what you have are, you have metalloestrogens, you have phthalates, you have BPA, you have chemical fertilizers, herbicides, pesticides, but a lot of times people don't realize that these chemicals are lurking in their home.
[00:01:59.932 --> 00:02:09.056]  Anything from fire retardants, carpets which are made that are outgassing volatile organic compounds, and we just chose a few here today that we'll go through.
[00:02:10.134 --> 00:02:17.156]  Just in the kitchen alone, you can be exposing yourself to very harmful levels of endocrine-disrupting chemicals.
[00:02:17.537 --> 00:02:22.518]  And in the kitchen, you want to look for anything, number one, that can be in a can.
