[00:00:00.392 --> 00:00:01.220]  Let's show.
[00:00:16.109 --> 00:00:20.272]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.952 --> 00:00:21.753]  You want answers?
[00:00:22.533 --> 00:00:23.414]  Well, so does he.
[00:00:24.074 --> 00:00:27.696]  He's Alex Jones on the GCN Radio Network.
[00:00:28.277 --> 00:00:32.339]  And now, live from Austin, Texas, Alex Jones.
[00:00:45.037 --> 00:00:49.119]  Well, I'm going to jump the shark intentionally at the start of the next segment.
[00:00:49.439 --> 00:00:58.783]  So, call your friends and family and tell them to tune into the broadcast when we start the next segment in exactly 7 minutes, 12 seconds from now.
[00:01:01.424 --> 00:01:02.965]  So, start the countdown.
[00:01:04.666 --> 00:01:05.206]  Get ready.
[00:01:06.877 --> 00:01:20.823]  Because we are going to be breaking down some information that may actually shake large portions of the population out of their mind control.
[00:01:21.783 --> 00:01:35.809]  And if people join me in this movement, if you join me in what I'm going to announce and what I'm going to launch, we're going to have news articles about it later this afternoon, special reports, you name it, it's going to have a gigantic
[00:01:37.338 --> 00:01:38.139]  Huge effects.
[00:01:38.719 --> 00:01:52.189]  Last night I thought about doing this when I went to bed, and I got up this morning and thought about it, and was mulling it around in my mind, and then right as I went live, right as we went live, we're talking a minute and a half ago, I said, you know what, I'm doing it.
[00:01:56.111 --> 00:02:06.278]  So, if you want to destroy the tyranny that is political correctness, that is designed to end free speech and everything else we know, join me in what we're about to push
[00:02:07.324 --> 00:02:09.465]  At the start of the next segment.
[00:02:09.985 --> 00:02:11.406]  Call your friends, call your family.
[00:02:14.908 --> 00:02:29.775]  We need to tweet right now at Real Alex Jones that I'm going to make an incredibly important announcement and then I'll link Infowars.com forward slash show so everybody can watch and listen to the free feeds and hear this breakdown.
[00:02:30.295 --> 00:02:36.378]  And then Paul Watson is going to be joining me obviously to discuss at the bottom of the hour the Chattanooga shooting.
[00:02:38.558 --> 00:02:39.999]  We got four dead, three wounded.
[00:02:40.900 --> 00:02:44.402]  The fifth person dead, of course, is a purported shooter.
[00:02:44.422 --> 00:02:45.643]  There's a lot of witnesses.
[00:02:46.224 --> 00:02:47.885]  I don't think this is a false flag.
[00:02:50.607 --> 00:02:52.509]  And you notice I'm right again.
[00:02:53.369 --> 00:02:54.530]  Hundreds of times.
[00:02:55.691 --> 00:02:57.953]  If you're a regular listener, you know this, but we've played the clips.
[00:02:58.814 --> 00:03:02.656]  Hundreds of times I've said Islamic State is real.
[00:03:03.837 --> 00:03:05.639]  Islamic State is a real terror threat.
[00:03:06.299 --> 00:03:08.141]  Islamic State is not controlled by the West.
[00:03:09.488 --> 00:03:23.432]  Islamic State is a bag of black widows that the globalists basically allowed to breed, funded, protected, shepherded, and now have allowed to come into the West.
[00:03:25.253 --> 00:03:28.234]  They've foiled more attacks on French military bases today.
[00:03:28.254 --> 00:03:34.916]  On July 4th they had to cancel July 4th celebrations in the UK for US troops on base.
[00:03:36.730 --> 00:03:50.421]  And I'm on record hundreds of times in the last few years saying they'll attack recruiting offices, military bases, guard gates, shopping malls, Christian schools, Jewish schools, and other facilities.
[00:03:52.142 --> 00:04:06.213]  Now, I'm the guy that wrote the book on exposing false flag, and I mean I'm proud of the fact, got inside job and synthetic attack and terms like false flag into the nomenclature, into the common parlance.
[00:04:07.728 --> 00:04:14.052]  Because Al-Qaeda itself is a Saudi Arabian synthetic operation with criminals in our government allowing it to operate.
[00:04:14.392 --> 00:04:15.433]  But very small.
[00:04:16.254 --> 00:04:17.374]  Mainly a PR front.
[00:04:19.016 --> 00:04:22.838]  ISIS is a Western-funded, protected, not run.
[00:04:22.858 --> 00:04:27.561]  It's like having wild dogs in a pit, you feed raw meat.
[00:04:27.581 --> 00:04:31.204]  They don't follow your orders, but you've gotten them ready.
[00:04:32.295 --> 00:04:34.636]  It's like a wild bull they release on a matador.
[00:04:34.936 --> 00:04:36.697]  Nobody controls that bull in the stalls.
[00:04:37.017 --> 00:04:42.679]  It's kept wild and vicious, but there are people that tend it, take care of it, then, you know, open the gate and turn it loose.
[00:04:43.900 --> 00:04:44.500]  It's the same thing.
[00:04:45.666 --> 00:04:49.548]  And they're going to use this to take our liberties, which they're now doing.
[00:04:49.568 --> 00:04:54.810]  House committee passed legislation to create special domestic terror unit the day before Chattanooga shooting.
[00:04:55.151 --> 00:04:58.292]  And they say their main mission is gun owners, veterans, conservatives, libertarians.
[00:04:58.572 --> 00:04:59.733]  That'll be setting us up.
[00:05:00.393 --> 00:05:07.556]  While they bring in record numbers of radical islamicists that they have basically allowed to grow strong a 200,000 man army.
[00:05:10.089 --> 00:05:17.796]  Jade Helm kicked off Wednesday, and the establishment media went with the angle that it's just the conspiracy nuts thinking martial law is imminent.
[00:05:18.017 --> 00:05:24.983]  But what they won't explain about Jade Helm, and what we exposed months ago, is mastering the human domain.
[00:05:25.364 --> 00:05:34.092]  In military terminology, the human domain, or human domain analytics, refers to the global understanding of anything associated with people.
[00:05:34.372 --> 00:05:39.353]  Mastering the human domain means obtaining total information awareness on a mass scale.
[00:05:39.553 --> 00:05:45.174]  This means who you are, what you do, who you know, and any other contextual information about you.
[00:05:45.374 --> 00:05:48.695]  Jade Helm is more than a simple military exercise.
[00:05:48.855 --> 00:05:57.277]  If you understand the technologies, you'll see that Jade Helm is more an intelligence operation using geospatial intelligence mapping.
[00:05:57.597 --> 00:06:00.479]  The battlefield of the future won't be on the ground.
[00:06:00.699 --> 00:06:03.301]  There is literally a war on for your mind.
[00:06:03.541 --> 00:06:05.843]  Watch the InfoWars Nightly News at 7 p.m.
[00:06:05.883 --> 00:06:06.283]  Central.
[00:06:06.403 --> 00:06:09.245]  We'll discuss Jade Helm and mastering the human domain.
[00:06:09.998 --> 00:06:15.020]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:06:15.140 --> 00:06:21.023]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:06:21.263 --> 00:06:25.824]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:06:26.045 --> 00:06:29.366]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:06:29.606 --> 00:06:31.187]  No needles, no injections.
[00:06:31.587 --> 00:06:36.209]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:06:39.870 --> 00:06:43.072]  When cells become toxic, they die early and aging sets in.
[00:06:43.392 --> 00:06:51.396]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:06:51.616 --> 00:06:56.638]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:06:57.038 --> 00:06:59.340]  You want the best that's out there at the lowest price anywhere?
[00:06:59.560 --> 00:07:01.361]  We now have the synergistic solution.
[00:07:01.681 --> 00:07:05.863]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:07:10.078 --> 00:07:15.845]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
