[00:00:00.009 --> 00:00:00.710]  We're good to go.
[00:00:19.327 --> 00:00:25.052]  The site of the Chernobyl accident, the largest disaster prior to Fukushima.
[00:00:25.092 --> 00:00:25.512]  I don't know.
[00:00:25.552 --> 00:00:27.934]  We can talk to Mr. Busby when he gets on.
[00:00:27.994 --> 00:00:31.056]  I don't know which one has released the most amount of radiation.
[00:00:32.497 --> 00:00:33.959]  Chernobyl was a very short event.
[00:00:34.459 --> 00:00:37.181]  Fukushima just keeps going on cumulatively.
[00:00:37.741 --> 00:00:43.406]  But there's now another nuclear reactor in Ukraine, which we heard a little bit about at the beginning of December.
[00:00:44.522 --> 00:00:49.364]  We were told that it was just a minor incident, that it was just an electrical issue.
[00:00:49.404 --> 00:00:54.867]  Now, of course, these nuclear power plants that are in the Ukraine are, like ours, getting very old.
[00:00:55.407 --> 00:00:58.568]  Most of the power plants get a license in the United States for 25 to 30 years.
[00:00:59.229 --> 00:01:02.510]  These nuclear power plants that we're talking about in the Ukraine are 30 years old.
[00:01:02.550 --> 00:01:09.754]  They're Russian designs, although they've already been caught trying to put square pegs in round holes, getting control rods from the U.S.
[00:01:09.774 --> 00:01:12.635]  when they couldn't get them from Russia after the Ukraine incident.
[00:01:13.435 --> 00:01:20.738]  Except the problem is, is that we make round rods and the Russians had designed it for square rods or vice versa.
[00:01:20.798 --> 00:01:21.138]  I don't know.
[00:01:21.178 --> 00:01:23.619]  But the bottom line is that created a bit of an issue.
[00:01:24.100 --> 00:01:29.762]  Nevertheless, this incident that happened at the beginning of the month, we were told was just an electrical short.
[00:01:29.862 --> 00:01:31.943]  That the reactor was not involved.
[00:01:31.983 --> 00:01:34.364]  There was no radiation issues involved with that.
[00:01:35.304 --> 00:01:41.826]  Then, on December 28th, through the holidays, there was another incident at that same power plant.
[00:01:41.926 --> 00:01:44.847]  And this is the largest nuclear power plant in Europe.
[00:01:45.367 --> 00:01:47.188]  It's the fifth largest in the world.
[00:01:47.568 --> 00:01:50.289]  And, of course, it's just a few hundred miles from Chernobyl.
[00:01:50.949 --> 00:01:52.649]  We were told there was a second incident.
[00:01:52.990 --> 00:01:53.870]  There are reports
[00:01:54.884 --> 00:02:02.026]  Multiple reports that there has been a radiation leak that is 16 times what is normal there.
[00:02:02.086 --> 00:02:07.308]  So we're going to be following up with that, talking to Christopher Busby in the second hour.
[00:02:07.488 --> 00:02:10.469]  And again, as I said, Alex Jones will be here hosting in the third hour.
[00:02:11.369 --> 00:02:18.680]  Today is a very important day if you want to do something to roll back this criminal government that is unaccountable to us.
[00:02:18.700 --> 00:02:27.212]  And of course, this is the day that you can contact your GOP representative if you have a congressman in your area that's a GOP representative.
[00:02:27.612 --> 00:02:33.335]  You need to talk to them and tell them that they need to oppose Boehner's reappointment as Speaker of the House.
[00:02:33.355 --> 00:02:34.495]  That's going to happen tomorrow.
[00:02:34.575 --> 00:02:41.298]  So today is the day if you want to get involved, if you are someone who votes for Republicans and Democrats, I personally don't.
[00:02:41.418 --> 00:02:42.699]  I support third parties.
[00:02:43.299 --> 00:02:45.120]  I think we need to have a broader choice.
[00:02:45.180 --> 00:02:52.003]  That's my most important message to the people who count the votes each time is I want them to know that I want
[00:02:52.723 --> 00:02:54.525]  An unrigged choice.
[00:02:55.486 --> 00:03:00.990]  Nevertheless, I think it's important, even if you're a Democrat, to oppose Boehner's continued presence there.
[00:03:01.691 --> 00:03:03.332]  We need to hold people accountable.
[00:03:03.872 --> 00:03:07.655]  And of course, everyone knows by now what these guys did immediately after the election.
[00:03:07.996 --> 00:03:17.303]  They thumbed their nose at the people who got them elected, who wanted them to roll back Obamacare, who wanted them to do something about the border, who wanted them to exercise some control.
[00:03:17.363 --> 00:03:19.425]  And instead of just passing a continuing resolution,
[00:03:19.565 --> 00:03:20.086]  I don't know.
[00:03:34.667 --> 00:03:38.649]  Joey Gohmert from Texas says he's going to run against Boehner for Speaker of the House.
[00:03:38.689 --> 00:03:43.731]  We've got a couple of representatives, Thomas Massey as well as Steve King, saying they will not vote for him.
[00:03:44.271 --> 00:03:49.854]  And we'll be talking about the reasons that they give, and we'll be talking about what you can do to send this message.
[00:03:49.914 --> 00:03:51.254]  We have to hold them accountable.
[00:03:51.274 --> 00:03:54.336]  Of course they're going to have somebody else to take Boehner's place.
