[00:00:00.009 --> 00:00:01.276]  The Alex Jones Show.
[00:00:14.741 --> 00:00:18.924]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.605 --> 00:00:20.385]  You want answers?
[00:00:21.166 --> 00:00:22.067]  Well, so does he.
[00:00:22.727 --> 00:00:26.330]  He's Alex Jones on the GCN Radio Network.
[00:00:26.910 --> 00:00:31.013]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.117 --> 00:00:38.319]  Welcome to the Alex Jones Show on this Friday, July 31st, 2015.
[00:00:40.504 --> 00:00:42.645]  July is nearly finished.
[00:00:42.725 --> 00:00:44.405]  The year is running through very quickly.
[00:00:44.425 --> 00:00:47.447]  And the tyranny is accelerating.
[00:00:47.487 --> 00:00:50.368]  It's just amazing to see the news day after day.
[00:00:50.428 --> 00:00:54.909]  Besides this Planned Parenthood issue, just the political news that is coming up.
[00:00:54.969 --> 00:00:58.571]  The bombshell that the CDC is destroying vaccine documents.
[00:00:58.611 --> 00:01:01.932]  This is Congressman Bill Posey on Tuesday.
[00:01:03.015 --> 00:01:04.617]  Made his last stand on the House of the Floor.
[00:01:05.057 --> 00:01:17.169]  He was given five minutes to speak and he talked about how the co-authors of this vaccine study that they tried to cover up, the whistleblower Thompson pointed out, said they all got together in a room, decided what they were going to get rid of.
[00:01:17.189 --> 00:01:24.717]  They had a big garbage can there and just start trashing through the stuff because, you know, you can't be allowed to see what actually happened.
[00:01:25.417 --> 00:01:45.920]  In these studies, it's not just the vaccines, it's also ClimateGate, where we weren't allowed to see the emails that were paid for by the public, paid for university professors who were doing research, that research conclusions had been published, there wasn't anything proprietary about it at the time, it was being used for public policy, but of course we were not allowed to see the raw data.
[00:01:47.944 --> 00:01:55.390]  Pretty easy to put any kind of conclusion you want to in something when no one is allowed to look at your raw data.
[00:01:55.470 --> 00:01:57.431]  That's the way the game is rigged.
[00:01:57.451 --> 00:02:03.716]  Of course, we see that with these treaties that are being done, but there's also a lot of other secrets that are going to be coming out.
[00:02:03.756 --> 00:02:05.337]  We've got a story we're going to talk about in a little bit.
[00:02:06.378 --> 00:02:11.822]  The man behind the white safaris who feasts on baby elephants.
[00:02:12.867 --> 00:02:16.830]  The Lion King, I guess we could call him, or the Lying King, Robert Mugabe.
[00:02:17.851 --> 00:02:20.593]  A lot of similarities between Mugabe and Obama.
[00:02:21.074 --> 00:02:30.962]  And we're going to talk about that because now the Obama administration is looking to use the Lacey Act to send this dentist back to Robert Mugabe.
[00:02:31.702 --> 00:02:32.523]  What's up behind that?
[00:02:33.003 --> 00:02:34.685]  Do you know about Zimbabwe?
[00:02:34.745 --> 00:02:35.765]  Do you know about their economy?
[00:02:35.785 --> 00:02:37.947]  Do you know about their dictator for life that they've had?
[00:02:37.967 --> 00:02:41.230]  Do you know how this is a place very similar to North Korea?
[00:02:42.827 --> 00:02:46.648]  We've seen the Lacey Act used before in the Gibson guitar raids.
[00:02:46.688 --> 00:02:47.848]  Do you remember how that turned out?
[00:02:48.788 --> 00:02:51.309]  They did in January of 2014.
[00:02:51.829 --> 00:02:57.510]  They did a government issue of a Les Paul guitar just to celebrate their victory over the government.
[00:02:57.530 --> 00:02:58.251]  But now it's back.
