[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[00:00:23.865 --> 00:00:29.820]  If you are receiving this transmission, you are the Resistance.
[00:00:29.820 --> 00:00:31.103]  The Resistance.
[00:00:35.859 --> 00:00:42.467]  The Clinton crime family machine's house of horrors echoed with streaks of dread over the Halloween weekend.
[00:00:42.467 --> 00:00:50.096]  The Hill reported former assistant FBI director James Kallstrom unloaded during a radio interview saying, The Clintons.
[00:00:50.096 --> 00:00:52.298]  That's a crime family, basically.
[00:00:52.298 --> 00:00:53.940]  It's like organized crime.
[00:00:53.940 --> 00:00:56.183]  I mean, the Clinton Foundation is a cesspool.
[00:00:56.363 --> 00:01:01.028]  This investigation was never a real investigation, Kallstrom continued.
[00:01:01.028 --> 00:01:03.351]  They never had a grand jury impaneled.
[00:01:03.351 --> 00:01:09.357]  And the reason they never had a grand jury impaneled, I'm sure, is Loretta Lynch would not go along with that.
[00:01:09.357 --> 00:01:12.921]  Meanwhile, Loretta Lynch was fighting to save her own hijacked
[00:01:13.001 --> 00:01:13.461]  We're good.
[00:01:32.279 --> 00:01:50.666]  Zero Hedge reported, in an attempt to justify his actions, a leaked memo emerged on Friday evening, courtesy of Fox News, which explains why Comey took the unusual step of deciding to inform Congress that the FBI had reopened its investigation into Clinton's private email server.
[00:01:50.666 --> 00:01:52.787]  The memo reveals two main arguments.
[00:01:53.027 --> 00:02:02.612]  A sense of obligation to lawmakers and a concern that word of the new email discovery would leak to the media and raise questions of a cover-up.
[00:02:02.612 --> 00:02:09.575]  Sure that some of you may have heard about a letter that the FBI director sent out yesterday.
[00:02:10.606 --> 00:02:18.988]  It's pretty strange to put something like that out with such little information right before an election.
[00:02:18.988 --> 00:02:23.009]  Donald Trump is already making up lies about this.
[00:02:23.009 --> 00:02:29.351]  I think it's time for Donald Trump to stop fear-mongering, to stop disgracing himself.
[00:02:30.311 --> 00:02:32.972]  To stop attacking our democracy.
[00:02:32.972 --> 00:02:35.673]  We can't let him get away with this, can we?
[00:02:35.673 --> 00:02:41.235]  The Democratic Party has now transcended damage control and entered panic mode.
[00:02:41.235 --> 00:02:46.617]  As Hillary Clinton's right-hand woman, Huma Abedin, Muslim Brotherhood Plant Numero Uno,
[00:02:46.957 --> 00:02:56.701]  is no longer on the campaign trail after it was discovered that she did not turn over all the evidence pertaining to the FBI's email investigation of Clinton.
[00:02:56.701 --> 00:03:08.325]  Plenty of evidence still resided on the computer Huma shared with estranged husband Anthony Weiner, aka Carlos Danger, after being investigated for sexting with a 15-year-old girl.
[00:03:08.325 --> 00:03:16.108]  Currently, it is surfacing that Anthony Weiner is selling out the Clintons to save his own skin, essentially voiding Huma's immunity deal
[00:03:16.328 --> 00:03:20.690]  Forcing Aberdeen to either face jail time or sing like a canary.
[00:03:20.690 --> 00:03:27.452]  It is unthinkable that the director of the FBI would take this action lightly.
[00:03:27.452 --> 00:03:45.199]  That he would put this letter forth to the Congress of the United States saying that there is more information out there about classified emails and call it to the attention of the Congress unless it was something requiring serious investigation.
[00:03:45.499 --> 00:03:50.343]  Al, the stench of boiling corruption has landed squarely on President Obama's desk.
[00:03:50.343 --> 00:04:05.314]  The New York Post reveals that back in 2008, President Obama's transition team improperly emailed sensitive and confidential information about a candidate for a high-level government job according to newly disclosed WikiLeaks emails.
[00:04:05.314 --> 00:04:11.999]  That, on top of the Podesta WikiLeaks supporting Obama's knowledge and use of Clinton's email server,
[00:04:12.279 --> 00:04:15.660]  And the Clinton team's attempts to clean it up.
[00:04:15.660 --> 00:04:24.104]  Eventually, the emails will reveal Clinton Foundation racketeering that will bring down all of those on the take in Washington, D.C.
[00:04:24.104 --> 00:04:28.205]  Hillary's bogus poll-tampered 12-point lead is gone.
[00:04:28.205 --> 00:04:34.568]  Unfortunately, all that means is that it's quite possible that American lives could be in more danger.
[00:04:34.568 --> 00:04:40.770]  Things are getting so dire for the globalists, who still remain under the false impression that they are invisible,
[00:04:40.990 --> 00:04:50.268]  That you can hear the clock ticking on a major false flag operation to steer the rubbernecking of the Clinton dumpster fire towards something far more sinister.
[00:04:50.268 --> 00:04:52.192]  John Bowne for InfoWars.com
[00:04:59.881 --> 00:05:03.444]  Well, it's good that families are brought together by something, right?
[00:05:03.444 --> 00:05:08.288]  Well, a former assistant FBI director says that the Clintons are brought together by crime.
[00:05:08.288 --> 00:05:09.649]  They're a crime family.
[00:05:09.649 --> 00:05:11.090]  It's like organized crime.
[00:05:11.090 --> 00:05:13.212]  I mean, the Clinton Foundation is a cesspool.
[00:05:13.212 --> 00:05:14.593]  This article is up on our website.
[00:05:14.593 --> 00:05:25.622]  It's written by Steve Watson, and it highlights how the former assistant FBI director slams Hillary Clinton and her foundation, calling it a cesspool, and that the family is like an organized crime syndicate.
[00:05:25.822 --> 00:05:32.385]  Now, appearing on a radio show this week, the FBI, it's known, is reopening the case of Hillary Clinton and her homebrew server.
[00:05:32.385 --> 00:05:37.908]  James Kallstrom made these remarks while praising Donald Trump as a good human being and a patriot.
[00:05:37.908 --> 00:05:45.752]  He goes on to say, the Clintons, that's a crime family basically, and he's a 27-year-old FBI veteran, he says it's like organized crime.
[00:05:45.752 --> 00:05:47.993]  I mean, the Clinton Foundation is a cesspool.
[00:05:47.993 --> 00:05:50.454]  God forbid we put someone like that in the White House.
[00:05:50.454 --> 00:05:52.135]  Of course he's referring to Hillary Clinton.
[00:05:52.375 --> 00:05:53.636]  Yes, God forbid.
[00:05:53.636 --> 00:05:57.040]  May I remind you November 8th is Take Out the Trash Day.
