[00:00:00.710 --> 00:00:03.715]  ...already is deeply concerned.
[00:00:03.715 --> 00:00:04.056]  Today...
[00:00:13.533 --> 00:00:22.336]  What else do we do in the next eight days, Roger, to make sure the crime syndicate, because even mainstream news is calling Hillary a crime family.
[00:00:22.336 --> 00:00:25.817]  What do we do to make sure this crime family is fully discredited?
[00:00:25.817 --> 00:00:39.561]  Well, Alex, I've got to keep going back to Election Day and implore those who believe in a fair and honest election to please go to stopthesteal.org and sign up as a volunteer to work on Election Day.
[00:00:39.561 --> 00:00:40.741]  We need your
[00:00:41.294 --> 00:00:42.355]  Your elbow grease.
[00:00:42.355 --> 00:00:44.796]  We need your boots on the ground.
[00:00:44.796 --> 00:00:52.400]  We need your shoe leather to help us.
[00:00:52.400 --> 00:00:53.941]  Brain Force is here.
[00:00:53.941 --> 00:00:56.482]  Ladies and gentlemen, I've been on this the last few months.
[00:00:56.482 --> 00:01:04.307]  You've probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:01:05.086 --> 00:01:08.689]  One of the worst things with most energy products is it's not sustainable, right?
[00:01:08.689 --> 00:01:11.391]  You're gonna crash, you're gonna feel really bad afterwards.
[00:01:11.391 --> 00:01:14.954]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:01:14.954 --> 00:01:18.596]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:01:18.596 --> 00:01:23.921]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:01:23.921 --> 00:01:26.102]  For example, the L-Theanine inside of it.
[00:01:26.102 --> 00:01:30.686]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:01:30.686 --> 00:01:33.328]  This just increases the compounds you already have.
[00:01:33.328 --> 00:01:34.789]  This is what you're actually designed to run on.
[00:01:34.929 --> 00:01:35.089]  Exactly.
[00:01:35.089 --> 00:01:39.491]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:01:39.491 --> 00:01:46.994]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:01:46.994 --> 00:01:48.695]  You're listening to the Alex Jones Show!
[00:02:21.107 --> 00:02:22.867]  I was there!
