[00:00.000 --> 00:11.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the info war.
[00:11.000 --> 00:23.000]  It's Tuesday, January 15th, 2019, and I'm your host Alex Jones.
[00:23.000 --> 00:29.000]  My problem is there's too much news to cover, and I always tend to go down a few rabbit trails
[00:29.000 --> 00:37.000]  and not get a third of it, but today I'm going to try my dead level best to get to almost all of this news.
[00:37.000 --> 00:43.000]  There's a new giant caravan forming in Honduras, funded and run by the UN and George Soros on its way,
[00:43.000 --> 00:49.000]  and Trump has extended the military emergency on the U.S. border now through September,
[00:49.000 --> 00:53.000]  and of course the enemies inside our government are saying it's terrible, it's treason,
[00:53.000 --> 00:57.000]  it's white supremacy, blah blah blah to have a border.
[00:57.000 --> 01:08.000]  They'll be looking at all that. Trump and lawmakers paralyzed over shutdown as both sides remain dug in.
[01:08.000 --> 01:15.000]  We're going to be going over all of that. A really important story that illustrates why we can't take this country back.
[01:15.000 --> 01:27.000]  The GOP has thrown Representative King overboard, Steve King, with a out of context quote from the New York Times,
[01:27.000 --> 01:37.000]  who's famous for lying. The New York Times is a criminal, anti-American, vicious lie factory.
[01:37.000 --> 01:46.000]  He's put a letter out. He said that they removed words out of what he said. It's clear what he was saying,
[01:46.000 --> 01:52.000]  and none of the media will even pick it up. Instead, the headlines are,
[01:52.000 --> 01:58.000]  Steve King says he isn't a white supremacist, but he stands by his quote that white supremacists are good.
[01:58.000 --> 02:05.000]  When he's got a public statement out the last day and a statement the day before that saying it's not true,
[02:05.000 --> 02:12.000]  I have experienced the New York Times. They are a ship of devils.
[02:12.000 --> 02:22.000]  But here's the issue. Then the bolster at the New York Times gives a history of his white supremacist attitude.
[02:22.000 --> 02:29.000]  And when you read the quotes, it's, he talks about illegal aliens having double the crime rate.
[02:29.000 --> 02:36.000]  Okay? He says we should be proud of the accomplishments of Western civilization. Absolutely.
[02:36.000 --> 02:43.000]  Aren't the Chinese proud of themselves? Aren't the Japanese proud of themselves?
[02:43.000 --> 02:50.000]  It's just, it's just a rosetta stone into everything, how they lie, how they manipulate,
[02:50.000 --> 03:03.000]  and how the weak need chicken-necked Republicans desperate to curry favor with the left and race-based leftist constituents
[03:03.000 --> 03:11.000]  through an overboard. You know, we have Sarah Jong saying she can't wait till whites are bred out,
[03:11.000 --> 03:16.000]  that whites are horrible subhuman creatures that live in holes like goblins, these are quotes,
[03:16.000 --> 03:24.000]  and that she loves being mean to white people. Now she's on the board of the New York Times and they stand by that.
[03:24.000 --> 03:30.000]  I mean, the media projects like whites are these evil people. Everybody wants to get into white nations
[03:30.000 --> 03:36.000]  because the truth is on average we're very, very nice because of Christian society.
[03:36.000 --> 03:39.000]  That's what helped phase out the barbarism that was everywhere else.
[03:39.000 --> 03:47.000]  And Christianity comes out of the Middle East and it's adopted in Europe. My God, in China they just let you starve to death on the side of the street.
[03:47.000 --> 03:54.000]  But see, we've got to, oh my gosh, oh my gosh, you've got brown skin, can I bow down to you when you call me subhuman?
[03:54.000 --> 04:01.000]  But then the same criminal organization, I mean it's a criminal organization, takes clearly.
[04:01.000 --> 04:07.000]  We're saying white supremacists, you know, Nazis, all this stuff, you know, they're comparing it to Western civilization.
[04:07.000 --> 04:15.000]  That's the quote. And the New York Times removes that out and just says, you know, has King up there saying that,
[04:15.000 --> 04:23.000]  and it's out of context when we all know his talking points. So it's incredible dumb effing white people making up the internet,
[04:23.000 --> 04:28.000]  marking up the internet with their opinions like dogs pissing on fire hydrants.
[04:28.000 --> 04:32.000]  I mean, she is a vicious anti-white piranha.
[04:32.000 --> 04:38.000]  We've aired the clips. They show kids at school teaching Asian kids to hate white people and hate white men.
[04:38.000 --> 04:44.000]  We've played those clips. I mean, this is the savage beyond white supremacist level.
[04:44.000 --> 04:48.000]  It goes beyond white supremacist and some of their most barbarous quotes.
[04:48.000 --> 04:53.000]  The minorities under let this control and take it to new foaming at the mouth hatred.
[04:53.000 --> 04:56.000]  Just absolutely wanting to murder white people.
[04:56.000 --> 05:01.000]  That's why we've introduced the Info Wars Life Daily Digestive Pack to help you fuel it right.
[05:01.000 --> 05:07.000]  Combine Flora Life Everyday Maintenance and Carnivore to help you fuel your gut and body
[05:07.000 --> 05:10.000]  and take advantage of the powerful nutrients you receive.
[05:10.000 --> 05:13.000]  There's no better way to power your body.
[05:13.000 --> 05:20.000]  Flora Life is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[05:20.000 --> 05:26.000]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients.
[05:26.000 --> 05:32.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[05:32.000 --> 05:37.000]  These incredible formulas can help keep your body in tip-top shape in the fight against stress,
[05:37.000 --> 05:39.000]  age and outside toxins.
[05:39.000 --> 05:45.000]  There's no better time to try Flora Life and Carnivore to see how well they can support your body
[05:45.000 --> 05:50.000]  Don't miss out on the chance to fuel your body and support recovery.
[05:50.000 --> 06:15.000]  Try the Info Wars Life Daily Digestive Pack today.
[06:15.000 --> 06:21.000]  We now take you live to the Central Texas Command Center and the heart of the Resistance.
[06:21.000 --> 06:26.000]  It's Alex Jones.
[06:26.000 --> 06:33.000]  Austin, Texas. Transmitting worldwide. It's Alex Jones.
[06:33.000 --> 06:40.000]  There are several stories here in my stack that are absolutely key to understanding what we're facing
[06:40.000 --> 06:43.000]  and what we have to do to take this country and the world back for everybody.
[06:43.000 --> 06:47.000]  No matter what color you are, where you came from or what your religion is.
[06:47.000 --> 06:56.000]  But if people won't sign on to the Renaissance and Western civilization and Christianity, basic ethos,
[06:56.000 --> 07:01.000]  everywhere else will sink into barbarism and collapse. It's just a fact.
[07:01.000 --> 07:05.000]  This whole Steve King situation, watching the Cowardly Republicans throw him overboard
[07:05.000 --> 07:10.000]  via a fake news story out of the New York Times is truly disgusting,
[07:10.000 --> 07:16.000]  but we're going to be covering this in detail at the start of the next segment.
[07:16.000 --> 07:21.000]  I'm going to go through every angle of it because it's bigger than Steve King.
[07:21.000 --> 07:27.000]  It's the anatomy of how the New York Times deceives, how they twist,
[07:27.000 --> 07:32.000]  and then once they put out one big lie and define someone as something,
[07:32.000 --> 07:41.000]  they then attach the false thing to real things they've said, thus defining saying that illegal aliens
[07:41.000 --> 07:45.000]  have doubled the crime rate of the average citizen. That's an FBI's own numbers.
[07:45.000 --> 07:48.000]  That becomes the white supremacist statement.
[07:48.000 --> 07:54.000]  And then out of that, they've set the new precedent to have the Republicans grovel and fear
[07:54.000 --> 08:01.000]  and throw them under the bus and go virtue signal because Senator Mitt Romney, the neocon, leftist,
[08:01.000 --> 08:07.000]  led the way. After all, he created the model of Obamacare to rip everybody off.
[08:07.000 --> 08:12.000]  Isn't he a great guy? Thank you, Mittens Romney.
