[00:00:01.000 --> 00:00:16.000]  Intro
[00:00:16.000 --> 00:00:19.000]  InfoWars. Tomorrow's News. Today.
[00:00:30.000 --> 00:00:51.360]  Well, ladies and gentlemen. Boy, oh boy. I don't know where to begin. Is it the Biden
[00:00:51.360 --> 00:01:01.560]  crime family? Being completely exposed in ways we didn't even know. There's actually
[00:01:01.560 --> 00:01:09.880]  new information developing on this now. Apparently there's another phone. Biden had another phone.
[00:01:09.880 --> 00:01:18.320]  Joe Biden, that is. Had another phone. And this one was paid for by Hunter Biden's firm.
[00:01:18.320 --> 00:01:23.440]  I guess that's so Joe Biden could have a communication device that wasn't being tracked by the U.S.
[00:01:23.440 --> 00:01:34.920]  government. Sounds familiar. Sounds familiar. Is he going to smash that with a hammer? Is
[00:01:34.920 --> 00:01:42.120]  he going to bleach bit all the data off of that? And we all knew that Hunter Biden had
[00:01:42.120 --> 00:01:53.880]  a sex addiction. Now we know that he was using his sex club membership. Sex club. Hey, you
[00:01:53.880 --> 00:02:02.200]  want to go down to the club? Think about maybe your gym, maybe a rec center. Maybe some sort
[00:02:02.200 --> 00:02:07.360]  of a lodge, a gentleman's group. No, not Hunter Biden. If Hunter Biden says, let's go to the
[00:02:07.400 --> 00:02:18.040]  club. Bring a shot of penicillin with you. If Hunter Biden says, let's go to the club.
[00:02:18.040 --> 00:02:25.320]  Well, he might he might have some other things in mind. Here's what's incredible, though.
[00:02:25.320 --> 00:02:31.440]  We now have multiple FBI whistleblowers, multiple IRS whistleblowers, and it's the same story.
[00:02:31.440 --> 00:02:40.280]  They're just behind the scenes like, wow. Look at all this information we have on the
[00:02:40.280 --> 00:02:48.520]  Bidens and we keep being told to go after Trump. OK. And then they become whistleblowers.
[00:02:48.520 --> 00:02:53.520]  They go to members of Congress, House Republicans, and they say, here's what's going on.
[00:02:53.520 --> 00:02:56.520]  Here's the investigation. Hunter Biden, here's what you need to subpoena. Here's what you
[00:02:56.520 --> 00:03:01.120]  need to know. They have all the documents. This is who this is what you need to subpoena.
[00:03:01.120 --> 00:03:07.200]  There you go. And then the House Republicans do that and Merrick Garland, Stonewalls and
[00:03:07.200 --> 00:03:16.000]  Stonewalls and Chris Wray, Stonewalls and Stonewalls. As they are protecting the Bidens.
[00:03:16.000 --> 00:03:22.400]  And then it's the same at the IRS. People at the IRS see all of this going on.
[00:03:22.400 --> 00:03:29.520]  And they say, hey, you know, by the way, there's some other stuff you should know about the Bidens.
[00:03:29.520 --> 00:03:35.360]  So there's really never been anything like this before, at least in modern American history.
[00:03:35.360 --> 00:03:41.080]  Multiple FBI whistleblowers, multiple IRS whistleblowers blowing the whistle on the
[00:03:41.080 --> 00:03:46.560]  Biden crime family, just stunned behind the scenes at what's going on.
[00:03:46.560 --> 00:03:52.120]  And it might be one thing if they weren't engaged in the continued political persecution of
[00:03:52.120 --> 00:03:55.280]  Donald Trump, then then maybe they wouldn't be blowing the whistle.
[00:03:55.280 --> 00:03:59.640]  They'd say, well, just another day in Washington, D.C.
[00:03:59.640 --> 00:04:04.880]  But it's so bad. And then and then you could even say the state of the country is so bad.
[00:04:04.880 --> 00:04:12.520]  NBC poll. Seventy four percent of voters are deeply dissatisfied and say nation is on the wrong track.
[00:04:12.520 --> 00:04:17.360]  Well, you know, Americans, Americans work at the IRS.
[00:04:17.360 --> 00:04:26.760]  Americans work at the FBI. So America is on the wrong track for them, too.
[00:04:26.760 --> 00:04:35.120]  And they know how dangerous it is right now with Joe Biden in the White House for their future.
[00:04:35.120 --> 00:04:42.320]  But it's funny, if you go through the news all weekend, I was monitoring the mainstream news, barely a blip.
[00:04:42.320 --> 00:04:50.800]  But they did mention it, and even mentioning it is more than they usually do.
[00:04:50.800 --> 00:04:52.320]  How can they keep this under wraps?
[00:04:52.320 --> 00:04:56.920]  So IRS, FBI whistleblowers calling out the Biden crime family.
[00:04:56.920 --> 00:05:00.040]  I don't know how this one goes away.
[00:05:00.040 --> 00:05:04.800]  Infowarsstore.com is like a grocery store or like a vitamin shop.
[00:05:04.800 --> 00:05:06.880]  We want to have all the best brands.
[00:05:06.880 --> 00:05:08.840]  We want to have a bunch of different choices for you.
[00:05:08.840 --> 00:05:11.320]  So I get constant questions online in person.
[00:05:11.320 --> 00:05:12.960]  Hey, what's better? Knockout.
[00:05:12.960 --> 00:05:15.040]  What's better? Down and out.
[00:05:15.040 --> 00:05:17.800]  What's better? Why do you sell two or three different sleep aids?
[00:05:17.800 --> 00:05:20.480]  And the answer is different herbal formulas.
[00:05:20.480 --> 00:05:23.440]  Different compounds are better for different people.
[00:05:23.440 --> 00:05:25.960]  So one person might like this coffee.
[00:05:25.960 --> 00:05:27.440]  Another person likes that coffee.
[00:05:27.440 --> 00:05:28.840]  That's how our bodies work.
[00:05:28.840 --> 00:05:30.120]  They're all very diverse.
[00:05:30.120 --> 00:05:39.440]  But we've been able to private label a national bestseller that's been sold for many years that people love and sold for a lower price under the name Infowars MD.
[00:05:39.480 --> 00:05:41.040]  Good night's sleep.
[00:05:41.040 --> 00:05:46.520]  This is a great formula full of amazing safe compounds, deeper, cleaner, restful sleep.
[00:05:46.520 --> 00:05:51.080]  And it's stock available right now of 25 percent off out of the gates.
[00:05:51.080 --> 00:05:54.320]  So get your Infowars MD good night's sleep today.
[00:05:54.320 --> 00:05:55.320]  Infowarsstore.com.
[00:06:02.680 --> 00:06:09.080]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:06:09.120 --> 00:06:12.080]  And now your host, Owen Troyer.
[00:06:25.080 --> 00:06:26.840]  All right. It's Monday.
[00:06:30.000 --> 00:06:31.120]  You have one job.
[00:06:33.000 --> 00:06:38.560]  And that is to not grab the prostitutes ass at the sex club.
[00:06:40.000 --> 00:06:41.000]  Darn it, Hunter.
[00:06:42.800 --> 00:06:43.800]  Darn it, Hunter.
[00:06:45.400 --> 00:06:53.400]  Hunter Biden kicked out of ten thousand dollar sex club for grabbing women's asses, acting like a spoiled child.
[00:06:53.600 --> 00:06:57.280]  Boy, we are starting to get a picture into the Biden crime family, aren't we?
[00:06:58.960 --> 00:07:01.880]  Let's recall Me Too movement.
[00:07:01.880 --> 00:07:03.240]  Me too. Me too.
[00:07:03.240 --> 00:07:04.680]  Me too. No, not that.
[00:07:04.960 --> 00:07:13.480]  Let's recall that the Secret Service used to have issues with grabby Bidens as well.
[00:07:14.640 --> 00:07:20.200]  You know, the Secret Service used to have birthday parties and they'd bring their wives along, they'd bring their children along.
[00:07:20.200 --> 00:07:22.640]  And apparently the Bidens were getting awfully handsy.
[00:07:23.560 --> 00:07:28.640]  You know, if the Biden sees somebody they like, Biden sees your wife, hell, maybe they might be.
[00:07:30.000 --> 00:07:34.040]  Pansexual, Hunter Biden's probably pansexual, I mean, let's be honest.
[00:07:35.400 --> 00:07:39.680]  If he can stick his you know what inside of it, he's probably he's probably down.
[00:07:43.600 --> 00:07:51.320]  The Secret Service couldn't even do birthday parties anymore because the Bidens would come around their wives and children and get handsy.
[00:07:52.880 --> 00:07:59.520]  So it's kind of like what you've seen on C-SPAN with Joe Biden, grabbing little boys, little girls, grabbing their crotches, nibbling on their necks.
[00:08:00.520 --> 00:08:02.920]  It's kind of like that, except it's Secret Service.
[00:08:04.640 --> 00:08:15.200]  Wives, children at parties, so they just said, you know what, we can't do these parties anymore, the Bidens show up and they take liberties with our loved ones, so we're just going to go ahead and cancel that.
[00:08:17.680 --> 00:08:25.080]  But getting serious here on this Monday, June 26, 2023 edition of The Alex Jones Show, Owen Schroer filling in for Alex, an honor, a privilege to be here.
[00:08:25.080 --> 00:08:31.480]  The mystery still remains.
[00:08:34.640 --> 00:08:37.560]  Into the Biden crime family.
[00:08:40.200 --> 00:08:43.720]  Why did Hunter Biden leave his laptop at a computer repair shop?
[00:08:43.720 --> 00:08:46.920]  Was he really that out of his mind?
[00:08:46.920 --> 00:08:49.920]  Was he really that bombed out, drugged out of his mind?
[00:08:51.880 --> 00:08:54.360]  Was that really what happened or did he do it intentionally?
[00:08:55.640 --> 00:08:59.520]  What about Ashley Biden leaving her diary?
[00:09:00.560 --> 00:09:03.640]  I mean, folks, we're talking about the most.
[00:09:06.720 --> 00:09:16.200]  I mean, I don't know if you would say prized possessions, but certainly private possessions, you're talking about a diary when you're talking about your personal computer.
[00:09:16.960 --> 00:09:24.480]  So their most private possessions, Ashley Biden leaves her diary at a house she's renting to be discovered.
[00:09:25.200 --> 00:09:29.480]  Hunter Biden leaves his laptop at a computer repair shop to be discovered.
[00:09:29.800 --> 00:09:31.560]  Is that really on accident?
[00:09:35.240 --> 00:09:41.200]  And then it just opens up now with the IRS and the FBI covering up for the Bidens.
[00:09:43.840 --> 00:09:54.240]  And sure, in this window of time, it's about the Bidens, but it's really about the double standard where the connected, the well connected politically, the D.C.
[00:09:54.240 --> 00:09:56.560]  elite class is above the law.
[00:09:57.560 --> 00:10:02.680]  And they get to commit all types of crimes that you couldn't even imagine.
[00:10:04.480 --> 00:10:06.440]  But you got to be on your best behavior.
[00:10:06.680 --> 00:10:10.680]  You know, the border's wide open, but you better watch yourself.
[00:10:12.120 --> 00:10:17.320]  Sanctum sex club founder banned after naming Hunter Biden as former member.
[00:10:19.320 --> 00:10:23.280]  Yeah, you're not supposed to let America know what the Bidens are doing.
[00:10:25.080 --> 00:10:43.440]  But see, when you understand how most of the D.C. political class that you're dealing with are a bunch of addicts, including sex addicts, starts to make a little bit more sense.
