[00:00.000 --> 00:19.000]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[00:19.000 --> 00:30.000]  Well, I'm ready to say it on this Sunday, the 16th day of August 2015 worldwide broadcast. I'm ready to say it right now.
[00:30.000 --> 00:38.000]  I may have been wrong about Donald Trump because he is doing things right now politically.
[00:38.000 --> 00:45.000]  He is engaging in activities that are not what a scripted controlled candidate would do.
[00:45.000 --> 00:55.000]  He is causing the Clinton crime machine irrevocable harm on an absolutely massive scale.
[00:55.000 --> 01:02.000]  Now I've said I've given him the benefit of the doubt because he's supported both parties in the past and owns casinos
[01:02.000 --> 01:09.000]  and has his own list of problems and has been part of WWE wrestling, but I've got friends that have been part of that.
[01:09.000 --> 01:16.000]  And we're right to not just trust people that are long term politicians like Donald Trump.
[01:16.000 --> 01:21.000]  People think he's an outsider. He's a consummate insider to a certain point.
[01:21.000 --> 01:31.000]  He's made his money though off the service economy and off of real estate and off of products, not off of central banking like the globalist.
[01:31.000 --> 01:39.000]  So when he comes out and says Hillary should step down from the campaign trail, that she has a criminal probe, that she's probably going to get indicted.
[01:39.000 --> 01:50.000]  I mean, these are the things that will destroy that so-called aura of invincibility that people like the Clintons have.
[01:50.000 --> 02:01.000]  It is a big, big deal and there is a very good chance, not just intellectually or politically, but at my gut level, that Hillary Clinton is about to fall.
[02:01.000 --> 02:03.000]  And man, it couldn't happen sooner.
[02:03.000 --> 02:11.000]  And I really was watching different Sunday morning news shows meet the press, face the nation this morning, trying to monitor their propaganda.
[02:11.000 --> 02:15.000]  I mean, I wasn't tuning in to learn anything from their lies.
[02:15.000 --> 02:22.000]  That is from them, from the perspective they were pitching the propaganda, but from how they were spinning, how they were behaving.
[02:22.000 --> 02:29.000]  They showed some footage on one of the shows of Democrats meeting at Martha's Vineyard playing golf.
[02:29.000 --> 02:32.000]  And I've watched a lot of footage of presidents and their minions playing golf.
[02:32.000 --> 02:39.000]  Clinton looks like he's the walking dead and like he's a concentration camp victim not long for this world.
[02:39.000 --> 02:41.000]  Maybe your soul sucked out at some point.
[02:41.000 --> 02:45.000]  That's how Al Sharpton looks too, and he's been around a while.
[02:45.000 --> 02:47.000]  And Obama looks like hell.
[02:47.000 --> 02:49.000]  Hillary looks like hell.
[02:49.000 --> 02:51.000]  They all look completely insane.
[02:51.000 --> 02:56.000]  I mean, if I saw Bill Clinton walk down the street, I'd say that's a mentally ill and sane person.
[02:56.000 --> 02:58.000]  I mean, he looks like a Heaven's Gate cult leader or something.
[02:58.000 --> 03:01.000]  I mean, look at him in the photo if you're watching this on TV.
[03:01.000 --> 03:03.000]  I mean, that's a fruit loop right there.
[03:03.000 --> 03:07.000]  And in my fruit loop, there's no life in it.
[03:07.000 --> 03:12.000]  So I think there's big shakeups in the power structure because there's two different economies.
[03:12.000 --> 03:20.000]  There's billionaires and millionaires and middle class and working class folks that are based on free market that want prosperity,
[03:20.000 --> 03:29.000]  that want wealth, that want an economy that's healthy because they're the type of rich that gets hurt by an economy not doing well.
[03:29.000 --> 03:37.000]  Then there's the globalists who control all the currency and credit and have unlimited fake wealth who are at war with other wealth they don't control,
[03:37.000 --> 03:40.000]  who want poverty to control people.
[03:40.000 --> 03:42.000]  And there's the big fight between those two different groups.
[03:42.000 --> 03:49.000]  I mean, you can boil it down to free market capitalist and crony neo feudal capitalist.
[03:49.000 --> 03:52.000]  You can put any different labels you want on all day long.
[03:52.000 --> 03:53.000]  That's what's going on.
[03:53.000 --> 03:55.000]  So ultra huge news on that front.
[03:55.000 --> 03:57.000]  We've got all the clips coming up and more.
[03:57.000 --> 03:59.000]  Then we've got some really good news.
[03:59.000 --> 04:04.000]  Arkansas becomes the fourth state to defund Planned Parenthood after it sells aborted babies.
[04:04.000 --> 04:08.000]  We're seeing implosion level events by the globalist right now.
[04:08.000 --> 04:18.000]  STEM Express that was buying the baby parts from the eugenics society now is Planned Parenthood is cutting ties and not buying the goods anymore.
[04:18.000 --> 04:21.000]  So huge, huge positive news on that front.
[04:21.000 --> 04:27.000]  We've got the latest on police chief sheriffs blast ice over policy.
[04:27.000 --> 04:30.000]  They say freeze violent illegal immigrants.
[04:30.000 --> 04:34.000]  The law actually does not give us the right to place an ice hold.
[04:34.000 --> 04:40.000]  We'll get into the latest on the economy, Cuba, Syria, Japan as a big volcano.
[04:40.000 --> 04:43.000]  Get ready to go off right next to a nuclear power plant.
[04:43.000 --> 04:45.000]  So we have another Fukushima on our hands.
[04:45.000 --> 04:50.000]  Why do you build these plants on fault lines, tsunami lines and volcanic rifts?
[04:50.000 --> 04:54.000]  Japan's a very active tectonic country.
[04:54.000 --> 04:56.000]  Mother houses are made out of paper.
[04:56.000 --> 04:59.000]  I mean why do we build all the reactors there?
[04:59.000 --> 05:05.000]  Super male vitality is InfowarsLife.com's number one selling product for a good reason.
[05:05.000 --> 05:06.000]  It works.
[05:06.000 --> 05:10.000]  Go to InfowarsLife.com today and read the testimonials for yourself.
[05:10.000 --> 05:17.000]  There are thousands of them with an average voting score at an unprecedented 4.8.
[05:17.000 --> 05:25.000]  It is concentrated herbs and natural organic compounds known to energize the body's natural processes
[05:25.000 --> 05:29.000]  that are blocked by estrogen mimicers and other toxic elements in the food chain.
[05:29.000 --> 05:34.000]  Super male vitality from InfowarsLife.com has sold out multiple times in the last three months.
[05:34.000 --> 05:42.000]  To fix that problem, we have now produced the biggest and most concentrated high quality batch of super male vitality in the product's history.
[05:42.000 --> 05:45.000]  Our new ultra strength formula is even stronger.
[05:45.000 --> 05:49.000]  Check out the third party reviews and informational videos at InfowarsLife.com.
[05:49.000 --> 05:52.000]  Now it's time to get your body in balance and fight back.
[05:52.000 --> 06:18.000]  I'm Alex Jones for Super Male Vitality and InfowarsLife.com and I salute you, our supporters.
[06:22.000 --> 06:32.000]  It is the 16th day of August 2015.
[06:32.000 --> 06:35.000]  Thank you so much for joining us.
[06:35.000 --> 06:42.000]  I'm your host, Alex Jones, coming to you from deep in the heart of Texas, Austin, broadcasting on different formats worldwide,
[06:42.000 --> 06:45.000]  reaching 20 million people a week one way or another.
[06:45.000 --> 06:54.000]  I am extremely honored to be your host and to be working with the great reporters and the folks behind the scenes and the anchors
[06:54.000 --> 06:57.000]  for Infowars Radio and Infowars TV.
[06:57.000 --> 07:01.000]  Find all the details at Infowars.com forward slash show.
[07:01.000 --> 07:04.000]  And certainly please send that link on to friends and family.
[07:04.000 --> 07:12.000]  You are the main engine of the success of this Americana constitutional renaissance pro-freedom pro-prosperity message
[07:12.000 --> 07:19.000]  to make humanity great again, not just America.
[07:19.000 --> 07:22.000]  I'm going to say it right here on air.
[07:22.000 --> 07:30.000]  I am rarely wrong in a big way, very rarely.
[07:30.000 --> 07:34.000]  But sometimes I am.
[07:34.000 --> 07:39.000]  I mean, I get dates wrong and sometimes say a guest's name wrong or sometimes flip facts around in my head.
[07:39.000 --> 07:41.000]  We all do that in a busy world.
[07:41.000 --> 07:43.000]  I'm teleprompter free.
[07:43.000 --> 07:47.000]  You can write news articles and you're going to have typos and problems sometimes.
[07:47.000 --> 07:49.000]  This isn't all written up prefab.
[07:49.000 --> 07:51.000]  This is research.
[07:51.000 --> 07:52.000]  This is passion.
[07:52.000 --> 07:54.000]  This is a world understanding.
[07:54.000 --> 07:56.000]  But it is unscripted.
[07:56.000 --> 07:57.000]  So there's mistakes.
[07:57.000 --> 08:06.000]  But I rarely fundamentally misgage major geopolitical movements and national movements.
[08:06.000 --> 08:11.000]  Because I've been doing this 23 years on air over 20.
[08:11.000 --> 08:16.000]  And I've learned who the players are, who the different clubs are, who the different power structures are.
[08:16.000 --> 08:26.000]  And in the last 20 plus years, it's been the same group of players, several different camps, but globalists all the same, that have been in control.
[08:26.000 --> 08:29.000]  And I've learned how Zbigniew Brzezinski runs a White House.
[08:29.000 --> 08:33.000]  I've learned how Henry Kissinger advises a White House.
[08:33.000 --> 08:37.000]  I've learned how George Schultz runs an operation.
[08:37.000 --> 08:41.000]  I've learned how A. James Baker runs an operation.
[08:41.000 --> 08:44.000]  I've learned how David Gergen runs an operation.
[08:44.000 --> 08:50.000]  And these are the people that go and talk to the major shareholders of the corporate world government.
[08:50.000 --> 08:56.000]  And then who come and basically tell the White House and the congressional leaders how the cow ate the cabbage.
[08:56.000 --> 09:09.000]  And then if you know where those people are going and what they want and what their agenda is, you'll know what they're going to pull before it even happens.
[09:09.000 --> 09:18.000]  That said, before I get into my correction here today.
[09:18.000 --> 09:23.000]  And again, I would be happy to be completely wrong because it would change my worldview about things.
[09:23.000 --> 09:26.000]  I'm only partially wrong.
[09:26.000 --> 09:35.000]  And I think it's important for all of us to realize that the closer we get to something, the more knowledge we have about it and the more wisdom we have at one level.
[09:35.000 --> 09:44.000]  But also you can get so close to the abyss to quote Nishi that you become the abyss and you become too cynical.
[09:44.000 --> 09:55.000]  Because for all the complexity in the world and all the globalist tools of social engineering, still they're not gods. They're not in total control.
[09:55.000 --> 10:09.000]  And when people are promoting freedom, when they are promoting ideas that are so popular and so transcendent, it's going to catch on, especially when things start to get tyrannical.
[10:09.000 --> 10:19.000]  That's why tyrants always seek to shut down opposition because they know opposition is going to be popular when things get rough.
[10:19.000 --> 10:25.000]  Now, what am I getting at here?
[10:25.000 --> 10:34.000]  Donald Trump owns casinos. I don't really like gambling, especially at an industrial scale. I think it chumps people.
[10:34.000 --> 10:38.000]  But I'm a libertarian, so if you want casinos, go ahead and have them.
[10:38.000 --> 10:42.000]  It doesn't mean I have to agree with them.
[10:42.000 --> 10:47.000]  I gamble in other ways. For liberty and freedom, I gamble with my life, my name, my treasure.
[10:47.000 --> 11:02.000]  I don't gamble at some mafia organization or some big multinational corporations' tables when the deck is stacked, when the tables are slanted.
[11:02.000 --> 11:09.000]  So he's involved in casinos, and I don't like that. But he's involved in a lot of other free market activities.
[11:09.000 --> 11:15.000]  I think you're admirable and fine, and I admire people that have basically been successful by the sweat of their brow.
[11:15.000 --> 11:22.000]  On the scale of billionaires, he's one of the poorest, worth about $4 billion. He hides a lot of his wealth. He's probably worth $20 billion.
[11:22.000 --> 11:30.000]  And even Forbes says that. The real power of this world is worth $100 billion apiece. People like Bill Gates, most of his wealth is hidden.
[11:30.000 --> 11:37.000]  The Queen of England's wealth is a state secret. So is the Queen of the Netherlands. These people are worth trillions. So are the Rothschilds.
[11:37.000 --> 11:44.000]  So what I'm getting at there is Donald Trump is not in the upper echelons of power.
[11:44.000 --> 11:52.000]  If you go out in national studies, and they've done them in Manila Street interviews, most people in America believe Donald Trump is the richest man.
[11:52.000 --> 12:09.000]  And that's because he's had TV shows, drama shows, reality shows, wrestling shows. For 30 years, he's been on the scene as Richie Rich, his daddy, with all of his European wives, and all the rest of it.
[12:09.000 --> 12:16.000]  And hosting the Miss America contest and whatever.
[12:16.000 --> 12:24.000]  So he is Americana. You can say what you want about him. He is Americana kind of rock star-ish.
[12:24.000 --> 12:33.000]  He plays golf with the Clintons. He hangs around them. He's given the Democrats more money than Republicans. I get his statement about having to do business.
[12:33.000 --> 12:38.000]  As a corporate owner, you have to give to both parties so they destroy you. That's pretty much true.
[12:38.000 --> 12:52.000]  What he's been saying the last three months since he got in the campaign is been spot on. He's been demonized and attacked. So if you don't defend his ideas, whether he stands form or not, you're letting the enemy win by building a straw man.
[12:52.000 --> 12:58.000]  So I've defended him on that front. And, you know, Jesse Ventura has even said he's, quote, shaking the political system to its core.
[12:58.000 --> 13:07.000]  We've got Ventura coming on next week. But that said, it didn't mean I trusted Donald Trump, but I left it open.
[13:07.000 --> 13:21.000]  But I said on air, I think he helps Hillary Clinton. He helps distract away from all the other Republican candidates like Rand Paul and others that was the front leader just three months ago.
[13:21.000 --> 13:32.000]  And if he drops out or runs his third party, he will then checkmate the Republicans and ensure a Democrat gets in like Hillary Clinton or Joe Biden, who's not saying he may enter the race.
[13:32.000 --> 13:43.000]  So if he leaves the third party, he'll get the Democrats in. If he is a shell for Hillary and falls on his sword and starts making a bunch of really stupid statements or drops out, we know he's a shell.
[13:43.000 --> 13:54.000]  He'll be anathema. His name will be dirt. He hadn't really attacked the Clintons yet or Jeb Bush, who we know the Clintons and the Bushes definitely vacation together.
[13:54.000 --> 14:04.000]  They call each other, you know, brothers and sisters, Bush seniors, wife calls Clinton her son. I mean, it's sick. They're involved in corrupt charities together.
[14:04.000 --> 14:17.000]  You know, we're half the money goes to their, their luxury jets and hotels and houses. I mean, it's a sick mess. So we know the Bushes and the Clintons are in it together, totally staged.
[14:17.000 --> 14:28.000]  I've been watching Trump and I'm here to tell you when I say I'm wrong. I was just saying I don't trust him, but I hope he's for real.
[14:28.000 --> 14:36.000]  What he's doing now and watching his body language and everything he's doing, he's running to win.
[14:36.000 --> 14:42.000]  He is saying Hillary needs to step down is probably going to be indicted and is basically a criminal.
[14:42.000 --> 14:54.000]  He is saying that this email thing is a big deal in the cover up. If he was working with them, he wouldn't be doing that because these are broadside torpedoes and Hillary is starting to sink right now.
[14:54.000 --> 15:03.000]  Praise God. This is irrevocable damage. Irrevocable when he started doing it on Friday almost came into a special report. It's so important.
[15:03.000 --> 15:13.000]  And this is probably the end of Hillary. All of her hubris, her arrogance. I don't want to say she's down yet, but she goes beneath the waves.
[15:13.000 --> 15:24.000]  But she's on fire. Her magazine is exploding. Her armaments on board have caught fire. She is sinking fast. I mean, she is going down fast.
[15:24.000 --> 15:34.000]  Clinton looks like he's dying. Her husband, her beard, but I'm not against her that she's a lesbian. It's just that their daughter is not, you know, it's just all staged.
[15:34.000 --> 15:50.000]  That's her hubble's daughter. She's seen more women than a, you know, pink bicycle seat. I mean, you know, the whole point is that this is a day to remember.
[15:50.000 --> 15:59.000]  The Clinton dynasty is circling the toilet bowl. This is just so beautiful. Thank you, Donald Trump. Thank you, my cupcake.
[15:59.000 --> 16:11.000]  When cells become toxic, they die early and aging sets in. No one has put together a formula that focuses directly on brain health, nerve growth factors and optimizing your cellular energy at the same time.
[16:11.000 --> 16:21.000]  Just one of the key compounds by OPQQ is backed by major clinical studies. You want the best that's out there at the lowest price anywhere? We now have the synergistic solution.
[16:21.000 --> 16:47.000]  Secure your DNA force today at infowarslife.com or call toll-free 888-253-3139.
[16:47.000 --> 16:51.000]  It doesn't have stimulants. It doesn't have garbage in it. It has natural things that do it clean.
[16:51.000 --> 17:00.000]  You will find brain force and other game-changing products at infowarslife.com or call 888-253-3139.
[17:00.000 --> 17:07.000]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[17:07.000 --> 17:16.000]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective, colloidal silver on the market's day for the lowest price available.
[17:16.000 --> 17:23.000]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial antigens.
[17:23.000 --> 17:31.000]  InfoWarsLife.com developed a silver bullet by closely working with one of the top silver manufacturing labs in the United States.
