[00:00:00.049 --> 00:00:05.365]  Click on Join Now and experience ACT, the healthy, feel-good energy drink, today!
[00:00:38.265 --> 00:00:47.210]  Alright, welcome back.
[00:00:47.210 --> 00:00:51.332]  We're talking to Steve Watson from the United Kingdom.
[00:00:51.332 --> 00:01:00.918]  Don't forget, the continual news coverage is all up on JonesReport.com, InfoWars.net, PrisonPlanet.tv, InfoWars.com, PrisonPlanet.com.
[00:01:01.701 --> 00:01:11.367]  We now go to Steve Watson in the United Kingdom, joining us from his home in London, reporting there for us.
[00:01:11.367 --> 00:01:14.669]  His brother is in Communist-controlled China.
[00:01:15.820 --> 00:01:30.668]  Right now, reporting for us, he's been reporting on net censorship there, where he literally can't do keyword searches on Google or Yahoo, dealing with the New World Order or Chinese corruption, where everything goes through filters, even supposed high-speed internet is slower than dial-up.
[00:01:30.668 --> 00:01:37.971]  He writes articles about it, saying he's in China, and people email us saying that he's clearly not in China and we're making it all up.
[00:01:37.971 --> 00:01:43.134]  As if China isn't censoring and China isn't controlling the web, and as if that isn't admitted already.
[00:01:44.013 --> 00:01:48.574]  This is the level of denial that people are living in.
[00:01:48.574 --> 00:01:57.017]  You know, for Paul's protection, we weren't going to announce he was in China, but he went ahead and announced himself in an article a few days ago because he was getting ready to get out of there.
[00:01:57.017 --> 00:01:58.477]  But let's just put it this way.
[00:01:58.477 --> 00:02:00.517]  Paul doesn't like it.
[00:02:00.517 --> 00:02:09.900]  Even living in police state England, or police state America that he's visited, he does not like the communist-controlled Chinese mainland.
[00:02:10.623 --> 00:02:22.372]  Where Mao killed conservatively 60 million people and they have mobile execution vans, 24 mobile execution vans per major city, 24 hours a day, murdering people for their organs.
[00:02:22.372 --> 00:02:25.775]  But side issue, just that coverage is up on PrisonPlanet.com as well.
[00:02:25.775 --> 00:02:32.140]  Steve Watson, PrisonPlanet.com reporter and weekend editor, joining us.
[00:02:32.140 --> 00:02:38.145]  FBI knowingly allowed Bin Laden to personally charter flight after 9-11.
[00:02:40.032 --> 00:02:49.915]  Newly released documents prove agency let Osama Bin Laden's family go at his request, even without questioning the family.
[00:02:49.915 --> 00:02:53.436]  Steve Watson, obviously this is big news, it's out from Judicial Watch.
[00:02:53.436 --> 00:02:55.417]  Broke yesterday, no one seemed to pick it up.
[00:02:55.417 --> 00:03:00.378]  We've now done a more detailed report on it, and it is going supernova as we speak.
[00:03:00.378 --> 00:03:04.039]  Steve Watson, break it down for us, my friend.
[00:03:04.039 --> 00:03:05.880]  Well hello, yeah, thanks Alex.
[00:03:05.880 --> 00:03:06.620]  Well basically,
[00:03:08.024 --> 00:03:13.606]  It was picked up, I think, by the AFP, the French press agency.
[00:03:13.606 --> 00:03:26.750]  And, yeah, it's big news because it basically shows the Judicial Watch released documents that they gained as part of their litigation under the Freedom of Information Act.
[00:03:26.750 --> 00:03:37.474]  And it basically shows that not only did the FBI know that, you know, the hundreds of Bin Laden brothers and relatives were being flown out,
[00:03:38.556 --> 00:03:46.978]  They also knew that at least one of the flights has been personally chartered by Osama Bin Laden himself.
[00:03:46.978 --> 00:03:48.999]  And this wasn't, you know, one of the earlier flights.
[00:03:48.999 --> 00:03:52.279]  This was on the 19th of September.
[00:03:52.279 --> 00:04:02.502]  So, you know, it's a good week after the attacks have taken place and it's been, you know, drummed into the millions watching that Osama Bin Laden's behind the whole thing.
[00:04:03.779 --> 00:04:14.048]  I mean, at this time, Bin Laden is 24 hours a day, his face is exclusively superimposed over the collapsing towers on TV perpetually.
[00:04:14.048 --> 00:04:15.149]  Exactly, yeah.
[00:04:15.149 --> 00:04:25.938]  So, quite why, you know, they decided not to... I mean, they didn't even question any of the people on the plane.
[00:04:25.938 --> 00:04:32.183]  The documents, due to watch of release, contain inconsistencies
[00:04:32.771 --> 00:04:34.113]  In themselves.
[00:04:34.113 --> 00:04:40.020]  In that the FBI doesn't seem to know how many people were even on the plane.
[00:04:40.020 --> 00:04:43.945]  In one section it says... I can't remember the numbers.
[00:05:31.969 --> 00:05:58.799]  ...something like 23 people on the plane, and then later on it says, you know, 20... ...for a proctologist exam, and, but don't worry, bin Laden was just flight after flight, from the day after right through ten days later, just continual flights out of the country, and the FBI at first wasn't even searching him, and then did a cursory search here, and, well, we think bin Laden may have chartered this, but that doesn't matter, a bunch of Saudi family members chartered by bin Laden, I don't see any need for an investigation.
[00:06:00.692 --> 00:06:03.413]  No, I mean, they've really done a good thorough job there.
[00:06:03.413 --> 00:06:23.696]  I mean, the 9-11 Commission corroborated that fact that they've done a superlative investigation there, not even questioning anyone, just doing a sort of luggage check, like they're sort of baggage handlers or something.
[00:06:23.696 --> 00:06:28.517]  And the other thing with this is they've attempted to
[00:06:29.403 --> 00:06:38.190]  ...to cover up this fact in their own documents as well, because the documents that were eventually released to judicial watching have been made public now.
[00:06:38.190 --> 00:06:49.339]  You know, they've had the documents for quite a while, but it's been ongoing because things were blacked out in the documents, and they wanted them redacted and released fully.
[00:06:49.339 --> 00:06:56.205]  And when you look at the documents, you see that the words of Osama bin Laden have been blacked out, and then sort of
[00:06:56.809 --> 00:07:06.074]  Well, Steve Watson, what we need to do is go get all those video clips, not just the quotes, because people won't believe it.
[00:07:19.312 --> 00:07:25.016]  I know we've got the video clips, we've posted them online, of Bush in the weeks and months and even a year after 9-11.
[00:07:25.016 --> 00:07:28.018]  We're going to hunt Bin Laden down in his holes.
[00:07:28.018 --> 00:07:29.199]  We're going to smoke him out.
[00:07:29.199 --> 00:07:31.361]  Bin Laden, we will hunt this killer down.
[00:07:31.361 --> 00:07:32.542]  He will be captured.
[00:07:32.542 --> 00:07:34.523]  That's our number one priority.
[00:07:34.523 --> 00:07:36.765]  Bin Laden is our number one priority.
[00:07:36.765 --> 00:07:37.825]  We're going to capture him.
[00:07:37.825 --> 00:07:39.006]  We're going to get him.
[00:07:39.006 --> 00:07:41.568]  Bush said it over and over and over again.
[00:07:41.568 --> 00:07:45.711]  Remember, folks, when Bush said hundreds of times, and his whole administration said it.
[00:07:45.711 --> 00:07:47.172]  It's got to be thousands of times total.
[00:07:47.896 --> 00:07:50.417]  Hunting down Bin Laden is the number one thing.
[00:07:50.417 --> 00:07:51.617]  We are gonna capture him.
[00:07:51.617 --> 00:07:52.858]  We are gonna kill him.
[00:07:52.858 --> 00:07:55.319]  We are gonna get you, Mr. Bin Laden.
[00:07:55.319 --> 00:07:58.680]  And then a few years later, Bush said, in press conferences, they'd say, what about Bin Laden?
[00:07:58.680 --> 00:07:59.761]  Are you gonna capture him?
[00:07:59.761 --> 00:08:01.481]  I'm not really worried about where he is.
[00:08:01.481 --> 00:08:03.682]  I'm not really worried about capturing him.
[00:08:03.682 --> 00:08:04.742]  You know, I don't really care.
[00:08:04.742 --> 00:08:06.903]  I don't really think about Mr. Bin Laden.
[00:08:06.903 --> 00:08:08.244]  And he's done that several times.
[00:08:08.244 --> 00:08:11.305]  We need to show people those clips with this article.
[00:08:11.869 --> 00:08:13.251]  So they remember.
[00:08:13.251 --> 00:08:26.185]  Now, we're going back to the time when Bush was saying, we're going to hunt down these killers, these evildoers, this dark cult of evil that thrives off of human suffering from his Pentagon speech he gave at that memorial a few weeks after.
[00:08:27.583 --> 00:08:35.906]  And at the very time he's giving these speeches, you've got Osama bin Laden chartering a plane, another plane, one of many, flying his family out.
[00:08:35.906 --> 00:08:41.148]  The FBI does their job, partially, and at least admits, okay, it looks like bin Laden chartered this.
[00:08:41.148 --> 00:08:46.910]  And then the FBI has to release the documents, and they black out Osama bin Laden's name for his privacy.
[00:08:46.910 --> 00:08:49.231]  We have to have privacy for Mr. bin Laden.
[00:08:49.231 --> 00:08:50.811]  How dare Judicial Watch?
[00:08:50.811 --> 00:08:53.552]  How dare the agency French Press?
[00:08:53.552 --> 00:08:55.693]  And how dare PrisonPlanet.com?
[00:08:56.483 --> 00:08:58.705]  Take the privacy of Mr. Bin Laden!
[00:08:58.705 --> 00:09:01.427]  You ought to be ashamed of yourself, Steve!
[00:09:01.427 --> 00:09:04.589]  You're hurting his privacy right now!
[00:09:04.589 --> 00:09:08.552]  Well... I don't much care... No, no, you're despicable!
[00:09:08.552 --> 00:09:09.333]  You're despicable!
[00:09:09.333 --> 00:09:11.354]  You've hurt Mr. Bin Laden's feelings!
[00:09:11.354 --> 00:09:13.696]  How do you sleep at night?
[00:09:13.696 --> 00:09:15.517]  Go ahead.
[00:09:15.517 --> 00:09:19.520]  Well... You really... That should say business interest, shouldn't it?
[00:09:19.520 --> 00:09:21.602]  It shouldn't say privacy interest.
[00:09:21.602 --> 00:09:25.585]  Because, you know... As we've documented exhaustively...
[00:09:26.471 --> 00:09:31.893]  The Bushes and the Bin Ladens have extremely close business relationships.
[00:09:31.893 --> 00:09:38.395]  Oh yeah, Bush said arrest anybody with any connection to Bin Laden, and there's no one in the West that has greater connections than Carlisle Group.
[00:09:38.395 --> 00:09:45.197]  In fact, the London Guardian, NAP, reported that on the morning of 9-11, where was George Bush Sr.
[00:09:45.197 --> 00:09:48.959]  having breakfast, and at which table was he sitting, Steve?
[00:09:48.959 --> 00:09:55.201]  He was sitting at a table in the Ritz Carlton Hotel with Shafiq Bin Laden.
[00:09:57.355 --> 00:10:01.138]  The brother of Osama Bin Laden.
[00:10:01.138 --> 00:10:02.299]  And they were doing business.
[00:10:02.299 --> 00:10:05.322]  They were doing Carlisle Group business.
[00:10:05.322 --> 00:10:09.766]  Carlisle Group is a defense contractor.
[00:10:09.766 --> 00:10:18.153]  And of course, about a month and a half before 9-11, the Wall Street Journal, in the front page of its editorial section, called for Bush Sr.
[00:10:18.153 --> 00:10:21.315]  to get out of business with the Bin Laden family.
[00:10:21.315 --> 00:10:25.639]  Yeah, and that happened after 9-11, when Bin Laden sold their shares.
[00:10:29.465 --> 00:10:33.215]  You know Steve, how much more obvious does it have to get now?
[00:10:33.215 --> 00:10:34.780]  I mean does Bush have to be caught?
[00:10:35.456 --> 00:10:36.957]  In a hot tub with Bin Laden?
[00:10:36.957 --> 00:10:39.319]  I mean, does he have to be caught on a golf course with him?
[00:10:39.319 --> 00:10:41.301]  Does he have to be caught playing footsie?
[00:10:41.301 --> 00:10:47.846]  I mean, does he have to be caught, you know, maybe with a wheelbarrow of money with Bin Laden scooping thousand-dollar bills into it?
[00:10:47.846 --> 00:10:59.295]  I mean, what does it take to show everyone that Bin Laden's admittedly CIA, codenamed Tim Osman, that he led the Mujahideen and the CIA op, starting in the early 80s against the
[00:11:00.175 --> 00:11:09.844]  Soviets, that the guy helped lead the attacks on the Serbs as the pretext for the invasion of Kosovo.
[00:11:09.844 --> 00:11:11.866]  I mean, it never ends.
