[00:00:00.000 --> 00:00:17.000]  You there? Yeah. Did you hear the news? Nuh-uh. Um, uh, Gary Webb supposedly killed himself.
[00:00:17.000 --> 00:00:28.000]  No! But, uh, of course, nobody thinks that it was suicide. You lying! No. When? Saturday.
[00:00:28.000 --> 00:00:36.000]  Oh, man. Let me just read it. This is the opening. The headline says,
[00:00:36.000 --> 00:00:50.000]  Reporter of CIA Cocaine Contra Story Kills Himself. The California reporter whose controversial series linked the Central Intelligence Agency with the Nicaraguan Contras and drug trafficking in Los Angeles killed himself over the weekend.
[00:00:50.000 --> 00:01:04.000]  Um, I talked to both Sela and Chico about it. They, uh, they basically said that it was like a shotgun blast right close to his head.
[00:01:04.000 --> 00:01:11.000]  Um, you know, but obviously nobody believes that it was suicide, but that's what, you know, that's what the official story is supposed to be.
[00:01:12.000 --> 00:01:23.000]  Oh, man. I hate to hear that. So, um, so what do you think? Do you think he would have any reason to want to commit suicide? Yeah.
[00:01:23.000 --> 00:01:29.000]  I'm just blown away right now. I mean, not even how it happened, but just, you know, that it happened.
[00:01:29.000 --> 00:01:35.000]  Yeah, I mean, I didn't, I didn't know him, but I, you know, I just found out today, so I figured you didn't know.
[00:01:35.000 --> 00:01:40.000]  No, I didn't know. Yeah. It's not like mainstream news or anything, you know? Yeah.
[00:01:40.000 --> 00:01:45.000]  It's kind of, you know, kind of West Coast news. Man, I hate to hear that.
[00:01:45.000 --> 00:01:56.000]  Yeah, I guess he had three kids and a wife. I guess he was going through a divorce or something, but, you know, my, uh, you know, Alex Jones, the talk show host who you talked to,
[00:01:56.000 --> 00:02:11.000]  he was talking about how, um, how so many of the biographers that have, like, uncovered stuff about the Bush family, now they all end up, like, you know, mysteriously committing suicide.
[00:02:11.000 --> 00:02:23.000]  Yeah, I mean, the last time I talked to Gary, he was, he was excited and, you know, and happy about life, and he was thriving, you know, and was looking toward the future.
[00:02:24.000 --> 00:02:38.000]  Just, man. Seems pretty weird, huh? Yeah, and he was such a good guy, you know? I mean, um. And he did so much, you know, for our case and, and what not, it just, I don't know. It's like losing a good friend.
[00:02:38.000 --> 00:02:59.000]  Yeah, um. I mean, I mean, what do you think? I mean, I, I find it hard to believe. I mean, the, the chances of, like, a 49-year-old man, uh, just suddenly killing himself like that are supposedly, like, one in a million or one in a billion even or something.
[00:02:59.000 --> 00:03:09.000]  It's like some ridiculous odd, and, you know, Alex was calculating the odds of it, and, uh, it just, I don't know, it's, it's pretty obvious, um.
[00:03:09.000 --> 00:03:25.000]  Yeah, and Gary, I mean, he had so much, but, you know, he had told me before that people were following him around and tapping his phones and, you know, doing all kind of weird stuff to him and, and, you know, it was a lot of weird stuff he was saying was happening, you know, people on his telephone poles and...
[00:03:26.000 --> 00:03:30.000]  Well, tell me about that real quick. What, tell me what Gary said to you.
[00:03:30.000 --> 00:03:47.000]  Well, he used to tell me that, that, that he would come home at night and there'd be guys, you know, climbing up the pole, and late at night, 12 and 1 o'clock, and, you know, at night time, and people were following him around. Everywhere he goes, he, he has cars telling him, and his phone was tapped, and, you know, he said a lot of things were going on.
[00:03:47.000 --> 00:04:08.000]  They had moved him out from, uh, you know, Mercury News had moved him from where he was working in Sacramento to some far out country town, and he was just saying that they, they were, they were kind of like giving him the blues, you know, a lot of things were going on that, that, that he didn't really like, and he said it was the government, too.
[00:04:09.000 --> 00:04:30.000]  Wow. I mean, but I guess, like, the question would be, though, that if, if he'd already, like, done all this, all this reporting, you know, what, what was the use in, in getting rid of him at this point, you know, unless there was still something that he was still going to do, or, or maybe this was, like, a revenge thing?
[00:04:31.000 --> 00:04:50.000]  Well, you know, Gary was never satisfied with, with, with, with, with, with the way everything had turned out, you know, and, and from my understanding, he wasn't still working on the case. He was still digging and, and, and searching, trying to find the documents that would put everything together, and I know that for a fact that he, he, he hadn't, he hadn't stopped working on the case. He was still investigating.
[00:04:51.000 --> 00:04:55.000]  What do you think, where do you think it may have led if he would have kept going?
[00:04:56.000 --> 00:05:09.000]  Who knows? I mean, it, it, you know, with so much stuff and, and so many people being implicated that, you know, we don't know where it would have ended. Only, only God knows.
[00:05:11.000 --> 00:05:12.000]  Man, that's...
[00:05:12.000 --> 00:05:14.000]  Surely not me. I'm not that intelligent.
[00:05:15.000 --> 00:05:18.000]  Yeah, I mean, well, I mean, it's anybody's guess at this point, huh?
[00:05:18.000 --> 00:05:19.000]  Yeah.
[00:05:19.000 --> 00:05:20.000]  Man, that's exactly what they wanted.
[00:05:20.000 --> 00:05:29.000]  And then maybe, uh, maybe he had some papers that, that, that he hadn't uncovered that may, uh, even show more evidence, because Gary was pretty thorough, you know, with his investigation.
[00:05:30.000 --> 00:05:33.000]  Yeah. Man, it's incredible. So, uh...
[00:05:34.000 --> 00:05:49.000]  I mean, he, he was kind of like an answer, uh, uh, a prayer. You know, when, when I was going to court, we couldn't afford an investigator, and then all of a sudden, you know, he's like, boom, here's this investigative reporter pop up, and he knows more about our informant than the government's telling us about.
[00:05:50.000 --> 00:05:58.000]  So it was kind of like, you know, he was almost like God sent to me. That's how I felt at one time, you know, that he was sent down to...
[00:05:59.000 --> 00:06:01.000]  This call is from a federal prison.
[00:06:01.000 --> 00:06:03.000]  To help save my life, basically.
[00:06:03.000 --> 00:06:06.000]  Wow, that, that is sad for you then, that loss, huh?
[00:06:07.000 --> 00:06:09.000]  Yeah, yeah, he really meant a lot to me.
[00:06:09.000 --> 00:06:11.000]  Did you ever know any of his other family members or anybody?
[00:06:11.000 --> 00:06:13.000]  Yeah, I know his wife, and I spoke to his kids.
[00:06:14.000 --> 00:06:16.000]  Wow. Um...
[00:06:17.000 --> 00:06:20.000]  I'm going to try to see if I can get a number where I can call in.
[00:06:20.000 --> 00:06:26.000]  Okay, yeah, and I'll try to get that too, uh, for you. And I also told Todd, Todd McCormick, I gave Todd McCormick your address.
[00:06:26.000 --> 00:06:31.000]  Tell me, tell me what the Ricky Ross Task Force was, and when did you find out that they called it that?
[00:06:32.000 --> 00:06:44.000]  Uh, it was a bunch of cops. They had assembled, I think, the best narcotic agents from like three or four different precincts to, uh, to stop me from my drug dealings.
