[00:00.000 --> 00:26.000]  Live from Austin, Texas, broadcasting world-wide, it's Alex Jones.
[00:26.000 --> 00:48.000]  This is where men are made, and it's in these historic times where men become heroes and legends.
[00:48.000 --> 00:59.000]  What will you say when your ancestors and your lineage asks you what you did in these great times?
[00:59.000 --> 01:05.000]  You know, there's so much going on right now. There's so many different ways that you can impact the world.
[01:05.000 --> 01:10.000]  It doesn't even have to be in politics. You could start a garden and teach other people how to garden.
[01:10.000 --> 01:16.000]  You could raise awareness about the negative side effects of the wireless and cell phone technology.
[01:16.000 --> 01:23.000]  You don't even have to step into the nasty ring of politics to change the world.
[01:23.000 --> 01:29.000]  So what are you doing right now in these historic times?
[01:29.000 --> 01:34.000]  Now, this is a cigar.
[01:34.000 --> 01:41.000]  Now, me personally, I like to smoke cigars. What do you like to do with cigars, Bill?
[01:41.000 --> 01:49.000]  If Monica Lewinsky says that you used a cigar as a sexual aid with her in the Oval Office area, would she be lying?
[01:49.000 --> 01:52.000]  Yes, no, or a wrong answer?
[01:52.000 --> 01:54.000]  I will revert to my former statement.
[01:54.000 --> 02:03.000]  If Monica Lewinsky says that you had phone sex with her, would she be lying?
[02:03.000 --> 02:08.000]  Well, that is at least in general terms, I think, is covered by my statement.
[02:08.000 --> 02:12.000]  I address that in my statement, and I don't believe this.
[02:12.000 --> 02:16.000]  Let me define phone sex for purposes of my question.
[02:16.000 --> 02:23.000]  Phone sex occurs when a party to a phone conversation masturbates while the other party is talking in a sexually explicit manner.
[02:23.000 --> 02:28.000]  And the question is, if Monica Lewinsky says that you had phone sex with her, would she be lying?
[02:28.000 --> 02:37.000]  I think that is covered by my statement.
[02:37.000 --> 02:48.000]  So, there you go. Apparently, Bill Clinton, well, let's just say if Bill Clinton offers you a cigar, you might want to turn it down.
[02:48.000 --> 02:50.000]  There he is, though. Good old Bill.
[02:50.000 --> 02:56.000]  Now, I've got my Bill Clinton rape t-shirt on. Can we get a look at this? Let me just move over here.
[02:56.000 --> 02:59.000]  There you go, right there. Right there.
[02:59.000 --> 03:03.000]  Now, this used to be sold at infowarstore.com, but we're sold out.
[03:03.000 --> 03:11.000]  There are other t-shirts you can get at infowarstore.com right now that will soon be sold out once in a lifetime type of purchase, a Bill Clinton rape t-shirt, right here.
[03:11.000 --> 03:13.000]  Now, why am I talking about Bill Clinton?
[03:13.000 --> 03:16.000]  Now, Bill Clinton is on a book tour right now.
[03:16.000 --> 03:30.000]  This disgraced bum of a president, a bum, a white trash, hick bum, who made a mockery of the White House, didn't know how to properly use a cigar,
[03:30.000 --> 03:35.000]  and somehow, magically, maybe it was a magic wand.
[03:35.000 --> 03:38.000]  The media never gave Bill a hard time.
[03:38.000 --> 03:40.000]  The Me Too movement.
[03:40.000 --> 03:48.000]  There was no Me Too movement during Bill Clinton when he was settling rape cases, when he was flying on the Lolita Express with Jeffrey Epstein.
[03:48.000 --> 03:54.000]  No. No. But.
[03:54.000 --> 04:01.000]  Now they're saying, is Bill Clinton finally having his Me Too movement? Is it finally catching up to Bill?
[04:01.000 --> 04:14.000]  Well, I don't know, but when Bill Clinton goes to a book tour now, he's got people that stand up and say, Bill, what were you doing on the Lolita Express 26 times?
[04:14.000 --> 04:23.000]  So Bill Clinton is in Austin, Texas tonight, and Infowars is having a Me Too protest, hashtag Me Too protest outside of the Bass Concert Hall.
[04:23.000 --> 04:25.000]  So join me tonight.
[04:25.000 --> 04:37.000]  Put on your favorite Bill Clinton rape t-shirt, head on down to the Bass Concert Hall in Austin, Texas, and stand outside the crowd to let them know that Bill Clinton is a rapist.
[04:37.000 --> 04:39.000]  And he's settled rape cases.
[04:39.000 --> 04:44.000]  And he's flown on the Lolita Express with a sexual offender, Jeffrey Epstein.
[04:44.000 --> 04:49.000]  Bill and Hillary Clinton, tight friends with Harvey Weinstein, big donor of the Democrat Party.
[04:49.000 --> 04:55.000]  We're not going to let Bill Clinton come to Austin, Texas and not let the people of Austin know who Bill Clinton really is.
[04:55.000 --> 05:20.000]  We'll be back on the other side with Alex Jones. Don't go anywhere.
[05:20.000 --> 05:27.000]  Flora Life is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[05:27.000 --> 05:32.000]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[05:32.000 --> 05:38.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[05:38.000 --> 05:45.000]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[05:45.000 --> 05:51.000]  There's no better time to try Flora Life and Carnivore to see how well they can support your body.
[05:51.000 --> 05:55.000]  Don't miss out on the chance to fuel your body and support recovery.
[05:55.000 --> 06:01.000]  Try the Info Wars Life Daily Digestive Pack today.
[06:01.000 --> 06:15.000]  The Alex Jones Show. Because there is a war on for your mind.
[06:15.000 --> 06:19.000]  That's right, ladies and gentlemen, they've been trying to tell you that being pro-America was a bad thing.
[06:19.000 --> 06:24.000]  Being nationalist was a bad thing and you're causing the climate to change and kill the earth.
[06:24.000 --> 06:28.000]  You're causing all the bad things to happen because you're an American patriot.
[06:28.000 --> 06:32.000]  Well, no, we're not buying that anymore. Trump's not buying that anymore.
[06:32.000 --> 06:36.000]  Trump goes to the G Summit, stands up for American nationalism and American pride.
[06:36.000 --> 06:39.000]  Here's Alex Jones with the latest report.
[06:39.000 --> 06:52.000]  We're live, we're broadcasting worldwide. It is a momentous day right now and the whole world is on the edge of its seat.
[06:52.000 --> 07:00.000]  We've actually been studying geopolitical systems and different power structures. The entire globalist paradigm is being overthrown.
[07:00.000 --> 07:11.000]  In a moment, I'm going to show you globalist leaders, George Soros and others, admitting they are suffering Napoleon Bonaparte level defeats the Battle of Waterloo.
[07:11.000 --> 07:21.000]  This is devastating and turning back the clock on their world government tyranny 60 years and accelerating us towards the new Renaissance.
[07:21.000 --> 07:30.000]  I'm going to let people in on some analysis that I haven't told anybody yet, but I think now is the time.
[07:30.000 --> 07:38.000]  And this is so sophisticated that I haven't really talked about it because it's so complex, but it's also so simple.
[07:38.000 --> 07:43.000]  The United States created globalism. It created what is known as the New World Order.
[07:43.000 --> 07:56.000]  The Barbarians manipulated our ruling class intelligentsia into doing it after World War I and World War II with the League of Nations and the UN in the name of stopping World War.
[07:56.000 --> 08:06.000]  But then in the last few decades, the intelligentsia and the families that went along with it, most of them are evil, they realized that the whole thing was a giant fraud and a huge lie.
[08:06.000 --> 08:14.000]  And then globalism was really a plan to destroy nation states, consolidate control and destroy every level of independence.
[08:14.000 --> 08:27.000]  And so basically the robber barons set up the global corporate governance to be commanded from England, the U.S. and Europe, and to depopulate the Third World to be run out of the West.
[08:27.000 --> 08:42.000]  But they meant to dominate the West at the same time. Instead, Trump and U.S. intelligence agencies and other patriots in the U.K. are moving forward, ladies and gentlemen, in a big way to roll that back up,
[08:42.000 --> 08:50.000]  to take control of those systems that were set up for the betterment of the planet and for real open free trade and real peace.
[08:50.000 --> 09:03.000]  And so the promise that the globalists first sold but were lying about, they wanted the power for themselves, is now being taken control of and then Trump is being a very square dealer with all of these people.
[09:03.000 --> 09:15.000]  And he is just point blank talking to them and being honest about the whole plan and saying, we just want to deal with you from a straightforward position.
[09:15.000 --> 09:23.000]  And that's why you see it all coming out. That's why two years ago you saw in the Financial Times of London and all the other top globalist publications that if Trump got elected,
[09:23.000 --> 09:32.000]  it would be the final domino falling to bring down their corporate world government. That's anti-free market. That's not liberal. That's not open and free.
[09:32.000 --> 09:41.000]  It says it's all those things. It's the opposite. It's total centralization in their own words. So you see WikiLeaks come out from U.S. intelligence, not the Russians.
[09:41.000 --> 09:48.000]  And now you've seen Trump, now that he's proven Russia was a fraud and that Spygate is real, saying we should have the Russians in the G8.
