[00:00:00.130 --> 00:00:00.918]  I don't think so.
[00:00:04.810 --> 00:00:09.653]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.653 --> 00:00:11.234]  You want answers?
[00:00:11.234 --> 00:00:12.775]  Well, so does he.
[00:00:12.775 --> 00:00:16.977]  He's Alex Jones on the GCN Radio Network.
[00:00:16.977 --> 00:00:21.240]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.240 --> 00:00:30.285]  Here we are, Wednesday, the 20th day of June 2012.
[00:00:30.285 --> 00:00:33.928]  You're listening on the radio.
[00:00:35.293 --> 00:00:38.714]  We are simulcast on XM 166 over 100 AM and FM's.
[00:00:38.714 --> 00:00:45.897]  If you're watching at PrisonPlanet.TV, you see some skulls sitting over here on the desk.
[00:00:45.897 --> 00:00:49.338]  You will find out why these skulls are sitting on my desk.
[00:00:50.521 --> 00:00:53.963]  Next Monday during the syndicated radio broadcast.
[00:00:53.963 --> 00:00:55.364]  I'm just going to leave it at that.
[00:00:55.364 --> 00:00:57.405]  That is a real human skull right there.
[00:00:57.405 --> 00:01:07.911]  And that is a real 65 million year old, they say, crocodile skull from the era of the dinosaurs.
[00:01:07.911 --> 00:01:11.793]  So there it is and I will explain all of these items.
[00:01:11.793 --> 00:01:14.814]  The petrified wood, the
[00:01:16.274 --> 00:01:22.302]  Calcified fossil of a Nautilus.
[00:01:22.302 --> 00:01:29.691]  I will explain all of this coming up on Monday.
[00:01:29.691 --> 00:01:31.754]  The toilet paper sitting next to it has nothing to do with it.
[00:01:34.210 --> 00:01:37.111]  All right, ladies and gentlemen, thank you for joining us.
[00:01:37.111 --> 00:01:39.792]  We have a big broadcast lined up for you today.
[00:01:39.792 --> 00:01:52.997]  Joining us from Rio de Janeiro, site of the World Government New World Order Conference, Mark Moreno, in the last 30 minutes of the third hour, will give us a breakdown from the scene of the crime.
[00:01:52.997 --> 00:01:57.219]  Here's the cnsnews.com headline, and they have the video of it.
[00:01:57.219 --> 00:02:02.281]  UN official, Western nations, quote, don't need more cars, more TVs, whatever.
[00:02:03.001 --> 00:02:09.364]  We need to pay that to the United Nations as if shutting down the economy is going to help the third world when it does the opposite.
[00:02:09.364 --> 00:02:21.830]  We're going to be looking at medical crimes and all these attempts to ban soft drinks, popcorn, milk spreading from New York, not just in New York City now, with Dr. Peter Glidden, a very popular guest when he had his maiden voyage with us a few months ago.
[00:02:21.830 --> 00:02:23.351]  He is going to be joining us.
[00:02:24.096 --> 00:02:39.774]  Now first off though today, a lot of times you're on somebody's radio show or you're on a TV show and the truth slaps you upside the head how big it is hidden in plain view and the fact that we have not made a big enough deal about this subject.
[00:02:41.093 --> 00:02:57.997]  And you'll remember last year, the FEMA Camp Special that I had in my hands all in, of all the shows I consulted on and appeared in with Conspiracy Theory, top show on TruTV with Jesse Ventura, that show, I'd say I was 85-90% of the research.
[00:02:57.997 --> 00:02:59.818]  I mean, that was my baby.
[00:02:59.818 --> 00:03:09.820]  And it sent Homeland Security into a conniption fit, a conniption fit, over the re-education camps, the Emergency Centers Establishment Act.
[00:03:11.385 --> 00:03:23.019]  And I've gotten calls from program directors, and I've gotten calls from listeners, but I've been so busy it's just feedback, that sometimes when we talk about FEMA camps and give out names, that
[00:03:23.939 --> 00:03:27.661]  That the satellite has an EAS takeover system in it.
[00:03:27.661 --> 00:03:31.623]  So do some of the more advanced EAS systems at broadcast towers.
[00:03:31.623 --> 00:03:33.064]  Most of them are radio controlled.
[00:03:33.064 --> 00:03:35.045]  Some are wireless digital now.
[00:03:35.045 --> 00:03:43.129]  And they're breaking in there with NSA keyword software, listening for keywords, and then they scramble.
[00:03:43.129 --> 00:03:45.310]  They scramble the show.
[00:03:45.310 --> 00:03:51.093]  So I go on ManCal's radio show today, and he's listening right now via ISDN,
[00:03:53.052 --> 00:03:54.498]  And I go on his radio show.
[00:03:56.577 --> 00:04:00.440]  And a lot of the same stations that carry my show carry his show.
[00:04:00.440 --> 00:04:10.649]  And he was talking about how every time he talks about FEMA camps and emergency centers or Jesse Ventura's censored show, that's a topic he's really into.
[00:04:10.649 --> 00:04:18.595]  Every week I'm on he seems to bring it up because he understands how big it is, that it's confirmed that Time Warner was visited by Homeland Security.
[00:04:18.595 --> 00:04:23.399]  It's confirmed they didn't re-air that show when they normally re-air them about 50 times over the year.
[00:04:23.399 --> 00:04:24.460]  It's confirmed!
[00:04:25.447 --> 00:04:28.811]  That they went in and remotely erased the TiVos.
[00:04:28.811 --> 00:04:36.140]  I mean, I was sent... Time Warner executives gave me the orders saying that it was going to be taken down.
[00:04:36.140 --> 00:04:43.488]  I mean, I was given stuff where regional people were told, when you get calls about this, we've remotely erased it under orders from the government.
[00:04:43.488 --> 00:04:43.668]  So...
[00:04:45.131 --> 00:04:46.432]  They don't want you knowing about this.
[00:04:46.432 --> 00:04:53.455]  We're going to break it down with the program director on air and Jesse Ventura with an interview that Mancow just did.
[00:04:53.455 --> 00:04:54.776]  It's going to premiere here.
[00:04:54.776 --> 00:04:57.217]  He did it off air when he finished his show.
[00:04:57.217 --> 00:04:58.557]  And we're going to get into drones.
[00:04:58.557 --> 00:04:59.158]  Big developments.
[00:05:00.051 --> 00:05:04.472]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:05:04.472 --> 00:05:08.633]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:05:08.633 --> 00:05:12.634]  Every day, we document the attempts to take control of our lives.
[00:05:12.634 --> 00:05:14.834]  But there's one thing we can all control.
[00:05:14.834 --> 00:05:16.434]  Your greatest dependency.
[00:05:16.434 --> 00:05:17.195]  Food.
[00:05:17.195 --> 00:05:24.796]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:05:24.796 --> 00:05:27.317]  This food is nutrient-dense and tastes great.
[00:05:27.317 --> 00:05:28.637]  It's simple to make, portable,
[00:05:28.857 --> 00:05:31.358]  And has a shelf life of up to 25 years.
[00:05:31.358 --> 00:05:35.220]  Now with eFoodsDirect, you'll get the most affordable, best tasting food you can buy.
[00:05:35.220 --> 00:05:40.042]  To celebrate the beginning of summer, you can save 20% off their already affordable prices.
[00:05:40.042 --> 00:05:43.964]  This offer ends on June 20th, so take advantage of the summer savings now.
[00:05:43.964 --> 00:05:49.787]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex for specials.
[00:05:49.787 --> 00:05:51.368]  Don't let this offer pass you by.
[00:05:51.368 --> 00:05:52.788]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:05:56.750 --> 00:06:00.252]  More the best, for less guaranteed.
[00:06:00.252 --> 00:06:06.895]  When you're out on the road, the last place you want to be is on the road.
[00:06:06.895 --> 00:06:12.038]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:06:12.038 --> 00:06:20.763]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[00:06:20.763 --> 00:06:22.684]  They sew pride in every stitch.
[00:06:24.844 --> 00:06:26.768]  Guarantee you'll love the way they fit.
[00:06:26.768 --> 00:06:33.862]  They put a diamond gusset in the crotch where you need it most.
[00:06:33.862 --> 00:06:36.948]  Blue diamond gussets got it.
[00:06:38.915 --> 00:06:41.056]  We turn jeans inside out.
[00:06:41.056 --> 00:06:42.857]  Diamond Gusset Jeans.
[00:06:42.857 --> 00:06:45.738]  Made in the USA with unparalleled quality.
[00:06:45.738 --> 00:06:49.960]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:06:49.960 --> 00:06:52.362]  So you can ride all day with confidence.
[00:06:52.362 --> 00:06:55.063]  Order yours at gusset.com.
[00:06:55.063 --> 00:06:57.424]  Diamond Gusset Jeans got it.
[00:06:57.424 --> 00:06:57.924]  Others don't.
[00:06:59.480 --> 00:07:05.001]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:07:05.001 --> 00:07:07.422]  Start purifying your water with ProPure.
[00:07:07.422 --> 00:07:16.504]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:07:16.504 --> 00:07:19.964]  Its filters are silver impregnated to prevent bacterial growth.
[00:07:19.964 --> 00:07:21.625]  There's no priming required.
[00:07:21.625 --> 00:07:23.905]  It's NSF-42 certified.
[00:07:23.905 --> 00:07:26.406]  Optional fluoride filters can reduce fluoride up to 95%.
