[00:00:04.375 --> 00:00:05.997]  Here we are.
[00:00:05.997 --> 00:00:07.699]  Friday, January 28th, 2022.
[00:00:07.699 --> 00:00:15.748]  The battle to retake Canada is peacefully happening right now.
[00:00:15.748 --> 00:00:16.869]  InfoWars.
[00:00:16.869 --> 00:00:18.050]  Tomorrow's news.
[00:00:18.050 --> 00:00:18.471]  Today.
[00:00:46.884 --> 00:00:53.605]  The longest convoy ever recorded in Canadian history.
[00:00:53.605 --> 00:00:58.306]  50-something miles long.
[00:00:58.306 --> 00:01:03.027]  Some estimates for over a million truckers.
[00:01:03.027 --> 00:01:08.368]  And more people are joining the peaceful civil disobedience fight.
[00:01:08.368 --> 00:01:10.709]  This is how you do it!
[00:01:10.709 --> 00:01:14.130]  Yeah!
[00:01:14.130 --> 00:01:15.290]  We're not gonna take it!
[00:01:16.776 --> 00:01:21.680]  And Trudeau literally announced he's gonna hide in his house, claiming he has COVID.
[00:01:21.680 --> 00:01:24.402]  Unbelievable.
[00:01:24.402 --> 00:01:29.126]  That's Klaus Schwab's man that he says he owns.
[00:01:34.764 --> 00:01:34.824]  Woo!
[00:02:05.004 --> 00:02:10.512]  38 years ago
[00:02:31.420 --> 00:02:33.801]  Canada is under globalist attack.
[00:02:33.801 --> 00:02:34.962]  Canada is now waking up.
[00:02:34.962 --> 00:02:41.805]  This is literally a UN Great Reset post-industrial assault.
[00:02:41.805 --> 00:02:45.427]  And as good as that news is, we're going to be tracking it as it unfolds.
[00:02:45.427 --> 00:02:59.334]  The first of close to a million trucks now arriving in the capital of Canada as the people seek to peacefully recapture their land from the clutches of the Bilderberg Group.
[00:03:00.365 --> 00:03:01.786]  Wow!
[00:03:01.786 --> 00:03:04.408]  Ladies and gentlemen... The fight...
[00:03:29.741 --> 00:03:33.610]  To save our republic and to save all of our nations is now.
[00:03:33.610 --> 00:03:37.057]  The front lines of that fight are Australia, New Zealand and Canada.
[00:03:38.140 --> 00:03:43.722]  The globalists have seized almost every major blue city and still have them under their martial law system.
[00:03:43.722 --> 00:03:46.384]  We must retake the hearts and minds of the people.
[00:03:46.384 --> 00:03:49.285]  We must let them know about the Great Reset and the New World Order.
[00:03:49.285 --> 00:04:07.413]  We must galvanize the resolve against it and call not just to cut the heads off politically of this system, but to actually stab the giant evil Hydra in the heart by politically, non-violently digging them out of their holes and then prosecuting them for crimes against humanity,
[00:04:07.873 --> 00:04:14.919]  And that's now being called for in parliaments and governments around the world by more and more prominent people.
[00:04:14.919 --> 00:04:18.502]  And the New World Order has fear in its eyes.
