[00:00:00.741 --> 00:00:03.483]  News on the hour.
[00:00:03.483 --> 00:00:04.924]  On the half hour.
[00:00:04.924 --> 00:00:06.225]  When it breaks.
[00:00:06.225 --> 00:00:08.246]  When it breaks.
[00:00:08.246 --> 00:00:09.467]  He stands for truth.
[00:00:09.467 --> 00:00:11.929]  He stands for justice.
[00:00:11.929 --> 00:00:14.190]  He stands for what's right.
[00:00:14.190 --> 00:00:16.231]  This is the Alex Jones Show.
[00:00:30.071 --> 00:00:33.232]  Call Alex now, toll free at 877-590-5525.
[00:00:33.232 --> 00:00:36.694]  Now live from Austin, Texas, here's Alex Jones.
[00:00:47.529 --> 00:00:53.932]  It is the first live broadcast for myself on the new weekend show I'm doing.
[00:00:53.932 --> 00:00:55.132]  Sundays 4 to 6 p.m.
[00:00:55.132 --> 00:00:56.073]  Central.
[00:00:56.073 --> 00:00:59.794]  Syndicated out of the studios of NewsRadio 590 KLBJ.
[00:00:59.794 --> 00:01:02.335]  Here deep in the heart of Texas.
[00:01:02.335 --> 00:01:03.275]  Welcome to everyone.
[00:01:03.275 --> 00:01:06.757]  I'm going to take a lot of your phone calls today, this afternoon, this evening.
[00:01:06.757 --> 00:01:07.177]  877-590-5525.
[00:01:07.177 --> 00:01:08.057]  Locally in Central Texas.
[00:01:08.057 --> 00:01:08.177]  836-0590.
[00:01:08.177 --> 00:01:09.538]  And we'll get you up and on the air.
[00:01:18.015 --> 00:01:24.662]  Well, Israel, the Times of London is reporting today, plans to attack Iran's sites with nuclear weapons.
[00:01:24.662 --> 00:01:32.229]  I'm sure that will please a lot of people who can just simply repeat glass parking lot over and over again as their Vedic chant.
[00:01:32.229 --> 00:01:33.971]  Of course, they can't find Iran on a map.
[00:01:34.918 --> 00:01:38.640]  They wouldn't like to be nuked, but it's like the Nazis.
[00:01:38.640 --> 00:01:47.064]  They wanted to kill people too, and they loved their government, and they worshipped, they thought it was manly to kill people in masses, and so you'll probably get what you want.
[00:01:47.064 --> 00:01:50.245]  You'll probably get your nuking of Iran.
[00:01:50.245 --> 00:01:52.026]  We'll be going over that.
[00:01:52.026 --> 00:01:56.248]  Also, Bush, government can open your mail here in the U.S.
[00:01:56.248 --> 00:01:57.608]  without warrants.
[00:01:57.608 --> 00:01:59.950]  I totally agree.
[00:01:59.950 --> 00:02:02.911]  It's great that in third world countries they always read your mail.
[00:02:03.571 --> 00:02:07.175]  Just a few months ago, they were swearing they weren't spying on citizens.
[00:02:07.175 --> 00:02:10.959]  And then, of course, okay, we're spying on you, but only when you're talking to Al-Qaeda.
[00:02:10.959 --> 00:02:19.008]  And then, okay, we're spying on everything, including every purchase you make, and when you go and you get a prescription, it's instantly uploaded.
[00:02:19.008 --> 00:02:24.253]  Oh, and by the way, Google microphones and cameras on your computer are watching everything you do and logging it all.
[00:02:26.475 --> 00:02:26.976]  I'm sorry.
[00:02:26.976 --> 00:02:27.957]  I get real cynical.
[00:02:27.957 --> 00:02:29.939]  I'm really upset, actually.
[00:02:29.939 --> 00:02:34.123]  Dallas-based food chain to accept Mexican pesos right here in Austin.
[00:02:34.123 --> 00:02:35.324]  That's good!
[00:02:35.324 --> 00:02:35.584]  Good.
[00:02:35.584 --> 00:02:38.226]  Let's just admit the end of the country publicly.
[00:02:38.226 --> 00:02:40.529]  CFR member, recruit foreigners to the military.
[00:02:40.529 --> 00:02:42.250]  Already been going on for six years.
[00:02:42.250 --> 00:02:48.816]  Another big national news story about how the majority of our ground forces within just three years will be foreigners.
[00:02:48.816 --> 00:02:49.337]  That's right.
[00:02:50.908 --> 00:02:51.969]  Of course, I'm sure.
[00:02:51.969 --> 00:02:58.094]  I'll have to hail all the foreign illegal aliens made legal, or I won't be a good patriot.
[00:02:58.094 --> 00:03:00.056]  You see, that's how the sickness works.
[00:03:00.976 --> 00:03:05.679]  Alright, I'm going to try not to have a meltdown here earlier in the broadcast today.
[00:03:05.679 --> 00:03:09.642]  Also, I thought I'd go over some world almanac numbers for you.
[00:03:09.642 --> 00:03:14.485]  Lightning strikes and grounding are many times more dangerous than terrorism, but the government doesn't care.
[00:03:14.485 --> 00:03:22.291]  They want to hype that up until we're all looking under our tables and beds at night and begging the government to take all of our freedoms while leaving the borders wide open.
[00:03:22.291 --> 00:03:24.632]  Of course, we conveniently ignore that.
[00:03:24.632 --> 00:03:27.955]  Anything to destroy the country, good neocons do.
[00:03:29.046 --> 00:03:32.467]  It's all part of the delusional talk radio world.
[00:03:32.467 --> 00:03:35.828]  And also, terror is trivial when it's not Muslims.
[00:03:35.828 --> 00:03:41.909]  Giant terror attack last weekend, and I didn't even learn of it until Wednesday of last week.
[00:03:41.909 --> 00:03:46.130]  I bet you didn't hear about the big bombing attack at the Madrid airport.
[00:03:46.130 --> 00:03:55.153]  But because, admittedly, Muslims couldn't even be framed in connection with it, you're not going to be hearing about it except here during this transmission.
[00:03:55.153 --> 00:03:56.793]  But let's get serious here.
[00:03:58.480 --> 00:04:03.583]  I listened to the fake conservatives there to neutralize conservatives.
[00:04:03.583 --> 00:04:12.388]  Their number one job is to keep you in the dark just long enough to have blanket amnesty, to bring in the North American Union, to sack the dollar.
[00:04:12.388 --> 00:04:14.109]  And it looks like they're coming in for the big win.
[00:04:14.858 --> 00:04:23.343]  Okay, and then after that happens, it won't matter if you wake up as thumb-sucking conservatives out there, that you really weren't conservatives, that you were totally scammed.
[00:04:23.343 --> 00:04:25.344]  It won't matter then.
[00:04:25.344 --> 00:04:27.445]  They've almost got you.
[00:04:27.445 --> 00:04:33.529]  There's still a chance to save the country, but darn it, you're going to make sure that doesn't happen, I'm sure, many of you out there.
[00:04:35.180 --> 00:04:38.221]  And let's just take one area we've been lied to in.
[00:04:38.221 --> 00:04:49.064]  I mean, we know, at least if you've got any education or if you're informed, that private global corporations are now 46 of the 100 biggest economies, and they've combined forces together.
