[00:00.000 --> 00:26.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:26.000 --> 00:32.000]  Ladies and gentlemen, we are live. I have returned after taking a few days off with the family.
[00:32.000 --> 00:35.000]  Thank you so much for joining us. Hope you had a wonderful Christmas.
[00:35.000 --> 00:41.000]  I did pop in with David Knight of course Friday when he did a great job guest hosting the transmission.
[00:41.000 --> 00:45.000]  David Knight of InfoWars Nightly News. The crew did a great job as well.
[00:45.000 --> 00:55.000]  This week with some special rebroadcast that also had new original research and material integrated into those transmissions.
[00:55.000 --> 01:05.000]  But we have returned. This will be the last Sunday broadcast of 2013. It is the 29th day of December 2013.
[01:05.000 --> 01:09.000]  And I do want to open the phones up in the first hour.
[01:09.000 --> 01:14.000]  I usually don't even do that in the second because I tend to have so much news I want to cover. I don't get to your calls.
[01:14.000 --> 01:18.000]  But I specifically, and I'll give the number out in about 20-30 minutes and open the phones up,
[01:18.000 --> 01:23.000]  want to hear from you on what you think the most important stories of 2013 were.
[01:23.000 --> 01:30.000]  Because it's important to be retrospective and then also to look forward what you think is going to happen in 2014,
[01:30.000 --> 01:37.000]  which I myself and many other folks smarter than I in many areas believe is the most critical year,
[01:37.000 --> 01:42.000]  perhaps in world history. Because if we screw up and have another world war,
[01:42.000 --> 01:48.000]  it's going to be thermonuclear, biological, chemical, and nanotech in nature.
[01:48.000 --> 01:54.000]  There's a lot of other weapons systems. And we probably, as a species, won't make it.
[01:54.000 --> 02:00.000]  So we're kind of reaching that point where we've got to decide whether we want to go into the future or not as a species.
[02:00.000 --> 02:10.000]  It's maker to break at time. And I'm not saying all this will happen in 2014, but the breaks, the analogy I was thinking of last night
[02:10.000 --> 02:17.000]  when I was out having dinner with some friends was it's like pool where you hit the ball,
[02:17.000 --> 02:25.000]  that first hit after you've racked the other balls, and the direction and the lay of the game to come
[02:25.000 --> 02:31.000]  to a great extent is based on how good a hit you put in to that triangle of balls.
[02:31.000 --> 02:40.000]  And that's what 2014 is on so many fronts. It is not just a big deal here in the United States, but it's a big deal worldwide.
[02:40.000 --> 02:44.000]  There's a lot of different reasons for that. We're going to be breaking it down coming up today.
[02:44.000 --> 02:51.000]  Obviously, there is a massive ton of important news here. And as usual, I don't know where to start.
[02:51.000 --> 02:57.000]  Here's a story from RT from MFullWars.com. We posted it. Drugs link to it. Drugsreport.com.
[02:57.000 --> 03:04.000]  LAPD deploys drug detection swab test at sobriety checkpoints. Now, folks, I've been telling you for about five years,
