[00:00:00.402 --> 00:00:01.444]  Brother.
[00:00:01.444 --> 00:00:03.226]  Mainstream media.
[00:00:03.226 --> 00:00:04.988]  Government cover-ups.
[00:00:04.988 --> 00:00:06.571]  You want answers?
[00:00:06.571 --> 00:00:08.113]  Well, so does he.
[00:00:08.113 --> 00:00:12.319]  He's Alex Jones on the GCN Radio Network.
[00:00:12.319 --> 00:00:16.364]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.494 --> 00:00:29.155]  So what do you say about the influence?
[00:00:29.155 --> 00:00:30.796]  I mean, there's very powerful people there.
[00:00:30.796 --> 00:00:32.717]  Why does it have to be so secret?
[00:00:32.717 --> 00:00:34.337]  I mean... There is no secrecy.
[00:00:34.337 --> 00:00:37.258]  It's... There's absolutely no secrecy.
[00:00:37.258 --> 00:00:38.419]  I talked to the hotel guys.
[00:00:38.419 --> 00:00:39.899]  It's just a private meeting.
[00:00:39.899 --> 00:00:50.044]  If you want to know the evils lurking within the Bilderberg Group, look no further than the following quotes from Bilderberg insiders and those who've studied the secretive cabal.
[00:00:50.044 --> 00:00:50.644]  Bill Gates.
[00:00:51.184 --> 00:00:55.008]  So you've got a thing on the left, CO2, that you want to get to zero.
[00:00:55.008 --> 00:01:08.564]  And that's going to be based on the number of people, the services each person's using on average, the energy on average for each service, and the CO2 being put out per unit of energy.
[00:01:08.564 --> 00:01:11.547]  Probably one of these numbers is going to have to get pretty near to zero.
[00:01:12.672 --> 00:01:16.633]  That's back from high school algebra, but let's take a look.
[00:01:16.633 --> 00:01:21.994]  Dr. Henry Kissinger at the 1992 Bilderberg meeting at Evians, France.
[00:01:21.994 --> 00:01:27.055]  Today, America would be outraged if UN troops entered Los Angeles to restore order.
[00:01:27.055 --> 00:01:29.836]  Referring to the 1991 LA riots.
[00:01:29.836 --> 00:01:31.676]  Tomorrow, they will be grateful.
[00:01:31.676 --> 00:01:37.118]  This is especially true if they were told that there were an outside threat from beyond, i.e.
[00:01:37.118 --> 00:01:38.918]  an extraterrestrial invasion.
[00:01:39.238 --> 00:01:42.482]  Whether real or promulgated, that threatened our very existence.
