whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20160718_Mon_Alex.wav' (229090534 samples, 14318.2 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:15.000]   The answer to 1984 is 1776. You're listening to the Alex Jones Show.
[00:00:15.000 --> 00:00:25.000]   Welcome to the Alex Jones Show on this Monday, July 18, 2016.
[00:00:25.000 --> 00:00:35.000]   Today is the day that the RNC officially begins. Of course, we've had a lot of delegates, officials, reporters for the, I guess, about the middle of last week.
[00:00:35.000 --> 00:00:45.000]   And we have begun over the weekend before the convention actually began, we were running the banners behind the plane, Hillary for Prison.
[00:00:45.000 --> 00:00:52.000]   You can see those reports on Infowars.com. You can see our news director, Rob Dew, riding in one of the planes.
[00:00:52.000 --> 00:00:58.000]   You can also see what it looks like from the ground. They enacted a no-fly zone, but we have other ways to get the message out.
[00:00:58.000 --> 00:01:04.000]   There's, if you're watching the live video feed there, there's the banner that we had flying over the weekend.
[00:01:04.000 --> 00:01:14.000]   Of course, Alex Jones is there, along with many of our Infowars reporters. I'm here in the studio, but they're going to be joining us throughout the show with reports of what's happening there.
[00:01:14.000 --> 00:01:21.000]   As well as today is the day of the large pro-Trump rally that we've been talking about for some time.
[00:01:21.000 --> 00:01:27.000]   This is the one that's the America First Unity Rally that was put together by Roger Stone, Alex Jones.
[00:01:27.000 --> 00:01:37.000]   Many people are going to be there at that rally today. We're going to be having a live feed from that rally, as well as a feed of the speeches from Alex Jones and others.
[00:01:37.000 --> 00:01:48.000]   Of course, we also had Alex encountering the turd blossom multiple times. Both before he took off on the flight and after he saw Karl Rove at the airport.
[00:01:48.000 --> 00:01:52.000]   And so we have another update of the encounter between the two of them.
[00:01:52.000 --> 00:02:02.000]   You know, of course, turd blossom was not my name for Karl Rove, but the name that was given to him by the man who perhaps knows him the best, George W. Bush.
[00:02:02.000 --> 00:02:09.000]   And we'll tell you what that name means if you haven't figured it out yet, but we're going to have a clip of that that we'll play for you.
[00:02:09.000 --> 00:02:18.000]   There's also some updates as to what's going on in the Republican convention. It officially begins, as I pointed out today.
[00:02:18.000 --> 00:02:22.000]   And, you know, we look at the conventions that are going to be held this week and next week.
