[00:00.000 --> 00:29.000]  Don't bother, they're here.
[00:29.000 --> 00:33.000]  Isn't it rich?
[00:33.000 --> 00:38.000]  Isn't it queer?
[00:38.000 --> 00:44.000]  Losing my timing this late in my career.
[00:44.000 --> 00:51.000]  And I've heard you speak about it because you're always straight up about what you're doing.
[00:51.000 --> 00:57.000]  And the question is whether or not we should be in a position where you are,
[00:57.000 --> 01:01.000]  why can't the experts say,
[01:01.000 --> 01:07.000]  we know that this virus is in fact,
[01:07.000 --> 01:10.000]  it's going to be, or excuse me,
[01:10.000 --> 01:15.000]  we know why all the drugs approved are not temporarily approved, but permanently approved.
[01:15.000 --> 01:17.000]  That's underway too, I expect that to occur quickly.
[01:17.000 --> 01:19.000]  Well that means you mean for the FDA?
[01:19.000 --> 01:20.000]  For the FDA.
[01:20.000 --> 01:29.000]  Some of the stuff, I mean QAnon, the idea that the Democrats or the Biden is hiding people
[01:29.000 --> 01:31.000]  and sucking the blood of children.
[01:31.000 --> 01:35.000]  No, I'm serious, that's...
[01:35.000 --> 01:40.000]  Now you may not like me and that's your right.
[01:40.000 --> 01:43.000]  Look, it's a simple thing, you can walk out and say,
[01:43.000 --> 01:45.000]  I just don't like the way that guy wears his tie.
[01:45.000 --> 01:49.000]  I'm voting against him, you have a right to do that.
[01:49.000 --> 01:54.000]  And in the clouds...
[01:54.000 --> 02:01.000]  I think I'm beginning to see some of the, and both, and by Democrats as well.
[02:01.000 --> 02:08.000]  Sort of the venom gets sort of sort of leaked out of a lot.
[02:08.000 --> 02:16.000]  Welcome my friends on this live Thursday, July 22nd broadcast.
[02:16.000 --> 02:23.000]  You can't really overstate the fiasco, the train wreck that was last night.
[02:23.000 --> 02:25.000]  I did not watch it live.
[02:25.000 --> 02:28.000]  I went out into business meeting late dinner with some of the crew,
[02:28.000 --> 02:33.000]  with Owen Shroyer and Rob Do and again some of the crew.
[02:33.000 --> 02:36.000]  And then I got home and it was just all over the place, what a disaster it was.
[02:36.000 --> 02:43.000]  So I watched the whole thing and it was an hour and a half, I'll never get back in my life.
[02:43.000 --> 02:49.000]  It was absolutely horrible and I didn't feel good like, oh, here's my enemy, here's the puppet, he can't talk.
[02:49.000 --> 02:51.000]  He has complete dementia.
[02:51.000 --> 02:57.000]  My grandmother in 92 was purposely not eating anymore because she wanted to die.
[02:57.000 --> 03:06.000]  She weighed about 90 pounds and she was way more coherent the day she died of self-imposed starvation.
[03:06.000 --> 03:09.000]  I'm not blaming her, that's the Christian way to go if you want to go.
[03:09.000 --> 03:14.000]  She refused morphine, refused at all, didn't eat, refused cancer surgery, cancer was eating her up.
[03:14.000 --> 03:18.000]  They had already done cancer surgery years before so she said she wouldn't do it anymore.
[03:18.000 --> 03:20.000]  But I'm digressing.
[03:20.000 --> 03:26.000]  My 92-year-old grandmother eating alive by cancer, starving herself to death,
[03:26.000 --> 03:31.000]  as she was dying, was more coherent than he is on stage.
[03:31.000 --> 03:34.000]  She was going in and out, I wasn't there, but family was.
[03:34.000 --> 03:41.000]  Like, oh, I see my husband, I see the angels, oh, my mother, my father, I see you, I love you, I'll be there soon.
[03:41.000 --> 03:44.000]  She was coherent while she was dying.
[03:44.000 --> 03:49.000]  They had this person up there, less coherent than my grandmother when she died,
[03:49.000 --> 03:53.000]  or my grandfather when he died, my dad's dad was very coherent when he was dying.
[03:53.000 --> 04:02.000]  People dying are more coherent than this individual and that's because he's a tombstone.
[04:02.000 --> 04:06.000]  He's a sign that they've dominated us and they're going to rub this into our faces.
[04:06.000 --> 04:15.000]  I have articles here all over the country, they're putting men in prisons and letting them rape women,
[04:15.000 --> 04:21.000]  in women's prisons, and then tell them the women just have an abortion or make them more condoms.
[04:21.000 --> 04:26.000]  Because, you know, a woman's allowed to rape when women have penises.
[04:26.000 --> 04:38.000]  And we have a reanimated corpse up there on TV that is just a sign of how pathetic we are.
[04:38.000 --> 04:43.000]  And I'm being honest, we're not going to climb out of this until we admit what a joke we are.
[04:43.000 --> 04:48.000]  This is disgusting, this is untenable, we're being gas-lit to death and it needs to stop.
[04:48.000 --> 04:55.000]  I mean, the entire town hall was the biggest train wreck I've ever seen and it's just going to get worse.
[04:55.000 --> 04:59.000]  I mean, my God, they did this on purpose.
[05:26.000 --> 05:33.000]  Organic wheatgrass leaf, organic cilantro leaf, organic kale leaf, organic flax sprout, organic quinoa sprout.
[05:33.000 --> 05:37.000]  Ladies and gentlemen, all of these things are so incredible for your health.
[05:37.000 --> 05:45.000]  Just one of these ingredients can be a life-changing supplement for your health and we've packed it all in to Fiber Green Caps at InfowarsStore.com.
[05:45.000 --> 05:49.000]  So I'm excited to add this to my supplement routine every day.
[05:49.000 --> 05:55.000]  I suggest that you do the same thing and right now it's at an introductory price of $19.95.
[05:55.000 --> 06:20.000]  That's 33% off at InfowarsStore.com.
[06:26.000 --> 06:33.000]  Trust me, honey, everything's gonna be all right.
[06:33.000 --> 06:38.000]  Just do like I do, there ain't nothing to it.
[06:38.000 --> 06:42.000]  Listen to me, baby, anybody can do it.
[06:42.000 --> 06:47.000]  All you gotta do is just let yourself go.
[06:47.000 --> 06:55.000]  Welcome, my friends, to this July 22nd, Thursday edition.
[06:55.000 --> 07:01.000]  I'm your host, Alex Jones.
[07:01.000 --> 07:03.000]  Yeah, let me relax and take it real slow.
