[00:00:01.000 --> 00:00:15.000]  Intro
[00:00:15.000 --> 00:00:20.000]  InfoWars, tomorrow's news, today.
[00:00:20.000 --> 00:00:36.000]  It's Tuesday, May 30th, 2023, and as we predicted, they are preparing the false flag attack to
[00:00:36.000 --> 00:00:37.000]  bring down the power grid.
[00:00:37.000 --> 00:00:38.000]  This is not a drill.
[00:00:38.000 --> 00:00:44.240]  They are engaging in the final phase of pre-programming the public and claiming that Trump's supporting
[00:00:44.240 --> 00:00:48.600]  right-wingers are imminently, the FBI says this, going to take down the power grid.
[00:00:48.600 --> 00:00:52.760]  Here's Klaus Schwab in the last few years preparing for this.
[00:00:52.760 --> 00:01:02.660]  We all know, but still pay insufficient attention to the frightening scenario of a comprehensive
[00:01:02.660 --> 00:01:12.000]  cyber attack, which would bring to a complete halt to the power supply, transportation,
[00:01:12.000 --> 00:01:16.480]  hospital services, our society as a whole.
[00:01:16.480 --> 00:01:26.360]  The COVID-19 crisis would be seen in this respect as a small disturbance in comparison
[00:01:26.360 --> 00:01:29.560]  to a major cyber attack.
[00:01:29.560 --> 00:01:41.880]  To use the COVID-19 crisis as a timely opportunity to reflect on the lessons cybersecurity community
[00:01:41.880 --> 00:01:48.880]  can draw and improve our preparedness for a potential cyber pandemic.
[00:01:48.880 --> 00:01:54.480]  All right, I would like to direct all the viewers and listeners to an article that went
[00:01:54.480 --> 00:01:58.080]  up yesterday evening.
[00:01:58.080 --> 00:02:04.960]  False flag alert, media and homeland security warn right-wing extremists are going to attack
[00:02:04.960 --> 00:02:06.520]  the U.S. power grid.
[00:02:07.000 --> 00:02:10.240]  We'll put that article on screen.
[00:02:10.240 --> 00:02:15.000]  False flag alert, media and homeland security warn right-wing extremists or Russia set to
[00:02:15.000 --> 00:02:17.200]  attack the power grid.
[00:02:17.200 --> 00:02:21.440]  Now I've talked about this about a thousand times the last two and a half years since
[00:02:21.440 --> 00:02:26.880]  Biden stole his way into the White House, and I could read the policy reports of the
[00:02:26.880 --> 00:02:35.000]  Davos Corrupted UN, the Carnegie Endowment, the Rockefeller Foundation, and see the pre-programming
[00:02:35.160 --> 00:02:39.280]  in the public that cyber attacks are imminent, and we don't know who's going to launch them.
[00:02:39.280 --> 00:02:40.280]  And I said, you watch.
[00:02:40.280 --> 00:02:44.280]  They're going to say it's going to be the right wing working with the Russians, which
[00:02:44.280 --> 00:02:48.640]  is just totally preposterous, but that's what they're doing is taking the last seven years
[00:02:48.640 --> 00:02:53.480]  of lies that populists and nationalists and people that don't want to be slaves are Russians
[00:02:53.480 --> 00:02:59.240]  and so enemies of the state, and then they put out the new report two years ago that all
[00:02:59.240 --> 00:03:03.680]  white people are inherently bad, and if you don't like open borders, if you don't like
[00:03:03.680 --> 00:03:07.520]  election fraud, if you don't like lockdowns, literally, you are a terrorist.
[00:03:08.475 --> 00:03:14.315]  And now they are officially announcing that the CIA and Homeland Security working with the ADL
[00:03:15.035 --> 00:03:20.875]  are going to arrest and target Americans and censor Americans at a higher level. I mean,
[00:03:20.875 --> 00:03:25.435]  this is the final authoritarian takeover. And then they say, oh, and by the way,
[00:03:25.435 --> 00:03:29.515]  the right wing racists, they're working with the Russians to blow up the power grid.
[00:03:30.475 --> 00:03:34.154]  Even though it's the left cutting off the pipelines that's been caught attacking the
[00:03:34.154 --> 00:03:38.714]  power grid and that is legislatively trying to shut it all down. No, no, no, no, no,
[00:03:38.714 --> 00:03:43.515]  it's the right wingers want to get rid of your gasoline car, the right wingers that shut down
[00:03:43.515 --> 00:03:48.394]  the Keystone pipeline, the right wingers that shut down Alaska well drilling or drilling in
[00:03:48.394 --> 00:03:55.355]  the Gulf of Mexico. It was Vladimir Putin with Alex Jones and Donald Trump that are cutting off
[00:03:55.355 --> 00:04:01.114]  the energy. That's right. And again, the Easter Bunny is real. But the reason this is so horrible
[00:04:01.114 --> 00:04:06.234]  is, as I've been saying the last two and a half years, when they say the right wing with the
[00:04:06.234 --> 00:04:11.594]  Russians are about to blow up the power grid, they're getting ready to do it. And now, Fox
[00:04:11.594 --> 00:04:17.435]  News, MSNBC, CNN, local news stations, all the same propaganda. Those right wingers you heard
[00:04:17.435 --> 00:04:23.034]  are all terrorists. Well, ladies and gentlemen, they're about to turn the power off. That's right.
[00:04:23.594 --> 00:04:27.515]  And they've got some wound up crazies, you know, they'll have shoot at some of the facilities and
[00:04:27.515 --> 00:04:32.075]  they'll say it's some right wing militia guy. And then that's the pretext. That's the final
[00:04:32.075 --> 00:04:38.794]  pretext before they take down the grid and devalue the currency and bring in total martial law and
[00:04:38.794 --> 00:04:43.755]  then release another virus. And then it'll be 100 times worse than it was before. So here we are.
[00:04:44.794 --> 00:04:48.794]  But hey, the fun part is all the left wing that wanted this. They're even more unprepared for
[00:04:48.794 --> 00:04:53.275]  the hell they're about to enter. So judgments here and prepare for them to take on the power
[00:04:53.275 --> 00:04:58.794]  minus and start World War Three to the next level. So everybody prepare to die. Love you.
[00:05:23.515 --> 00:05:30.395]  Is bound to other elements. So your body can't absorb it. Only pure iodine can really be absorbed
[00:05:30.395 --> 00:05:36.235]  right into the cells. And Infowarsstore.com has the only iodine out there that actually
[00:05:36.235 --> 00:05:41.595]  has this type of full effect. Ladies and gentlemen, X3 has been sold out for six months.
[00:05:41.595 --> 00:05:46.635]  It's very hard to produce. And it's finally back in stock. I was just taking some before I shot
[00:05:46.635 --> 00:05:52.235]  this ad. This, ladies and gentlemen, is powerful. You and your family need it. It's 25 percent off
[00:05:52.235 --> 00:05:59.275]  back in stock. X3 tri iodine exclusively at Infowarsstore.com. Take action now. But regardless,
[00:05:59.275 --> 00:06:11.914]  research is info. If you are receiving this transmission, you are the resistance
[00:06:12.875 --> 00:06:18.155]  live from Freedom Command Central. It's the Alex Jones Show.
[00:06:24.475 --> 00:06:31.355]  Well, I really hate to quote Emperor Palpatine here, but it's really the proper quote.
[00:06:31.355 --> 00:06:50.075]  Everything I have foreseen is unfolding. Everything I have foreseen is unfolding.
[00:06:51.280 --> 00:06:58.039]  And it's unfolding exactly like I said it would because I know the enemy I'm
[00:06:58.039 --> 00:07:04.080]  immersed in the enemy's mind and God's given me discernment but I mean I got to
[00:07:04.080 --> 00:07:09.840]  be completely honest with you it's not hard to make a prediction about these
[00:07:09.840 --> 00:07:13.520]  people when you realize they think the public is completely mindless and
[00:07:13.520 --> 00:07:18.440]  completely stupid so they roll it out in phases and pre-program everybody but
[00:07:18.440 --> 00:07:23.479]  listeners I'm sure you've heard me talk about this till your ears bleed but
[00:07:23.479 --> 00:07:28.359]  regardless this morning I asked the crew to get our archivist to go back in the
