[00:00:00.000 --> 00:00:07.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:07.000 --> 00:00:11.000]  It's Alex Jones and the GCN Radio Network.
[00:00:14.000 --> 00:00:23.000]  Alright my friends, we are now 8 minutes and 20 seconds into the second hour of this worldwide edition of the Alex Jones Show.
[00:00:23.000 --> 00:00:34.000]  The websites are InfoWars.com, InfoWars.net, and we are joined by Dr. Ed McCulloch.
[00:00:34.000 --> 00:00:39.000]  He is the head of the Daedalus Project.
[00:00:39.000 --> 00:00:42.000]  Daedalus was the father of Icarus.
[00:00:42.000 --> 00:00:52.000]  Remember Icarus, he basically used the hot wax to put the feathers on his shoulders and arms and flew up to the sun.
[00:00:52.000 --> 00:01:01.000]  Thought he could be like the gods, but the feathers, the wax got hot and he fell back to earth.
[00:01:01.000 --> 00:01:09.000]  Interesting name. A lot of listeners are concerned about Homeland Security, page 76 of the package.
[00:01:09.000 --> 00:01:16.000]  Forced inoculation, forced internment during a smallpox or other biological release.
[00:01:16.000 --> 00:01:24.000]  The Council on Foreign Relations in their last report said that Denver, Dallas, Cleveland quote will be hit by smallpox.
[00:01:24.000 --> 00:01:32.000]  I don't know how they could say will be hit, but Gary Hart also said that on Hannity and Combs, I have that on tape.
[00:01:32.000 --> 00:01:40.000]  And so now they're all over the country preparing for mass destruction attacks, building different FEMA centers and things.
[00:01:40.000 --> 00:01:49.000]  But specifically we're joined by Dr. Ed McCulloch and we've got a PR Newswire story here.
[00:01:49.000 --> 00:01:51.000]  I've got an AP article here.
[00:01:51.000 --> 00:02:00.000]  A SARS bioterra fears grow prototype isolation and treatment facility to be built in Pittsburgh area beginning in mid-August.
[00:02:00.000 --> 00:02:13.000]  The three Northern Virginia companies today announced plans to assemble a prototype facility outside of Pittsburgh next month that could be used for isolating patients in the event of a terrorist attack.
[00:02:13.000 --> 00:02:17.000]  And it's a prototype of a larger 500 bed facility.
[00:02:17.000 --> 00:02:22.000]  And to tell us all about it is Dr. McCulloch. Thanks for coming on the show, sir.
[00:02:22.000 --> 00:02:24.000]  Certainly my pleasure. Thank you.
[00:02:24.000 --> 00:02:35.000]  Tell us about Daedalus and about your company and about some of the projects it works on and about this new facility that you're going to be building in Pittsburgh.
[00:02:36.000 --> 00:02:37.000]  Thanks, Doug.
[00:02:37.000 --> 00:02:51.000]  I think the important point here is that Daedalus was principally focused upon the development of materials to create extremely low-cost housing in the emerging markets of the developing world.
[00:02:51.000 --> 00:03:06.000]  As it turns out, in our view, there are probably few materials available that provide the same structural integrity, the same projected longevity, and the same sense of dignity as the materials we have designed.
[00:03:06.000 --> 00:03:11.000]  So we had never really intended to be in the U.S. domestic market.
[00:03:11.000 --> 00:03:36.000]  We simply recognized through one of our associates that a requirement existed to have a low-cost response capability that could put up a 500 bed facility within about 24 to 48 hours and perhaps a 1,000 bed facility within 48 to 72 hours.
[00:03:36.000 --> 00:03:59.000]  Now the different news articles, and correct them if they're wrong, they say that this 150 bed facility is a facility for the public and the government and the media to get a good look at, hopefully I guess to sell the system out there competing with the others that are bidding on the government contracts.
[00:03:59.000 --> 00:04:02.000]  Well, I'm not sure if that's correct or not.
[00:04:02.000 --> 00:04:07.000]  I don't know of any potential government contracts for this particular development.
[00:04:07.000 --> 00:04:26.000]  As it turns out, this particular facility is under a government-funded contract through Allegheny County in Pittsburgh where they have one of the more advanced or perhaps leading-edge groups involved in both civil preparedness and disaster response.
[00:04:26.000 --> 00:04:38.000]  This particular item, this particular demonstration, will in fact demonstrate that this particular low-cost material is applicable to this role and several other roles.
[00:04:38.000 --> 00:04:47.000]  So it really goes from this kind of facility through several others including just neighborhood health and any kind of natural disaster response.
[00:04:47.000 --> 00:04:50.000]  Now the news calls it high-tech advanced system.
[00:04:50.000 --> 00:04:52.000]  What are the buildings made of?
[00:04:52.000 --> 00:04:57.000]  How do you put up a 500 bed facility in 24 to 48 hours?
[00:04:57.000 --> 00:05:03.000]  The original intent of these was to make them from glass-reinforced recycled plastic.
[00:05:03.000 --> 00:05:08.000]  So the panels, as they were originally designed, contain about 20% recycled plastic.
[00:05:08.000 --> 00:05:13.000]  They're a very low-cost building material and they will be assembled in sections.
[00:05:13.000 --> 00:05:15.000]  They're made in individual panels.
[00:05:15.000 --> 00:05:19.000]  The panels are assembled and then the panel sections will be stood up.
[00:05:19.000 --> 00:05:25.000]  So this is a relatively fast system to assemble.
[00:05:25.000 --> 00:05:26.000]  But it's very strong.
[00:05:26.000 --> 00:05:29.000]  So it's a type of silicate compound with...
[00:05:29.000 --> 00:05:34.000]  More accurately defined, I think, as a glass-reinforced polymer.
[00:05:34.000 --> 00:05:45.000]  Essentially the polyolefins or plastics that we're more familiar with like polyethylene, polypropylene and an amount of fiberglass reinforcement.
[00:05:45.000 --> 00:05:55.000]  Now they said that during a quarantine people are going to be locked up in these things for everyone's safety so they don't spread the pathogen.
[00:05:55.000 --> 00:06:00.000]  How does your facility provide that level of containment?
[00:06:00.000 --> 00:06:05.000]  Well, I think that's a little inaccurate or perhaps a little severe.
[00:06:05.000 --> 00:06:17.000]  The real notion here is that these facilities would provide the opportunity for observation, for quarantine and isolation.
[00:06:17.000 --> 00:06:21.000]  So in fact you would presumably have three different kinds of patients.
[00:06:21.000 --> 00:06:25.000]  Those who believe that perhaps they've been exposed but don't really know.
[00:06:25.000 --> 00:06:34.000]  Those who have been exposed for certain and those who have been exposed for certain and exhibit certain features of a particular disease.
[00:06:34.000 --> 00:06:42.000]  Yeah, but I mean they had the guy in Dallas who they thought had SARS and he wanted to leave the hospital and they wouldn't let him and chain him down to the bed.
[00:06:42.000 --> 00:06:44.000]  That's not a part of Daedalus' activity.
[00:06:44.000 --> 00:06:53.000]  Daedalus is really working on the structural side of this and integrating what we consider to be the non-medical life support system.
