[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[00:26.000 --> 00:39.000]  The good news is the FDA and outside experts from the CDC are set to make its determination as to whether the vaccine will be authorized for that age range in the next few weeks.
[00:39.000 --> 00:49.000]  If authorized, we are ready. We have purchased enough vaccines for all children between the ages of 5 and 11 in the United States.
[00:49.000 --> 01:01.000]  And it will be convenient for parents to get their children vaccinated at trusted locations, and families will be able to sleep easier at night knowing their kids are protected as well.
[01:01.000 --> 01:18.000]  Like a starving dog having a large piece of meat dangled in front of it, Joe Biden literally drools on international television saying soon we'll be able to get to your children 5 to 11.
[01:18.000 --> 01:28.000]  I know parents really want this. I know you're fighting to get this done. I know you want your children protected.
[01:28.000 --> 01:35.000]  And we've got experts at the CDC and outside experts that are about to authorize it.
[01:35.000 --> 01:43.000]  Oh, this will protect you. So let's unpack the lies, not just these coming after our children as we knew that was the primary target all along.
[01:43.000 --> 01:52.000]  After it's been proven that these shots don't work, they don't protect you, they destroy your immunity, and if you're twice as likely to get COVID, more likely to go to the hospital, more likely to die.
[01:52.000 --> 02:03.000]  That's in the British Medical Journal. It's in the John Hopkins reports. So he's telling you the big lie that it's safe and effective, and it'll quote, protect you, and that you really want this protection right now.
[02:03.000 --> 02:09.000]  That's the number one giant lie. Then he goes on and says, oh, it's going to get approved if it gets approved.
[02:09.000 --> 02:14.000]  He kind of jumped the gun there by CDC experts and other outside experts.
[02:14.000 --> 02:19.000]  Well, he knows that a bunch of CDC officials quit. He knows the panel voted against it a month ago.
[02:19.000 --> 02:24.000]  He knows that the two top scientists over vaccines at the FDA quit. He knows a bunch of others quit.
[02:24.000 --> 02:31.000]  He knows they said don't do both booster shots for anybody. He says they know don't give shots under the age of 16. He knows all that.
[02:31.000 --> 02:41.000]  And so he's like, oh, and the CDC experts, oh, and outside ones meaning Fauci and all those that will say it's the best thing to slice bread regardless.
[02:41.000 --> 02:53.000]  So again, this is the outright total complete assault that's going on. And out of all the great people out there that are criticizing this tyranny, most of them always add the proviso, oh, I'm not against vaccines.
[02:53.000 --> 03:06.000]  I just think we have a right to free speech. Well, this isn't a vaccine. This isn't traditional vaccines that have the classic issues, whether I'm like being tainted or, you know, the UN adding sterile and hormones to it.
