[00:00:00.149 --> 00:00:01.049]  And so on.
[00:00:01.049 --> 00:00:02.670]  Have you checked the results?
[00:00:02.670 --> 00:00:06.051]  Not the pictures of the bikini babes and such, but the results.
[00:00:06.051 --> 00:00:11.373]  Have you checked their pricing and the funky three-month contracts and all that stuff?
[00:00:11.373 --> 00:00:12.554]  Have you checked their results?
[00:00:12.554 --> 00:00:13.654]  Oh, that's right, I said that.
[00:00:13.654 --> 00:00:16.115]  Did you check the ingredients and you checked for caffeine?
[00:00:16.115 --> 00:00:17.375]  Yeah!
[00:00:17.375 --> 00:00:19.236]  Life Change Tea's the real deal.
[00:00:19.236 --> 00:00:24.298]  Not a new yippee-yi-yay tea, but a tea if you drink it daily, it'll change your life.
[00:00:24.298 --> 00:00:25.739]  And it will clean your body.
[00:00:25.739 --> 00:00:26.759]  Our middle name is Results.
[00:00:27.079 --> 00:00:30.542]  You can pay more and you can have a celebrity smile, or you can get results.
[00:00:30.542 --> 00:00:31.102]  Your call.
[00:00:31.102 --> 00:00:33.344]  Or should I say, make the call.
[00:00:33.344 --> 00:00:33.844]  Get the T at 928-308-0408.
[00:00:33.844 --> 00:00:34.045]  That's 928-308-0408.
[00:00:34.045 --> 00:00:35.566]  Or you can order online at GetTheT.com.
[00:00:35.566 --> 00:00:36.206]  That's GetTheT.com.
[00:00:36.206 --> 00:00:36.927]  Order now for real results.
[00:00:53.263 --> 00:01:04.812]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:01:04.812 --> 00:01:06.113]  Big Brother.
[00:01:06.113 --> 00:01:07.894]  Mainstream media.
[00:01:07.894 --> 00:01:09.635]  Government cover-ups.
[00:01:09.635 --> 00:01:11.236]  You want answers?
[00:01:11.236 --> 00:01:12.777]  Well, so does he.
[00:01:12.777 --> 00:01:16.981]  He's Alex Jones on the GCN Radio Network.
[00:01:16.981 --> 00:01:21.044]  And now, live from Austin, Texas, Alex Jones.
[00:01:31.214 --> 00:01:33.235]  It is Wednesday, the fourth day of March 2009.
[00:01:33.235 --> 00:01:37.958]  We're going to be live here for the next four hours.
[00:01:37.958 --> 00:01:44.041]  Normally I have Bob Chapman on once a week, but I've got him popping in for about 15 minutes today to break down the plunge of the stock market below 7,000.
[00:01:46.516 --> 00:02:04.062]  Pastor Lindsey Williams, you know, his inside information has been proven to be so accurate and so important, and now we've had Davos Switzerland forum members admit that they're using oil as a weapon against the world to bring it into depression, so the planet will accept the new world order.
[00:02:04.062 --> 00:02:10.645]  He'll be joining us for an hour to have open phones and take your calls, and then another state representative is joining us.
[00:02:11.765 --> 00:02:18.889]  From a separate state, a state we haven't had on yet, who is attempting to declare sovereignty against the Feds.
[00:02:18.889 --> 00:02:22.511]  So, that is coming up today.
[00:02:22.511 --> 00:02:35.038]  Listen, I get literally 30, 40, 50 emails a day, comments on the websites, phone calls, questions on the street about Glenn Beck.
[00:02:35.038 --> 00:02:35.878]  And Glenn Beck
[00:02:37.512 --> 00:03:00.926]  Comes out and says they're setting up a new world order with a global bank ruling all of us, and that it's a bad thing, and then he always sandwiches it into, Al Qaeda's going to get us, Russia's going to get us, we've, you know, got to deal with American terrorists, Ron Paul supporters need to be arrested, the army needs to move against them.
[00:03:00.926 --> 00:03:05.389]  So he sandwiches that type of propaganda in with it.
[00:03:07.245 --> 00:03:09.046]  Over and over again.
[00:03:09.046 --> 00:03:20.450]  And it's clear what he's doing, because so many people have woken up to the New World Order through the alternative media, the establishment is having to admit its existence, but then putting their own spin on it.
[00:03:20.450 --> 00:03:27.233]  Now some people liken Glenn Beck to Lou Dobbs, and say, well Alex, you say you like Lou Dobbs, why don't you like Glenn Beck?
[00:03:27.233 --> 00:03:32.955]  No, Lou Dobbs, for years, we're talking
[00:03:34.238 --> 00:03:39.181]  At least seven, eight years that I know of has been talking about the New World Order, the North American Union, the Napa Superhighway.
[00:03:39.181 --> 00:03:41.442]  And it's been a great paradox.
[00:03:41.442 --> 00:03:50.447]  If we know the media is controlled, how is he allowed to get on there and about 95% of the time tell the truth?
[00:03:50.447 --> 00:03:52.688]  We've had Lou Dobbs on the show.
[00:03:52.688 --> 00:03:55.529]  It's completely separate from Glenn Beck.
[00:03:55.529 --> 00:03:56.110]  Glenn Beck
[00:03:57.614 --> 00:04:15.341]  When you hear his radio show, because I scan around in the morning when I'm getting ready to different talk show hosts, hear what they have to say, almost every time I tune in he's like, I hate 9-11 victims' families that say it's an inside job, I hate 9-11 truthers, they're scum, they're trash, they're idiots.
[00:04:15.341 --> 00:04:18.923]  Somebody who does something similar is Michael Wiener Savage.
[00:04:18.923 --> 00:04:20.824]  The real name's Michael Wiener.
[00:04:20.824 --> 00:04:25.966]  He'll say, yeah, there's a new world order of global government, it's run by the Arabs, and we've got to counter it.
[00:04:27.486 --> 00:04:36.637]  So they do this very simple bait and switch, and then I saw a clip yesterday, now I've seen several others, where Glenn Beck is on the air saying,
[00:04:37.785 --> 00:04:51.188]  Yeah, I keep hearing about these FEMA camps, and I'm going to have to investigate them and find out if they're real, then he makes a joke and says, but Fox News won't let me cover it, because I'm controlled, it's controlled, you know, whole conspiracy theory, and then makes a joke.
