[00:00.000 --> 00:04.740]  Gavin McInnis is back with his all-new online network, FreeSpeech.tv.
[00:04.740 --> 00:28.740]  Gavin McInnis, Joe Biggs, Miley Unopolis, and Soph, all at FreeSpeech.tv.
[00:34.740 --> 00:40.740]  From the front lines of the Information War, it's Alex Jones.
[00:40.740 --> 01:01.740]  What we are looking at is good and evil, right and wrong.
[01:01.740 --> 01:24.740]  Ladies and gentlemen, thank you so much for joining us on this Wednesday, October 23rd, 2019 broadcast.
[01:24.740 --> 01:38.740]  Remember, the establishment really doesn't want this show on the air because they have a lot of really bad, horrible, anti-human, nasty things they want to carry out against you and your family.
[01:38.740 --> 01:59.740]  And if you unconsciously just put up with it, you will be destroyed. But first, you will have your psyche misdirected and stolen by these individuals who are attempting to take your energy, your soul, your spirit with them to a very, very bad place.
[01:59.740 --> 02:08.740]  It's all about a war for your soul. That's it. Period.
[02:08.740 --> 02:37.740]  Now, we obviously have the latest developments taking place on a lot of different fronts. And we have the latest rerun of The Whistleblower hoax with the diplomat, the lead diplomat, the ambassador to
[02:37.740 --> 02:49.740]  Ukraine saying he heard somebody say it was quid pro quo, just like the other fake whistleblowers whose names we can't know, lied and said that as well.
[02:49.740 --> 03:04.740]  And then even when he testified, Bill Taylor yesterday in his bomb show had to admit that when he got a call from the EU ambassador and told him that, he said, that's insane.
[03:04.740 --> 03:16.740]  Trump never said quid pro quo or that he better be given something because he's a businessman and that's how it works. And you want the money, you do something he wants.
[03:16.740 --> 03:22.740]  Trump's not insane. And you can tell Schiff wrote this latest statement this guy put out. I mean, it's so obvious.
[03:22.740 --> 03:35.740]  It's a redo of the fake letter that Schiff read. In fact, let's cue that up. Schiff reading the fake letter that was supposedly the fake transcript between the Ukrainian president and Trump.
[03:35.740 --> 03:46.740]  Remember that? Just go into YouTube. Anybody can type it in and just Schiff reads fake transcript, reads fake letter, fake Trump letter. It's amazing.
[03:46.740 --> 04:02.740]  So that's supposed to suck all the oxygen out of the room. That's what that's supposed to do. And then we're supposed to just focus on that and debate that all day and get all breathless about how Trump's going down.
[04:02.740 --> 04:22.740]  And while meanwhile, meanwhile, ladies and gentlemen, Trump is trying to end major wars, trying to win a trade war with China, trying to stabilize our economy and trying to reboot the American spirit.
[04:22.740 --> 04:34.740]  But under Trump's nose and under our noses, there's some things going on that I think you should know about. And I think that we should talk about.
[04:34.740 --> 04:42.740]  And we're going to do that on the other side. What's going on with the homeless?
[04:42.740 --> 04:53.740]  I'm going to cover something that's breaking, that's confirmed that you've never heard before. And the article's going up at infowars.com.
[04:53.740 --> 05:08.740]  As we speak, ladies and gentlemen, and we'll go over all of that as well. And then, and then, we're going to have Kerry Porch, the big CNN whistleblower, in studio, Robert Barnes.
[05:08.740 --> 05:20.740]  Hello, today on All Things Considered, I'm Wilbur Snakily to tell you all that there's been a lot of conspiracy theories out there that fluoride in your water is hurting you.
[05:20.740 --> 05:30.740]  Now, sure, the Journal of American Medical Association admits that it's causing some cancer and massive brain damage and infertility, but after all, isn't there too many people?
[05:30.740 --> 05:39.740]  That's right. Drink the fluoride. Don't visit infowarsstore.com and get the good halogen. I mean the bad halogen.
[05:39.740 --> 05:49.740]  Iodine, don't give it to yourself, your husband, your wife, your children. Just drink the fluoride and plunge into subservience to us.
[05:49.740 --> 05:59.740]  We don't want to compete with you. Just drink the fluoride. Don't learn about how deadly it is and whatever you do. Don't support Alex Jones.
[05:59.740 --> 06:07.740]  Remember, I'm speaking with a soft voice, so I'm a liberal. Oh, and let Namble have access to your children.
[06:30.740 --> 06:51.740]  It is Wednesday, October 23, 2019. I'm your host, Alex Jones, and we're live broadcasting worldwide. There's a couple of really important things I want to let you know.
[06:51.740 --> 07:01.740]  I am aware of information going on inside the Trump campaign that is very, very dangerous and very, very scary.
[07:01.740 --> 07:20.740]  To the President, to this country, and to all of you watching and listening out there, you may have noticed that to Brad Parscale earlier this week had a huge, lavish cover story in the Sunday New York Times about what a wonderful person he is and what a genius he is.
[07:20.740 --> 07:30.740]  Well, there's some interesting things going on with Brad Parscale that I'm going to reveal later on the broadcast today.
[07:30.740 --> 07:43.740]  We're going to have some written articles out about it tomorrow. Nothing against Brad Parscale, but quite frankly, the man is not the sharpest knife in the drawer.
[07:43.740 --> 07:53.740]  And it's a serious weak link, just like we told you that Fiona Hill was a Soros Mole who would then testify against Trump for some type of a quid pro quo operation.
[07:53.740 --> 07:59.740]  And two years later, you're witnessing it happen. Next year's news today, that is info wars.
[07:59.740 --> 08:08.740]  So if you want to be informed, this is the broadcast selling Donald Trump a first time campaign manager tries to defy the doubters.
[08:08.740 --> 08:19.740]  Well, well, well, that's a positive article about what a genius he is. We're going to be getting into that because that's the way Trump can be taken down.
[08:19.740 --> 08:26.740]  Now, that's big news, but that's nothing compared to what we're going to have on Friday.
[08:26.740 --> 08:41.740]  And again, I've probably gotten butterflies 10 times the 25 years I've been on air. When I had Donald Trump coming on the show, I did not get butterflies.
[08:41.740 --> 08:47.740]  I get butterflies when I think about the guests we're going to have Friday.
[08:47.740 --> 08:56.740]  It's a big guess. Joe Rogan had Edward Snowden on yesterday, but they released a few hours ago. That's great. It's posted up on info wars.com.
[08:56.740 --> 09:00.740]  That's a big guess. Not as big as Julian Assange would be. That's also a dangerous guess.
[09:00.740 --> 09:06.740]  So I was a hat tip. It's talking to Joe this morning. Hat tip to Joe for that big landed fish.
[09:06.740 --> 09:13.740]  This is a really important big interview. And it's an emergency message to the president.
[09:13.740 --> 09:23.740]  And I know my phones are getting listened to. So it's the kind of interview where I'm looking under my car literally now for bombs when I drive to work in the morning.
[09:23.740 --> 09:32.740]  And I've never done that before. So we got a big interview coming up Friday in the second hours where it's scheduled live.
[09:32.740 --> 09:39.740]  And you're going to want to tune into this. And if something happens to me, the interview is still going to go out.
[09:39.740 --> 09:46.740]  Folks know, by the way, I don't hype stuff. I just tell you how big something is and straight up deliver.
[09:46.740 --> 09:55.740]  And so if this individual relays the things they're going to relay, let's just say bombshell is an overused word. This is a bombshell of bombshells.
[09:55.740 --> 10:03.740]  Now, we have a CNN whistleblower. Carrie porch is going to be in studio coming up about 15 minutes the next hour.
[10:03.740 --> 10:10.740]  We'll ride shotgun for an hour, 45 minutes and coming in towards the middle of that constitutional lawyer and really smart guy.
[10:10.740 --> 10:16.740]  Good friend of mine, Robert Barnes is in studio and he'll have a lot of questions as well.
[10:16.740 --> 10:26.740]  So we'll be all in here co-hosting together. Then you've got the war room with Owen shroyer and you've got, of course,
[10:26.740 --> 10:36.740]  firepower coming up with will johnson and pappert and others and David night in the morning. Other shows will be adding soon. But let me just lay this out at you right now.
[10:36.740 --> 10:49.740]  We're going to cover a whole constellation of articles we've got here. But as soon as I saw this article and asked Daniels about 30 minutes ago to post it for showtime up on info wars.com.
[10:49.740 --> 11:03.740]  I knew that it's probably the biggest story you could even put on air as a signpost of where we're going. And because it's so huge, it will get no attention.
[11:03.740 --> 11:11.740]  If something's a nebulous theory, you can't prove it goes viral. People love stuff like that. But when it's in your face and real and so massive,
[11:11.740 --> 11:22.740]  the average person just goes, Well, what are you going to do about it? Well, we better do something about it because if you've watched ABC or CBS or NBC or any of these shows the last couple years,
[11:22.740 --> 11:33.740]  they go from saying, Alex Jones is crazy. Nobody wants to implant you with microchips to track you when you buy and sell to everyone's going to get a chip soon to buy and sell.
[11:33.740 --> 11:43.740]  It's just the way it is. And if you want to buy and sell, it's the social score. You're going to do it. And so Facebook is competing with a brain chip.
[11:43.740 --> 11:54.740]  Elon Musk is rolling a brain system out next year. And they say, Oh, it's going to be like plastic surgery just, you know, in and out an hour.
[11:54.740 --> 12:04.740]  So they're making it sound like you're getting, you know, a pedicure or something. It's not even a medical procedure, having a big corporation put wires in your brain.
[12:04.740 --> 12:13.740]  It's no big deal to, you know, if a father chops his son's finger off, he goes to prison, he should. But if mommy takes junior to have his penis cut off, it's liberal.
[12:13.740 --> 12:24.740]  It's not psychotic. It's not moon chosen by proxy. No, it's good. Wires in our brains, big corporations putting them in there and laughing at the AI will take us over.
[12:24.740 --> 12:31.740]  They're hiding it in plain view. Elon Musk and it'll soon take you over with his eyes all jacked as pupils all huge.
[12:31.740 --> 12:37.740]  I mean, he's on frickin five hits of LSD or is he already got a brain chip? They've already are wired up.
[12:37.740 --> 12:53.740]  And let me tell you something. I did some digging this morning right before it went live. The company that's in Austin, wait for it is doing it through a UN connected grant is microchipping the homeless in Austin.
[12:53.740 --> 13:03.740]  They've already done it in Mexico and in Guatemala. And now it's here. They target the children. They target the homeless.
[13:03.740 --> 13:15.740]  They target all timers. It's always the weakest stories up on info wars.com and news wars.com. Let's punch that up for folks so they can share that article.
[13:15.740 --> 13:21.740]  It's posted to info wars.com and news wars.com by Mike Adams of natural news.com.
[13:21.740 --> 13:35.740]  Now, here we are just calmly talking about all of this and how it's being rolled out. Just like, oh, Nambla, the UN says is good and sex with children is good and then bestiality is good.
[13:35.740 --> 13:44.740]  And taxpayers are going to make you pay for again cutting little kids genitals off and Islam is good. But Christianity is bad.
[13:44.740 --> 14:00.740]  This is the total takeover of society. This is the system. And we and the average person is just a spectator who just accepts all of this coming down to them, like the fluoride in the water, all the big studies, American Medical Journal, Harvard.
[14:00.740 --> 14:14.740]  They go, yeah, it does give you cancer and lowers your IQ and lowers your fertility and just absolutely screws you up massively, ladies and gentlemen.
[14:14.740 --> 14:19.740]  But that's okay. Roll over and die. We're going to keep it in the damn water.
[14:19.740 --> 14:34.740]  That much of lawsuits have been filed. So it's now out of children's toothpaste because the American Dental Association said eight years ago, don't brush children's teeth up until about age eight with fluoride because it causes dental fluorosis in the next set of teeth and makes them
[14:34.740 --> 14:42.740]  chalky. They always knew that it doesn't help your damn teeth. Doesn't help anybody. It's hydrofluoresic acid that eats holes in your brain.
[14:42.740 --> 14:50.740]  You wonder why everybody's so dumb and looks like zombies and they're so damn ugly. It's the fluoride.
[14:50.740 --> 15:04.740]  They take out the good halogen, the iodine. They put the bad one in and I get up here and sensationally lay it all out with the government documents, the periodic table, and try to launch a movement against it so that people understanding the fluoride out.
[15:04.740 --> 15:18.740]  They put iodine in and, yes, we sell the best, cleanest, best iodine out there, a symbiotic relationship, fund the InfoWare, and get the best X2, the best X3. X3 is great for kids. It's not as strong as the X2, but it's still excellent with tri-iodine.
[15:18.740 --> 15:29.740]  InfoWareStore.com. Get it with a bio-dry selenium. And, yeah, I've been hyping this saying it's the most important thing to do and we've seen some uptick in sales.
[15:29.740 --> 15:36.740]  Maybe a doubling. I know how big our audience is. This isn't about the money. Yes, it's about funding or operation to feed the globalists. It's symbiotic.
[15:36.740 --> 15:47.740]  But it's about the question of they want fluoride in you. It hurts you. This is the opposite. This is what you live off of. Do people get that we're not making this up?
[15:47.740 --> 15:55.740]  We're over the target. We're exposing the globalist. We're taking action. We're fighting hard.
