whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing 'wav/20170831_Thu_Alex.wav' (228892840 samples, 14305.8 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:16.000]   [Music]
[00:00:16.000 --> 00:00:23.000]   We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:00:23.000 --> 00:00:25.000]   It's Alex Jones.
[00:00:25.000 --> 00:00:27.000]   [Music]
[00:00:27.000 --> 00:00:32.000]   The United States has come out and publicly admitted that they did attack drills yesterday,
[00:00:32.000 --> 00:00:37.000]   practicing dropping nuclear weapons on the DMZ.
[00:00:37.000 --> 00:00:41.000]   That is the official headlines here.
[00:00:41.000 --> 00:00:46.000]   The left, all over the place, is now publicly celebrating the death and destruction in Houston,
[00:00:46.000 --> 00:00:49.000]   saying, "Good, you're all white supremacists in Houston,"
[00:00:49.000 --> 00:00:53.000]   even though it is the most diverse city, arguably, in the United States.
[00:00:53.000 --> 00:00:57.000]   Even though it's a great example of people coming together, truly sickening.
[00:00:57.000 --> 00:01:01.000]   Now even Nancy Pelosi came out and more strongly criticized Antifa,
[00:01:01.000 --> 00:01:04.000]   and said they are equivalent to the Nazi groups.
[00:01:04.000 --> 00:01:10.000]   And Joe Scarborough has come out and said that Antifa is fascist.
[00:01:10.000 --> 00:01:13.000]   It blew up in their face. They are collapsing. Trump's been proven right.
[00:01:13.000 --> 00:01:15.000]   Here's a key report by John Bowne.
[00:01:15.000 --> 00:01:23.000]   And so it goes. When disaster occurs, criminals find an opportunity to ply their nefarious trade.
[00:01:23.000 --> 00:01:29.000]   Houston Police Chief Art Acevedo says he has arrested 14 looters since Sunday
[00:01:29.000 --> 00:01:33.000]   who face five years to life for preying on the victims of Hurricane Harvey.
[00:01:33.000 --> 00:01:38.000]   While online phishing scams robbed the charities intended for the victims,
[00:01:38.000 --> 00:01:42.000]   price gouging at gas stations and hotels has been rampant.
[00:01:42.000 --> 00:01:47.000]   And worst of all, fake firefighters and fake Homeland Security agents
[00:01:47.000 --> 00:01:50.000]   are committing acts of armed robbery on the vulnerable.
[00:01:50.000 --> 00:01:56.000]   Meanwhile, arrogant wannabe mainstream media sycophants sell the American public
