[00:00.000 --> 00:01.200]  We'll protect voting rights.
[00:01.200 --> 00:06.760]  We'll pass the election reform and make no, make sure no one, no one ever has an opportunity
[00:06.760 --> 00:10.600]  to steal election again.
[00:10.600 --> 00:14.640]  That's a doozy.
[00:14.640 --> 00:21.600]  So simultaneously on one side of their mouth, Republicans are trying to steal the election.
[00:21.600 --> 00:22.920]  We got to take over the elections.
[00:22.920 --> 00:23.920]  No one ever stole one.
[00:23.920 --> 00:24.920]  It's insane.
[00:24.920 --> 00:27.280]  Don't say that.
[00:27.280 --> 00:28.880]  What do you make of the new talking point?
[00:28.880 --> 00:32.920]  I mean, it's not new, but it's now the new big talking point.
[00:32.920 --> 00:38.880]  It's now the talking point that the democracy's in failing and America's going into a dictatorship.
[00:38.880 --> 00:42.600]  They want to put us in jail and they want to kill our children and they're going to ban
[00:42.600 --> 00:47.280]  and free speech when it's everything they're doing.
[00:47.280 --> 01:07.120]  Ladies and gentlemen, it is Friday, November 4th, 2022.
[01:07.120 --> 01:08.840]  I'm your host Alex Jones.
[01:08.840 --> 01:12.280]  I'm very honored and blessed to be in this position.
[01:12.280 --> 01:17.840]  Thanks to Providence of God and your incredible support.
[01:17.840 --> 01:23.080]  And I was sitting here just minutes ago trying to come on air with the theme of what's really
[01:23.080 --> 01:30.240]  happening on our planet, the core, the heart.
[01:30.240 --> 01:36.920]  And it's really this, the official talking point that I saw them start putting out when
[01:36.920 --> 01:47.200]  they first stole the election 20 months ago, 22, 23, 24 months ago, but took a few months
[01:47.200 --> 01:48.400]  for them to install themselves.
[01:48.400 --> 01:57.840]  So a little less than two years is something really amazing.
[01:57.840 --> 02:05.440]  And now they've gone from making it an embryonic talking point to a crescendo of talking heads
[02:05.440 --> 02:06.600]  out there.
[02:06.600 --> 02:13.000]  And when they tell you the talking point, you know exactly what they're going to do.
[02:13.000 --> 02:15.800]  And it is horrifying.
[02:15.800 --> 02:21.440]  And it's guaranteed unless God intervenes or unless we catch them and stop them.
[02:21.440 --> 02:23.240]  And I'm not going to tell you what that is right now.
[02:23.240 --> 02:28.720]  I'm going to just sit here and let folks ruminate on what could that be?
[02:28.720 --> 02:30.080]  What's the big talking point you're seeing?
[02:30.080 --> 02:35.640]  Then we'll show you the talking point and then we'll lay out the reality of the talking
[02:35.640 --> 02:39.160]  point is true.
[02:39.160 --> 02:52.360]  That's the real trick of evil overhead shot, please is that the truth is what they're doing.
[02:52.360 --> 02:54.560]  But they're Satanist.
[02:54.560 --> 02:59.880]  So your subconscious mind knows what that symbol is, the pentacle, the symbol of a human,
[02:59.880 --> 03:10.440]  the power, a star, the head, the arms, the legs.
[03:10.440 --> 03:23.000]  What happens when you do this, you invert it.
[03:23.000 --> 03:30.400]  You've got the pentagram baffle med.
[03:30.400 --> 03:33.720]  So I know exactly what they're going to do, how they're going to do it.
[03:33.720 --> 03:36.280]  The question is the timing.
[03:36.280 --> 03:40.840]  And it is exactly what I would do if I was evil and I was them when I told you what
[03:40.840 --> 03:41.840]  they're going to do.
[03:41.840 --> 03:45.240]  And now you don't have to listen to me anymore.
[03:45.240 --> 03:49.560]  You're going to get to experience it right along with the rest of us.
[03:49.560 --> 04:00.440]  So when we come back from break, we're going to lay it all out, but it's not just here
[04:00.440 --> 04:01.440]  in America.
[04:01.440 --> 04:04.480]  It's all over the world.
[04:04.480 --> 04:05.920]  Same thing's being rolled out at the same time.
[04:05.920 --> 04:07.480]  It's been done in other places, other times.
[04:07.480 --> 04:11.920]  It says a high tech overlay to it now and high tech icing.
[04:11.920 --> 04:18.200]  And we know where the censorship and surveillance and control and lockdowns and arrest and disappearances
[04:18.200 --> 04:21.280]  and death camps lead.
[04:21.280 --> 04:24.720]  And now it's all in the news.
[04:24.720 --> 04:29.720]  Now it's all in the news, ladies and gentlemen, as they tell you how great it is now, they're
[04:29.720 --> 04:34.920]  going to protect democracy and they're going to protect you from tyranny by getting rid
[04:34.920 --> 04:38.560]  of all your freedom.
[04:38.560 --> 04:42.000]  And there's no such thing as stolen elections.
[04:42.000 --> 04:47.480]  But Joe Biden is going to keep the Republicans from stealing this election.
[04:47.480 --> 04:51.320]  He said that new quote.
[04:51.320 --> 04:54.280]  So we're going to break a lot of stages, join us next segment, and I'm going to kick
[04:54.280 --> 04:58.080]  this sucker off.
[04:58.080 --> 04:59.080]  It's a horror show.
[04:59.080 --> 05:01.160]  The slaves of evil are really a joke.
[05:01.160 --> 05:04.160]  The bigger joke is the fact that we go along with their false authority.
[05:04.160 --> 05:08.160]  It's a big broadcast today, ladies and gentlemen, they're all important, but this is going to
[05:08.160 --> 05:09.720]  be really important.
[05:09.720 --> 05:13.480]  I suggest you take the live links from info wars.com for its last show and share them
[05:13.480 --> 05:16.800]  like your lives depend on it because it does.
[05:16.800 --> 05:21.920]  So we are now four days from what is going to be a highly contested midterm election.
[05:21.920 --> 05:27.240]  The deep tapes attempt to stop a red populist wave from trying to retake the country legally
[05:27.240 --> 05:32.720]  and lawfully from the globalist criminal coup that we're living under.
[05:32.720 --> 05:37.520]  And the talking point that they've been putting out for two years is now the main talking
[05:37.520 --> 05:39.040]  point.
[05:39.040 --> 05:44.560]  And that is that the Republicans are going to put you in camps and kill your children
[05:44.560 --> 05:47.040]  and lock you down and hurt you.
[05:47.040 --> 05:50.600]  Of course, it's the Democrats in the deep state that are preparing all this and setting
[05:50.600 --> 05:52.120]  it up and saying they're going to do it.
[05:52.120 --> 05:56.760]  But then saying the Republicans are the ones that are going to do it.
[05:56.760 --> 05:58.040]  They are inverting reality.
[05:58.040 --> 06:03.040]  They're saying if you vote Republicans, it's the end of our republic, the end of the democracy,
[06:03.040 --> 06:05.040]  and that we're a dictatorship.
[06:05.040 --> 06:08.760]  And then Biden says, I'm not going to let the Republicans steal this election.
[06:08.760 --> 06:12.920]  So everything they say about populists and nationalists and conservatives and those of
[06:12.920 --> 06:18.880]  us trying to take over a political party legally and lawfully to stop the globalist.
[06:18.880 --> 06:20.920]  Everything they say about us is what they're doing.
[06:20.920 --> 06:26.240]  And so you don't need me to play these clips, though I'll play some.
[06:26.240 --> 06:29.880]  All you got to do is turn on any television or open up any so-called newspaper or go on
[06:29.880 --> 06:34.120]  the front page of Twitter or Yahoo or anywhere else.
[06:34.120 --> 06:38.680]  They are saying that the Republicans are going to kill you.
[06:38.680 --> 06:39.680]  Here's the headline.
[06:39.680 --> 06:46.360]  The MSNBC historian says if you vote Republican, your kids will be murdered and democracy will
[06:46.360 --> 06:47.360]  die.
[06:47.360 --> 06:48.360]  Now that's an actual quote.
[06:48.360 --> 06:53.120]  They're going to murder your, you know, the Democrats want to murder children in the womb.
[06:53.120 --> 06:56.360]  They want to do vasectomies and a couple of girls breast off and little boys genitals
[06:56.360 --> 07:02.600]  off and they love tyranny and love death and love fentanyl.
[07:02.600 --> 07:07.320]  Late night talk show hosts say, Hey, what's wrong with fentanyl?
[07:07.320 --> 07:08.720]  It just goes on and on.
[07:08.720 --> 07:11.320]  We know they're the party of death.
[07:11.320 --> 07:17.040]  We know they're the party of satanic activities and they're the parties of surveilling us
[07:17.040 --> 07:20.080]  with think tanks and the Democratic Party and the ADL, the Southern part of the Law
[07:20.080 --> 07:25.120]  Center illegally spying and then censoring and taking millions of Americans bank accounts
[07:25.120 --> 07:26.120]  away.
[07:26.120 --> 07:30.560]  Your bank just says, sorry, we're not going to use you anymore because you're a bad person.
[07:30.560 --> 07:32.120]  Not let you use us anymore.
[07:32.120 --> 07:33.120]  David Ike, it's official.
[07:33.120 --> 07:34.920]  I've got a copy of the EU document.
[07:34.920 --> 07:39.440]  It's in the EU regulations, never passed by law, but by the dictatorship, David Ike's
[07:39.440 --> 07:43.720]  been listed a class three terrorist and is told he'll be arrested if he goes anywhere
[07:43.720 --> 07:47.720]  on the continent of Europe for two years.
[07:47.720 --> 07:48.920]  I have the transcript.
[07:48.920 --> 07:50.800]  Oh, but they're the good people.
[07:50.800 --> 07:57.280]  They're the ones defending democracies because no matter where you are, it's the globalist
[07:57.280 --> 08:00.640]  unified program of control, whether you're in Australia, whether you're in the Netherlands,
[08:00.640 --> 08:05.640]  whether you're in the UK, whether you're in Canada and more and more in the United States.
[08:05.640 --> 08:12.520]  He's called a class three terrorist and they go on to say because you claim governments
[08:12.520 --> 08:17.680]  are tyrannical and planning on taking our rights when they list the conspiracy theories
[08:17.680 --> 08:22.160]  that he's banned from Europe or it's that there's a takeover and an authoritarian plan
[08:22.160 --> 08:26.400]  and a plan to forcibly inject us with shots that don't work and they've done all of that
[08:26.400 --> 08:27.400]  and it's on record.
[08:27.400 --> 08:31.320]  They don't work other than killing you, which is their main function, so they do work.
[08:31.320 --> 08:35.480]  They don't work in the way they tell you they work and I mean, I read the document this
[08:35.480 --> 08:39.640]  morning almost got laid on air reading it because I just read it over and over again
[08:39.640 --> 08:43.120]  and it's a pretty lengthy document and we can spend the whole show just on this document
[08:43.120 --> 08:44.120]  from the EU.
[08:44.120 --> 08:49.600]  I've got an English translation right here and you read this and it's the most Orwellian
[08:49.600 --> 08:52.200]  thing ever.
[08:52.200 --> 08:56.000]  Because you say we're tyrannical, you aren't allowed to come here and give a speech because
[08:56.000 --> 09:01.040]  that's terrorist and because you say that the governments are run by people that want
[09:01.040 --> 09:04.600]  to take your rights, what?
[09:04.600 --> 09:07.600]  So it's the exact same and David's on next Tuesday.
[09:07.600 --> 09:13.400]  So it's the exact same inversion that we see in everything.
[09:13.400 --> 09:18.360]  There's more of these headlines.
[09:18.360 --> 09:23.520]  What we're really saying is if you don't elect us this time, you won't keep them out
[09:23.520 --> 09:26.320]  of power, you may never be able to elect us again.
[09:26.320 --> 09:30.200]  In short, vote to preserve your right to throw the bums out.
[09:30.200 --> 09:32.160]  Now they're the ones that stole the last election.
[09:32.160 --> 09:35.400]  They're the ones with all the fingerprints of fraud.
[09:35.400 --> 09:44.080]  But that's the talking point is the Republicans are going to create a dictatorship if you
[09:44.080 --> 09:45.080]  vote for them.
[09:45.080 --> 09:48.800]  But the Democrats are the ones that know there's been a political realignment that are trying
