[00:00:01.561 --> 00:00:02.763]  We're good to go.
[00:00:16.647 --> 00:00:25.454]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:00:43.933 --> 00:00:48.599]  Ladies and gentlemen, we are live broadcasting worldwide on this Sunday edition.
[00:00:49.560 --> 00:00:51.141]  The 19th day of August 2018.
[00:00:51.141 --> 00:01:06.526]  We're going to be live here for the next two hours and then coming up, Mike Adams with CounterThink will have a fresh one-hour transmission for you out of the InfoWars.com news studios.
[00:01:06.526 --> 00:01:14.029]  I just did a 30-minute emergency briefing with the president that I put out on Twitter and some other platforms that's posted to InfoWars.com.
[00:01:16.155 --> 00:01:24.541]  And when I come back at the start of the next segment, I'm going to do a more concise briefing to you and the President and Congress and the world.
[00:01:24.541 --> 00:01:31.006]  And then I'm going to lay out how the enemy's going to counter-strike and how I believe we need to counter-strike.
[00:01:31.006 --> 00:01:36.851]  So that is all coming up, and I mean legally and lawfully, politically, and to the criminal justice system.
[00:01:36.851 --> 00:01:40.573]  There is major hoaxes running everywhere that I want to cover first now.
[00:01:41.994 --> 00:02:00.821]  That, A, I'm a criminal, that I've hidden evidence in some court case, that I'm running an illegal radio station, that I said get battle rifles for the media, and neither Lester Holt or Brett Baier, NBC, Fox, or any of these channels, will show where I said get battle rifles ready.
[00:02:00.821 --> 00:02:06.904]  So later I'm going to play a Mark Dice piece where I actually went and got the video that Twitter deleted.
[00:02:06.904 --> 00:02:07.424]  That's how they do it.
[00:02:07.424 --> 00:02:09.645]  They delete what you say, and then they say what you said.
[00:02:10.828 --> 00:02:21.182]  When I said Antifa openly says they're coming to congressmen and law enforcement's houses, they've doxxed folks, and I said people need to be ready to defend themselves.
[00:02:21.182 --> 00:02:24.206]  But the old Nazi collaborator funded website, Media Matters,
[00:02:25.563 --> 00:02:31.948]  Said on Periscope, Alex Jones tells supporters to get their battle rifles ready against Antifa, the mainstream media, and Chi-Com operatives.
[00:02:31.948 --> 00:02:36.352]  But notice, there's no quotes around Antifa and the mainstream media.
[00:02:36.352 --> 00:02:37.593]  They just made that up.
[00:02:37.593 --> 00:02:40.975]  But to their credit, they at least showed an edited tape.
[00:02:40.975 --> 00:02:42.837]  No one else even showed the video.
[00:02:44.983 --> 00:02:55.808]  So that's how much they're targeting us with the deplatforming, is now they want to send out press releases to all our radio affiliates going, Alex Jones' show is illegal, you can't pick it up.
[00:02:55.808 --> 00:02:59.390]  But the affiliates actually went, we're taking you from nighttime to during the day.
[00:02:59.390 --> 00:03:00.931]  We got a bunch of those calls.
[00:03:00.931 --> 00:03:01.551]  All positive.
[00:03:02.091 --> 00:03:03.532]  Some like, my god, this is scary.
[00:03:03.532 --> 00:03:05.474]  We all know you're on the regular satellite.
[00:03:05.474 --> 00:03:06.275]  You're a provider.
[00:03:06.275 --> 00:03:07.676]  You don't run stations.
[00:03:07.676 --> 00:03:11.440]  They went and read the article about some micro I couldn't even hear that didn't even go out a mile.
[00:03:11.440 --> 00:03:14.082]  I didn't even know there had been a pirate in Austin for years.
[00:03:14.082 --> 00:03:17.586]  That some family ran that shut down a year ago.
[00:03:17.586 --> 00:03:19.808]  They got sent an FCC letter.
[00:03:19.808 --> 00:03:22.611]  That turns into, Alex's offices have been raided.
[00:03:22.611 --> 00:03:25.113]  His entire broadcast was illegal.
[00:03:25.113 --> 00:03:26.875]  Federal officers are on the scenes.
[00:03:28.973 --> 00:03:34.020]  And then Brett Baier had his own fake newscast where they then added all this together.
[00:03:34.020 --> 00:03:43.113]  Let's just go out to break for that fake news piece we were talking about where Jones claims conspiracy after FCC shutdown.
[00:03:43.113 --> 00:03:45.956]  So they act like I agree that the FCC shut me down.
[00:03:47.452 --> 00:03:48.973]  Well, we're going to break.
[00:03:48.973 --> 00:03:49.993]  I'll have to get to it later.
[00:03:49.993 --> 00:03:52.615]  It's just unbelievable.
[00:03:52.615 --> 00:03:55.536]  When we upload this to InfoWars, this is an interesting time.
[00:03:55.536 --> 00:04:01.900]  Let's just have the editors, because we're live right now, tag that two-minute report on the end so it's on record for you to know the truth.
[00:04:01.900 --> 00:04:05.601]  I mean, it's like edited video of me going, the feds raided me!
[00:04:05.601 --> 00:04:06.562]  It's a conspiracy!
[00:04:06.562 --> 00:04:07.643]  They're inside the building!
[00:04:07.643 --> 00:04:08.843]  Oh my god, I'm illegal!
[00:04:08.843 --> 00:04:09.624]  I'm going to jail!
[00:04:10.544 --> 00:04:11.266]  Battle rifles!
[00:04:11.266 --> 00:04:12.147]  Battle rifles!
[00:04:12.147 --> 00:04:13.931]  And they won't even show video.
[00:04:13.931 --> 00:04:15.394]  It's edited audio.
[00:04:15.394 --> 00:04:18.500]  And Bret Baier goes, his problems just keep getting worse.
[00:04:18.500 --> 00:04:22.007]  It's meant to make my shutdown off the internet sound legitimate.
