[00:00.000 --> 00:02.000]  We've got it
[00:07.360 --> 00:09.360]  Waging war on corruption
[00:11.400 --> 00:17.480]  It's Alex Jones coming to you live from the front lines of the info war
[00:21.800 --> 00:26.040]  Well, we are live ladies and gentlemen coming to you from the
[00:26.040 --> 00:31.960]  Orlando Hollis Center than it is decades and decades of history has never sold out
[00:35.280 --> 00:37.600]  How many hey folks
[00:38.720 --> 00:43.560]  You know what we come back from break in the next time because some stations don't carry this segment I'll ask that question
[00:43.560 --> 00:46.280]  But I'm curious. How many years has this been here?
[00:49.000 --> 00:53.280]  50 plus years it's never sold out and it is a sellout crowd here tonight
[00:53.280 --> 00:59.280]  We've got the doors open and people starting to file in we're about two hours away from the kickoff
[00:59.720 --> 01:05.340]  Of my speech in a documentary film. I'm in a premiere and a lot more here in Orlando
[01:06.400 --> 01:11.400]  810 and the great crew that's here. I really enjoy all the shows that are on the air here
[01:11.400 --> 01:13.520]  I really like this affiliate and I like the fact that the
[01:14.120 --> 01:19.800]  Program director and station manager Carl actually is the type of guy that'll actually call people up and talk to him
[01:19.800 --> 01:24.080]  So he's an interesting fellow. I had to come out here and meet him in about six months ago or so
[01:24.080 --> 01:27.120]  I said y'all come out there and I'll speak to you guys and
[01:27.840 --> 01:33.120]  Because he asked and now it's got me in trouble because we've got over a hundred AM and FM affiliates now
[01:33.120 --> 01:38.640]  They're all saying you will come to our town, you know, we're on in Tampa. We're on three or four other stations in Florida
[01:38.640 --> 01:40.640]  They're all like, why are you not coming here?
[01:41.040 --> 01:44.840]  Well, I will not allow the TSA when I was my family to grab their genitals
[01:44.840 --> 01:51.240]  That's I'm un-American in America. The new American flag will be someone's genitals being squeezed. I guess no
[01:51.240 --> 01:56.320]  I'm serious like an ostrich having his genitals squeezed. Excuse me. I'm not trying to be funny. It's disgusting
[01:56.960 --> 01:58.960]  And so I I'm driving in an RV
[01:59.000 --> 02:02.040]  So I barely got enough time to then race back to Austin
[02:02.080 --> 02:05.000]  So I spoken down with them speaking here is kind of a beta test
[02:05.120 --> 02:10.680]  But I do intend to try these trips every two months or so and try to visit five or six affiliates on each swath
[02:11.440 --> 02:12.960]  through the country
[02:12.960 --> 02:17.880]  But the future I probably won't bring my children with me on every trip because let me tell you that turns into a three-ring circus
[02:17.880 --> 02:21.200]  Your wife your three children and the two French Bulldogs
[02:21.920 --> 02:29.960]  Hurdling down the road. All right in the next two hours. I plan on getting some of the local talk show hosts and also we are change
[02:31.320 --> 02:33.320]  activist group from
[02:33.480 --> 02:39.240]  Right here in Florida who they're in Pinellas County a million people in that county just got the floor
[02:39.240 --> 02:45.000]  I've taken out last year. I plan to try to get them to pop in some of the folks that were coming through
[02:46.440 --> 02:48.560]  Coming up in the second hour today
[02:48.560 --> 02:51.840]  And I will be giving my speech blueprint to defeat the New World Order
[02:51.840 --> 02:57.440]  But after the break, I'm going to get into the news. Here it is out of the Jerusalem Post also winet news
[02:58.120 --> 03:04.840]  It's also in Harat's over in Israel or Harit's people always correct me potato potato Harit's Harat's whatever
[03:04.840 --> 03:09.000]  But here it is. You asked to announce aerial blockade of Syria
[03:10.320 --> 03:14.120]  Now we heard it that eight nine months ago. It wasn't a war
[03:14.240 --> 03:18.880]  It was just drones and jet aircraft blowing up the country and putting al-Qaeda in charge
[03:18.880 --> 03:23.460]  And I'm told that I love the Muslim extremists because I don't want to put al-Qaeda in charge. That's
[03:24.280 --> 03:26.280]  common sense would show insane
[03:26.560 --> 03:31.800]  But we're going to be breaking that down today. It's a big deal. It's another war and
[03:31.800 --> 03:37.280]  And what happens is the corrupt interests that run our country sinned in proxy armies
[03:37.280 --> 03:42.840]  basically Saudi Arabian terrorists and others the Wahhabist and they then attack
[03:43.360 --> 03:49.760]  They then attack these countries like Libya and Syria and I'm not saying could offer you a shot or good people
[03:49.760 --> 03:54.040]  the point is those were stable regimes that were even working with the West in many cases and
[03:54.240 --> 04:00.500]  Then they put the extremists in and destroy the country and start ethnic and religious cleansing and the Christians get thrown out
[04:00.500 --> 04:05.900]  And that's what al-Qaeda has said in Syria. They said we're gonna kill the Christians. We're not going to just kick you out
[04:05.900 --> 04:09.560]  We get you we're gonna kill you of course Christians have been there since the time of Paul
[04:09.700 --> 04:16.180]  He was on the road to Damascus and getting knocked off his horse. That's 2,000 years ago roughly, but no more
[04:16.580 --> 04:22.780]  No more because we have to put al-Qaeda in to kill the Christians because we're fighting the Muslim extremists
[04:23.380 --> 04:25.180]  And again, I'm
[04:25.180 --> 04:30.000]  Erica because I don't want the TSA going in my pants, and I don't like al-Qaeda, but there you go
[04:30.100 --> 04:34.740]  So we're gonna be breaking that down huge news another giant war ahead of an attack on
[04:35.540 --> 04:40.940]  Iran as well with the cover and then after the break also World Bank wants to control the high seas
[04:41.340 --> 04:44.140]  And this is just a 21 over the oceans
[04:44.340 --> 04:48.100]  We're gonna be breaking that down and also all over the US England Canada you name it
[04:48.340 --> 04:54.340]  Parents from being arrested if their children draw images of guns the nanny state is the enslavement state
[04:54.340 --> 04:57.020]  It's all coming up today the 26th of
[04:58.020 --> 05:00.020]  February this Sunday stay with us
[05:00.300 --> 05:02.020]  Hi folks, this is Alex Jones
[05:02.020 --> 05:09.180]  And I want to tell you about the silver lungs generator now you can produce pure and endless colloidal silver and deliver the solution directly
[05:09.180 --> 05:12.580]  Into the bloodstream by breathing the solution through the lungs
[05:13.100 --> 05:19.220]  The respiratory system is the first line of defense for airborne pathogens and viruses the silver lungs generator
[05:19.220 --> 05:27.340]  Infuses the respiratory system with your self-produced nano silver solutions and also delivers the silver nano particles
[05:27.660 --> 05:33.180]  Instantly into the bloodstream with continued legislation threatening the sale of nano silver products
[05:33.260 --> 05:38.540]  You can now produce pure and endless colloidal silver with the silver lungs generator
[05:38.820 --> 05:44.940]  Very easy to follow step-by-step instructions are provided making production fast and simple go to
[05:44.940 --> 05:51.660]  www.silverlungs.com today and learn more about the breakthrough technology of the silver lungs generator
[05:51.660 --> 05:54.660]  That's www.silverlungs.com
[06:02.900 --> 06:07.220]  You are listening to an info wars dot com frontline report
[06:07.220 --> 06:13.740]  If you are receiving this transmission you are the resistance
[06:21.060 --> 06:25.300]  From deep in the heart of FEMA region 6 Austin, Texas
[06:26.380 --> 06:29.540]  Transmitting worldwide it's Alex Jones
[06:29.540 --> 06:40.540]  But I'm not coming to you from FEMA region 6 as my Sunday radio show liner introduces me that's Texas under the
[06:40.860 --> 06:48.660]  6th region of the FEMA command system of the New World Order and North com that is over the United States
[06:48.660 --> 06:54.820]  Now I come to you from deep in the heart of Florida or Lando where they've got the
[06:56.300 --> 06:58.300]  Where they've got the big NASCAR
[06:58.300 --> 07:00.900]  Race going on right now
[07:01.620 --> 07:06.700]  And they've also got Obama here for the NBA all-star game, but I am here
[07:07.100 --> 07:11.300]  To give a speech after the radio show to a capacity crowd of over
[07:12.220 --> 07:14.220]  1,000 people
[07:16.620 --> 07:18.420]  They tell me that this
[07:18.420 --> 07:24.100]  Orlando highlight facility was built in the late 1950s more than more than 50 years ago
[07:24.100 --> 07:28.620]  And that it is never sold out this very nice auditorium
[07:29.420 --> 07:32.020]  In here, but tonight is different in fact
[07:32.020 --> 07:38.620]  They're even selling overflow tickets to the spoke to the broadcaster sports boxes up above us
[07:38.620 --> 07:44.580]  So that shows that liberty and freedom are popular and you can't suppress the signal of human
[07:44.580 --> 07:52.900]  Destiny and human desire to not be slaves just like even if they engage in election fraud and block Ron Paul
[07:53.860 --> 07:57.100]  It doesn't matter. He really is still winning
[07:58.860 --> 08:03.780]  Even if he doesn't win the presidency he wins by getting the word out now again
[08:03.780 --> 08:07.180]  We just opened the doors and I don't know a few hundred people have come in so far to
[08:07.620 --> 08:11.180]  Hear the radio broadcast and see it in the flesh
[08:11.180 --> 08:18.060]  And we're gonna again watch this fill up the next two hours or so before I give my speech and we are broadcasting to
[08:18.660 --> 08:25.420]  Millions of people right now as well and also simulcasting video at prisonplanet.tv
[08:26.260 --> 08:29.380]  I want to say the great folks here at the
[08:29.820 --> 08:31.340]  Big 810
[08:31.340 --> 08:37.360]  Talker in Orlando are just wonderful folks. I've met much of the crew many of the talk show hosts the local talk show
[08:37.360 --> 08:41.300]  I was wonderful people are gonna have some of them popping in in the second hour
[08:41.820 --> 08:47.220]  And I want to say something here about all of our affiliates before I get into the news. I don't talk enough about the fact
[08:48.380 --> 08:50.020]  Several issues here
[08:50.020 --> 08:56.300]  That we are on over a hundred AM and FM stations despite how quote radical and dangerous
[08:56.620 --> 09:02.100]  I am as much of the corporate prostitute media has said it shows that
[09:02.100 --> 09:07.020]  Freedom is an idea whose time has come that more and more stations are picking us up
[09:07.020 --> 09:11.620]  But still to put it somebody on the radio that once the bill of rights and Constitution
[09:11.940 --> 09:14.780]  It will defend the Republic 110 percent
[09:15.460 --> 09:22.220]  That is unprecedented and so there there is courage with our AM and FM affiliates to put this on the air
[09:22.220 --> 09:27.060]  Just like there's courage in the last two years for XM channel 166 to put the weekday show on
[09:27.060 --> 09:33.220]  Because as Mark Twain said in the beginning a patriot is a scarce and feared man
[09:34.220 --> 09:41.380]  Hated and scorned but in a time when his cause succeeds the timid join him because then it cost nothing
[09:41.820 --> 09:46.460]  To be a patriot and that is certainly the case and I just want to say the people that are here tonight
[09:47.140 --> 09:53.660]  Are the type of folks that are actually looking for liberty and freedom and who are involved and I salute you for being here
[09:53.660 --> 09:59.860]  You're awesome now I salute you I salute you
[10:00.620 --> 10:08.780]  Now I want to get into some of the news just huge news all of it is obviously off the charts and unfortunately is exactly
[10:09.060 --> 10:14.740]  What we've predicted would happen, but I do want to thank all of our AM and FM affiliates
[10:14.740 --> 10:19.340]  I do want to thank all of our sponsors our listeners the program directors out there
[10:19.340 --> 10:26.740]  I mean take somebody like Mark Caesar in Austin, Texas who now for over six years has had us on 590 a.m. That
[10:27.580 --> 10:32.100]  Used to be owned by President Lyndon Baines Johnson. You know that shows how far
[10:32.620 --> 10:37.060]  The American spirit has come that our message of liberty is
[10:37.620 --> 10:44.420]  Resonating across this country and we are now reaching more than 15 million people in the aggregate every week
[10:44.420 --> 10:52.860]  That is not a testament to Alex Jones. That is a bellwether a gauge a yardstick a measurement of the incredible
[10:53.540 --> 10:55.540]  Awakening taking place
[11:01.580 --> 11:03.580]  Now some of the news coming up
[11:03.900 --> 11:07.340]  US to announce aerial blockade of Syria
[11:07.580 --> 11:12.540]  That's all over the Israeli all over the Arab all over the European and in some of the US news
[11:12.540 --> 11:20.420]  Remember just four months ago. Hillary Clinton said, oh, we'll never attack Syria and now they're saying this is not a
[11:21.700 --> 11:27.500]  War no, this is not a war. We're just gonna start bombing them
[11:28.100 --> 11:36.740]  Because bombing people is not a war remember what happened eight months ago. Well, Obama said to Congress. Hey, I don't need your approval to
[11:37.580 --> 11:38.620]  liberate
[11:38.620 --> 11:44.700]  Libya dropping 2,000 pound bombs all over the country and blowing up their cities and now killing at least 35,000 people
[11:44.700 --> 11:47.700]  They admit nothing cleansing and putting al Qaeda in he said
[11:47.700 --> 11:51.300]  I have the UN's authority and put out a public statement
[11:51.860 --> 11:58.060]  Saying I get my authority from the UN and I do this for the credibility of the United Nations
[11:58.060 --> 12:05.140]  Even if you were for the war at least call it a war and get congressional approval and Congress said we love war
[12:05.140 --> 12:11.140]  We want to vote for this, but you've got to come dust for authorization and he told him go to where the sun
[12:11.540 --> 12:20.340]  Doesn't shine. I'm going to the UN if that isn't treason. I don't know what is he's saying our Congress isn't even a doormat
[12:20.660 --> 12:22.660]  Our Congress is vestigial
[12:23.340 --> 12:26.340]  ceremonial and doesn't even exist
[12:27.620 --> 12:29.620]  Does that make you angry out there?
[12:29.620 --> 12:34.940]  Let me hear your war growl
[12:40.940 --> 12:42.940]  Let me hear it
[12:45.700 --> 12:48.220]  That's not good enough private Joker
[12:49.220 --> 12:52.380]  Now we're doing lines from full metal jacket
[12:52.380 --> 12:59.140]  I can't wait in the next hour and 45 minutes as this thing fills up of the kickoff at seven
[12:59.140 --> 13:01.140]  We get over a thousand people in here and roar
[13:01.900 --> 13:03.900]  on three I
[13:04.500 --> 13:08.540]  Want to say death to the new world order death to tyranny
[13:09.780 --> 13:11.780]  We will defend liberty
[13:11.980 --> 13:15.940]  So we're gonna say death the new world order on three one two three
[13:15.940 --> 13:21.820]  Two three death to the new world order. Yeah
[13:25.860 --> 13:27.860]  System doesn't like that
[13:28.700 --> 13:35.100]  By the way, I heard doc Holliday who has the show on before me mornings here on a 10 our great affiliate
[13:35.620 --> 13:38.300]  In Orlando by the way, I forgot to mention
[13:39.140 --> 13:45.280]  The instant ratings. I love those now that the instant ratings are coming in the people
[13:45.280 --> 13:48.600]  You know meters where people agree to have a little meter in their car
[13:48.600 --> 13:53.600]  They've also got billboards because all receivers actually transmit if they're am or fm and
[13:54.440 --> 13:58.360]  Since he's been going in the last few years everywhere. We're on even little stations
[13:58.360 --> 14:02.200]  They tense, you know big blowtorch and always had you know pretty good ratings
[14:02.680 --> 14:06.840]  That's why we took it from like number three or four to number one in the last
