[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:15.000]  It's Alex Jones and the GCN Radio Network.
[00:15.000 --> 00:23.000]  Well, it's a big religious holiday here in the United States and it's been exported around the world.
[00:23.000 --> 00:29.000]  And I'm committing a form of sacrilege on this holy day of the Super Bowl.
[00:29.000 --> 00:43.000]  I'm here actually talking about what's happening in the world and how our constitutional republic and our hard-won liberties are being circumvented and eroded and basically decimated.
[00:43.000 --> 01:02.000]  We are live. It is the holy day of the 6th of February, 2011, when the two tribal champions are set to face each other in an hour and a half in global warming ravaged Dallas,
[01:02.000 --> 01:14.000]  where the hospitals don't have power off and on, but the Cowboys Stadium, the religious temple does, the religious temple of distraction and diversion from real issues.
[01:14.000 --> 01:20.000]  Hey, we're going into a depression. Our children have no future, but we get to have pat-downs by the TESA.
[01:20.000 --> 01:29.000]  Oh, that's right. They're there running things and we get to be spied on and the army is involved as we're bathed in tyranny.
[01:29.000 --> 01:37.000]  It's good for Third World police states. It's good for fictitious 1984s. Why? It's good for America.
[01:37.000 --> 01:45.000]  And we're going to be going over all of that today. Homeland security secretary inspects. She's our right-few.
[01:45.000 --> 01:50.000]  The borders are wide open, but she inspects to make sure we're safe.
[01:50.000 --> 02:05.000]  Aren't we glad that Mrs. Napolitano, excuse me, Mr. Napolitano, like Mr. Maddow, are there to inspect us and train us to have government put their hands down our pants to protect us from the evil terrorist.
[02:05.000 --> 02:13.000]  We're so lucky they're there to protect the foreign banks, stealing tens of trillions and not just our children's birthright, but our futures.
[02:13.000 --> 02:20.000]  She's there inserting herself at the publicity trough like the fat demonic government hog that she is.
[02:20.000 --> 02:27.000]  They're training us to not trust anyone, but the government, the last group in the world we should be trusting.
[02:27.000 --> 02:33.000]  Homeland security secretary inspects. Super Bowl site says fans have shared responsibility.
[02:33.000 --> 02:42.000]  It's a responsibility to spy on each other and watch each other because of all CIA boogeymen hiding in every jack-in-the-box.
[02:42.000 --> 02:52.000]  Here in the homeland, continuing big sis in the NFL, turned Super Bowl into police state, and we've got some of her announcements coming up.
[02:52.000 --> 03:04.000]  And here's the Fort Worth Star Telegram, the 100,000-plus minions paying hundreds of dollars a piece to get in and watch a bunch of people engage in simulated combat.
[03:04.000 --> 03:12.000]  They get to have the government grab their genitals and their children will be grabbed, of course, and be baptized into humiliation and third-world tyranny,
[03:12.000 --> 03:19.000]  and learn how to be loaded onto the FEMA trucks and taken to that facility as the government trains the military for that.
[03:19.000 --> 03:28.000]  TSA will keep an eye on the Super Bowl for everyone's safety. CNN reported this first in 2009, and it's a three-year tradition.
[03:28.000 --> 03:31.000]  They're now doing it yet again here.
