[00:00:00.498 --> 00:00:01.079]  We've got it.
[00:00:01.079 --> 00:00:07.604]  This transmission is coming to you.
[00:00:07.604 --> 00:00:12.008]  Waging war on corruption.
[00:00:12.008 --> 00:00:19.555]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:19.555 --> 00:00:21.056]  We're live!
[00:00:26.531 --> 00:00:32.132]  It is Sunday, the 19th day of June, 2011.
[00:00:32.132 --> 00:00:35.053]  The quickening is definitely here.
[00:00:35.053 --> 00:00:40.174]  And we have an extremely important broadcast lined up for you today.
[00:00:40.174 --> 00:00:51.216]  Undoubtedly, during the first hour, we won't have any time to take calls, but I do look forward to taking your calls in the second hour.
[00:00:52.608 --> 00:00:53.568]  We knew this was coming.
[00:00:53.568 --> 00:01:06.854]  We now have the EU and UN sanctions on the way to begin the pretext of the invasion of Syria now, not just Libya.
[00:01:06.854 --> 00:01:11.196]  And we have the confirmed reports from inside Fort Hood and other major bases that U.S.
[00:01:11.196 --> 00:01:18.659]  military is going to be sending in heavy armor in late September, early October.
[00:01:18.659 --> 00:01:20.680]  And I've likened this to World War III.
[00:01:22.418 --> 00:01:33.102]  Now, after I released that video Friday, the special report I did, I realized I needed to shoot another video explaining to people, the general public, what World War III means.
[00:01:33.102 --> 00:01:40.705]  Because we have a pop culture idea of, if we go to war with the Russians, that's World War III and the end of the world.
[00:01:40.705 --> 00:01:46.728]  And I don't know what World War III will look like, but I know that World War IV will be fought with sticks and stones.
[00:01:48.467 --> 00:01:53.769]  I'm not talking about a thermonuclear World War III, I'm talking about a Third World War.
[00:01:53.769 --> 00:01:59.651]  And you can look up different encyclopedia, Britannica, Wikipedia, other definitions.
[00:01:59.651 --> 00:02:09.435]  But when you look them up, it's a multi-region war with more than three countries involved that is prolonged with high numbers of dead.
[00:02:10.996 --> 00:02:32.555]  And if you don't call the last nine years of Afghanistan, Iraq, Pakistan, Yemen, all these other countries, if you don't call that a multi-region war with high numbers of dead people and a lot of different countries involved, if you don't call it a World War III, what do you call it?
[00:02:33.376 --> 00:02:42.479]  And it just so happens that I was going from memory, but I wanted to make sure I was right, so I did a lot of research Friday night and Saturday to make sure my video was accurate.
[00:02:42.479 --> 00:02:46.621]  And it turns out it's completely accurate, except for one issue.
[00:02:46.621 --> 00:02:49.582]  The Pentagon calls the Cold War World War III.
[00:02:51.500 --> 00:02:52.340]  Oh yeah, that's official.
[00:02:52.340 --> 00:02:54.221]  We're gonna be going over that.
[00:02:54.221 --> 00:03:00.203]  And so I guess you'd call this World War 4, but for a popular understanding, if I said World War 4, folks wouldn't get it.
[00:03:00.203 --> 00:03:09.465]  And I even have George W. Bush, ABC News, and other reports here, saying Bush likens war on terror to World War 3.
[00:03:09.465 --> 00:03:10.005]  That's what it is.
[00:03:10.005 --> 00:03:13.186]  It was a pretext for World War 3, or World War 4.
[00:03:13.186 --> 00:03:14.767]  It's a proxy war.
[00:03:16.868 --> 00:03:22.311]  It's a world war via proxies, as we predicted would happen and would be expanded in the Obama deception.
[00:03:22.311 --> 00:03:32.315]  So we're going to break down exactly what the Globalist, what the Bilderberg Group plans to have come out of this today.
[00:03:32.315 --> 00:03:33.856]  And it's extremely important.
[00:03:33.856 --> 00:03:35.477]  Now, I'm not going to get to that first, though.
[00:03:35.477 --> 00:03:38.618]  I'm not going to get to that first.
[00:03:38.618 --> 00:03:40.339]  I want to get into
[00:03:41.840 --> 00:03:44.702]  The TSA and the fight against total federalization.
[00:03:44.702 --> 00:03:47.624]  That's really what this TSA situation is really all about.
[00:03:47.624 --> 00:03:50.425]  It's much bigger than just airports.
[00:03:50.425 --> 00:03:57.450]  And the fact that state legislatures in Texas had their genitals groped so hard that they were racked by it.
[00:03:57.450 --> 00:03:59.931]  They were groveling in pain.
[00:03:59.931 --> 00:04:02.553]  They were told, you have now been punished.
