[00:00.000 --> 00:29.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[00:29.000 --> 00:38.000]  Ladies and gentlemen, another Global Broadcast. I'm your host Alex Jones and we're going to be here for the next two hours.
[00:38.000 --> 00:45.000]  As we are every Sunday, 4 to 6 p.m. central and I return weekdays 11 a.m. to 3 p.m. central time.
[00:45.000 --> 00:56.000]  This is InfoWars radio slash television merged so that we can document the claims we're making here to another level.
[00:56.000 --> 01:08.000]  Now coming up, I do want to open the phones up on the Sunday broadcast and I also want to try to get to as much news as possible because there's just so much to cover here.
[01:08.000 --> 01:23.000]  But first off, we need to really get the word out to everybody that the entire modern liberal social engineering movement is about causing discord and unhappiness in the general population.
[01:23.000 --> 01:32.000]  And then misdirecting the rebellion that's being stirred up by the system into establishing even greater forms of oppression and tyranny.
[01:32.000 --> 01:40.000]  And a great example of that is a story that's the top of Drudge. Drudge has big screenshots of it. It's also up on infowars.com.
[01:40.000 --> 01:53.000]  There's Beyonce Urban Terrorists in new video, baseball bat rampage. And we'll play some of the video. Video, we can't play the audio because there's so much cussing.
[01:53.000 --> 02:00.000]  And you already see the Super Bowl with her up there in a anti-police rant.
[02:00.000 --> 02:10.000]  And then now we see her running around with a bunch of little girls skipping behind her. The message is learning how to be a woman is smashing cars up with a baseball bat because you hate men.
[02:10.000 --> 02:17.000]  So war against the police, war against men, that's going to really get you ahead in life.
[02:17.000 --> 02:25.000]  And then everybody sits there, I guess in Chicago especially, who's seen their crime rate double, already the highest crime rate in the world until 2015.
[02:25.000 --> 02:33.000]  Since then, since the middle of 2015, a year later, according to the Associated Press, the crime rate has doubled.
[02:33.000 --> 02:40.000]  Now obviously there are problems with our militarized police. There are obviously issues. I'm someone who's exposed them, one of the most prominent people.
[02:40.000 --> 02:53.000]  But that doesn't mean we just blame the average police officer. We blame ourselves for allowing our government to be run by criminals that are turning the police into tools of control.
[02:53.000 --> 03:05.000]  But then when you condition the public to run around and act like wild criminals in the street, no, she's a beautiful woman now because she's out smashing everything, engaging these forms of anarchy behavior,
[03:05.000 --> 03:12.000]  you're setting these groups up to be basically imprisoned, to basically be set up and to play the role of criminals.
[03:12.000 --> 03:25.000]  And I talked about MTV in the early 1990s, a lot of top rock stars that I personally know were called into meetings and told either merge with gangster rap or promote crime in the streets and drug dealing,
[03:25.000 --> 03:36.000]  or we're going to not air your music anymore. And of course a lot of hip hop folks have come out and said when they wouldn't go along, people, they're already very popular in the early 1990s.
[03:36.000 --> 03:45.000]  When they wouldn't go along with gangsterism and murder and criminality, they were told, okay, we're not going to air your stuff.
