[00:00:05.875 --> 00:00:10.418]  July 4th!
[00:00:10.418 --> 00:00:11.979]  You want answers?
[00:00:11.979 --> 00:00:13.320]  Well, so does he.
[00:00:13.320 --> 00:00:21.066]  Live from the Infowars.com studios, it's Alex Jones.
[00:00:21.066 --> 00:00:22.607]  How dare that guy be angry!
[00:00:24.008 --> 00:00:25.248]  Totally wide open borders.
[00:00:25.248 --> 00:00:27.789]  Government stealing pension funds worldwide.
[00:00:27.789 --> 00:00:29.909]  Banker bailouts in the hundreds of trillions.
[00:00:29.909 --> 00:00:34.151]  Total authoritarianism being publicly set up.
[00:00:34.151 --> 00:00:41.052]  Why, it's bizarre to get upset about all that and have our whole future destiny destroyed by a bunch of anti-human eugenicists.
[00:00:41.052 --> 00:00:43.553]  Who would want to politically blow up something like that?
[00:00:44.963 --> 00:00:50.466]  Why, Paul Revere, he said to arms to arms, get ready to kill people they're trying to enslave us.
[00:00:50.466 --> 00:00:55.569]  But when I got up and told Piers Morgan a year and a half ago to go to Hades, we knew he was there for gun confiscation.
[00:00:55.569 --> 00:00:56.950]  Why, it was radical.
[00:00:56.950 --> 00:00:57.651]  It was evil.
[00:00:57.651 --> 00:00:58.731]  It was outrageous.
[00:00:58.731 --> 00:01:03.194]  Because if you let one ant stand up, they might all stand up.
[00:01:03.194 --> 00:01:05.836]  And then there goes our way of life.
[00:01:05.836 --> 00:01:07.817]  We ought to play that clip coming into the next segment.
[00:01:08.939 --> 00:01:16.462]  Well, I'm sitting here, ladies and gentlemen, listening to the show over at my folks' house with the family.
[00:01:16.462 --> 00:01:18.003]  You're saying, oh, you're on the radio.
[00:01:18.003 --> 00:01:18.723]  No, I'm not.
[00:01:18.723 --> 00:01:25.346]  This is an original first hour of the July 4th, 2014 transmission that I'm taping Thursday afternoon.
[00:01:27.833 --> 00:01:33.837]  And then we've got a retransmission of a very powerful interview we did with David Icke, I think one of the best ones ever, coming up in the second and third hour.
[00:01:33.837 --> 00:01:36.679]  We've had a lot of requests to rebroadcast that.
[00:01:36.679 --> 00:01:38.861]  And then I'll be back Sunday, 4 to 6 p.m.
[00:01:38.861 --> 00:01:40.022]  with a Sunday transmission.
[00:01:41.574 --> 00:01:54.765]  I got in here with a copy of the Declaration of Independence and I got in here with a bunch of news articles and what I think I want to get into is just how America has changed and what a police state we are versus where we should be going.
[00:01:54.765 --> 00:01:57.427]  And while the police state is pointed at the American people,
[00:01:58.800 --> 00:02:08.750]  The border is wide open and illegal aliens are being given free welfare and bust in anywhere they want to go in the country showing the whole war on terror and the quote Al Qaeda threat is a giant joke.
[00:02:08.750 --> 00:02:09.851]  We know it is.
[00:02:09.851 --> 00:02:13.355]  We're not saying there aren't radical Muslim terrorists out there.
[00:02:13.355 --> 00:02:20.502]  What we are saying and proving is criminal globalist interest in NATO, Saudi Arabia, our government, you name it.
[00:02:22.652 --> 00:02:23.593]  Israel!
[00:02:23.593 --> 00:02:29.958]  Netanyahu came out last week or week and a half ago and said, oh yeah, we need to help ISIS, you know, take over Iraq.
[00:02:29.958 --> 00:02:31.339]  It'll destabilize the Muslims.
[00:02:31.339 --> 00:02:32.560]  Destabilize them?
[00:02:32.560 --> 00:02:41.847]  Putting one of the worst groups, if not the worst Al Qaeda group, in charge of Iraq that we went and overthrew to put an elected government in that's been pro-America?
[00:02:41.847 --> 00:02:43.087]  Compared to ISIS they are!
[00:02:43.087 --> 00:02:46.750]  I mean, that's an evil policy!
[00:02:46.750 --> 00:02:51.454]  And when I came back through customs this week from a vacation,
[00:02:53.268 --> 00:03:02.877]  I mean, I ran into the customs guy because they put this big cross on the computer printout I got in the first kiosk I went through, basically like a harassment no-fly list.
[00:03:02.877 --> 00:03:09.924]  And the guy knew who I was, was a listener, and said, this is outrageous, and literally started cussing.
[00:03:09.924 --> 00:03:15.869]  And he was a veteran, and then had come back into customs after 9-11 as a family member got killed.
[00:03:15.869 --> 00:03:18.452]  And he was a listener, and he was shaking with anger.
[00:03:20.695 --> 00:03:21.655]  Shaking in anger.
[00:03:21.655 --> 00:03:22.616]  And here's the other good news.
[00:03:22.616 --> 00:03:23.576]  I'm not tooting my horn.
[00:03:23.576 --> 00:03:27.437]  I didn't tell this the other day when I got back, Wednesday.
[00:03:27.437 --> 00:03:41.542]  The customs guy I talked to in Grand Cayman, where your bags come up, the head customs guy, he was the boss there, said, Oh, Alex Jones, I was listening to your show yesterday.
