[00:00:00.302 --> 00:00:01.563]  You've got it.
[00:00:01.563 --> 00:00:07.407]  This transmission is coming to you.
[00:00:07.407 --> 00:00:11.811]  Waging war on corruption.
[00:00:11.811 --> 00:00:17.435]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:21.078 --> 00:00:31.247]  It is Sunday the 7th day of August 2011 and we're here every Sunday 4 to 6 p.m.
[00:00:31.247 --> 00:00:31.768]  Central.
[00:00:43.118 --> 00:00:44.819]  Back Monday through Friday 11 a.m.
[00:00:44.819 --> 00:00:45.760]  to 2 p.m.
[00:00:45.760 --> 00:00:47.441]  Central Standard Time.
[00:00:47.441 --> 00:00:49.863]  Thank you so much for joining us today.
[00:00:49.863 --> 00:00:59.551]  We are going to have open phones on the transmission in the second half of the first hour of the entire second hour today.
[00:00:59.551 --> 00:01:10.139]  Let me first go over all the incredibly important news and I do want to open the phones up on a spectrum of topics and we don't screen your calls but I hope that you when I do give the number out
[00:01:10.939 --> 00:01:18.963]  You will call in and at least give me your view on the topics that I'm raising, and then if you want to segue or digress into something else, that would be great.
[00:01:18.963 --> 00:01:26.406]  But I do want to really focus in, obviously, on the big downgrade of the U.S.
[00:01:26.406 --> 00:01:28.027]  currency and the U.S.
[00:01:28.027 --> 00:01:37.212]  economy by the private megabanks that have been spending decades positioning our country for financial collapse and consolidation.
[00:01:38.186 --> 00:01:55.163]  And of course, I told you, our expert guest told you, that as soon as they got their debt deal done, that they would then announce new rounds of economic implosion, and that the Super Congress you watch in the fall will call for a new round of banker bailouts.
[00:01:55.703 --> 00:02:03.150]  Which is your tax money being given to the bankers, and for the bankers being given your money, you then pay them interest on the money you give them.
[00:02:03.150 --> 00:02:08.576]  You heard me right and that's what's happened with the tens of trillions of dollars in the last three years.
[00:02:08.576 --> 00:02:11.098]  We're going to be going over all of that today.
[00:02:11.098 --> 00:02:11.378]  U.S.
[00:02:11.378 --> 00:02:12.419]  downgrade alarm.
[00:02:13.499 --> 00:02:20.283]  Bell, Chinese media reporting world leaders race to head off fresh market turmoil.
[00:02:20.283 --> 00:02:24.106]  They're worried about a total collapse in markets tomorrow.
[00:02:24.106 --> 00:02:28.608]  That's French news agency Dollar to be discarded by World, CNBC.
[00:02:28.608 --> 00:02:33.291]  See, the globalists have to destroy the United States to build their world government after we
[00:02:34.532 --> 00:02:36.953]  Empower it with our military and our taxes.
[00:02:36.953 --> 00:02:37.853]  They're done with us.
[00:02:37.853 --> 00:02:46.135]  That's what homeland security is for, to make sure that we are destroyed and never rise again, as the domestic global straightjacket system.
[00:02:46.135 --> 00:02:48.896]  Similar to what the bankers have put in other third world countries.
[00:02:48.896 --> 00:02:51.516]  Tel Aviv stocks fall 7% on U.S.
[00:02:51.516 --> 00:02:52.737]  debt downgrade.
[00:02:52.737 --> 00:02:53.637]  They're already open.
[00:02:54.750 --> 00:02:56.051]  I don't know.
[00:03:16.465 --> 00:03:24.948]  That's why I've warned people that we've got to get the word out about who's going to be behind this depression so that when it happens the culprits don't run around grandstanding as saviors.
[00:03:24.948 --> 00:03:28.309]  But it's on.
[00:03:28.309 --> 00:03:35.131]  Geithner is to remain as Treasury Secretary and we've got a clip coming up where just a few months ago he said there's no way we're going to lose our AAA rating.
[00:03:35.131 --> 00:03:40.253]  It was always planned to do that once they got the super Congress in place.
[00:03:40.253 --> 00:03:41.974]  They've had many debt increases.
[00:03:43.066 --> 00:03:57.003]  This is all about a spectacle to get the idea of default and collapse in our minds and to make the American people think that it's our fault this is going to happen and to sell us that it's our fault instead of those that created the 1.5 plus quadrillion.
[00:03:58.228 --> 00:04:01.331]  Dollar to drop and S&P move.
[00:04:01.331 --> 00:04:04.193]  Safe haven demand seen.
[00:04:04.193 --> 00:04:05.234]  Here's another one.
[00:04:05.234 --> 00:04:07.416]  China calls for international oversight of the U.S.
[00:04:07.416 --> 00:04:09.238]  dollar, which is really the end of U.S.
[00:04:09.238 --> 00:04:12.560]  sovereignty or gunboat diplomacy against our nation.
[00:04:12.560 --> 00:04:14.562]  Suggest single global currency to replace it.
[00:04:14.562 --> 00:04:16.364]  Exactly what the Rockefellers and others have been
[00:04:16.704 --> 00:04:24.570]  Positioning and pushing and promoting and promoting an end to the Constitution being the answer to all our problems and all the big magazines and newspapers the last few months.
[00:04:24.570 --> 00:04:28.974]  Promoting the last two years a bank of the world that you pay your VAT and carbon taxes to.
[00:04:31.457 --> 00:04:33.318]  We've got that news.
[00:04:33.318 --> 00:04:46.826]  Also, we've got a report out of Zero Hedge up on PrisonPlanet.com right now that breaks down the fact that world leaders are moving to try to slow the implosion.
[00:04:46.826 --> 00:04:49.608]  Again, it's designed to implode, but they want it incrementally.
[00:04:49.608 --> 00:04:56.572]  G7 preparing statement to support dollar, EU, in fact, everything that would otherwise collapse tomorrow before Asia opened.
[00:04:56.572 --> 00:04:57.092]  Stay with us.
[00:04:57.092 --> 00:04:58.693]  We'll get into the Navy SEAL situation as well.
[00:05:00.293 --> 00:05:04.314]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:04.314 --> 00:05:07.555]  This is our last chance to not relive history.
[00:05:07.555 --> 00:05:12.336]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:05:12.336 --> 00:05:18.738]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:05:18.738 --> 00:05:20.979]  I think it's incumbent upon all of us
[00:05:21.519 --> 00:05:21.819]  Tim Geithner?
[00:05:21.819 --> 00:05:22.340]  Bernanke?
[00:05:22.340 --> 00:05:23.000]  They're arsonists!
[00:05:23.000 --> 00:05:24.101]  They're asking for more matches!
[00:05:24.101 --> 00:05:26.523]  And the Congress is saying, who do we make the check out to?
[00:05:40.413 --> 00:05:42.554]  Today seems like nobody does care.
[00:05:42.554 --> 00:05:47.695]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:05:47.695 --> 00:06:00.099]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:06:00.099 --> 00:06:05.521]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:06:05.521 --> 00:06:07.802]  Because there's a war on for your mind.
[00:06:12.006 --> 00:06:17.271]  It is Sunday, my friends, the seventh day of August, 2011.
[00:06:17.271 --> 00:06:22.596]  We're going to get into the S&P downgrade of the U.S.
[00:06:22.596 --> 00:06:23.677]  dollar and U.S.
[00:06:23.677 --> 00:06:24.258]  treasuries.
[00:06:24.258 --> 00:06:27.000]  We're going to look at the supposed death of 20-plus
[00:06:28.101 --> 00:06:34.303]  Navy SEALs from SEAL Team 6, something we predicted here in InfoWars Ireland, also predicted.
[00:06:34.303 --> 00:06:36.944]  We have that video up on InfoWars.com.
[00:06:36.944 --> 00:06:46.688]  You know, if the official Bin Laden killing story is a fraud, and it's been proven to be a fraud, a lie, then we have to look at this mysterious event.
[00:06:46.688 --> 00:06:51.790]  And I'll tell you why I believe it stinks to high heaven coming up.
[00:06:51.790 --> 00:06:54.231]  We've got a lot of other important news also.
[00:06:54.231 --> 00:06:56.232]  The El Paso Times and others are reporting.
[00:06:57.032 --> 00:07:15.337]  That in federal court documents have been filed basically proving that the federal government was allowing cocaine to be shipped in the United States while shipping guns to drug cartels that they were arming to knock out the other drug cartels who were not laundering their money through major U.S.
[00:07:15.337 --> 00:07:20.758]  banks like Wells Fargo and Wachovia who are on record now a year ago
[00:07:21.458 --> 00:07:29.863]  Admitting that they laundered $376 billion in a two-and-a-half-year period and also ran the drug aircraft.
[00:07:29.863 --> 00:07:30.904]  So that's a big story.
[00:07:30.904 --> 00:07:37.488]  We'll be breaking down the $500 billion-a-year industry that the mainstream media tells you the government and big banks aren't involved in.
[00:07:37.488 --> 00:07:45.153]  If you believe that, ladies and gentlemen, then you don't believe Bugs Bunny is a rabbit or that Roger Stolbeck played for the Dallas Cowboys.
[00:07:45.153 --> 00:07:48.755]  Okay, now, stopping right there.
[00:07:49.795 --> 00:07:55.177]  This is a designed, controlled implosion of our economy.
[00:07:55.177 --> 00:08:07.741]  And I am on record telling you, over and over again the last month, that as soon as they got the quote, the debt ceiling raised, that they were going to go ahead and announce the acceleration of the U.S.
[00:08:07.741 --> 00:08:12.402]  losing its AAA credit rating and what that means.
[00:08:12.402 --> 00:08:14.163]  They have the new super congress in place.
[00:08:15.188 --> 00:08:31.062]  That on spending bills and on taxing bills, which is basically the real power of the purse, and on cut bills, bills that cut, that now there's no filibusters, there's no amendments, the bills can't start from individual members of the House or Senate.
[00:08:31.602 --> 00:08:37.464]  Now they will come out of this 12-member board with the president as the 13th, to the Council of 13.
[00:08:37.464 --> 00:08:42.145]  And it's now being admitted that it's undemocratic, it's unconstitutional.
[00:08:42.145 --> 00:08:48.147]  But again, they need that power as the United States is bankrupted and financially conquered through fraud.
[00:08:48.147 --> 00:08:48.847]  So that's coming up.
[00:08:48.847 --> 00:08:49.347]  Now remember,
[00:08:49.927 --> 00:08:59.359]  Geithner said months ago, two months ago, and this is up on InfoWars.com, on Fox Business and other channels, he said that the dollar would not be devalued.
[00:08:59.359 --> 00:09:00.881]  He said that the U.S.
[00:09:00.881 --> 00:09:05.927]  would not lose its AAA credit rating, when according to every financial expert out there, the U.S.
[00:09:05.927 --> 00:09:08.850]  has not had a AAA credit rating for many, many years.
[00:09:09.731 --> 00:09:12.973]  Neither do any of the other major currencies, except for the Swiss franc.
[00:09:12.973 --> 00:09:19.017]  They're all being devalued by G20, concerted devaluation, and we'll break down why that's so important.
[00:09:19.017 --> 00:09:21.178]  But the bottom is now falling out.
[00:09:21.178 --> 00:09:24.680]  We've been in a depression for three years, sliding into a deeper one.
[00:09:24.680 --> 00:09:33.125]  They've been covering it up while the bankers hogged almost all the stimulus and bailout money for themselves and took it offshore where it's tax-free.
[00:09:33.125 --> 00:09:36.127]  As you know, most of the Fortune 100 pay zero taxes.
[00:09:36.127 --> 00:09:37.268]  They take the money offshore.
[00:09:37.768 --> 00:09:48.455]  But let's go ahead and play a clip of Tim Geithner, the Treasury Secretary, on Fox Business just a few months ago saying that there would be no downgrade of the credit rating.
[00:09:48.455 --> 00:09:49.476]  Here it is.
[00:09:49.476 --> 00:09:50.396]  Alright, Connell, thank you.
[00:09:50.396 --> 00:09:53.418]  Mr. Secretary, thanks for joining Fox Business.
