[00:00.000 --> 00:13.000]  Big Brother, mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:13.000 --> 00:27.000]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:27.000 --> 00:38.000]  We're live, my friends. It is Monday, the 22nd day of November 2010, as we kick off this Thanksgiving week.
[00:38.000 --> 00:45.000]  The TSA is bracing for the opt-outers who don't want to be put in the microwave.
[00:45.000 --> 00:51.000]  I was looking at some of the TSA-released images where they're trying to console the public.
[00:51.000 --> 00:57.000]  Even in the TSA, Naked Body Scan, released images, you can see the bones in people's fingers.
[00:57.000 --> 01:05.000]  The radiation is penetrating that deep, and they admit they've been giving the public de-rezzed images.
[01:05.000 --> 01:10.000]  And we've got all these top radiologists and scientists on record saying these things are dangerous.
[01:10.000 --> 01:14.000]  There have been huge developments on that front that's coming up after the break.
[01:14.000 --> 01:19.000]  Also, a great article from the Economic Collapse blog. It's up on infowars.com.
[01:19.000 --> 01:29.000]  Full spectrum dominance. Eight examples of how the government is attempting to take control of our food, our health, our money, and even our dignity.
[01:29.000 --> 01:34.000]  A top U.S. military officer says Al Qaeda threat from Yemen is serious.
[01:34.000 --> 01:45.000]  You notice right as the population says no to the Naked Body Scanners, magically the toner cartridges get mailed, and now that there's more pressure, Yemen's going to try to strike.
[01:45.000 --> 02:01.000]  And I noticed that two days before the German bomb event of last week, magically the Germans were saying that they were bracing for more bombs on planes.
[02:01.000 --> 02:21.000]  German government warns a possible November terror attack, and then there was a bomb last, what, Friday on that German plane, or Thursday, and it turned out over the weekend it was the U.S. government.
[02:21.000 --> 02:32.000]  Now, the evidence shows that's what happened with the printer cartridges, and the British government said these are not bombs, and Obama said, I'm giving a press conference. They are bombs. Check them again.
[02:32.000 --> 02:44.000]  It's kind of like Bush saying, Saddam did have WMDs. My daddy sold them to them. Check the receipt. You know, that's a popular joke, but that's basically what went on there.
[02:44.000 --> 02:57.000]  So you need to check those bombs again, because like Karnak, the Magnificent, back to the days of Johnny Carson putting the envelope up to his head and saying, yes, let me see what it may be.
[02:57.000 --> 03:06.000]  It's the same thing here. The British say this is not a bomb, and Obama's like, yes it is. I'm 6,000 miles away. Yes it is.
[03:06.000 --> 03:22.000]  They stand to gain from it. They get to fear monger, shirt off, and others get to make millions of dollars individually. Off of the machines being put in, we get trained how to be slaves, and in plain view of everyone,
[03:22.000 --> 03:30.000]  Obama tells them, you need to re-diagnose those packages, and oh, guess what? The President was right. They were bombs.
[03:30.000 --> 03:36.000]  So there's been new developments on that front. We're there talking about al-Qaeda hitting us over Thanksgiving, hitting us over Christmas.
[03:36.000 --> 03:46.000]  Look, we don't like sticking our hands in your pants, in your underwear, but it's got to be done, or al-Qaeda's going to get you. But the border is wide open.
[03:46.000 --> 03:58.000]  Also, huge developments on the economic front, pessimistic fed to slash growth forecast. I thought the recession ended a year and a half ago, back in June of 2009.
[03:58.000 --> 04:13.000]  You notice that in Ireland, and in Spain, and in Greece, and in Portugal, the list goes on and on. The bigger the bailouts, totaling 60% of the Irish economy, in just one bailout for Ireland they're talking about,
[04:13.000 --> 04:22.000]  they admit that ahead of the next bailout, that oh, that won't fix it either. See, it's a mathematical black hole. It's impossible to pay off.
[04:22.000 --> 04:28.000]  This is the Bankster system where they hold us hostage. That's coming up.
[04:28.000 --> 04:33.000]  Head of the UN climate body admits surprise at fury over blunder and report.
[04:33.000 --> 04:49.000]  They're spinning the climate gate email debacle as errors. It's not errors. They're in there talking about how to lie and say the earth is warming.
[04:49.000 --> 05:00.000]  Alright, it's all coming up. Plus, Geraldo Rivera goes back on record again, questioning Building 7 collapse. He's got a lot of courage. It's all coming up. Stay with us.
[05:20.000 --> 05:28.000]  Number 3. In some areas of the country, the power grid is dangerously overloaded. And now, new socialist legislation is only compounding the problem.
[05:28.000 --> 05:35.000]  Number 4. Dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather-related onages.
[05:35.000 --> 05:44.000]  Number 5. A solar power generator provides powerful backup insurance and peace of mind. Folks, I really believe in the solar power generators offered by Solutions from Science.
