[00:00.000 --> 00:20.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:30.000 --> 00:45.000]  Ladies and gentlemen, we are live. Thank you so much for joining us on this Tuesday, the 14th day of June, 2016.
[00:45.000 --> 00:49.000]  I'm your host Alex Jones. We're going to be live here for the next four hours.
[00:49.000 --> 00:55.000]  Obviously, we're going to be talking about the biggest mass shooting in U.S. history that took place Saturday night.
[00:55.000 --> 01:02.000]  We've learned a lot more about this. I've studied Islam. I've studied the jihadist. I've studied the Wahhabist.
[01:02.000 --> 01:08.000]  And the more Wahhabist you get, the more you're into having sex with little boys.
[01:08.000 --> 01:12.000]  And the more you're also into going to gay nightclubs.
[01:12.000 --> 01:22.000]  And so I said, this is latent homosexual behavior. This is a guy obsessed with it, probably into it, who then is guilty about it.
[01:22.000 --> 01:30.000]  So he decides to run his jihad that he's going to launch for ISIS against the gay nightclub, which is exactly what we now learn.
[01:30.000 --> 01:37.000]  He frequented the place. He was there quite a bit and hung out with the folks there.
[01:37.000 --> 01:44.000]  And this is just all part of the schizophrenia of Islam, where it talks about having sex with young boys and how that's okay.
[01:44.000 --> 01:53.000]  And young girls, but if an adult doesn't, you've got to be killed. I mean, it should be the opposite. You go after kids. That's when you have the problem.
[01:53.000 --> 01:59.000]  Because they don't have the age of consent. See, that's how it is in the West. Everything is ass backwards.
[01:59.000 --> 02:05.000]  Orlando Shooter. Omar and my team was a regular at the Pulse Nightclub.
[02:05.000 --> 02:14.000]  Customers had seen killer there before and several reports getting messages from him on gay dating apps.
[02:14.000 --> 02:23.000]  So he's out there going around the different apps online, reportedly, and it just, it just all fits the MO.
[02:23.000 --> 02:30.000]  And he's got this family, this father, you know, going on the internet saying kill the gays and you've got his E-mom saying it.
[02:30.000 --> 02:38.000]  And none of that is really in the news. It's all how gun owners are evil. It's all how gun owners are bad.
[02:38.000 --> 02:46.000]  It's all how we have to pay. In fact, Hillary Clinton has said it's the internet which she wants to censor. That's the problem and guns.
[02:46.000 --> 02:52.000]  And the FBI has come out and said he was radicalized on the internet. Okay, he traveled to Saudi Arabia repeatedly.
[02:52.000 --> 02:55.000]  That's where he actually went to get the final training.
[02:55.000 --> 03:02.000]  But the idea that like, well, the man used a car to run people over. He used the highway. He used a car.
[03:02.000 --> 03:09.000]  I saw the different Democrat run website headlines where she the gun that committed the crime.
[03:09.000 --> 03:13.000]  No, a gun didn't commit the crime. And I know our audience knows that.
[03:13.000 --> 03:17.000]  But Obama's not ruling out coming out the second amendment with more executive action.
[03:17.000 --> 03:24.000]  Hillary says she wants to ban the semi-autos. This is incredible. When she's the lady that came out yesterday.
[03:24.000 --> 03:32.000]  Who ordered the State Department not to investigate his mosque years ago as he was still in the State Department.
[03:32.000 --> 03:38.000]  And it just fits the same MO over and over and over again where they are protecting these people.
[03:38.000 --> 03:48.000]  Meanwhile, Donald Trump came out yesterday and said, look, we really have a stupid president. We have a moron president.
[03:48.000 --> 03:52.000]  He said, we're led by a fool to give you the actual quote.
[03:52.000 --> 03:58.000]  And he went on to say, or there's something else he knows exactly what he's doing.
[03:58.000 --> 04:03.000]  And the Washington Post came out and said that he was implying that Obama was behind it.
[04:03.000 --> 04:10.000]  No, he implied that Obama knows this stuff's going to happen is going to take our guns once the attacks start.
[04:10.000 --> 04:17.000]  That isn't saying Obama's running it, but he is opening the door up and bringing the people in, which is pretty much the same thing.
[04:17.000 --> 04:23.000]  So this is the case of Trump having his cake and eating it too and really dragging the media through the mud.
[04:23.000 --> 04:29.000]  I personally love it where he puts it out there. They say what he really wants to say for him.
[04:29.000 --> 04:32.000]  He pulls back, doesn't get the heat, but still gets the truth out.
[04:32.000 --> 04:42.000]  A master tactician, the centipede is an incredible predator of other predators and injects its poison with twin fangs.
[04:42.000 --> 04:47.000]  All right, ladies, there's an internet meme if you don't know that lichens have to the centipede.
[04:47.000 --> 04:49.000]  Maybe we should play some of that today.
[04:49.000 --> 04:53.000]  Always cheers buckling up when we're out at brunch or something with the kids.
[04:53.000 --> 04:56.000]  We sit there and watch Donald Trump videos together.
[04:56.000 --> 05:00.000]  All right, we'll be right back. Stay with us.
[05:00.000 --> 05:07.000]  It was Thomas Jefferson who once said that our country is now taking so steady a course as to show by what rodeo will pass to destruction to wit.
[05:07.000 --> 05:11.000]  By consolidation of power first and then corruption, it's necessary consequence.
[05:11.000 --> 05:18.000]  It was warning us about the global elite, the 1% of the 1%, consolidating the world's wealth and subverting the people's voice in government.
[05:18.000 --> 05:20.000]  Unfortunately, we didn't heed his advice.
[05:20.000 --> 05:26.000]  We now live in a neo feudalistic society in which we're treated as indentured servants who only exist to serve the needs of the establishment.
[05:26.000 --> 05:34.000]  Political office no longer represents the voice of the people, but rather the initiation process politicians go through to gain acceptance into the aristocracy.
[05:34.000 --> 05:41.000]  To put, we the people are responsible for civilization and culture, yet we're suppressed by a tiny elite who have organized into criminal gangs that operate governments around the world.
[05:41.000 --> 05:50.000]  We falsely believe that everything is simply black and white, one extreme against the other, conservative versus liberal, but things will change once more of us realize this truth.
[05:50.000 --> 05:57.000]  As Thomas Jefferson also said, enlightened the people generally in tyranny and oppressions of the body and mind will vanish like evil spirits at the dawn of day.
[05:57.000 --> 06:00.000]  This is Kit Daniels with info wars dot com.
[06:00.000 --> 06:06.000]  We're introducing the best yet the brand new Pro Pure Pro Max high performance shower filter.
[06:06.000 --> 06:11.000]  It removes and reduces over 200 contaminants while preserving a strong powerful flow.
[06:11.000 --> 06:18.000]  This new four stage filtration process helps protect the largest organ in your body, your skin from the unhealthy contaminants in the water.
[06:18.000 --> 06:29.000]  You can find more details on this amazing new filter and free shipping at infowarstore.com or call 888-253-3139 to order your Pro Max shower filter from Pro Pure today.
[06:29.000 --> 06:33.000]  When cells become toxic, they die early and aging sets in.
[06:33.000 --> 06:41.000]  No one has put together a formula that focuses directly on brain health, nerve growth factors and optimizing your cellular energy at the same time.
[06:41.000 --> 06:46.000]  Just one of the key compounds, BiopQQ, is backed by major clinical studies.
[06:46.000 --> 06:49.000]  You want the best that's out there at the lowest price anywhere?
[06:49.000 --> 06:51.000]  We now have the synergistic solution.
[06:51.000 --> 07:00.000]  Secure your DNA force today at infowarslife.com or call toll free 888-253-3139.
[07:00.000 --> 07:04.000]  Thousands of years ago there was a basic form of chivalry.
[07:04.000 --> 07:12.000]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
