[00:00:14.568 --> 00:00:25.979]  InfoWars, tomorrow's news, today.
[00:00:25.979 --> 00:00:28.241]  The reception of Robert Kennedy Jr.'
[00:00:28.201 --> 00:00:34.667]  's book, The Real Anthony Fauci, is clear evidence of a mass awakening.
[00:00:34.667 --> 00:00:40.272]  The people are waking up to see Fauci for what he is, an absolute psychopath.
[00:00:41.744 --> 00:00:54.895]  We've learned of how he directed experiments at the NIAID in which beagles had their vocal cords removed and their heads enclosed in cages where sand fleas ate them alive.
[00:00:56.147 --> 00:01:07.618]  And we've learned of how he fraudulently used PCR tests to illegitimately push a known deadly drug upon tens of thousands of people.
[00:01:07.618 --> 00:01:18.528]  And many are now learning that in 1992, under the direction of Anthony Fauci, the NIAID funded drug trials on HIV positive children.
[00:01:19.489 --> 00:01:34.905]  Although many of the children were healthy and asymptomatic, they had merely tested positive via faulty PCR tests administered through New York's Child Welfare Department, who then handed them over to the deadly experiments.
[00:01:35.926 --> 00:01:47.041]  Most of the drugs being tested on the children were already known to cause deformities, organ failure, brain damage, and other lethal side effects.
[00:01:47.041 --> 00:01:53.128]  And yet, the children were required to continue with the drugs regardless of negative side effects.
[00:01:53.889 --> 00:02:07.356]  Those administering the drugs were explicitly told that all adverse side effects they witnessed in the children were being caused by the HIV infection and not the drugs.
[00:02:07.356 --> 00:02:21.023]  When parents refused to consent to these barbaric trials, Children's Services took their kids and placed them with foster families or children's homes where participation in the trial would be assured.
[00:02:21.683 --> 00:02:38.788]  When the children resisted the deadly drugs, they were brought to Columbia Presbyterian Hospital, where plastic tubes were surgically inserted into their stomachs, and the deadly drugs they were trying to escape were pumped directly into their bodies.
[00:02:38.788 --> 00:02:44.929]  Once the children died, their bodies were added to a mass grave in Hawthorne, New York.
[00:02:44.929 --> 00:02:48.030]  A large pit with astroturf thrown over it.
[00:02:49.071 --> 00:02:58.068]  To get around the Nuremberg Code and other laws, the State of New York created a special review board comprised of the hospital stakeholders.
[00:02:59.543 --> 00:03:06.488]  One may wonder, other than torturing and killing innocent children, what were they trying to accomplish?
[00:03:06.488 --> 00:03:11.432]  They already knew of the negative side effects that these drugs were having on adults.
[00:03:11.432 --> 00:03:18.717]  But the more we learn about Anthony Fauci, the more we realize that he is an absolute psychopath.
[00:03:18.717 --> 00:03:23.261]  And it doesn't matter why psychopaths do what they do.
[00:03:23.261 --> 00:03:28.124]  Fauci and his criminal cohorts belong in cages, at the very least.
[00:03:29.205 --> 00:03:43.911]  Anthony Fauci is just one old crook in a massive conspiracy that is aggressively pushing to inject everyone's children with the new deadly and debilitating mRNA experimental jabs.
[00:03:43.911 --> 00:03:52.035]  Whether you like it or not, going after Fauci is a drop in the bucket, but at least it's a start.
[00:03:52.035 --> 00:03:54.316]  For InfoWars.com, this is Greg Reese.
[00:04:05.646 --> 00:04:08.552]  Lord knows what happened if he didn't partake.
[00:04:08.552 --> 00:04:15.805]  But back then, anyone who refused to get vaccinated would get ratted out immediately because we knew that person could hurt other people.
[00:04:15.805 --> 00:04:18.069]  The commonweal was a commonweal.
[00:04:19.184 --> 00:04:22.905]  Now we're engaged in a similar struggle with COVID and Eisenhower would be aghast.
[00:04:22.905 --> 00:04:30.767]  We have immunocompromised people who are incubators for every variant to come, walking around lawfully unvaccinated.
[00:04:30.767 --> 00:04:32.307]  That's psychotic.
[00:04:32.307 --> 00:04:35.888]  We have companies that have tried hard to get people vaccinated and now backing down.
[00:04:35.888 --> 00:04:41.670]  We have governors who want to be president by grandstanding on a foolish state's right issue, the right to get sick and get other people sick.
[00:04:42.560 --> 00:04:45.641]  So it's time to admit that we have to go to war against COVID.
[00:04:45.641 --> 00:04:47.542]  Require vaccination universally.
[00:04:47.542 --> 00:04:48.982]  Have the military run it.
[00:04:48.982 --> 00:04:55.284]  If you don't want to get vaccinated, you better be ready to prove your conscientious objector status in court.
[00:04:55.284 --> 00:04:57.445]  And even then, you need to help... Folks, stay with us.
[00:04:57.445 --> 00:04:58.105]  We'll be right back.
[00:04:58.105 --> 00:04:59.346]  ...until we finally beat this thing.
[00:04:59.346 --> 00:05:04.928]  There are so many crap... We have launched the most important sale of the year.
[00:05:04.928 --> 00:05:10.430]  Because now we've got a bunch of great products that have been sold out for months and months and months back in stock.
[00:05:10.430 --> 00:05:10.590]  So,
[00:05:11.806 --> 00:05:22.222]  Right now, the real Black Friday sale is beginning, and it's only going to run until the end of the month, and that's now only six, seven days.
[00:05:22.222 --> 00:05:26.188]  InfoWars store official Black Friday special has arrived.
[00:05:27.009 --> 00:05:28.611]  Ladies and gentlemen, people love it.
[00:05:28.611 --> 00:05:29.832]  It's our best seller.
[00:05:29.832 --> 00:05:31.554]  Vitamin Mineral Fusion.
[00:05:31.554 --> 00:05:37.682]  All the vitamins, all the minerals, all the key amino acids, everything you need for your immune system and your body.
[00:05:37.682 --> 00:05:39.063]  And it tastes great.
[00:05:39.063 --> 00:05:40.885]  And it funds the InfoWar.
[00:05:40.885 --> 00:05:45.371]  It is back in stock 40% off with free shipping and double Patriot Points.
[00:05:45.791 --> 00:05:48.433]  And so much more at InfoWarsStore.com.
[00:05:48.433 --> 00:05:53.257]  It's only six, seven days left in the biggest sale of 2021.
[00:05:53.257 --> 00:05:56.720]  Bet on freedom, bet on InfoWars, bet on yourself and get great products.
[00:05:56.720 --> 00:06:06.668]  The only way you fail is not taking action at InfoWarsStore.com.
[00:06:06.668 --> 00:06:09.290]  Ladies and gentlemen.
[00:06:09.290 --> 00:06:13.673]  Ladies and gentlemen.
[00:06:13.673 --> 00:06:14.354]  Ladies and gentlemen.
[00:06:21.323 --> 00:06:26.788]  This was already going to be the most important broadcast I have ever done.
[00:06:26.788 --> 00:06:35.375]  And then, ten minutes before showtime, the news broke.
[00:06:35.375 --> 00:06:42.662]  This is so incredible, ladies and gentlemen, that I just don't even have words right now.
[00:06:42.662 --> 00:06:46.245]  We already knew this, but now it's confirmed.
[00:06:46.245 --> 00:06:48.107]  And now they must all be arrested right now.
[00:06:50.049 --> 00:06:55.534]  Now, when I read this to you, you're going to want to go physically attack Pfizer and Fauci and Bill Gates.
[00:06:55.534 --> 00:06:58.917]  Don't do that, that's their plan.
[00:06:58.917 --> 00:07:07.124]  But ladies and gentlemen, you know Pfizer and the FDA did not want to release to the public until the year 2077.
[00:07:07.124 --> 00:07:11.308]  That's 50 years from now.
[00:07:11.308 --> 00:07:12.549]  50 plus years from now.
[00:07:17.535 --> 00:07:29.706]  Any of the documents from when they started doing the injections in January, late January of this year, 11 months ago, 10 and a half months ago.
[00:07:29.706 --> 00:07:35.210]  Ladies and gentlemen, they have hundreds of thousands of documents.
[00:07:35.210 --> 00:07:40.034]  They were ordered that they have to release 500 documents a month.
[00:07:40.034 --> 00:07:43.978]  So in the first few pages they released,
[00:07:45.925 --> 00:07:52.847]  It admits mass death caused by the injections where they know it kills people.
[00:07:52.847 --> 00:07:55.008]  Now, Robert Barnes is arriving today.
[00:07:55.008 --> 00:07:57.288]  He's filing suits for Robert F. Kennedy Jr.
[00:07:57.288 --> 00:08:02.290]  in Waco with one of the main whistleblowers that actually brought this out two months ago.
[00:08:02.290 --> 00:08:12.553]  We first told you about it, and then they got to the British Medical Journal that checked the documents, confirmed they were real, and said, oh my God, this is a massive criminal operation.
[00:08:14.591 --> 00:08:20.734]  The boldness of these people is unbelievable.
[00:08:20.734 --> 00:08:29.658]  Now, I'm going to go over this, but I was already completely just blown away.
[00:08:29.658 --> 00:08:32.420]  I knew this was coming, but it's here.
[00:08:32.420 --> 00:08:34.501]  It is mainstream news that in Australia,
[00:08:36.561 --> 00:08:55.045]  The European Union, that's 25 countries, the UK, Canada, and the United States, and it's on the CDC's own website, are preparing to lock down everybody basically permanently, have block captains with machine guns that control everything, and they're going to go door-to-door and forcibly inject you or your power will be cut off.
[00:08:55.045 --> 00:08:59.326]  And the President of the European Union just gave a speech about it.
[00:08:59.326 --> 00:09:01.207]  We have that video in English.
[00:09:01.207 --> 00:09:01.867]  And it gets worse.
[00:09:04.059 --> 00:09:09.501]  The President of the European Commission is not elected!
[00:09:09.501 --> 00:09:15.763]  And formerly it's been Herman Van Rompuy and all the rest of these people.
[00:09:15.763 --> 00:09:20.005]  Who are open world government exterminists.
[00:09:20.005 --> 00:09:22.065]  You know, your grandpa might have told you about the Nazis?
[00:09:22.065 --> 00:09:24.666]  These are people that created the Nazis.
[00:09:24.666 --> 00:09:26.527]  Same family line, same groups.
[00:09:26.527 --> 00:09:28.848]  They're all royalty.
[00:09:28.848 --> 00:09:30.308]  And they want you dead!
[00:09:30.308 --> 00:09:32.229]  And they are engaged in a bold war against you.
[00:09:33.823 --> 00:09:38.265]  So this is next level psycho, ladies and gentlemen.
[00:09:38.265 --> 00:09:47.028]  That's why we have videos out of Australia where they are shutting down highways and hunting people that escape a quarantine facility.
[00:09:47.028 --> 00:09:50.489]  What they do is they keep PCR testing you forever and say you can never get out.
[00:09:50.489 --> 00:09:51.309]  It's all fraud.
[00:09:51.309 --> 00:09:53.170]  It's all just a smokescreen for martial law.
[00:09:55.353 --> 00:10:00.997]  Because their financial Ponzi scheme is coming down and they want to end up on top of it, not go into prison.
[00:10:00.997 --> 00:10:05.240]  All we got to do is arrest these people, we can fix all our problems, folks.
[00:10:05.240 --> 00:10:11.965]  But instead, so many people are going to follow their orders right into a global civil war, which is their plan, which I don't want.
[00:10:11.965 --> 00:10:14.707]  But no wonder they've wanted us off the air before they did all this.
[00:10:14.707 --> 00:10:15.788]  Now, it gets worse.
[00:10:19.531 --> 00:10:21.133]  Newscast around the U.S.
[00:10:21.133 --> 00:10:26.460]  saying, we're sick of the lockdowns, we're sick of the sick people, we're sick of the full hospitals.
[00:10:26.460 --> 00:10:27.982]  Arrest the unvaccinated.
[00:10:27.982 --> 00:10:29.944]  They're the reason everybody's sick and dying.
[00:10:29.944 --> 00:10:31.806]  Because last year they were hyping it up.
[00:10:31.806 --> 00:10:34.390]  This year, record-level deaths of the vaccinated.
[00:10:35.376 --> 00:10:38.077]  And the people that did that don't want to admit they were wrong or conned.
[00:10:38.077 --> 00:10:39.017]  That's Stockholm Syndrome.
[00:10:39.017 --> 00:10:44.639]  So they're being told, blame Robert F. Kennedy Jr., blame Joe Rogan, blame Alex Jones.
[00:10:44.639 --> 00:10:45.759]  That's all over the news.
[00:10:45.759 --> 00:10:48.640]  They're all over Twitter, all over Instagram, just pouring in.
[00:10:48.640 --> 00:10:50.461]  Jones needs to be arrested!
[00:10:50.461 --> 00:10:53.341]  Robert F. Kennedy Jr., Joe Rogan, they're murderers!
[00:10:53.341 --> 00:10:55.462]  They are causing the record death!
[00:10:55.462 --> 00:10:56.722]  No, you did!
[00:10:56.722 --> 00:10:57.703]  It's in the shot!
[00:10:57.703 --> 00:11:01.524]  And I have all the science!
[00:11:01.524 --> 00:11:04.825]  Now, I was coming in here,
