[00:00.000 --> 00:09.000]  The message that this conveys is that unless things change, unless the arms race is reversed,
[00:09.000 --> 00:14.000]  we're heading toward this midnight from which there can be no relief.
[00:14.000 --> 00:18.000]  The Doomsday Clock has been set to 90 seconds to midnight.
[00:18.000 --> 00:23.000]  The closest it has ever been to global annihilation of the planet.
[00:23.000 --> 00:28.000]  Members of the Science and Security Board move the hands of the Doomsday Clock forward.
[00:28.000 --> 00:35.000]  Largely, though not exclusively, because of the mounting dangers in the war in Ukraine.
[00:35.000 --> 00:40.000]  We move the clock forward the closest it has ever been to midnight.
[00:40.000 --> 00:43.000]  It is now 90 seconds to midnight.
[00:43.000 --> 00:48.000]  Hundreds of thank you are not hundreds of talents.
[00:48.000 --> 00:57.000]  All of us can use thousands of wars in discussions, but I cannot put wars instead of guns that are needed against Russian artillery.
[00:57.000 --> 01:05.000]  It is in your power to guarantee such artillery and any aircraft that will cross terror.
[01:05.000 --> 01:08.000]  It is in your power to make the victory.
[01:08.000 --> 01:13.000]  So may your decisions hit accurately.
[01:13.000 --> 01:22.000]  Germany to provide Poland approval this week to send thousands of heavy battle tanks into Ukraine.
[01:22.000 --> 01:30.000]  We will also deliver battle tanks to Ukraine, Leopard 2 tanks.
[01:30.000 --> 01:38.000]  That is the result of a very close and intense discussions with our partners, with our allies.
[01:38.000 --> 01:45.000]  Our aim is to deliver two tank battalions together with our allies.
[01:45.000 --> 01:48.000]  There are many countries that want to join in.
[01:48.000 --> 01:51.000]  We will coordinate it and include these countries.
[01:51.000 --> 01:54.000]  We will train Ukrainian crews here.
[01:54.000 --> 02:04.000]  We will make logistics available, replenishment, and we will also allow partner countries to deliver these tanks.
[02:04.000 --> 02:16.000]  There are many citizens in this country that are worried because of this decision and the dimensions that this type of arm brings about.
[02:16.000 --> 02:19.000]  Please trust us, trust the government.
[02:19.000 --> 02:25.000]  We are fighting a war against Russia and not against each other. Thank you.
[02:25.000 --> 02:30.000]  American lawmakers urge U.S. to ship Abrams frontline battle tanks to Ukraine.
[02:30.000 --> 02:32.000]  Reuters reports breaking.
