[00:00.000 --> 00:26.000]  Infowars, the most banned network in the world.
[00:26.000 --> 00:30.000]  And it's time for humanity to stand up in the Infowar and say,
[00:30.000 --> 00:32.000]  I don't know what's going to happen at the end of this,
[00:32.000 --> 00:37.000]  but you want to fight, you better believe, you got one!
[00:37.000 --> 00:57.000]  From the front lines of the Information War, it's Alex Jones.
[00:57.000 --> 01:03.000]  The document begins by promising to restrict the WHO's authority just to pandemics.
[01:03.000 --> 01:05.000]  Calm down, it's just pandemics.
[01:05.000 --> 01:14.000]  WHO Secretary to play the leading, convening and coordinating role in operational aspects of emergency response to a pandemic.
[01:14.000 --> 01:16.000]  So don't get paranoid.
[01:16.000 --> 01:20.000]  Someone seems to coordinate the pandemic response globally because it's a global problem.
[01:20.000 --> 01:23.000]  Got it? Settle down, conspiracy nut.
[01:23.000 --> 01:25.000]  But here's the catch.
[01:25.000 --> 01:28.000]  The World Health Organization gets to define what a pandemic is,
[01:28.000 --> 01:32.000]  when a pandemic is in progress, and how long a pandemic lasts.
[01:32.000 --> 01:38.000]  Then you read the fine print and you realize WHO will have total authority over emergency operations in the United States
[01:38.000 --> 01:42.000]  if there is ever a, quote, public health emergency.
[01:42.000 --> 01:46.000]  What qualifies exactly as a public health emergency?
[01:46.000 --> 01:48.000]  Well, they don't define that.
[01:48.000 --> 01:52.000]  But they get to, they get to decide what a public health emergency is.
[01:52.000 --> 01:56.000]  The White House eliminated a provision that would have required the World Health Organization to, quote,
[01:56.000 --> 02:03.000]  consult with an attempt to obtain verification from the state party in whose territory the event is allegedly occurring in.
[02:03.000 --> 02:11.000]  So as originally written, they couldn't do anything without the permission of their member country's governments.
[02:11.000 --> 02:18.000]  But thanks to the change that the Biden administration put, pushed, effectively there is no limit at all on WHO's power.
[02:18.000 --> 02:22.000]  It provides that every member country in the WHO must, quote,
[02:22.000 --> 02:30.000]  inform WHO about the establishment of its national competent authority responsible for overall implementation of the HR
[02:30.000 --> 02:34.000]  that will be recognized and held accountable.
[02:34.000 --> 02:44.000]  So they're going to get to censor anybody who doesn't agree with what they do as they control the intimate details of your life.
[02:44.000 --> 02:46.000]  And they will control those details.
[02:46.000 --> 02:52.000]  Under this treaty, the World Health Organization will get to establish vaccine passports and regulate travel.
[02:52.000 --> 03:01.000]  World Health Organization will, quote, develop standards for producing a digital version of the international certificate of vaccination in prophylaxis.
[03:01.000 --> 03:03.000]  Okay.
[03:03.000 --> 03:09.000]  So you may be thinking, well, it's just about COVID and I went along with mandatory vaccines and vaccine passports at the time.
[03:09.000 --> 03:11.000]  How bad could it be?
[03:11.000 --> 03:16.000]  First off, if you went along with that, you should be repenting right about now.
[03:16.000 --> 03:19.000]  You've got so many people talking about it.
[03:19.000 --> 03:24.000]  They are going to come in and tell you, not ask you, but tell you when your pandemic starts.
[03:24.000 --> 03:26.000]  What does that mean?
[03:26.000 --> 03:29.000]  Does that mean and people obviously have a lot of questions about this?
[03:29.000 --> 03:31.000]  What's going on?
[03:31.000 --> 03:35.000]  For countries that don't abide by obligations set out in the pandemic treaty,
[03:35.000 --> 03:46.000]  Dr. Tedros has suggested that the WHO may need the authority to direct other countries to sanction non-compliant countries that don't want to impose restrictions.
[03:46.000 --> 03:53.000]  They could dictate how our doctors can respond, which drugs can and can't be used, or which vaccines are approved.
[03:53.000 --> 03:59.000]  We would end up with a one-sized-fits-all approach for the entire world in a pandemic.
[03:59.000 --> 04:07.000]  One-sized-fits-all response to a health crisis does not work across a single country and certainly not across the entire globe.
[04:07.000 --> 04:10.000]  This has been the issue of this thing.
[04:10.000 --> 04:18.000]  You can dig even deeper into it, but what it comes down to is lockdowns, border crossings, vaccine mandates.
[04:18.000 --> 04:28.000]  All of this could potentially be controlled under the international health regulations, under an international treaty, not up to the countries themselves.
[04:28.000 --> 04:32.000]  The critical attack is imminent, imminent. It's going to happen.
[04:32.000 --> 04:36.000]  It's not a question of will it happen, but when it happens.
[04:36.000 --> 04:42.000]  A bioweapon release could be the thing they'd release to bring in a world government to counter a global problem,
[04:42.000 --> 04:47.000]  and the UN has said that a global pandemic is the only thing that may save their world government.
[04:47.000 --> 05:01.000]  This is a biological warfare agent that had leaked out of the Wuhan laboratory.
[05:01.000 --> 05:07.000]  Ladies and gentlemen, Ultra-12, the highest quality B-12 you're going to find on the market, has been sold off for many months,
[05:07.000 --> 05:10.000]  but now it's back in stock at infowarstore.com.
[05:10.000 --> 05:19.000]  Now, in the next 45 seconds, I don't have time to get into vitamin B-12, but do your own research and realize when it is organic, high quality vitamin B-12,
[05:19.000 --> 05:25.000]  it energizes every other vitamin mineral in your body and all of your hormones and so much more.
[05:25.000 --> 05:32.000]  Ultra-12 is incredible. You take it under the tongue, so it's a better absorption of your body, and it is a game changer.
[05:32.000 --> 05:40.000]  infowarstore.com has Ultra-12 back in stock, and despite the fact it's back in stock, despite the fact it's sold off very quickly,
[05:40.000 --> 05:44.000]  it is 40% off for a limited time.
[05:44.000 --> 05:52.000]  So, at now, fund the info war and experience the purest, highest quality B-12 now at infowarstore.com, or call toll-free,
[05:52.000 --> 06:02.000]  888-253-3139. Thank you all for your support. Now, take action and get your bottle of Ultra-12.
[06:22.000 --> 06:31.000]  Live from the info wars.com studios, it's Alex Jones.
[06:31.000 --> 06:43.000]  All right, my friends, it is Friday, May 20th. The year is 2022, and we are going to break here today, starting now,
[06:43.000 --> 06:53.000]  the biggest news of my 28-year history, and we saw this coming months ago. We can have the archivist, which haven't directed him to do yet,
[06:53.000 --> 07:01.000]  go back to the dates. This was announced last year, and then at the start of 2022, and show when Bill Gates said it,
[07:01.000 --> 07:06.000]  and then show when I made the warning. But now it's happened.
[07:06.000 --> 07:16.000]  And the nakedness of this, the openness of this, when it all crystallized for me yesterday morning,
[07:16.000 --> 07:21.000]  and I started going in and pulling out the research we'd already done and already covered in hundreds of shows,
[07:21.000 --> 07:29.000]  I, for the first time in my life, could not do the first 20 minutes of the show, as you saw.
[07:29.000 --> 07:36.000]  I mean, I could not even come on air with it, because I knew I needed to pull all the documents and even more articles
[07:36.000 --> 07:44.000]  and then spend a lot of time looking at it again, and then thinking about how do I come on air and eloquently really cut through all the clutter
[07:44.000 --> 07:52.000]  and all the BS for all of the general public that's listening and for some of the very important people that listen to this show as well.
[07:52.000 --> 07:58.000]  Leaders of governments, heads of intelligence agencies, billionaires, heads of major companies, members of Congress.
[07:58.000 --> 08:06.000]  But most importantly, you, this giant audience of activists that can get through the sensors and get this information out.
[08:06.000 --> 08:13.000]  Now, this is so big that if you just mention it or talk about it, it doesn't do it justice.
[08:13.000 --> 08:20.000]  And so the best way to start with this is this way.
[08:20.000 --> 08:28.000]  If you remember three years ago, we said the UN is going to release some type of bio weapon, probably a SARS COVID type, that's what they're cooking up.
[08:28.000 --> 08:35.000]  We already had the documents then. They were up there bragging on C-SPAN, Peter Dazik and Fauci that a big imminent thing was about to happen.
[08:35.000 --> 08:42.000]  It would change the whole world and blow up the FDA system and other systems and allow them to just get things approved instantly.
[08:42.000 --> 08:45.000]  And it would be mRNA. We played all those clips.
[08:45.000 --> 08:54.000]  And then later clips came out that I didn't know about that they'd said in 2019 about, yeah, we spliced all these viruses together and they described COVID-19 perfectly.
[08:54.000 --> 09:02.000]  And then we got the documents the last year and a half from people that had worked with them that released the emails and it came out in court.
[09:02.000 --> 09:13.000]  That they specifically made COVID-19 a bunch of other even worse viruses and tried to get the Pentagon to sign on to them releasing it into the open air in China.
[09:13.000 --> 09:17.000]  And the Pentagon, this is in the London Telegraph folks, this is in the Associated Press now.
[09:17.000 --> 09:24.000]  The Telegraph covered it in great detail, said that'll be war with China if you do that.
[09:24.000 --> 09:34.000]  So the reason I'm raising all that and the emails we showed and the articles and the video clips of them bragging beforehand is huge.
[09:34.000 --> 09:41.000]  And that all came out and gained a function and Fauci lying and it all just kind of blew away and people went back to sleep.
[09:41.000 --> 09:56.000]  Now, what they've done this time, the very same damn people is so transparent, so pre-planned, so absolutely admitted that it is staggering.
[09:56.000 --> 10:01.000]  And again, if you're a radio listener, we're putting articles on here documenting everything I'm saying.
[10:01.000 --> 10:07.000]  So be sure you go to the archive later if you're not watching this live, if you're driving a truck or at work or whatever,
[10:07.000 --> 10:14.000]  tonight you'll find the archive of this live show at Bandai Video and watch it for yourself, research it for yourself, because this is life and death.
[10:14.000 --> 10:23.000]  They're not just releasing new deadly viruses, they're not just going to have new lockdowns and global social credit scores and global IDs and global carbon taxes.
[10:23.000 --> 10:32.000]  They're not just going to shut the economy down and make you go bankrupt onto a universal income so they can control you and dictate your life.
[10:32.000 --> 10:42.000]  They have used our bodies as the engines to create the spike protein and infect others with a nanotech virus on record they made.
[10:42.000 --> 10:50.000]  We just put the London Telegraph article up about it, the synthetic spike protein that replicates the body that can spray on you.
