[00:00.000 --> 00:28.760]  Infowars, tomorrow's news, today.
[00:28.760 --> 00:35.680]  The area on Twitter wrote that everyone who touches Zelensky resigns, which is interesting.
[00:35.680 --> 00:41.880]  After failing the UK at every opportunity to serve globalist interests, Boris Johnson
[00:41.880 --> 00:49.880]  resigns as Prime Minister, to which the Russian Kremlin expressed good written.
[00:49.880 --> 00:56.160]  Italian Prime Minister Mario Draghi, who helped deliver Italian weapons to Ukraine and rallied
[00:56.160 --> 01:03.040]  support for Ukraine's entry into the EU, announced his resignation.
[01:03.040 --> 01:09.040]  Last month, Estonian Prime Minister Kasia Kalas expelled the populist center-left center
[01:09.040 --> 01:14.760]  party, claiming that she needed to form a new government to support Ukraine in their
[01:14.760 --> 01:17.240]  war against Russia.
[01:17.240 --> 01:23.120]  And on Thursday, Kalas officially resigned as a formality to form a new government, which
[01:23.120 --> 01:28.000]  she has already reached a consensus between the center-right reform party, the Social
[01:28.000 --> 01:34.360]  Democrats, and the conservative Fatherland party, to form a new three-party government
[01:34.360 --> 01:37.120]  to support Ukraine.
[01:37.120 --> 01:43.480]  And Sri Lanka's president, Godabaya Rajapaksa, who supported the Ukraine despite sanctions
[01:43.480 --> 01:50.680]  crippling his own nation, emailed in his resignation after fleeing the country.
[01:50.680 --> 01:57.640]  Beyond resignations, and beyond meet and greets with Ukraine's puppet President Zelensky,
[01:57.640 --> 02:05.640]  we have also just seen the assassination of popular anti-globalist leader Shinzo Abe,
[02:05.640 --> 02:12.200]  and the dramatic loss of confidence expressed by the people towards Macron, Trudeau, and
[02:12.200 --> 02:13.700]  Biden.
[02:13.700 --> 02:15.720]  What is happening here?
[02:15.720 --> 02:21.560]  From Celia Farber's The Truth Barrier, Catherine Austen Fitz explains that we are seeing a
[02:21.560 --> 02:29.640]  clean-out or political castration of leaders, Draghi, Johnson, Biden, Macron, Abe.
[02:29.640 --> 02:36.360]  Their political capital is exhausted, and or they will not push the next wave aggressively.
[02:36.360 --> 02:42.760]  Mr. Global is looking to bring in a whole new round of fresh, meaner leadership.
[02:42.760 --> 02:48.560]  The next wave is total collapse, and it's not easy to find people willing to be the
[02:48.560 --> 02:51.640]  fall guy for the destruction of a nation.
[02:51.640 --> 02:58.040]  It takes a special type of person, which might explain why California Governor Gavin Newsom
[02:58.040 --> 03:03.840]  visited the White House right after Joe Biden was shuffled off to Israel to mumble about
[03:03.840 --> 03:06.160]  the Holocaust.
[03:06.160 --> 03:13.680]  Biden is even unsettling to the stupid, and this entire operation requires stupidity,
[03:13.680 --> 03:16.760]  so things are going to keep getting stranger.
[03:16.760 --> 03:23.520]  But it probably won't last much longer, because the global financial reset is now imminent.
[03:23.520 --> 03:29.760]  Sri Lanka was just the beginning, and it looks like South Africa could be next, followed
[03:29.760 --> 03:31.680]  by everyone.
[03:31.680 --> 03:38.040]  The fiat fractional reserve banking scheme has been robbing the people blind for decades.
[03:38.040 --> 03:44.320]  But eventually, all the money runs out, and the financial pundits are all saying, it's
[03:44.320 --> 03:45.320]  this year.
[03:45.320 --> 03:51.480]  The dollar has just reached parity with the euro, and fudging the numbers will no longer
[03:51.480 --> 03:52.480]  work.
[03:52.480 --> 03:56.960]  They have only one solution left, and that's war.
[03:56.960 --> 04:03.080]  War has often been used to save failing fiat currencies, and having no other options, the
[04:03.080 --> 04:08.840]  psychotic bureaucrats in charge will go to war with Russia, which will only hasten the
[04:08.840 --> 04:11.040]  financial collapse of the West.
[04:11.040 --> 04:16.800]  If it comes to World War III, then it will be the final death blow, making way for a
[04:16.800 --> 04:18.480]  new system.
[04:18.480 --> 04:24.320]  Which means that unless you're holding on to real money, you will soon be broke, because
[04:24.320 --> 04:31.840]  all that paper in our wallets and numbers on our screens is going to soon be worthless.
[04:31.840 --> 04:34.320]  Reporting for InfoWars, this is Greg Rees.
[04:34.320 --> 04:40.920]  All right, ladies and gentlemen, I want you to get ready, because I've been on there
[04:40.920 --> 04:47.960]  28 years, and I'm about to cover the biggest news we've ever broken on this show.
[04:47.960 --> 04:53.200]  And this is going to change the whole world, call everybody you know, whether you're listening
[04:53.200 --> 04:57.120]  to local AM and FM stations, TV stations, or on the Internet, and spread the links now.
[04:57.120 --> 05:01.600]  Wait till you hear this.
[05:01.600 --> 05:06.640]  Seven months ago, in December of 2021, we launched the first in the three-coin founding
[05:06.640 --> 05:09.960]  member series, George Washington slaying the dragon.
[05:09.960 --> 05:14.480]  Then, we launched the Tree of Liberty coin, and finally, the Second Amendment comment-ticket
[05:14.480 --> 05:16.160]  Molan lobby coin.
[05:16.160 --> 05:26.160]  There are only 75 coins left in the three-coin series, exclusively, right now, at 1776point.com.
[05:26.160 --> 05:31.680]  And for the final 75 people to become founding members of this big project we're launching
[05:31.680 --> 05:37.200]  in the near future, you'll also get a personal signed piece of art I made of the sheepdog
[05:37.200 --> 05:39.120]  chasing the wolf in a personal message.
[05:39.120 --> 05:45.880]  It's your last chance to get all three coins at 1776point.com.
[05:45.880 --> 05:51.320]  This is history happening now, info workstations support is changing the world, and this is
[05:51.320 --> 06:17.320]  the final 75 three-coin set, exclusively available at 1776point.com.
[06:17.320 --> 06:24.320]  Finally, we'll so does he, live from the Infowars.com studios, it's Alex Jones.
[06:24.320 --> 06:33.080]  All right, my friends, we're live on this Sunday, July 17th, emergency transmission.
[06:33.080 --> 06:39.360]  The bill was introduced about five days ago, it didn't hit the news until Friday.
[06:39.360 --> 06:43.680]  I covered the news articles about the legislation, but I hadn't read the legislation till this
[06:43.680 --> 06:50.360]  weekend, and knowing what I know about the globalist, the police state, the design collapse,
[06:50.360 --> 06:56.240]  and then going and reading the legislation itself, it's 100% cut and dry, no if ands
[06:56.240 --> 07:06.280]  or buts, what it is, and something this big needs to be built up, I've learned if we just
[07:06.280 --> 07:09.560]  come right on there and tell you what's going on, nobody seems to care, it gets mixed in
[07:09.560 --> 07:14.560]  with all the other fantastical news, they do that on purpose, oh look, UPin nominates
[07:14.560 --> 07:19.560]  transgender swimmer Liz Thomas for NCAA Woman of the Year Award, that's all red meat to
[07:19.560 --> 07:28.240]  distract us, it's important but it's still a distraction.
