[00:00:08.820 --> 00:00:13.774]  Crashing through the lies and disinformation, it's Alex Jones.
[00:00:27.285 --> 00:00:31.169]  It's October 14th, 2018 on this Sunday Global Transmission.
[00:00:31.169 --> 00:00:34.992]  We are live and I am your host Alex Jones.
[00:00:34.992 --> 00:00:46.543]  We're going to give you a world exclusive from inside deep-level Pentagon sources on what they believe is going on with the mysterious death in Turkey of this Saudi Arabian prominent.
[00:00:47.444 --> 00:00:52.806]  Journalist Khashoggi, and this has been breathlessly covered for the last week.
[00:00:52.806 --> 00:00:59.828]  I have not really covered it other than the fact to say that I didn't know the full details because no one did.
[00:00:59.828 --> 00:01:02.409]  But now a very, very clear picture has emerged.
[00:01:02.409 --> 00:01:05.751]  The media has hyped it up like it's a million people got killed or something.
[00:01:05.751 --> 00:01:07.251]  I think it's terrible it happened.
[00:01:07.251 --> 00:01:15.114]  But the media hyping it and then them blaming Trump for it and saying he's not standing up for journalists and trying to derail the peace plans we have with Saudi Arabia.
[00:01:15.754 --> 00:01:24.397]  Has everything to do with Obama and the entire Iran deal that the deep state has been trying to keep going.
[00:01:24.397 --> 00:01:30.400]  And so I talked to multiple sources over the weekend and then I talked to one of the sources you've heard on the air before.
[00:01:30.400 --> 00:01:32.660]  There's a lot of amazing connections that I've confirmed.
[00:01:32.660 --> 00:01:37.862]  Zach and he actually met with some generals and folks in the last 24 hours.
[00:01:39.963 --> 00:01:40.444]  I think?
[00:02:01.229 --> 00:02:07.073]  And of course, Hillary, written all over it, trying to kill the peace plans that Trump has been trying to develop.
[00:02:07.073 --> 00:02:22.045]  Now that ties in with the big news, of course, that Trump gave an interview to 60 Minutes, where he said that Mattis, the Secretary of Defense, is on his way out, and that Mattis is basically a Democrat, but that he's a great guy.
[00:02:22.918 --> 00:02:28.021]  And I've been hearing for a long time that Mattis is a double dealer from really smart people, but I've stayed out of it.
[00:02:28.021 --> 00:02:30.202]  So I'm not going to get into White House intrigue.
[00:02:30.202 --> 00:02:40.609]  As long as the agenda of making America great again continues, and as long as we're restoring this republic to the people's control, and the republic's control, not under globalist control,
[00:02:41.329 --> 00:02:50.175]  I'm not like some Washingtonian type swamp creature bidding for influence and bidding for control and bidding for my click getting into the White House.
[00:02:50.175 --> 00:02:52.496]  Sycophantic like the Democrats and Republicans do.
[00:02:52.496 --> 00:02:57.379]  I'm here in Texas trying to promote Americana and its restoration.
[00:02:57.379 --> 00:03:02.503]  And I'm trying to do the best job I can to do that and that's why we're targeted like no one else.
[00:03:03.482 --> 00:03:03.763]  We're good.
[00:03:15.796 --> 00:03:34.466]  And that's why I cannot stress enough as we begin this live radio slash TV program, if you're listening on local radio, or watching on local TV, or watching at InfoWars.com forward slash show, or a lot of websites embed the player that we have on the front page of their sites, or they email that to friends and family and say, hey, here's the forbidden show.
