[00:00.000 --> 00:06.000]  The D-Rex of political talk. Alex Jones on the GCN radio network.
[00:11.000 --> 00:17.000]  It's real radio, folks, going wherever the truth leads us, exposing the globalists and all their criminal activities.
[00:17.000 --> 00:23.000]  And every time I follow one of their rat holes, I find the occult.
[00:24.000 --> 00:31.000]  Whether it's Skull and Bones or Bohemian Grove or what we see with the rock and roll music in our society glorifying the devil.
[00:31.000 --> 00:39.000]  It's a real thing, but now we see Day of the Dead in California, the Aztec holiday of human sacrifice with black altars being worshipped.
[00:39.000 --> 00:50.000]  We hear about these different occult religions exploding. Meanwhile, being promoted in the public schools and we're told Christianity is a bad thing and don't talk about Jesus.
[00:50.000 --> 00:57.000]  Folks, don't let the New World Order cram you into a box. We have FEMA on tape saying Christians are the enemy of the government, period.
[00:57.000 --> 01:04.000]  Gun owners, homeschoolers, we are the majority. We must stand up and fight back against the New World Order.
[01:04.000 --> 01:13.000]  Now, I am joined today by a man who came highly recommended by a local pastor here in Austin, David Benwab.
[01:13.000 --> 01:23.000]  And we've got a link to his website on Infowars.com. He has, since the mid-80s, been focusing in on the occult and studying Halloween and the rest of it.
[01:23.000 --> 01:36.000]  And you can go to the Encyclopedia Britannica and read that it's a human sacrifice day of Samhain in the Germanic and Visigoth and Gaul kingdoms in Western Europe thousands of years ago, right through to modern day, of course, in England.
[01:37.000 --> 01:45.000]  This is what's being celebrated. It is a night of wickedness. Children are kidnapped throughout this week and then their dead bodies are found and put in the back of the newspaper.
[01:45.000 --> 01:51.000]  In the days after Halloween, you're told they find their little skeletons in many cases. This is a serious issue.
[01:51.000 --> 01:56.000]  Next hour, I'm going to analyze War of the Worlds and an example of how media can create fear and hysteria.
[01:56.000 --> 02:03.000]  And we've got a bunch of callers here too that are holding, Frank and Lewis and Walt and many, many others.
[02:04.000 --> 02:10.000]  Right now, though, we're joined by David Benwab of Glory Ministries. It's great to have you on the World Wide Broadcast.
[02:10.000 --> 02:13.000]  Thank you very much, Alex. I'm glad to be here, brother.
[02:13.000 --> 02:16.000]  Absolutely. Halloween, what is it? What's it all about?
[02:16.000 --> 02:29.000]  Well, you know, the basic premise of Halloween is that witches believe that the veil between the natural and the supernatural is at its centers during that time so they can communicate with the dead.
[02:29.000 --> 02:44.000]  And I find it quite interesting that it used to be that Halloween, you could tell when Halloween was coming because you'd see horror films and death movies and stuff, but now it's 24 hours a day, seven days a week around our country.
[02:44.000 --> 02:52.000]  And talking to the dead is not something that's new. It's something that even Saul practiced. It went to the Witch of Endor.
[02:52.000 --> 03:06.000]  So now we have murder, blood, rape, hellish 24-7 all over television being desensitized to this. And so we hear about all these wicked things happening and it's okay. Unless they want our guns, then they'll play the fear up.
[03:06.000 --> 03:13.000]  Well, here's something I thought was interesting. This is from San Mateo County Times and it's Friday, September 27, 2002.
[03:13.000 --> 03:18.000]  A high school Satanism club prompts parents outrage.
[03:18.000 --> 03:29.000]  Pawned themselves the Satanic Thought Society, co-president of the club James Doolittle admits that he originally started the club with the friend Matt Heaney to rifle things up a bit.
[03:29.000 --> 03:40.000]  But now that the two juniors have studied the teachings of Anton LaVey, founder of the Satanic Church, they say that Satanism helps people express themselves.
[03:40.000 --> 03:47.000]  It's Satanism's purpose to turn man's back into the natural state and not have to be corrupt by religion.
[03:47.000 --> 03:59.000]  I saw a Post Gazette article yesterday where it says the Wiccan religion is exploding in the public schools and being promoted. How does Harry Potter and the deep occult teachings there, how does this feed into this explosion?
[03:59.000 --> 04:13.000]  Well, you know, again, you have to understand that witchcraft is a 501C3 taxiderm status, which means you cannot discriminate, you cannot fire a person because of their religious status.
[04:13.000 --> 04:20.000]  If they say they're a witch and they apply and you say, I'm not going to hire you because you're a witch, that's religious discrimination.
[04:20.000 --> 04:25.000]  But with faith-based initiative, if that goes through, then the Christian Church doesn't like to hire witches.
[04:25.000 --> 04:37.000]  Oh, absolutely. And see, here's the thing with Harry Potter, is I've got a whole lot of stuff on Harry Potter. As a matter of fact, I've got a brand new book out entitled Entertaining Spirits Unaware, and I do talk about Harry Potter.
[04:37.000 --> 04:53.000]  You know, four of his professors are dead. And as a matter of fact, I show in my presentations how easy it is for a child to go from Harry Potter's website all the way right into real witchcraft.
[04:53.000 --> 05:04.000]  Well, I've aired a documentary here on my TV show in Austin where you go, and I went and checked it out myself, you go to the official Harry Potter website and it links right through to Satanism and other organizations.
[05:04.000 --> 05:05.000]  Oh, absolutely.
[05:05.000 --> 05:08.000]  Jack rooms that are recruiting the children.
[05:08.000 --> 05:19.000]  I've talked to so many parents who've told me that in their classroom, if a child does not read Harry Potter books, they could plug the prices.
[05:20.000 --> 05:34.000]  Well, they have, when you walk into Barnes and Nobles, right at the main entrance of most of the stores, I've seen giant Harry Potter teaching aid kiosks with just hundreds of books piled up there, people grabbing them, snatching them. It's amazing.
[05:34.000 --> 05:47.000]  Well, again, what is happening is, and I thought this was interesting, is I dealt with an attorney who, when I was a talk show host in Dallas, who represented some children in Galveston, Texas.
[05:47.000 --> 05:59.000]  And it was in 1997, a district court ruled against the school even threatening to arrest and jail students for up to six months if they violated a court order prohibiting prayers that mentioned specific deities.
[05:59.000 --> 06:13.000]  Now, there was also an article I saw last year in South Texas where the two girls who had been late to class, they were in school suspension, had been coming from Bible study that Saturday morning and she grabbed the Bibles, threw them in the trash, threatened to arrest them.
[06:13.000 --> 06:14.000]  Oh, absolutely.
[06:14.000 --> 06:19.000]  See, we're not, as a matter of fact, the judge in this case was Samuel Kent.
[06:19.000 --> 06:26.000]  He said anybody who violates these orders, no kidding, is going to wish that he or she had died as a child when this court gets through with it.
[06:26.000 --> 06:37.000]  And I'm sure you're familiar with the case in Alabama where the principal is not allowed to pray or mention any kind of issues on prayer.
[06:37.000 --> 06:49.000]  As a matter of fact, the court order to that principal was told if anybody, a teacher or anybody, would pray at school and were caught on the grounds doing that, they would be sentenced to one year in a federal prison for it.
[06:49.000 --> 06:56.000]  But about half the shows now on network television are witches, vampires, the occult, conjuring, it's everywhere.
[06:56.000 --> 07:12.000]  Well, see, here's what I tell people about that is, you know, I read a story not long ago about a missionary who led this woman to the Lord and after leading her to the Lord, then what he did was he, she said, would you please talk to my husband because he needs to be saved.
[07:12.000 --> 07:16.000]  So every morning he'd sit there and drink a cup of coffee with the man and share the gospel with him.
[07:16.000 --> 07:25.000]  Well, he got deathly ill and they went and did blood work and the man said, the doctor said to the missionary, he said, are you working with rat poison?
[07:25.000 --> 07:28.000]  He said, no, I'm not. He said, then someone's rat poisoning you.
[07:28.000 --> 07:40.000]  And what it was was the man he'd drink coffee with every day would just put a little sprinkle of rat poison in his cup, not enough to change the taste, not enough to cause the man to die right there, just little doses.
[07:40.000 --> 07:51.000]  And I thought, that's exactly what our society is right now. Little dose after little dose, first it was bewitched, then Sabrina the teenage witch, then Casper the friendly ghost, and then on and on and on.
[07:51.000 --> 08:01.000]  Until now, roughly the vampire's lair and everything else charmed and they're all available for our children and they actively recruit children.
[08:01.000 --> 08:12.000]  Well, look, I'm going to be honest. I mean, I turn on the television at night. We're talking 9 o'clock at night and it's two women conducting oral sex on a man in a hot tub on these date shows.
[08:12.000 --> 08:22.000]  It's satanic stuff everywhere. It's military on our streets. I mean, this country is really turning in to a satanic slash Soviet style system.
[08:22.000 --> 08:31.000]  Well, you know, one of the objectives of the school system is to make sure that every child has a computer and that every child has access to the internet.
