[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[00:30.000 --> 00:39.000]  Now take you live to the Central Texas Command Center in the heart of the resistance. You're listening to Alex Jones.
[00:39.000 --> 01:06.000]  It's 35 days until the most historic election in world history. Referendum on nationalism versus globalism, human freedom and the Renaissance versus global technocracy and the New Dark Age.
[01:06.000 --> 01:17.000]  You know, I rarely drop the ball big time, but I have really really dropped the ball in a gigantic way.
[01:17.000 --> 01:28.000]  And I began to realize this over the weekend, so I did a lot of research. And by then a lot of other people had done research.
[01:28.000 --> 01:35.000]  And now we have all the documents, we have all the admissions, it's hiding in complete plain view.
[01:35.000 --> 01:43.000]  And I'll talk about how I dropped the ball and how important this ball dropping is. We pick it back up right now.
[01:43.000 --> 01:49.000]  The ball's been fumbled, but the other side hadn't got it yet. And we get this information out.
[01:49.000 --> 02:04.000]  No wonder they don't want info wars on any social media or able to share information virally, they think, during this period because they're going to make a bunch of dirty moves the next 35 days. You've already seen it.
[02:04.000 --> 02:22.000]  But the information we're going to cover when we come back is absolutely so stunning that I just cannot even believe it.
[02:22.000 --> 02:30.000]  And thank God Michael Savage began to point this out last Friday because I'd seen it.
[02:30.000 --> 02:39.000]  But for some reason I mainly focused on Ford's leftist background donating 10 times to Hillary, 60 times to other leftist.
[02:39.000 --> 02:52.000]  Our story didn't add up, how there's new process, how you're innocent until proven guilty, you know, stuff that goes back to the Magna Carta.
[02:52.000 --> 03:02.000]  But then I began to look at her CIA connections and it's not connections.
[03:02.000 --> 03:08.000]  It's like saying a cow out in the field has connections to cows.
[03:08.000 --> 03:16.000]  Or Hitler had connections to the Nazis or Apple's logo looks like an apple.
[03:16.000 --> 03:33.000]  It's unbelievable and it's not just CIA. She co-authors top studies and is one of the head engineers in a giant mind control program that they admit is mind control at Stanford.
[03:33.000 --> 03:46.000]  And then her father, grandfather, brother, brother-in-law all work in the same group of CIA offices that produced the fake Russiagate dossier.
[03:46.000 --> 03:51.000]  I mean, and then she's got the deep state lawyer of Andy McCabe sitting next to her.
[03:51.000 --> 03:58.000]  This is unbelievable that they would try something like this.
[03:58.000 --> 04:04.000]  So her specialty is implanting false memories.
[04:04.000 --> 04:09.000]  Oh, you're going to read the study with her name on it.
[04:09.000 --> 04:12.000]  God help us.
[04:12.000 --> 04:21.000]  You notice everybody accusing Cabinah or psychology professors or somebody, another professor that went to Yale saw him drunk once he claims.
[04:21.000 --> 04:25.000]  I mean, it is unbelievable.
[04:25.000 --> 04:30.000]  And these people are using psychological warfare against us against our families against everything.
[04:30.000 --> 04:32.000]  And they are the problem in this country.
[04:32.000 --> 04:34.000]  They are the would be ruling class.
[04:34.000 --> 04:37.000]  They don't believe one lick of their liberal garbage.
[04:37.000 --> 04:42.000]  It's all meant to sabotage this nation.
[04:42.000 --> 04:43.000]  Unbelievable.
[04:43.000 --> 04:47.000]  We're going to break it all down on the other side.
[04:47.000 --> 04:48.000]  It is incredible.
[04:48.000 --> 04:52.000]  No matter how you're listening or watching, tell folks tune in now.
[04:52.000 --> 04:53.000]  We get this out.
[04:53.000 --> 04:55.000]  It is going to derail their operations big time.
[04:55.000 --> 05:24.000]  Stay with us.
[05:26.000 --> 05:33.000]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health,
[05:33.000 --> 05:38.000]  aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[05:38.000 --> 05:42.000]  And while other krill oil formulas may chemically modify their formulas,
[05:42.000 --> 05:48.000]  we're giving you the benefits of a simple formula that contains unmodified high quality krill oil concentrate
[05:48.000 --> 05:51.000]  paired with our ultimate fish oil or used separately.
