[00:00.000 --> 00:10.000]  From the front lines of the information war, it's Alex Jones.
[00:10.000 --> 00:20.000]  Ladies and gentlemen, America is back!
[00:20.000 --> 00:24.000]  America is back!
[00:24.000 --> 00:33.000]  The Communist Chinese are censoring their people.
[00:33.000 --> 00:36.000]  President Trump should confront him first.
[00:36.000 --> 00:48.000]  And President Trump needs to tell Apple to stop censoring.
[00:48.000 --> 01:01.000]  Apple Wars.com stands against leftist tyranny.
[01:01.000 --> 01:06.000]  You know, it's Communist China suppressing their people.
[01:06.000 --> 01:13.000]  And the man stood in front of the tanks to stop Communist China's censorship.
[01:13.000 --> 01:15.000]  And he paid for his life.
[01:15.000 --> 01:20.000]  Now pro-communist, pro-China individuals are blocking us.
[01:20.000 --> 01:24.000]  Acting like they're the people standing in front of the tank.
[01:24.000 --> 01:29.000]  America is back!
[01:29.000 --> 01:33.000]  Apple is leading the censorship of America.
[01:33.000 --> 01:37.000]  Apple needs to stop censoring America.
[01:37.000 --> 01:42.000]  Trump! We love Trump! We love Trump! We love Trump!
[01:42.000 --> 01:46.000]  We love free speech! You all support the state!
[01:46.000 --> 01:50.000]  America is back!
[01:50.000 --> 01:53.000]  It's hard to do that what's going to happen, so now we're ready to go.
[01:53.000 --> 01:55.000]  With old trusty.
[01:55.000 --> 01:57.000]  I get censorship.
[01:57.000 --> 02:00.000]  You support the Chinese censorship.
[02:00.000 --> 02:04.000]  You support America is back!
[02:04.000 --> 02:08.000]  America is back!
[02:08.000 --> 02:18.000]  Apple is censoring Americans.
[02:18.000 --> 02:29.000]  Apple is censoring the American people.
[02:29.000 --> 02:32.000]  And this guy has a great vocabulary.
[02:32.000 --> 02:38.000]  Over and over again because he doesn't support free speech.
[02:38.000 --> 02:43.000]  Apple is an asset. Our basic freedoms are being erased.
[02:43.000 --> 02:50.000]  And President Trump must stand up for the First Amendment.
[02:50.000 --> 03:00.000]  Apple is evil. Censorship is evil. Apple is evil. Censorship is evil. Apple is evil. Censorship is evil.
[03:00.000 --> 03:10.000]  Censorship is evil. Censorship is evil.
[03:10.000 --> 03:15.000]  America is back!
[03:15.000 --> 03:20.000]  America is back!
[03:20.000 --> 03:30.000]  America is back!
