[00:00:06.172 --> 00:00:07.074]  That's a hit.
[00:00:07.074 --> 00:00:07.614]  At 100 yards.
[00:00:07.614 --> 00:00:08.296]  I taped it.
[00:00:08.296 --> 00:00:09.037]  I don't care what you say.
[00:00:09.037 --> 00:00:09.217]  Nice!
[00:00:09.217 --> 00:00:12.923]  Got it on my third shot.
[00:00:21.587 --> 00:00:30.111]  Ladies and gentlemen, we are live, broadcasting worldwide on this Wednesday, September 8th, worldwide transmission.
[00:00:30.111 --> 00:00:32.092]  The biggest news yet.
[00:00:32.092 --> 00:00:35.713]  The entire COVID martial law takeover is about to break.
[00:00:35.713 --> 00:00:42.497]  Turns out Fauci admitted to creating a gain-of-function, quote, doomsday virus in 2012.
[00:00:42.497 --> 00:00:43.697]  It's not a document.
[00:00:43.697 --> 00:00:45.358]  It's video of him admitting it.
[00:00:45.698 --> 00:00:48.300]  And it's coming up in T-minus five minutes.
[00:00:48.300 --> 00:00:50.601]  Call everyone you know, tell them tune in now.
[00:00:50.601 --> 00:00:52.302]  We'll bring these murderers down together.
[00:01:22.571 --> 00:01:23.632]  It's a 300 blackout.
[00:01:23.632 --> 00:01:24.653]  I've never shot it.
[00:01:24.653 --> 00:01:24.793]  It's...
[00:01:25.686 --> 00:01:28.568]  My security guy, Tim's gun, it's got a suppressor.
[00:01:28.568 --> 00:01:33.170]  And again, it's legal for you to shoot with a suppressor if you're with the person that owns the suppressor.
[00:01:33.170 --> 00:01:38.253]  And Texas almost passed a law to manufacture them in Texas and make it legal for everybody, but that law did not pass.
[00:01:38.253 --> 00:01:40.034]  But, the, uh, what is it?
[00:01:40.034 --> 00:01:42.976]  The open carry and concealed carry thing passed for just the general public.
[00:01:42.976 --> 00:01:45.517]  So, wall, wall, west.
[00:01:45.517 --> 00:01:47.158]  Second Amendment moving forward.
[00:01:47.158 --> 00:01:49.980]  I've never shot this, so we'll see how I do here.
[00:01:49.980 --> 00:01:50.400]  What is this?
[00:01:50.400 --> 00:01:50.920]  About 30 yards?
[00:01:50.920 --> 00:01:51.200]  25 yards?
[00:01:53.905 --> 00:01:55.326]  I've heard a lot about these.
[00:01:55.326 --> 00:02:10.272]  I've never shot one of these.
[00:02:10.272 --> 00:02:11.793]  Man, that thing's like a laser beam.
[00:02:11.793 --> 00:02:12.874]  Wow, that's a badass gun.
[00:02:12.874 --> 00:02:15.115]  Maybe we should move back to 100 yards and see how we do.
[00:02:28.772 --> 00:02:30.673]  Shane, that is an awesome rifle.
[00:02:30.673 --> 00:02:31.954]  You want to sell it?
[00:02:31.954 --> 00:02:34.896]  Everybody asks that when they see that gun.
[00:02:34.896 --> 00:02:36.697]  So what is it?
[00:02:36.697 --> 00:02:37.778]  It's a custom.
[00:02:37.778 --> 00:02:41.481]  I had it built.
[00:02:41.481 --> 00:02:45.544]  This is made of carbon fiber and I had it built specifically for this gun.
[00:02:45.544 --> 00:02:46.384]  It's killer.
[00:02:46.384 --> 00:02:49.166]  I built this thing so long ago I don't even remember all the parts.
[00:02:49.166 --> 00:02:54.870]  I just remember this was called a hammer because this part right here has these cleats on here.
[00:02:54.870 --> 00:02:57.492]  It's like you could just bash somebody in the face with it.
[00:03:42.142 --> 00:03:42.222]  Yeah.
[00:04:31.894 --> 00:04:35.455]  And no matter how much shooting you do, it's a perishable skill.
[00:04:35.455 --> 00:04:39.316]  If you wait two or three months, it will all deteriorate.
[00:04:39.316 --> 00:04:50.139]  I mean, you'll still remember how to pull the trigger and aim the gun, but the fine motor skills and being a really good shooter is gonna go right out the window.
[00:04:59.070 --> 00:05:02.153]  There are a lot of energy drinks and energy pills on the market.
[00:05:02.153 --> 00:05:06.878]  And of course, most of them work because if something doesn't work, people aren't going to reorder it.
[00:05:06.878 --> 00:05:08.379]  But they have side effects.
[00:05:08.379 --> 00:05:09.420]  They have chemicals.
[00:05:09.420 --> 00:05:17.088]  They have dyes in them that hurt your brain and hurt your cells and hurt your body in the process and leave you burnt out and hungover.
[00:05:17.748 --> 00:05:29.733]  InfoWars for years has consulted top developers and top labs to bring you BrainForce+, to bring you TurboForce, and other clean formulas that give you long, sustained, focused energy.
[00:05:29.733 --> 00:05:34.055]  Well now, we are introducing something that is at the next level.
[00:05:34.055 --> 00:05:35.616]  Multiple years in development.
[00:05:36.076 --> 00:05:38.497]  It is Brain Force Ultra.
[00:05:38.497 --> 00:05:46.639]  It is a liquid in a dropper and it is twice as strong as Brain Force Plus just in the natural caffeine department.
[00:05:46.639 --> 00:05:55.022]  Then it's got a bunch of other powerful herbs and compounds that will take your focus and your clarity to the next level with clean energy.
[00:05:55.022 --> 00:05:56.422]  And it funds the InfoWar.
[00:05:56.422 --> 00:05:59.063]  Exclusively available at InfoWarStore.com.
[00:06:06.724 --> 00:06:29.232]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:29.232 --> 00:06:34.194]  Ladies and gentlemen, we are live on this September 8th, Wednesday transmission.
[00:06:35.382 --> 00:06:41.748]  And this is undoubtedly the most important information we have ever covered on air.
[00:06:41.748 --> 00:06:45.872]  I'm sure by next week, we'll have a day that tops that because the quickening is here.
[00:06:45.872 --> 00:06:49.635]  Satan has taken the mask off and is really making his move.
[00:06:49.635 --> 00:06:51.777]  Wow.
[00:06:51.777 --> 00:06:53.459]  Wow.
[00:06:53.459 --> 00:06:58.043]  I spent a good two hours last night after my wife and children went to sleep.
[00:07:00.410 --> 00:07:14.976]  Trying to scan over the 900 pages that the Intercept investigative journal sued and got of Fauci going back over the last decade, but even further, 20 years, specifically saying, I want gain of function.
[00:07:14.976 --> 00:07:19.418]  I want to merge these viruses in him in 2015, 16, 17, in hundreds of emails.
[00:07:19.418 --> 00:07:19.738]  There's 900 pages.
[00:07:27.096 --> 00:07:29.698]  And there are scans of the emails so you can't keyword search.
[00:07:29.698 --> 00:07:30.439]  It's grueling.
[00:07:30.439 --> 00:07:33.601]  I probably read 500 pages last night quickly until my eyes were bleeding.
[00:07:33.601 --> 00:07:40.466]  Because by that late at night, you know, vision starts getting blurry, literally.
[00:07:40.466 --> 00:07:48.172]  And I found, and I've got them printed off, stuff that hasn't even hit newspapers.
[00:07:48.172 --> 00:07:50.134]  And I've got a bunch of stuff that has hit the newspapers.
[00:07:50.967 --> 00:07:56.091]  Where he specifically says, I want you to merge these five viruses and then create a vaccine for it.
[00:07:56.091 --> 00:07:57.893]  And it's what COVID-19 is.
[00:07:57.893 --> 00:07:59.374]  He describes it all.
[00:07:59.374 --> 00:08:09.443]  The HIV delivery system, the protein spike, the bats, the civets, all the different animals they merged.
[00:08:09.443 --> 00:08:16.669]  And you can go to ZeroHedge or InfoWars.com or The Intercept and just click the links.
[00:08:16.669 --> 00:08:18.830]  And you can read those documents for yourself.
[00:08:19.701 --> 00:08:20.722]  And I'll be going over those.
[00:08:20.722 --> 00:08:29.270]  But then this morning, I come into the office and I'm reviewing clips.
[00:08:29.270 --> 00:08:37.499]  And as soon as I saw the clip on the list that the producers put on there, got a big clipboard of videos here, a lot of which I sent them, a lot of which they recommended to me.
[00:08:37.499 --> 00:08:39.361]  This is one they recommended to me.
[00:08:39.361 --> 00:08:40.141]  And I watched it.
[00:08:41.297 --> 00:08:43.018]  And my jaw actually dropped.
[00:08:43.018 --> 00:09:00.052]  I realized I went... I don't usually go... My mouth went... I watched the video, and then my brain clicked, because I got a good memory, and I went... I remember actually that being in the news, and there was a controversy over the doomsday virus, and they called it disease X, and I pulled all those articles.
[00:09:00.052 --> 00:09:04.715]  Ladies and gentlemen, it's illegal to do gain-of-function.
[00:09:04.715 --> 00:09:09.019]  Obama and Fauci got caught in 2015 doing a chapel in North Carolina, so they moved to Wuhan.
[00:09:09.918 --> 00:09:18.703]  It's in the documents they were in more than 12 facilities in China alone doing this and Hong Kong by the way.
[00:09:18.703 --> 00:09:29.730]  This is video of Fauci on C-SPAN in 2012 admitting he created a quote doomsday flu virus that kills the majority of people that get hit with it.
[00:09:33.032 --> 00:09:34.253]  And you know they've got that in the wings.
[00:09:34.253 --> 00:09:37.737]  They'll probably release it on us and be our savior on TV while he does it.
[00:09:37.737 --> 00:09:41.340]  You understand we should have 10 million people peacefully demonstrating in D.C.
[00:09:41.340 --> 00:09:42.422]  That's what they're scared of right now.
[00:09:42.422 --> 00:09:46.626]  That's why they provocateured our Trump event to attack the Capitol and hijacked it.
[00:09:46.626 --> 00:09:47.507]  That's now come out in court.
[00:09:48.868 --> 00:09:50.489]  There should be 10 million people in D.C.
[00:09:50.489 --> 00:09:55.833]  demanding the arrest of Bill Gates, Fauci, Klaus Schwab, the Google heads, the Facebook heads.
[00:09:55.833 --> 00:10:09.164]  I mean, they all on record, Google and Facebook, funded the Wuhan lab, and they've been involved in the cover-up, and the fact-checkers work at the lab, and they're the fact-checkers or the head scientists, over the gain-of-function.
[00:10:09.164 --> 00:10:11.786]  Peter Daszak wrote the Lancet Journal, Whitewash,
[00:10:12.970 --> 00:10:23.336]  A year and a half ago saying it didn't come out of Wuhan, and then he's even in emails that have come out via lawsuits and FOIA requests saying, cover up the fact that I wrote this.
[00:10:23.336 --> 00:10:28.579]  So the Lancet Journal saying it didn't come out of Wuhan was written by him, but all that's just window dressing.
[00:10:28.579 --> 00:10:29.760]  Do you understand?
[00:10:29.760 --> 00:10:33.042]  We're gonna play the clip here in a moment.
[00:10:33.042 --> 00:10:34.743]  Do you understand?
[00:10:36.710 --> 00:10:58.675]  That he admittedly created what they call a doomsday virus, they've got a mousepox virus as well, that the Australian government released the program on how to build it, where even a normal biology department at a community college could make a mousepox virus that kills 98% of humans.
[00:11:01.459 --> 00:11:05.061]  I remember that whole story was big news 15 years ago.
[00:11:05.061 --> 00:11:11.546]  Like, why are we creating and putting on the internet how to make something?
[00:11:11.546 --> 00:11:16.849]  It'd be like how to create plutonium in your backyard and how to make a hydrogen bomb.
[00:11:16.849 --> 00:11:19.091]  In fact, it's worse than that.
[00:11:19.091 --> 00:11:22.493]  So this is truly 12 monkey type stuff.
[00:11:22.493 --> 00:11:24.274]  This is the population cult.
[00:11:24.274 --> 00:11:25.675]  And this is what they've set up.
[00:11:25.675 --> 00:11:27.897]  Yeah, there it is, the doomsday variant and all the rest of it.
[00:11:29.497 --> 00:11:35.960]  So they're already saying the doomsday COVID variant could be worse than Delta, Lamba, and may be coming, scientists say.
[00:11:35.960 --> 00:11:38.000]  Well, they've already tested all this and have it ready.
[00:11:38.000 --> 00:11:39.801]  This is their martial law takeover plan.
[00:11:39.801 --> 00:11:54.327]  And if they don't get arrested, well, you're going to have a lot of auto mechanics and farmers and factory workers and Lyft drivers and FBI agents, children, that are going to die.
[00:11:54.327 --> 00:11:56.448]  Because this is going to hit everybody.
[00:11:56.448 --> 00:11:58.429]  They're not going to give us, quote, vaccines that protect us.
[00:12:00.009 --> 00:12:04.212]  They're making their move.
[00:12:04.212 --> 00:12:08.214]  So this is not hypothetical.
[00:12:08.214 --> 00:12:10.336]  Maysmore on Twitter found this.
[00:12:10.336 --> 00:12:12.517]  Now we have all the articles that reminded us of it.
[00:12:12.517 --> 00:12:23.184]  This is Fauci in 2012 answering questions with his partners about a new virus they created through gain-of-function research.
[00:12:23.184 --> 00:12:25.685]  And this is all being said at the Biodefense 2012 meeting.
[00:12:29.667 --> 00:12:34.250]  And then we have other clips of him admitting they were creating gain of function as well.
[00:12:34.250 --> 00:12:39.413]  Then he goes and perjures himself to Congress and says no one's ever done it.
[00:12:39.413 --> 00:12:42.195]  It's preposterous and gaslights the public.
[00:12:42.195 --> 00:12:49.599]  When I have a stack of mainstream news, the scientists and others I'll show you, where he got in trouble for it six years ago.
[00:12:49.599 --> 00:12:51.500]  Major controversy.
[00:12:51.500 --> 00:12:52.701]  But again, he thinks you're an idiot.
[00:12:54.468 --> 00:12:58.430]  And all these conferences that he headed called Gain of Function Conference.
[00:12:58.430 --> 00:13:15.439]  And he orders in all the emails and documents and grants federal, National Institutes of Allergies, CDC, to the universities to create all this and to make viruses that infect humans from animals.
[00:13:15.439 --> 00:13:18.401]  That's gain of function.
[00:13:18.401 --> 00:13:21.663]  That's like saying, you know, well gain of function isn't anything Christmassy.
[00:13:23.041 --> 00:13:24.201]  A wreath, a Christmas tree.
[00:13:24.201 --> 00:13:26.362]  Well, this is Santa Claus, or this is Jesus.
[00:13:26.362 --> 00:13:31.563]  I mean, this is the Babe Ruth of baseball.
[00:13:31.563 --> 00:13:33.944]  I mean, this is the worst stuff you can do.
[00:13:33.944 --> 00:13:38.185]  On a scale of 1 to 10, it's a 10 and a half.
[00:13:38.185 --> 00:13:39.926]  It's an 11, to quote Spinal Tap.
[00:13:40.731 --> 00:13:41.852]  So here it is.
[00:13:41.852 --> 00:13:43.394]  This is non-hypothetical.
[00:13:43.394 --> 00:13:48.899]  This is them talking about a doomsday virus, which Fauci now says is coming.
[00:13:48.899 --> 00:13:50.020]  You learn to lock down.
[00:13:50.020 --> 00:13:51.141]  You learn to do what you're told.
[00:13:51.141 --> 00:13:52.603]  You learn to stay in your home.
[00:13:52.603 --> 00:13:57.127]  So when they release it, you can all die and behave yourselves.
[00:13:57.127 --> 00:14:04.834]  And they can depopulate you, and it's going to be beautiful, just like Zardoz or just like Moonraker or any of the stuff they put in our face.
[00:14:04.834 --> 00:14:05.135]  Here it is.
[00:14:05.839 --> 00:14:07.620]  Bill Schultz, Chemical and Engineering News.
[00:14:07.620 --> 00:14:19.528]  Dr. Fouché, I hope I'm not misunderstanding, but you seem to be saying that the virus you created is not particularly lethal in the ferrets.
[00:14:19.528 --> 00:14:22.691]  And yet, Dr. Kime, you have said to me in a phone interview
[00:14:23.451 --> 00:14:25.992]  So I'm sure I didn't actually say that, but I have heard people call it that.
[00:14:25.992 --> 00:14:28.112]  I did not call it the doomsday virus, I should say.
[00:14:28.112 --> 00:14:28.172]  Ron?
[00:14:41.465 --> 00:14:44.168]  Well, the virus is highly pathogenic in chickens.
[00:14:44.168 --> 00:14:50.335]  The virus is pathogenic in ferrets if you put a lot of virus straight down in the lower airways.
[00:14:50.335 --> 00:14:59.586]  But it's well recognized by everybody in the flu field that if you take H5N1 and stick it up the nose of a ferret, the ferret really only gets the flu, normal flu.
[00:15:00.066 --> 00:15:01.626]  Now our virus is slightly different.
[00:15:01.626 --> 00:15:12.229]  It causes some neurovirulence, but certainly if the ferrets receive virus via aerosol route, we have never seen severe disease in the ferrets.
[00:15:12.229 --> 00:15:21.091]  Now a ferret is not a human, and as Mike just pointed out, there are still serious debates about how fatal this virus is in humans.
[00:15:21.091 --> 00:15:22.511]  To just clarify a bit, without
[00:15:23.391 --> 00:15:31.295]  Predicting anything without talking about any processes that will unfold to the perception of, I think, most of us.
[00:15:31.295 --> 00:15:36.217]  We're going to come back with the rest of this where he says it, founcy with a big giant cold sore on his lip.
[00:15:36.217 --> 00:15:40.079]  And he was involved with a group making the doomsday virus.
[00:15:40.079 --> 00:15:43.221]  By the way, it killed basically 99% of the ferrets.
[00:15:43.221 --> 00:15:44.682]  But that's what it got in their lungs.
[00:15:45.382 --> 00:15:45.983]  Yeah.
[00:15:45.983 --> 00:15:46.684]  We'll be right back.
[00:15:46.684 --> 00:15:47.145]  Stay with us.
[00:15:47.145 --> 00:15:50.129]  These people are building weapons to kill everybody.
[00:15:50.129 --> 00:15:53.013]  They're all eugenicists and populationists on record.
[00:15:53.013 --> 00:15:54.415]  They are mad scientists.
[00:15:54.415 --> 00:15:55.657]  It must be stopped now!
[00:15:56.980 --> 00:16:05.384]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity, this will be the most important message you'll hear this year.
[00:16:05.384 --> 00:16:06.404]  Here's why.
[00:16:06.404 --> 00:16:10.306]  We now have a small number of solar generators back in stock.
[00:16:10.306 --> 00:16:15.408]  These emergency backup systems provide life-saving backup power when you need it most.
[00:16:15.408 --> 00:16:23.832]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and produce an endless supply of free electricity from the sun.
[00:16:24.392 --> 00:16:32.368]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid, you'll never have to suffer through painful power outages again.
[00:16:33.084 --> 00:16:39.167]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses too!
[00:16:39.167 --> 00:16:42.989]  Go to MySolarBackup.com to learn more and check availability.
