[00:00.000 --> 00:25.000]  Infowars, tomorrow's news, today.
[00:25.000 --> 00:47.000]  Send in the clowns, don't bother, they're here.
[00:47.000 --> 01:06.000]  Isn't it rich? Isn't it queer? Losing my timing this late in my career.
[01:06.000 --> 01:33.000]  Where are the clowns? There ought to be clowns. Well, maybe next year.
[01:33.000 --> 01:38.000]  Ladies and gentlemen, thank you for joining us. It's Monday, December 12, 2022.
[01:38.000 --> 01:42.000]  I am your embattled host, Alex Jones, but wouldn't want to be anywhere else.
[01:42.000 --> 01:49.000]  We've had such devastating effects on the New World Order and their criminal planetary takeover and depopulation plan.
[01:49.000 --> 01:56.000]  We are fighting back together and I salute and thank you all for joining us here today.
[01:56.000 --> 02:06.000]  All right, I'm not going to sit here and have the ongoing debate. People are welcome to call in if they want, and guest hosts can say whatever they want.
[02:06.000 --> 02:14.000]  But I don't want to just have the ongoing debate about whether Elon Musk is a good guy or a bad guy. What matters is his actions, and I don't trust him.
[02:14.000 --> 02:27.000]  But his actions speak louder than words, and he is really devastating the deep state, and he legitimately has them on the run, very scared with the last three Twitter drops he did.
[02:27.000 --> 02:39.000]  And the fourth one that he says, and we already know this from behind the scenes stuff that's already leaked, that Fauci was coordinating censorship of thousands of doctors, thousands of nurses and scientists.
[02:39.000 --> 02:52.000]  Well, I say thousands, tens of thousands around the world, not just here. And then he lied to Congress about that, and he lied two weeks ago, or a week and a half ago, to the attorney generals of Missouri and Louisiana.
[02:52.000 --> 02:58.000]  And 260-something times said he didn't do something or he didn't remember, he didn't recall.
[02:58.000 --> 03:17.000]  So this is a big deal, and that's why all the globalists are crawling off one of their rocks and defending Fauci right now, and all the horrible criminal activity he engaged in, like suppressing all of the different therapeutics out there that they already had studies on that they knew would knock these viral infections in the dirt.
[03:17.000 --> 03:33.000]  And that's just one area of the crimes they committed. So this is just super good news, very, very positive information. We're going to be going all through that coming up next segment.
[03:33.000 --> 04:02.000]  Then we've got the border situation with Title 42 set to expire, and deportations down 90% this year compared to last year with Biden, and massive caravans, here's a new one coming across at El Paso, 24-7, as services are cut off to the American people and we're told to go without.
[04:02.000 --> 04:11.000]  The very same globalist policies have fully collapsed. Many areas in the third world, and now they're flooding them here. This is the UN plan.
[04:11.000 --> 04:26.000]  If you're a radio listener, you can't see this, but shocking footage of just a massive, massive caravan, they estimate to be more than 10,000 people for hours after hour after hour after hour after hour, flooding into Texas.
[04:26.000 --> 04:36.000]  And being taken by the Democrats, signed up for welfare, which the Democrats then skim, and then they're also then put in basically sweatshops.
[04:36.000 --> 04:42.000]  So they're exploiting these people. Let's get that straight. I don't hate the poor folks trying to get a better life, though they're being used as a weapon against us all.
[04:42.000 --> 04:45.000]  This is a nightmare scenario. We've got that situation.
[04:45.000 --> 04:56.000]  Rand Paul's come out with some powerful statements about the eugenics movement through the trans movement targeting our children. Russia is threatening nuclear war at another level now. It's all coming up today.
[05:15.000 --> 05:29.000]  We're in a new deal with a big national shipping company, and they're able to cut our regular shipping cost by up to 50%. So that means even on orders that are below $50, you're going to be paying way lower than you were previously.
[05:29.000 --> 05:39.000]  This is a game changer. We're so excited about it. Our listeners had really asked for free shipping again. We couldn't afford it before, but by moving to a bigger national distributor, we're able to do it.
[05:39.000 --> 05:51.000]  Now, your orders will be shipped even faster, the same great customer service and more. So get huge discounts and free shipping on so many great items at infowarstore.com right now.
[05:51.000 --> 06:11.000]  I want to thank you all for your support, but now there's no excuse to boost your immune system, lead a healthier life, and keep invoices on the air at infowarstore.com.
[06:21.000 --> 06:36.000]  infowarstore.com studios. It's Alex Jones.
[06:36.000 --> 06:46.000]  It's Monday, December 12, 2022. I'm your host, Alex Jones. And do we have an incredibly jam-packed broadcast lined up for you today?
[06:46.000 --> 07:02.000]  Good news. U.S. to announce fusion energy breakthrough today. The Department of Energy plans to announce today that scientists have been able for the first time to produce a fusion reaction that creates a net energy gain, a major milestone,
[07:02.000 --> 07:18.000]  the decade-long multi-billion-dollar quest to develop a technology that provides unlimited, cheap, clean power. Free energy. Now, the word is from my sources that they had successfully done this in the 70s.
[07:18.000 --> 07:38.000]  But now, because the Japanese and the Chinese and the Russians are set to make their announcements, the deep state over here is making theirs. You saw a month ago, the Chinese off their coast launched an artificial sun in the atmosphere that lasted 20 minutes.
[07:38.000 --> 07:56.000]  By the way, it's very dangerous to create those on the planet, obviously, because they could get enough purchase in the atmosphere to be able to start expanding and then you could destroy the planet, or potentially large parts of it,
[07:56.000 --> 08:12.000]  depending on how bad the explosion got. Similar problems with the superconducting supercollider or the megacyclotron CERN that spans multinations in Europe, in France and Switzerland.
[08:12.000 --> 08:32.000]  U.S. to announce fusion energy breakthrough. Wow, that is a really, really big deal. Now, notice they're giving us windmills that don't work and batteries that take more carbon to produce and to charge and to use than gas cars.
[08:32.000 --> 08:42.000]  And they've been really suppressing a lot of these new technologies for decades that the establishment calls disruptive technologies.
[08:42.000 --> 08:56.000]  But I'd be all four electric cars if we had enough of the rare earth minerals to replace them, but they don't have, they admit, with discoverable resources, enough to make 10% of the cars on earth battery powered.
[08:56.000 --> 09:06.000]  Then the batteries only last five years on average, and then you don't have any more batteries. So it doesn't matter how much free energy you've got, where are you going to store it?
[09:06.000 --> 09:19.000]  Because they can't put a nuclear fusion reactor in a car. These things are the size of a town. So, again, that's the issue.
[09:19.000 --> 09:30.000]  And they're now, by the way, in the news admitting this, the UN, the club of Rome, the demo stripper like Klaus Schwab, she does go, there is not enough cobalt and enough lithium for the batteries.
[09:30.000 --> 09:40.000]  We need to get people out of the cars. No more used car. So they behave like, oh, everything's going to be electric. Oh, that's what we're getting rid of the gas.
[09:40.000 --> 09:57.000]  No, they're getting rid of the general public having access to cars. Obama told Africans, before he left office, if you remember, seven, eight years ago, we played the clip probably 100 times, he said, you can't have air conditioning or a car, the earth will burn up.
[09:57.000 --> 10:07.000]  So they can have all their private jets and oceanfront property, because they say, you know, by 2017, we'd be two feet under water, but they knew that was all a lie.
[10:07.000 --> 10:18.000]  So yes, you can create these nuclear fusion reactors, they don't blow up on you, and you could power the electrical grid.
[10:18.000 --> 10:36.000]  But you've got big problems storing the electricity. You know, most the electricity electrical grid is not stored. It's all being produced as they need it as the computers estimate usage.
[10:36.000 --> 10:54.000]  And so they are not building the infrastructure at any level that we need to transfer ourselves over to this new system.
[10:54.000 --> 11:10.000]  They're promising all this magical technology but not deploying it, not developing it for public use or public good, while they cut off all the resources to the general public because the vast majority of people and their progeny are not supposed to go into the future.
[11:10.000 --> 11:23.000]  And that's what the euthanasia and the infanticide and the death panels and the transgenderism is all about in the fine print depopulating.
[11:23.000 --> 11:37.000]  Well, how do you sterilize kids? You teach them it's cool and trendy and take away parental rights when they're five, six years old and put them on the path when they're 10 to have their genitals actually cut off or their breasts actually cut off,
[11:37.000 --> 11:56.000]  or when they're six to start taking puberty blockers and now children's books and boxes of cereal in the schools are all there 24 seven over and over and over again.
[11:56.000 --> 12:08.000]  When a child is five or six or seven, they are asexual, meaning not sexual to a great degree, because their hormones have not kicked in.
[12:08.000 --> 12:17.000]  So a little girl doesn't think of herself as a little girl, a little boy doesn't think of themselves as little boy, think of themselves as little creatures learning from adults and society and culture.
[12:17.000 --> 12:27.000]  Just like a baby deer doesn't think about sex until it goes into puberty, or a baby dog, a wolf, a cub, a pop.
[12:27.000 --> 12:36.000]  A baby bear doesn't think about sex until it goes into puberty, and then all those instincts and everything kicks in.
[12:36.000 --> 12:50.000]  So they go to try to artificially come in as social engineers with an army of pedophiles who do their bidding, who want access to children, to have children be confused and say maybe I am a boy when you're a girl, or maybe you are a girl when you're a boy.
[12:50.000 --> 13:05.000]  And then they create a relationship with you in the state, in a computer, to now cut you out, put you in your own classes, but peer pressure on you to then sterilize you and then have you celebrate that.
[13:05.000 --> 13:13.000]  And now we've got footage all over the country of the so-called gay pride parades that are now basically pedophile coming out parades that we can't even show you.
[13:13.000 --> 13:26.000]  This is mild compared of children being paraded in front of men who are completely naked and people urinating and defecating on each other.
[13:26.000 --> 13:42.000]  If somebody came up to your child in the park, a man or woman and said I want to talk to you about your sexual preferences or I want to talk to you about your body and maybe you're not really a girl or a boy, you'd call the police and then go to jail, or they'd be investigated.
[13:42.000 --> 13:57.000]  Nowadays, if it's state-sponsored, government-sponsored, sponsored by Disney, sponsored by Wells Fargo, sponsored by Bank of America, sponsored by Goldman Sachs, sponsored by JP Morgan, who do sponsor it worldwide,
[13:57.000 --> 14:15.000]  well then you take your children in an offering to it to show how you submit to the system and then in some cases men with erections, with only glitter on their penises, have little boys and girls sit on their genitals in front of everyone and the women all get these wild looks in their eyes because they know it's degenerate,
[14:15.000 --> 14:32.000]  they know it's sick, they know it's extremely taboo because it's bad and horrible and ruins these children's innocence, but they say we don't care, we're here to groom your children, we're here for the next generation, you will not stop us because they have the full backing of the power structure.
[14:32.000 --> 14:47.000]  And Senator Rand Paul's come out and said Republicans are not perfect, but they are not pushing your child to have surgery to remove their genitals. I'm going to get to that clip first and talk about the culture wars, then I'm going to get into the fourth drop of the Twitter files that's imminent.
[14:47.000 --> 15:06.000]  As we already know from documents that leaked elsewhere that Fauci and the rest of his crew were censoring millions of people and tens of thousands of scientists and doctors in live time, shadow banning or blocking or full out banning and then going out and not letting people talk about therapeutics or studies about vitamin C or vitamin D or hydroxychloroquine or
[15:06.000 --> 15:20.000]  you just went on and on, or they'd suppress you if you exposed that Rendezavier would turn your kidneys off and wouldn't protect you, or when they would admit the files two years ago that oh these shots really won't help you, they'll erase your immune system.
[15:20.000 --> 15:31.000]  If you tried to publish a study showing that, you'd get banned. That's criminals from the beginning suppressing the knowledge and censoring, but we overpowered them together.
[15:31.000 --> 15:42.000]  And now the day both crew admits if they can't censor the people of the world, they're going to lose their new permanent lockdown they're preparing and China's had to just snap its fingers and end its lockdown because the public finally revolted.
[15:42.000 --> 15:55.000]  Thomas Jefferson was asked what tyranny will man live under and how bad will tyranny get? He said tyranny will get as bad as you let it get because there's always a tyrant worse than the last who will push the envelope.
[15:55.000 --> 16:09.000]  We'll be right back. Stay with us Christmas 2022 is almost here and we have great products at infowarstore.com that empower your body, your libido, your immune system that just enrich your life.
[16:09.000 --> 16:28.000]  So whether it's vitamin mineral fusion or DNA force plus or body's open tumor formula, they're all still in stock discount up to 60% with promo code 1776 and now finally we have brought back free shipping at infowarstore.com on orders of $50 or more and big discounts on the regular shipping as well.
[16:28.000 --> 16:55.000]  Plus the book, The Great Reset in the War for the World, signed or unsigned, it's also available with free shipping at infowarstore.com. So again, that's free shipping on all orders, $50 or more at infowarstore.com and up to 60% off at checkout with promo code 1776 and we've got the signed and unsigned copies of the Great Reset War for the World book as well which make perfect stocking stuffers.
[16:55.000 --> 16:59.000]  Don't wait, take action at infowarstore.com today.
[17:25.000 --> 17:39.000]  The sun via your skin helps your body produce vitamin D3 but if you're not getting enough sun, you will not produce vitamin D3 and then it's very easy for viruses and other things to start replicating and taking your body over.
[17:39.000 --> 17:54.000]  So now it's more important than ever because the winter is here to take high quality vitamin D3 and we have the best with our vitamin D3 gummies with calcium for better upload into your body for 50% off at infowarstore.com with promo code 1776.
[17:54.000 --> 18:00.000]  Don't wait, support the info war and your immune system with vitamin D3 gummies at infowarstore.com.
[18:24.000 --> 18:34.000]  We're continuing to support info wars despite the massive law fair being waged against info wars despite the media defamatory libelous campaign against info wars.
[18:34.000 --> 18:50.000]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier and wiser is what keeps info wars on the air and what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[18:50.000 --> 19:01.000]  Continue to do it, go to places like infowarstore.com, go to places like save info wars, continue to keep info wars alive because in the process you're keeping American liberty alive.
[19:21.000 --> 19:28.000]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[19:28.000 --> 19:39.000]  Natural chemicals found in the hips may even be helpful for a variety of health conditions including those with osteoarthritis and for those with pain after surgery studies have shown.
[19:39.000 --> 19:48.000]  As for vitamin C and zinc themselves you probably already know that they play an important role in nutrition, immune defense and the maintenance of your everyday health.
[19:48.000 --> 19:55.000]  It has been reported that intake of both is often inadequate even in affluent populations like here in America.
[19:55.000 --> 20:23.000]  When you visit be sure to check it out at infowarstore.com where we promise our rose hips don't lie.
[20:23.000 --> 20:32.000]  So earlier I pointed out that they're not bringing out electric cars so that they can replace all the cars electric cars.
[20:32.000 --> 20:42.000]  It's all a lie, they admit that and now the World Economic Forum has come out and said it's calling for an end to private car ownership period.
[20:42.000 --> 20:45.000]  You will own nothing and you will like it.
[20:45.000 --> 20:59.000]  But I wanted to get to this stack because Greg Reese has done a really powerful report breaking this down and you have to understand the Tabistock Institute of the 60s developed the transgender issue and then rolled it out.
[20:59.000 --> 21:05.000]  And now the last decades of pushing it hard to again train people to sterilize their children and then it's a cool fun thing.
[21:05.000 --> 21:07.000]  It's all mind control.
[21:07.000 --> 21:15.000]  So Senator Paul came out and said Republicans are not perfect, but they're not pushing your child to have surgery to remove their genitals.
[21:15.000 --> 21:25.000]  And more and more people that were brainwashed and told when they were young that they should take puberty blockers or be sterilized are now filing lawsuits and going public.
[21:25.000 --> 21:37.000]  Chloe Cole looks to me like a nuclear missile aimed at the gender industrial complex and it's supporting ideology and its profits in her lawsuit.
[21:37.000 --> 21:44.000]  It's past the initial motions and smiths things will get very interesting very fast and many others will file and it's already beginning.
[21:44.000 --> 21:54.000]  Meanwhile mainstream corporate media is saying classic beautiful women in swimsuits or in tight clothes are bad and is anti woman.
[21:54.000 --> 22:10.000]  The left doesn't want the image of women powerful and beautiful and their classical femininity, but they want to say fatally men dressed like clowns who call themselves admirals and who run major federal departments are good.
[22:10.000 --> 22:14.000]  They know exactly what they're doing and they're also promoting extreme obesity.
[22:14.000 --> 22:16.000]  Look, I'm a little overweight.
[22:16.000 --> 22:17.000]  I'm not against people that are overweight.
[22:17.000 --> 22:18.000]  I don't hate them for it.
[22:18.000 --> 22:26.000]  But when the media says the corporations say you should celebrate it and you should get fatter and fatter and fatter.
[22:26.000 --> 22:28.000]  And then collapse and die.
[22:28.000 --> 22:31.000]  It's again another nihilistic attack.
[22:31.000 --> 22:41.000]  Here's Senator Paul talking about the true evil of the Democratic Party and it's the same with leftist parties worldwide with big money, big pharma money.
[22:41.000 --> 22:45.000]  Trying to come in and literally mutilate children.
[22:45.000 --> 22:46.000]  Here it is.
[22:46.000 --> 22:50.000]  Now Kentucky Senator Rand Paul, Senator, good to see you tonight.
[22:50.000 --> 23:00.000]  This meant this mental health crisis that our children are suffering from now, given everything that you've seen in your medical background.
[23:00.000 --> 23:05.000]  What are the main culprits here?
[23:05.000 --> 23:10.000]  Well, there's no secret who was involved with the lockdowns and I think the lockdowns haven't had an impact.
[23:10.000 --> 23:21.000]  In June of 2020, three months into this, I said, we got to go back to school that it was a mistake to take the kids out of school because they weren't becoming ill with COVID and they weren't dying from COVID.
[23:21.000 --> 23:27.000]  Sweden took this advice, kept their schools open and not one child died that was going to school.
[23:27.000 --> 23:31.000]  They actually didn't wear masks in school and still not one child died in schools.
[23:31.000 --> 23:34.000]  The teachers didn't get any sicker than any other profession.
[23:34.000 --> 23:37.000]  So the lockdowns was a big part of this.
[23:37.000 --> 23:43.000]  But also you have to imagine that the, and who's responsible, Dr. Fauci, he continued to press for these.
[23:43.000 --> 23:51.000]  But who is also responsible for telling a four-year-old that we need to talk about their gender and whether they're in the appropriate body.
