[00:00.000 --> 00:10.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[00:30.000 --> 00:39.000]  You'll take my life, but I'll take yours too.
[00:39.000 --> 00:43.000]  You'll fire muskets, but I'll run you through.
[00:43.000 --> 00:48.000]  Ladies and gentlemen, thank you so much for joining us.
[00:48.000 --> 00:54.000]  We are live and we are broadcasting worldwide on this Sunday broadcast.
[00:54.000 --> 01:02.000]  It's the 25th day of August 2013 and coming up joining us at the start of the next hour for about 20 minutes,
[01:02.000 --> 01:10.000]  Joe Mendez, who is one of thousands of people under new federal funding and laws in California,
[01:10.000 --> 01:18.000]  being SWAT team rated and arrested and their guns taken and they're never even charged with anything
[01:18.000 --> 01:25.000]  and then can't find out why they've been charged. It is extremely Kafkaesque.
[01:25.000 --> 01:31.000]  Kafka, of course, is the term stemming from the idea of being arrested and then put to death
[01:31.000 --> 01:35.000]  and never knowing why it happened to you, why you were disappeared.
[01:35.000 --> 01:40.000]  And even Bloomberg has the headlines out there about gun confiscation begins in California.
[01:40.000 --> 01:46.000]  No judge, no jury, they can just say that they say you're mentally ill and your guns disappeared.
[01:46.000 --> 01:51.000]  Here it's been happening to a lot of veterans and this is all part of the persecution of American gun owners.
[01:51.000 --> 02:01.000]  He said that when he was in jail, almost everyone in there was in there for some bogus gun charge
[02:01.000 --> 02:08.000]  or had been visited at their home by the SWAT teams who will call you outside about your car being stolen.
[02:08.000 --> 02:15.000]  Yeah, there's the headline right there. California seizes guns as owners lose right to keep their arms
[02:15.000 --> 02:20.000]  and they use different stories. Somebody broke in your car or somebody stole some of your stuff.
[02:20.000 --> 02:26.000]  The officer needs to talk to you. You walk outside and boy, they take you down because they want you to know
[02:26.000 --> 02:32.000]  that you are basically the enemy. And if you want to know how we're going to live in the rest of the country,
[02:32.000 --> 02:37.000]  look at California. It is the model of control.
[02:37.000 --> 02:50.000]  Okay, all of that said, obviously, our top story is the fact that it is now being announced
[02:50.000 --> 02:58.000]  that all the U.S. and NATO are going to respond now and the Syrians did it.
[02:58.000 --> 03:07.000]  They've been nerve-gassed their own population with no evidence there in a suburb of Damascus.
[03:07.000 --> 03:11.000]  And of course, this happened three days ago, almost four days ago now.
[03:11.000 --> 03:18.000]  And BBC has been caught running a photo of mass graves that were dug up and then people wrapped in sheets
[03:18.000 --> 03:26.000]  so it has the image of a bunch of freshly killed people. Remember when they found some of Saddam's mass graves?
[03:26.000 --> 03:35.000]  Well, now they've used those images to say that that's the number of dead children in Syria waving the bloody shirt.
[03:35.000 --> 03:41.000]  Now, I want to be clear here. I've noticed this info operatives on infowords.com and prisonplanner.com
[03:41.000 --> 03:48.000]  in the comments saying, Alex Jones is saying no one was nerve-gassed. No one was killed in Syria.
[03:48.000 --> 03:53.000]  I've never said that. None of my guests have said that. None of our writers have said that.
[03:53.000 --> 04:02.000]  Clearly, a bunch of civilians got nerve-gassed and the opposition that's been caught staging nerve-gass attacks.
[04:02.000 --> 04:09.000]  In fact, guys, I forgot to print this. We had an article on Friday about it and I forgot to send it to you.
[04:09.000 --> 04:16.000]  Our articles titled, Yahoo Exposed Syrian Rebels Chemical False Flag.
