[00:00:04.133 --> 00:00:04.353]  Wow!
[00:00:04.353 --> 00:00:07.054]  24 days in.
[00:00:26.857 --> 00:00:28.718]  We're good to go.
[00:01:08.832 --> 00:01:14.096]  Day 24 of 2017 and day 4 of the Trump era.
[00:01:14.096 --> 00:01:19.519]  Will it succeed wildly or crash and burn in disaster and world war?
[00:01:19.519 --> 00:01:21.721]  That will be determined by us.
[00:01:21.721 --> 00:01:25.784]  For we hold our destinies in our hands as gifts from God.
[00:01:25.784 --> 00:01:28.205]  The gift of free will.
[00:01:28.205 --> 00:01:33.029]  Hard to believe the first month of 2017 is already long in the tooth.
[00:01:34.093 --> 00:01:42.616]  I'm your host Alex Jones and I am burning inside for freedom and burning inside to crush the tyrants!
[00:01:42.616 --> 00:01:46.417]  Our spirit is infinitely stronger than theirs.
[00:01:46.417 --> 00:01:51.719]  We have to have the will to turn our strength loose against the enemy.
[00:01:51.719 --> 00:01:54.600]  It is Tuesday, as I said, the 24th day of January 2017.
[00:01:54.600 --> 00:01:57.601]  I do want to open the phones up a lot today.
[00:01:57.601 --> 00:01:59.682]  We have several guests as well, but
[00:02:00.811 --> 00:02:10.039]  There's so much info that I tend to perseverate on one topic or the other and not get to the body of the news and not get to your calls, but I really want to get your view on four days in.
[00:02:10.039 --> 00:02:20.067]  Trump is spectacularly delivering, unless you read disinformation mainstream news that is misrepresenting what's going on.
[00:02:20.067 --> 00:02:26.893]  Day four, he has done more for this country than Obama did in eight years, but of course Obama was working against us.
[00:02:26.893 --> 00:02:29.035]  He has done more for this country than Bush did.
[00:02:30.222 --> 00:02:32.605]  In just a few days.
[00:02:32.605 --> 00:02:41.978]  And they are absolutely supercharging the revolution against the establishment and a new renaissance.
[00:02:44.980 --> 00:02:49.023]  Poll Americans are more hopeful than negative after inauguration.
[00:02:49.023 --> 00:02:56.449]  Remember Gallup and others have been using skewed results so they're even having trouble holding down the fact that optimism is exploding.
[00:02:56.449 --> 00:02:57.230]  The polls are fake.
[00:02:57.230 --> 00:02:59.011]  It's much higher.
[00:02:59.011 --> 00:03:00.152]  Also not satire.
[00:03:00.152 --> 00:03:02.274]  Politician keeps his campaign promise.
[00:03:02.274 --> 00:03:04.396]  A Kit Daniels article.
[00:03:04.396 --> 00:03:07.939]  Trump targets three agencies with ambitious budget cuts.
[00:03:09.611 --> 00:03:12.252]  Announces federal hiring freeze.
[00:03:12.252 --> 00:03:14.712]  Globalist cringe at TPP torpedoing.
[00:03:14.712 --> 00:03:19.793]  He signed an executive order withdrawing from the Trans-Pacific Partnership.
[00:03:19.793 --> 00:03:25.015]  He signs an executive order blocking the forced individual mandate, basically killing Obamacare.
[00:03:25.015 --> 00:03:29.136]  It goes on and on and on, and we're into day four.
[00:03:29.136 --> 00:03:33.197]  Friday, Saturday, Sunday, Monday.
[00:03:33.197 --> 00:03:34.297]  It's been roughly four days.
[00:03:34.297 --> 00:03:37.318]  You could say day five, counting the weekend he worked over.
[00:03:37.318 --> 00:03:38.858]  So, day four, day five.
[00:03:40.498 --> 00:03:41.680]  Only part of Friday?
[00:03:41.680 --> 00:03:47.989]  I mean, Fox News had a countdown that was one day added, counting Election Day as one more day.
[00:03:47.989 --> 00:03:50.472]  Everybody else, like Google, had one less day.
[00:03:50.472 --> 00:03:55.039]  I mean, I think we should probably establish ourselves what day of the presidency this really is.
[00:03:55.039 --> 00:03:56.221]  I think you can count Friday.
[00:03:57.967 --> 00:04:06.911]  As the first day, he got a lot done that day, Saturday, Sunday, so Friday, Saturday, Sunday, Monday, that's four days, but now we're into day five.
[00:04:06.911 --> 00:04:10.933]  So you have to say in five days, he's done this much.
[00:04:10.933 --> 00:04:13.515]  It's all apples and oranges, but this is, this is big.
[00:04:19.434 --> 00:04:28.651]  Panicking social engineers, as we saw on the WikiLeaks, have decided to go all in on the race baiting, and they're now going to do it publicly.
[00:04:31.069 --> 00:04:37.912]  And I noticed the minions of this system take their marching orders very, very directly and very, very dutifully, doggedly.
[00:04:37.912 --> 00:04:41.733]  That's why I was screamed at, you're an effing white male, hundreds of times by mainly white women.
[00:04:41.733 --> 00:04:47.456]  But now, white candidate for DNC chair says her job will be to shut down other white people.
[00:04:47.456 --> 00:04:49.897]  There's actual video of this.
[00:04:49.897 --> 00:04:52.018]  It's up on InfoWars.com.
[00:04:52.018 --> 00:04:52.378]  You name it.
[00:04:52.378 --> 00:04:54.719]  When we come back, we're going to play this and a lot more.
[00:04:54.719 --> 00:04:57.200]  I mean, this is wild.
[00:04:57.200 --> 00:04:58.741]  This is wild.
[00:04:58.741 --> 00:04:59.341]  Stay with us.
[00:05:00.759 --> 00:05:09.964]  This is Owen Schroer for InfoWars.com, and I met so many amazing people at the inauguration and on this journey to make America great again and get Donald Trump in the White House.
[00:05:09.964 --> 00:05:13.706]  All the amazing people I met and all the love I received meant so much to me.
[00:05:13.706 --> 00:05:16.627]  My heart and my capacity for love has grown ten sizes.
[00:05:16.627 --> 00:05:21.610]  I dedicate my work to you, and to all the pseudo-intellectual liberals out there with your noses up.
[00:05:21.610 --> 00:05:26.032]  It's time for you to take a bite of humble pie, and the election of Donald Trump is the pill you have to swallow.
[00:05:26.212 --> 00:05:32.094]  You need to know, your douchebag sense of entitlement is so palpable that it makes you the ugliest person in the room.
[00:05:32.094 --> 00:05:38.495]  And if you don't come off your self-made soapbox now, you will soon be the most lonely, desperate, desolate people on Earth.
[00:05:38.495 --> 00:05:39.956]  Donald Trump is your president.
[00:05:39.956 --> 00:05:46.478]  The reality is, Donald Trump is the president, America elected him, and we're here to make America great again.
[00:05:46.478 --> 00:05:47.778]  Make planet Earth great again.
[00:05:48.118 --> 00:05:50.981]  Expose the fake news media and change the world.
